cid,num_points_91bg_proj_csp_u,num_points_91bg_proj_csp_g,num_points_91bg_proj_csp_r,num_points_91bg_proj_csp_i,num_points_91bg_proj_csp_B,num_points_91bg_proj_csp_V0,num_points_91bg_proj_csp_V1,num_points_91bg_proj_csp_V,num_points_91bg_proj_csp_Y,num_points_91bg_proj_csp_H,num_points_91bg_proj_csp_J,num_points_91bg_proj_csp_Jrc2,num_points_91bg_proj_csp_Ydw,num_points_91bg_proj_csp_Jdw,num_points_91bg_proj_csp_Hdw,z,t0,x0,x1,c,z_err,t0_err,x0_err,x1_err,c_err,chi,dof,message
2008J,8,10,10,9,10,0,0,10,10,3,11,0,0,0,0,0.0159,1494.7246297416689,0.0031499439177100717,4.999999999999934,0.9999999999999998,0,0.20182532948490461,4.0351584929908214e-05,0.09210297695149894,0.0006424875447255118,588.2050816915194,53,Minimization exited successfully.
2005kc,9,13,12,13,13,13,0,0,18,16,18,0,0,0,0,0.0151,1433.745097363441,0.013345242437299749,0.0,0.0,0,0.0,0.0,0.0,0.0,1019504.1660504922,69,Hesse Failed. Covariance may not be accurate. Covariance not positive definite.
2005A,0,28,33,33,17,28,0,0,0,15,14,0,14,0,0,0.0191,1433.745097363441,0.0041210446547173514,0.0,0.0,0,0.0,0.0,0.0,0.0,825857.2365365676,135,Hesse Failed. Covariance may not be accurate. Covariance not positive definite.
2009Y,29,27,28,31,30,0,0,30,29,26,6,22,6,0,0,0.0094,1535.837902636559,0.04233856421060515,0.0,0.0,0,0.0,0.0,0.0,0.0,3293754.8370430963,171,Hesse Failed. Covariance may not be accurate. Covariance not positive definite.
2004gs,19,49,50,46,43,53,0,0,0,7,15,0,17,0,0,0.0267,1433.745097363441,0.003279785919963807,0.0,0.0,0,0.0,0.0,0.0,0.0,1080873.3346649413,256,Hesse Failed. Covariance may not be accurate. Covariance not positive definite.
2004eo,36,34,35,39,38,39,0,0,0,17,16,0,15,0,0,0.0157,1433.745097363441,0.015465483191544947,0.0,0.0,0,0.0,0.0,0.0,0.0,6470952.03156079,217,Hesse Failed. Covariance may not be accurate. Covariance not positive definite.
2008gp,14,17,20,20,21,0,0,21,20,17,19,0,0,0,0,0.0334,1535.837902636559,0.003574742330579356,0.0,0.0,0,0.0,0.0,0.0,0.0,1111900.2272096225,109,Hesse Failed. Covariance may not be accurate. Covariance not positive definite.
2007ca,8,12,12,12,12,0,0,12,12,14,15,0,8,0,0,0.0141,1433.745097363441,0.011807383360037286,0.0,0.0,0,0.0,0.0,0.0,0.0,2040786.4823831185,64,Hesse Failed. Covariance may not be accurate. Covariance not positive definite.
2009al,12,14,14,14,14,0,0,15,14,12,2,12,0,0,0,0.0221,1535.837902636559,0.006580347331868331,0.0,0.0,0,0.0,0.0,0.0,0.0,611377.1925863368,79,Hesse Failed. Covariance may not be accurate. Covariance not positive definite.
2008ae,2,2,5,5,8,0,0,18,17,16,20,0,8,0,0,0.03,1510.123458564736,0.0006278822424631071,-1.4894740567009235,0.5341901414330139,0,0.20664144769648374,1.6018610539511547e-05,0.13125963568249266,0.026526948063392286,1684.413965386959,36,Minimization exited successfully.
2006dd,25,39,38,37,38,0,0,39,1,0,0,0,0,0,0,0.0059,1433.745097363441,0.03341378603930534,0.0,0.0,0,0.0,0.0,0.0,0.0,1802544.2738870033,212,Hesse Failed. Covariance may not be accurate. Covariance not positive definite.
2005ki,30,47,45,43,44,17,0,25,18,17,21,0,3,0,0,0.0192,1433.745097363441,0.010342299100676623,0.0,0.0,0,0.0,0.0,0.0,0.0,1806397.7736635935,247,Hesse Failed. Covariance may not be accurate. Covariance not positive definite.
2007if,4,15,16,15,15,0,0,17,6,4,12,0,10,0,0,0.0742,1433.745000066357,8.988416098388575e-05,4.999999993487052,0.7501906569590364,0,0.014624320381926736,2.557544381681656e-06,0.0230725982569302,0.03805491350395551,426746.37751974014,78,Minimization exited successfully.
2006D,32,38,38,41,39,0,0,38,20,21,23,0,8,0,0,0.0085,1433.745097363441,0.04578004954139619,0.0,0.0,0,0.0,0.0,0.0,0.0,3336531.2948617227,222,Hesse Failed. Covariance may not be accurate. Covariance not positive definite.
2006lu,6,26,26,17,21,0,0,27,2,0,0,0,3,0,0,0.0534,1433.745097363441,0.0011596172920158771,0.0,0.0,0,0.0,0.0,0.0,0.0,280746.72460607265,119,Hesse Failed. Covariance may not be accurate. Covariance not positive definite.
2009ag,18,18,18,18,18,0,0,18,32,31,3,30,4,0,0,0.0086,1535.837902636559,0.020803927156322746,0.0,0.0,0,0.0,0.0,0.0,0.0,2232361.0005224356,104,Hesse Failed. Covariance may not be accurate. Covariance not positive definite.
2006ev,0,10,10,10,9,0,0,10,16,20,23,0,8,0,0,0.0287,1433.745097363441,0.0024838401403836727,0.0,0.0,0,0.0,0.0,0.0,0.0,420134.470916984,45,Hesse Failed. Covariance may not be accurate. Covariance not positive definite.
2009cz,8,8,8,8,8,0,0,8,9,12,2,10,2,0,0,0.0211,1535.837902636559,0.008871259991791359,0.0,0.0,0,0.0,0.0,0.0,0.0,874479.6220610423,44,Hesse Failed. Covariance may not be accurate. Covariance not positive definite.
2006gj,4,19,19,16,12,0,0,17,14,7,9,0,5,0,0,0.0284,1433.745097363441,0.0025314590243535914,0.0,0.0,0,0.0,0.0,0.0,0.0,226574.86922910291,83,Hesse Failed. Covariance may not be accurate. Covariance not positive definite.
2005el,24,22,22,24,24,23,0,0,38,24,31,0,4,0,0,0.0149,1433.745097363441,0.01563077944902543,0.0,0.0,0,0.0,0.0,0.0,0.0,2579916.2773863478,135,Hesse Failed. Covariance may not be accurate. Covariance not positive definite.
2007jh,0,9,10,8,7,0,0,9,1,1,0,0,0,0,0,0.0408,1433.745097363441,0.049999998353731756,0.36540236509565815,0.9999985694889801,0,74.64715540792292,0.04951214147082439,5.759197601200261,1.3641485674298781,84858.08394649473,39,Covariance may not be accurate. Covariance not positive definite. Covariance forced positive definite.
2007so,4,8,8,8,7,0,0,8,8,6,4,0,5,0,0,0.0297,1433.745000000032,0.0020314887188550234,-0.6730733309542289,0.19276483377478648,0,0.013145196386062707,6.155768281518466e-05,0.09924381325069564,0.022705548272808407,398.0269612831016,39,Minimization exited successfully.
2006gt,4,12,13,12,11,0,0,12,9,2,10,0,8,0,0,0.0448,1433.745097363441,0.0012635808158392853,0.0,0.0,0,0.0,0.0,0.0,0.0,198955.36816509737,60,Hesse Failed. Covariance may not be accurate. Covariance not positive definite.
2007ai,6,15,17,16,15,0,0,16,6,6,10,0,4,0,0,0.0317,1433.745097363441,0.002071286296140584,0.0,0.0,0,0.0,0.0,0.0,0.0,253181.7473109708,81,Hesse Failed. Covariance may not be accurate. Covariance not positive definite.
2006hb,9,26,27,27,28,0,0,26,20,12,15,0,0,0,0,0.0153,1433.745097363441,0.010971655964646249,0.0,0.0,0,0.0,0.0,0.0,0.0,1184387.3027857016,139,Hesse Failed. Covariance may not be accurate. Covariance not positive definite.
2007hj,13,27,28,28,26,0,0,27,34,36,33,0,14,0,0,0.0141,1433.7450000007327,0.00026026930386806036,4.999999999958909,0.5605821304793339,0,0.008858675742317246,1.0709391414284714e-05,0.020866920210441897,0.048504793280419234,2624240.129278089,145,Minimization exited successfully.
2008ia,15,11,15,14,16,0,0,15,19,28,18,5,10,0,0,0.0219,1535.837902636559,0.005491839325181325,0.0,0.0,0,0.0,0.0,0.0,0.0,673501.9417893885,82,Hesse Failed. Covariance may not be accurate. Covariance not positive definite.
2007ol,3,7,7,0,7,0,0,7,0,0,0,0,0,0,0,0.0559,1433.7450000000017,0.0007595522393659238,4.999999999999545,0.43872795823810073,0,0.00361267034179491,3.337263408920296e-05,0.07357178831927325,0.06729378528356961,26192.070361241407,27,Minimization exited successfully.
2008fw,21,24,23,22,23,0,0,24,10,6,7,0,2,0,0,0.0085,1535.837902636559,0.028371754128368894,0.0,0.0,0,0.0,0.0,0.0,0.0,3921489.0307012647,133,Hesse Failed. Covariance may not be accurate. Covariance not positive definite.
2005mc,5,17,17,14,15,7,0,8,0,0,0,0,0,0,0,0.0252,1433.745097363441,0.0034928607495465004,0.0,0.0,0,0.0,0.0,0.0,0.0,441409.82465485885,79,Hesse Failed. Covariance may not be accurate. Covariance not positive definite.
2009dc,10,10,10,9,10,0,0,10,15,19,4,15,4,0,0,0.0214,1535.837902636559,0.01867254262063596,0.0,0.0,0,0.0,0.0,0.0,0.0,1659280.025556705,55,Hesse Failed. Covariance may not be accurate. Covariance not positive definite.
2009F,9,13,16,16,17,0,0,18,10,14,8,10,8,0,0,0.013,1535.837902636559,0.007986998677425517,0.0,0.0,0,0.0,0.0,0.0,0.0,970559.897839265,85,Hesse Failed. Covariance may not be accurate. Covariance not positive definite.
2008go,6,6,6,6,6,0,0,6,7,0,0,0,0,0,0,0.0623,1535.837902636559,0.0010170909965211943,0.0,0.0,0,0.0,0.0,0.0,0.0,317718.84602845844,32,Hesse Failed. Covariance may not be accurate. Covariance not positive definite.
2008cf,6,13,13,13,13,0,0,13,9,10,1,0,5,0,0,0.046,1535.837902636559,0.0024320227200285236,0.0,0.0,0,0.0,0.0,0.0,0.0,728655.4559035364,67,Hesse Failed. Covariance may not be accurate. Covariance not positive definite.
2006bd,0,8,8,8,5,0,0,8,4,4,7,0,0,0,0,0.0257,1433.745097363441,0.0017639020256137589,0.0,0.0,0,0.0,0.0,0.0,0.0,98369.97631807832,33,Hesse Failed. Covariance may not be accurate. Covariance not positive definite.
2007bm,7,8,7,10,10,0,0,10,3,14,16,0,0,0,0,0.0062,1433.745097363441,0.049999952316299334,0.0,0.0,0,0.0,0.0,0.0,0.0,2421686.0347402077,48,Hesse Failed. Covariance may not be accurate. Covariance not positive definite.
2006kf,9,16,20,19,17,0,0,20,24,18,27,0,10,0,0,0.0213,1433.745097363441,0.00575068476452536,0.0,0.0,0,0.0,0.0,0.0,0.0,935098.8197938586,97,Hesse Failed. Covariance may not be accurate. Covariance not positive definite.
