cid,num_points_91bg_proj_csp_u,num_points_91bg_proj_csp_g,num_points_91bg_proj_csp_r,num_points_91bg_proj_csp_i,num_points_91bg_proj_csp_B,num_points_91bg_proj_csp_V0,num_points_91bg_proj_csp_V1,num_points_91bg_proj_csp_V,num_points_91bg_proj_csp_Y,num_points_91bg_proj_csp_H,num_points_91bg_proj_csp_J,num_points_91bg_proj_csp_Jrc2,num_points_91bg_proj_csp_Ydw,num_points_91bg_proj_csp_Jdw,num_points_91bg_proj_csp_Hdw,z,t0,x0,x1,c,z_err,t0_err,x0_err,x1_err,c_err,chi,dof,message
2008J,0,0,10,9,0,0,0,0,0,3,11,0,0,0,0,0.0159,1493.2966557179736,0.004454537321687596,2.6993834553477836,0.9999999467792859,0,0.696827403723205,0.00010176731319985885,0.7963942915849485,0.015130760174894786,134.00714010106051,15,Minimization exited successfully.
2005kc,0,0,12,13,0,0,0,0,0,16,18,0,0,0,0,0.0151,1433.745097363441,0.013345242437299749,0.0,0.0,0,0.0,0.0,0.0,0.0,432089.217278449,21,Hesse Failed. Covariance may not be accurate. Covariance not positive definite.
2005A,0,0,33,33,0,0,0,0,0,15,14,0,0,0,0,0.0191,1433.745097363441,0.0041210446547173514,0.0,0.0,0,0.0,0.0,0.0,0.0,527180.8079240138,62,Hesse Failed. Covariance may not be accurate. Covariance not positive definite.
2009Y,0,0,28,31,0,0,0,0,0,26,6,22,0,0,0,0.0094,1535.837902636559,0.04233856421060515,0.0,0.0,0,0.0,0.0,0.0,0.0,1098716.7035605046,55,Hesse Failed. Covariance may not be accurate. Covariance not positive definite.
2004gs,0,0,50,46,0,0,0,0,0,7,15,0,0,0,0,0.0267,1433.745097363441,0.003279785919963807,0.0,0.0,0,0.0,0.0,0.0,0.0,467491.16920379037,92,Hesse Failed. Covariance may not be accurate. Covariance not positive definite.
2004eo,0,0,35,39,0,0,0,0,0,17,16,0,0,0,0,0.0157,1433.745097363441,0.015465483191544947,0.0,0.0,0,0.0,0.0,0.0,0.0,3551182.7759182826,70,Hesse Failed. Covariance may not be accurate. Covariance not positive definite.
2008gp,0,0,20,20,0,0,0,0,0,17,19,0,0,0,0,0.0334,1535.837902636559,0.003574742330579356,0.0,0.0,0,0.0,0.0,0.0,0.0,424317.4318848154,36,Hesse Failed. Covariance may not be accurate. Covariance not positive definite.
2007ca,0,0,12,12,0,0,0,0,0,14,15,0,0,0,0,0.0141,1433.745097363441,0.011807383360037286,0.0,0.0,0,0.0,0.0,0.0,0.0,988333.9501119701,20,Hesse Failed. Covariance may not be accurate. Covariance not positive definite.
2009al,0,0,14,14,0,0,0,0,0,12,2,12,0,0,0,0.0221,1535.837902636559,0.006580347331868331,0.0,0.0,0,0.0,0.0,0.0,0.0,215880.10283330912,24,Hesse Failed. Covariance may not be accurate. Covariance not positive definite.
2008ae,0,0,5,5,0,0,0,0,0,16,20,0,0,0,0,0.03,1522.1506901882328,0.0003404777510527257,4.999999148676732,0.9999999890072877,0,1.4026330057389487,1.776501484329756e-05,0.5145404153563318,0.14395214535117473,8.82279078353984,6,Minimization exited successfully.
2006dd,0,0,38,37,0,0,0,0,0,0,0,0,0,0,0,0.0059,1433.745097363441,0.03023132005267012,0.0,0.0,0,0.0,0.0,0.0,0.0,425770.57727851043,71,Hesse Failed. Covariance may not be accurate. Covariance not positive definite.
2005ki,0,0,45,43,0,0,0,0,0,17,21,0,0,0,0,0.0192,1433.745097363441,0.010310451874149524,0.0,0.0,0,0.0,0.0,0.0,0.0,760748.8807740387,84,Hesse Failed. Covariance may not be accurate. Covariance not positive definite.
2007if,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0.0742,1433.745000008922,6.275961282336263e-05,4.999999999700748,0.9999988372986928,0,1.383293891704966,5.5527718695307096e-05,1.352140096036237,1.42746087618435,61731.32316349655,11,Minimization exited successfully.
2006D,0,0,38,41,0,0,0,0,0,21,23,0,0,0,0,0.0085,1433.745097363441,0.04578004954139619,0.0,0.0,0,0.0,0.0,0.0,0.0,1400039.0702272735,75,Hesse Failed. Covariance may not be accurate. Covariance not positive definite.
2006lu,0,0,26,17,0,0,0,0,0,0,0,0,0,0,0,0.0534,1433.745097363441,0.001154946318627756,0.0,0.0,0,0.0,0.0,0.0,0.0,102357.7241582314,39,Hesse Failed. Covariance may not be accurate. Covariance not positive definite.
2009ag,0,0,18,18,0,0,0,0,0,31,3,30,0,0,0,0.0086,1535.837902636559,0.020803927156322746,0.0,0.0,0,0.0,0.0,0.0,0.0,958108.1647005156,32,Hesse Failed. Covariance may not be accurate. Covariance not positive definite.
2006ev,0,0,10,10,0,0,0,0,0,20,23,0,0,0,0,0.0287,1433.745097363441,0.0024838401403836727,0.0,0.0,0,0.0,0.0,0.0,0.0,178659.45102239988,16,Hesse Failed. Covariance may not be accurate. Covariance not positive definite.
2009cz,0,0,8,8,0,0,0,0,0,12,2,10,0,0,0,0.0211,1535.837902636559,0.008871259991791359,0.0,0.0,0,0.0,0.0,0.0,0.0,372589.63846442325,12,Hesse Failed. Covariance may not be accurate. Covariance not positive definite.
2006gj,0,0,19,16,0,0,0,0,0,7,9,0,0,0,0,0.0284,1433.745097363441,0.0025314590243535914,0.0,0.0,0,0.0,0.0,0.0,0.0,106606.03298187241,31,Hesse Failed. Covariance may not be accurate. Covariance not positive definite.
2005el,0,0,22,24,0,0,0,0,0,24,31,0,0,0,0,0.0149,1433.745097363441,0.01563077944902543,0.0,0.0,0,0.0,0.0,0.0,0.0,1015616.3932110055,42,Hesse Failed. Covariance may not be accurate. Covariance not positive definite.
2007jh,0,0,10,8,0,0,0,0,0,1,0,0,0,0,0,0.0408,1433.745735359321,0.049999541833336776,0.36594377362271757,0.9999882797411914,0,101.43055909263569,0.03903998465920576,7.094240174368776,0.9486859639998416,31188.429471336334,14,Covariance may not be accurate. Covariance not positive definite. Covariance forced positive definite.
2007so,0,0,8,8,0,0,0,0,0,6,4,0,0,0,0,0.0297,1446.2245151069485,0.0004470904281404897,-3.508131151483929,0.9999999633341914,0,0.7956599674516838,1.9557274751290393e-05,1.1831843183122013,1.2856983833499673,11.759427949744103,12,Minimization exited successfully.
2006gt,0,0,13,12,0,0,0,0,0,2,10,0,0,0,0,0.0448,1433.745097363441,0.0012635808158392853,0.0,0.0,0,0.0,0.0,0.0,0.0,80818.05207450833,21,Hesse Failed. Covariance may not be accurate. Covariance not positive definite.
2007ai,0,0,17,16,0,0,0,0,0,6,10,0,0,0,0,0.0317,1433.745097363441,0.002071286296140584,0.0,0.0,0,0.0,0.0,0.0,0.0,82466.1267068262,29,Hesse Failed. Covariance may not be accurate. Covariance not positive definite.
2006hb,0,0,27,27,0,0,0,0,0,12,15,0,0,0,0,0.0153,1433.745097363441,0.010971655964646249,0.0,0.0,0,0.0,0.0,0.0,0.0,446431.0640605198,50,Hesse Failed. Covariance may not be accurate. Covariance not positive definite.
2007hj,0,0,28,28,0,0,0,0,0,36,33,0,0,0,0,0.0141,1433.745000216793,0.00011709802017044468,4.9999999780102105,0.9999998786325128,0,0.03346239560755748,8.20855158255723e-06,0.06819434407378555,0.13125809044721604,1407995.6199273472,52,Minimization exited successfully.
2008ia,0,0,15,14,0,0,0,0,0,28,18,5,0,0,0,0.0219,1535.837902636559,0.005491839325181325,0.0,0.0,0,0.0,0.0,0.0,0.0,231007.45783049776,25,Hesse Failed. Covariance may not be accurate. Covariance not positive definite.
2007ol,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0.0559,1433.7450000000017,0.0003667775360581771,4.9999999999999005,0.9999999994960918,0,0.023237697111312627,2.8785407619907882e-05,0.42056687099699186,1.1050527253464604,1915.6229775276654,3,Minimization exited successfully.
2008fw,0,0,23,22,0,0,0,0,0,6,7,0,0,0,0,0.0085,1535.837902636559,0.028371754128368894,0.0,0.0,0,0.0,0.0,0.0,0.0,1581774.1366546818,41,Hesse Failed. Covariance may not be accurate. Covariance not positive definite.
2005mc,0,0,17,14,0,0,0,0,0,0,0,0,0,0,0,0.0252,1433.745097363441,0.0034928607495465004,0.0,0.0,0,0.0,0.0,0.0,0.0,201274.04880203947,27,Hesse Failed. Covariance may not be accurate. Covariance not positive definite.
2009dc,0,0,10,9,0,0,0,0,0,19,4,15,0,0,0,0.0214,1535.837902636559,0.016083710432187353,0.0,0.0,0,0.0,0.0,0.0,0.0,735670.1541292793,15,Hesse Failed. Covariance may not be accurate. Covariance not positive definite.
