cid,num_points_91bg_proj_csp_u,num_points_91bg_proj_csp_g,num_points_91bg_proj_csp_r,num_points_91bg_proj_csp_i,num_points_91bg_proj_csp_B,num_points_91bg_proj_csp_V0,num_points_91bg_proj_csp_V1,num_points_91bg_proj_csp_V,num_points_91bg_proj_csp_Y,num_points_91bg_proj_csp_H,num_points_91bg_proj_csp_J,num_points_91bg_proj_csp_Jrc2,num_points_91bg_proj_csp_Ydw,num_points_91bg_proj_csp_Jdw,num_points_91bg_proj_csp_Hdw,z,t0,x0,x1,c,z_err,t0_err,x0_err,x1_err,c_err,chi,dof,message
2008J,8,10,0,0,10,0,0,10,10,0,0,0,0,0,0,0.5546871666771713,1506.6052586455064,1.0818415641633526e-06,16.95122469620763,-0.3048109874905721,0.012431809015790884,1.0192719270814905,2.7667349740115113e-07,4.883820759287275,0.06074667143870015,14.247855148110004,15,Minimization exited successfully.
2005kc,9,13,0,0,13,13,0,0,18,0,0,0,0,0,0,0.44999999999999996,1412.0401263427332,4.810484944844565e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,95593742.71456021,21,Hesse Failed. Covariance may not be accurate. Covariance not positive definite.
2005A,0,28,0,0,17,28,0,0,0,0,0,0,14,0,0,0.44999999999999996,1412.0401263427332,5.409751410174473e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68765935.36378396,51,Hesse Failed. Covariance may not be accurate. Covariance not positive definite.
2009Y,29,27,0,0,30,0,0,30,29,0,0,0,6,0,0,0.44999999999999996,1544.5198736572668,4.640886204876638e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,251379161.7919827,52,Hesse Failed. Covariance may not be accurate. Covariance not positive definite.
2004gs,19,49,0,0,43,53,0,0,0,0,0,0,17,0,0,0.44999999999999996,1412.0401263427332,5.582515289924072e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,121396783.01663485,97,Hesse Failed. Covariance may not be accurate. Covariance not positive definite.
2004eo,36,34,0,0,38,39,0,0,0,0,0,0,15,0,0,0.44999999999999996,1412.0401263427332,4.899900143676801e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,374591449.38782793,68,Hesse Failed. Covariance may not be accurate. Covariance not positive definite.
2008gp,14,17,0,0,21,0,0,21,20,0,0,0,0,0,0,0.44999999999999996,1544.5198736572668,5.091654862116431e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,118453108.28336106,33,Hesse Failed. Covariance may not be accurate. Covariance not positive definite.
2007ca,8,12,0,0,12,0,0,12,12,0,0,0,8,0,0,0.44999999999999996,1412.0401263427332,4.757732615150031e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,173917754.85347286,19,Hesse Failed. Covariance may not be accurate. Covariance not positive definite.
2009al,12,14,0,0,14,0,0,15,14,0,0,0,0,0,0,0.44999999999999996,1544.5198736572668,5.01147132098074e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78234893.29386699,24,Hesse Failed. Covariance may not be accurate. Covariance not positive definite.
2008ae,2,2,0,0,8,0,0,18,17,0,0,0,8,0,0,0.30823406240277884,1544.473572904659,3.907930856053909e-30,25.752048560690497,118.09317396586646,7.698673787853716e-05,0.0018897367364161255,2.923956997609184e-31,0.32913017937688693,0.14173234250646966,22370.793459740584,15,Reached call limit. Covariance may not be accurate.
2006dd,25,39,0,0,38,0,0,39,1,0,0,0,0,0,0,0.44999999999999996,1412.0401263427332,4.736104159975272e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,221383203.13167295,73,Hesse Failed. Covariance may not be accurate. Covariance not positive definite.
2005ki,30,47,0,0,44,17,0,25,18,0,0,0,3,0,0,0.44999999999999996,1412.0401263427332,5.394189472914585e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,195893864.78597158,84,Hesse Failed. Covariance may not be accurate. Covariance not positive definite.
2007if,4,15,0,0,15,0,0,17,0,0,0,0,10,0,0,0.541095884050552,1412.0400000159777,2.1861652262435118e-07,102.3054550504014,-0.4614816887560908,8.830548289912032e-05,0.002025806189294599,2.0629468228804295e-09,0.99930800341408,0.0015655517162752046,44450612.01877795,27,Covariance may not be accurate. Covariance not positive definite. Covariance forced positive definite.
