cid,num_points_91bg_proj_csp_u,num_points_91bg_proj_csp_g,num_points_91bg_proj_csp_r,num_points_91bg_proj_csp_i,num_points_91bg_proj_csp_B,num_points_91bg_proj_csp_V0,num_points_91bg_proj_csp_V1,num_points_91bg_proj_csp_V,num_points_91bg_proj_csp_Y,num_points_91bg_proj_csp_H,num_points_91bg_proj_csp_J,num_points_91bg_proj_csp_Jrc2,num_points_91bg_proj_csp_Ydw,num_points_91bg_proj_csp_Jdw,num_points_91bg_proj_csp_Hdw,z,t0,x0,x1,c,z_err,t0_err,x0_err,x1_err,c_err,chi,dof,message
2004dt,43,46,45,43,46,46,0,0,0,0,0,0,0,0,0,0.0197,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,"result is NaN
User function arguments:
     z = +0.019700
    t0 = +218.522676
    x0 = +0.000114
    x1 = -5167.104431
     c = +659.553118
"
2004ef,34,47,47,47,42,44,0,0,0,5,6,0,6,0,0,0.031,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,"result is NaN
User function arguments:
     z = +0.031000
    t0 = +340.545005
    x0 = +16563658.846313
    x1 = +121.900091
     c = +1768.800534
"
2004eo,36,34,35,39,38,39,0,0,0,17,16,0,15,0,0,0.0157,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,"result is NaN
User function arguments:
     z = +0.015700
    t0 = +240.846862
    x0 = +14570216967178.783203
    x1 = +205004.940016
     c = +20090116.085197
"
2004ey,25,26,32,32,30,30,0,0,0,14,14,0,10,0,0,0.0158,341.3001497960786,2.4211633541865413e-06,8.449867323401799,-0.056775612467723315,0,0.0388903770603406,5.33291801006363e-09,0.06476512894022929,0.0038870808674789556,19446.0348045493,171,Minimization exited successfully.
2004gc,0,26,28,26,26,28,0,0,0,0,0,0,0,0,0,0.0321,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,"result is NaN
User function arguments:
     z = +0.032100
    t0 = +417.109952
    x0 = +92078430626.235367
    x1 = +12230.838681
     c = +249615.569187
"
2004gs,19,49,50,46,43,53,0,0,0,7,15,0,17,0,0,0.0267,366.3350328783083,1.6872241236906737e-06,105.51698131618608,0.10661901437870897,0,1.592870830791071e-07,4.410648232441386e-08,2.6630810095492663,0.0022686414313043525,13987800.513647191,256,Covariance may not be accurate. Covariance not positive definite. Covariance forced positive definite.
2004gu,12,24,29,28,26,26,0,0,0,2,3,0,6,0,0,0.0459,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,"result is NaN
User function arguments:
     z = +0.045900
    t0 = +408.547296
    x0 = +4817966535.314479
    x1 = +3008.680737
     c = +5514.192053
"
2005A,0,28,33,33,17,28,0,0,0,15,14,0,14,0,0,0.0191,422.33683636294273,2.9643344805376083e-06,6.657346855102247,-0.12858094305318518,0,0.07456841508360412,3.212931882572684e-08,0.16759644101857216,0.013670318841280029,8691.314840033625,135,Minimization exited successfully.
2005M,38,59,56,55,55,57,0,0,0,20,21,0,20,0,0,0.022,475.1907037459322,2.7926823032210246e-06,6.0573023270565844,0.26662003225468717,0,0.00548087897848859,9.179467722778196e-10,0.005496869321180806,0.0002921724816424746,1551885.1378910989,316,Minimization exited successfully.
2005W,16,20,21,19,20,21,0,0,0,0,0,0,0,0,0,0.0089,410.0056831062616,2.3629246449264528e-06,11.36304856440404,0.05933953108031639,0,0.15806232848478885,4.9896768401839556e-08,0.386332409263731,0.029690411503552182,565.5827639722321,113,Minimization exited successfully.
2005ag,0,41,44,36,35,43,0,0,0,0,4,0,5,0,0,0.0797,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,"result is NaN
User function arguments:
     z = +0.079700
    t0 = +476.053000
    x0 = +113696280424.975250
    x1 = +9506.091435
     c = -220789.702712
"
2005al,35,35,35,35,35,35,0,0,0,10,10,0,8,0,0,0.0124,522.7845302810586,4.02659292611345e-07,84.9468880088172,0.10605814973736698,0,0.3845313846793488,2.45501330119064e-07,53.73952497606583,0.05810799882627826,572218873.4760814,206,Covariance may not be accurate. Covariance not positive definite. Covariance forced positive definite.
2005am,37,34,21,23,35,31,0,0,0,9,4,0,9,0,0,0.0079,513.5066521252623,2.7092868993756143e-06,16.026213351393807,0.013435136311489905,0,0.07659132781361677,1.3201460558091481e-08,0.12118280250281861,0.002484120549312587,190385.6170324118,177,Minimization exited successfully.
2005be,7,12,12,11,13,13,0,0,0,0,0,0,0,0,0,0.035,478.87836228108137,3.022680397565197e-06,6.047724737532173,0.07675146424200112,0,0.21756293086099276,5.7984677985004906e-08,0.2504057015447414,0.025442566178332845,409.71947374924355,64,Minimization exited successfully.
2005bg,15,15,15,16,17,17,0,0,0,0,0,0,0,0,0,0.0231,523.8846034416244,1.4095052876699133e-08,2304.253359780162,0.25134740169355824,0,0.7631100416712684,9.628999144564108e-09,343.43300676479595,1.0501568023592742,260322564.34895542,91,Covariance may not be accurate. Covariance not positive definite. Covariance forced positive definite.
2005bl,7,11,11,12,11,12,0,0,0,0,0,0,0,0,0,0.0241,523.2750443678264,1.0979020023354811e-06,22.079827121971732,0.4534564247902214,0,2.5246167374161246,9.476800347279237e-07,10.163071658911754,1.0482623615998272,54075751.634467356,60,Covariance may not be accurate. Covariance not positive definite. Covariance forced positive definite.
2005bo,8,9,9,9,9,10,0,0,0,0,0,0,0,0,0,0.0139,524.262097596957,9.143497538748378e-08,352.90512194330154,0.2770392924557327,0,0.7122101564154377,6.936653601427519e-08,257.44663560036054,0.5675301388680417,92136550.12198995,50,Covariance may not be accurate. Covariance not positive definite. Covariance forced positive definite.
2005el,24,22,22,24,24,23,0,0,38,24,31,0,4,0,0,0.0149,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,"result is NaN
User function arguments:
     z = +0.014900
    t0 = +635.633993
    x0 = +7791904473120.057617
    x1 = +604665.258232
     c = +5872807.353950
"
2005eq,19,27,27,27,27,26,0,0,25,13,19,0,1,0,0,0.029,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,"result is NaN
User function arguments:
     z = +0.029000
    t0 = +602.564353
    x0 = -1379452742782.534424
    x1 = -46202.357636
     c = -3910863.521714
"
2005gj,13,23,23,23,23,12,0,10,24,25,34,0,17,0,0,0.0616,786.625341308598,2.4947166315052097e-06,7.405488050910472,0.11922968860855279,0,0.06791511341856449,1.3729758550108127e-08,0.13581141784161935,0.00766012617451508,83528935.28463046,123,Minimization exited successfully.
2005hc,10,23,23,22,23,23,0,0,26,3,10,0,0,0,0,0.0459,742.3533546885523,2.8708004340059485e-06,7.851626123371448,0.23051816117979046,0,0.009169569326218152,2.4899028204731444e-09,0.016026402369316697,0.0006648922924742325,328424.2070597202,120,Minimization exited successfully.
2005hj,5,16,16,16,14,14,0,1,13,0,7,0,0,0,0,0.0574,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,"result is NaN
User function arguments:
     z = +0.057400
    t0 = +618.896350
    x0 = -2000727342740.953613
    x1 = -183669.512080
     c = -2360463.050027
"
2005hk,18,24,24,24,24,22,0,1,23,37,40,0,8,0,0,0.013,694.9080558661103,3.051338728927131e-07,794.12008452111,-0.05156829827908299,0,0.00020691501202918516,3.419579883247365e-08,88.97502888358241,0.010948401555484924,22402959.154437516,133,Covariance may not be accurate. Covariance not positive definite. Covariance forced positive definite.
2005iq,14,20,20,19,18,18,0,0,21,12,12,0,0,0,0,0.034,740.044306831015,3.1274249022811576e-06,6.659247611310665,0.21749665624358325,0,0.02146235380496364,7.115864658341456e-09,0.03269852650917947,0.0019346071271098871,128728.68041231728,105,Minimization exited successfully.
2005ir,8,10,10,13,12,12,0,0,0,0,0,0,0,0,0,0.0763,720.4210214689876,2.995032076527899e-06,4.5830721201459,0.009006945428728942,0,0.18253512893858215,2.619377928679913e-08,0.1922133545234419,0.013497732634307215,7486.062979982232,61,Minimization exited successfully.
2005kc,9,13,12,13,13,13,0,0,18,16,18,0,0,0,0,0.0151,700.6798768131526,2.3180694678591372e-06,16.03049781965912,0.06437376941365047,0,0.19154534921221966,5.8572162678183714e-08,0.6184606477157242,0.03843907325834988,1049.037180908718,69,Minimization exited successfully.
