SURVEY: SDSS   
SNID:   78   
IAUC:    NULL 
PHOTOMETRY_VERSION: 91bg 
SNTYPE:  100 
FILTERS: ugriz 
RA:      40.075287  deg 
DECL:    0.543809  deg 
PIXSIZE:  0.4000  arcsec 
CCDNUM: 0  
FAKE:    2   (=> simulated LC with snlc_sim.exe) 
MWEBV:       0.0340    MW E(B-V) 
MWEBV_ERR:   0.0054    error on MWEBV 
REDSHIFT_HELIO:   0.076250 +- 0.000500  (Helio, z_best) 
REDSHIFT_FINAL:   0.075436 +- 0.000500  (CMB) 
REDSHIFT_STATUS:  from Host Galaxy (Unconfirmed SN)

VPEC:         0.00  # v_pec correction
VPEC_ERR:     0.00  # error on above  
PEAKMJD:   53696.414 

HOSTGAL_OBJID:    -9  
HOSTGAL_PHOTOZ:   -9.0000  +- -9.0000 
HOSTGAL_SPECZ:    0.0000  +- 0.0000 
HOSTGAL_SNSEP:    -9.000    # arcsec 
 

SIM_MODEL_NAME:  SIMSED.91BG 
SIM_MODEL_INDEX:  7 
SIM_TYPE_INDEX:   0 
SIM_TYPE_NAME:    UNKNOWN 
SIM_NON1a:      0   (NONIA index) 
SIM_COMMENT:  SN Type = UNKNOWN , MODEL = SIMSED.91BG  
SIM_LIBID:  217  
SIM_NGEN_LIBID:  1  
SIM_NOBS_UNDEFINED:  0  
SIM_REDSHIFT_HELIO:  0.07756  
SIM_REDSHIFT_CMB:    0.07675  
SIM_REDSHIFT_HOST:   0.07756  
SIM_VPEC:  -0.0 (km/sec) 
SIM_HOSTLIB_NPAR: 0 
SIM_DLMU:      37.7077  mag   [ -5*log10(10pc/dL) ]
SIM_LENSDMU:   0.0000  mag 
SIM_RA:        40.075287 deg  
SIM_DECL:      0.543809 deg  
SIM_MWRV:    3.100   (MilkyWay RV) 
SIM_MWEBV:   0.0322   (MilkyWay E(B-V)) 
SIMOPT_MWCOLORLAW:  94   (MW color-law option) 
SIMOPT_MWEBV:       1   (modify MWEBV_SFD)
SIM_MAGSMEAR_COH:    0.000  
SIM_GALFRAC:  -9.000 -9.000 -9.000 -9.000 -9.000  (ugriz F_gal/F_SNpeak for PSF=1'')
SIM_PEAKMAG:   22.74  20.68  19.61  19.40  19.57  (ugriz obs)
SIM_EXPOSURE:     1.0    1.0    1.0    1.0    1.0  (ugriz obs)
SIM_PEAKMJD:   53696.722656  days 
SIM_SALT2x0:   8.2588e-16   
SIM_SEARCHEFF_MASK:  5  (bits 1,2=> found by software,spec) 
SIM_SEARCHEFF_SPEC:  0.4850  (spectro-search efficiency (ignores pipelines)) 
SIM_TRESTMIN:   -14.23   days 
SIM_TRESTMAX:     7.98   days 
SIM_RISETIME_SHIFT:   0.0 days 
SIM_FALLTIME_SHIFT:   0.0 days 

SIMSED_NPAR: 2 
SIMSED_PARAM(stretch):  0.850329 
SIMSED_PARAM(color):  0.631030 



# ============================================ 
# TERSE LIGHT CURVE OUTPUT: 
#
NOBS: 30 
NVAR: 9 
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR PHOTFLAG   ZPT  PSF  SIM_MAGOBS
OBS:  53681.383  u  82S   1.6830e+01   4.066e+01    0  27.510    1.01  99.0000 
OBS:  53681.383  g  82S  -1.6221e+01   1.329e+01    0  28.420    0.97  99.0000 
OBS:  53681.383  r  82S   9.5439e+00   2.074e+01    0  28.220    1.02  99.0000 
OBS:  53681.383  i  82S   7.2535e+00   3.049e+01    0  27.910    0.93  99.0000 
OBS:  53681.383  z  82S  -3.1296e+01   7.998e+01    0  26.650    0.85  99.0000 
OBS:  53684.344  u  82S  -1.2463e+02   1.275e+02    0  26.270    1.37  99.0000 
OBS:  53684.344  g  82S   3.0615e+01   4.247e+01    0  27.180    1.38  99.0000 
OBS:  53684.344  r  82S   9.1710e+01   7.497e+01    0  27.090    1.38  99.0000 
OBS:  53684.344  i  82S  -5.2750e+01   9.053e+01    0  26.770    1.15  99.0000 
OBS:  53684.344  z  82S   1.2124e+02   3.067e+02    0  25.300    1.07  99.0000 
OBS:  53687.285  u  82S   7.6867e+01   1.260e+02    0  27.590    1.65  25.2946 
OBS:  53687.285  g  82S   1.5184e+02   5.099e+01    0  28.420    1.51  23.4482 
OBS:  53687.285  r  82S   6.3982e+01   4.881e+01    0  28.240    1.46  22.5647 
