SURVEY: SDSS   
SNID:   702   
IAUC:    NULL 
PHOTOMETRY_VERSION: 91bg 
SNTYPE:  0 
FILTERS: ugriz 
RA:      -27.102711  deg 
DECL:    -0.016409  deg 
PIXSIZE:  0.4000  arcsec 
CCDNUM: 0  
FAKE:    2   (=> simulated LC with snlc_sim.exe) 
MWEBV:       0.0610    MW E(B-V) 
MWEBV_ERR:   0.0098    error on MWEBV 
REDSHIFT_HELIO:   0.148798 +- 0.000500  (Helio, z_best) 
REDSHIFT_FINAL:   0.147437 +- 0.000500  (CMB) 
REDSHIFT_STATUS:  OK 

VPEC:         0.00  # v_pec correction
VPEC_ERR:     0.00  # error on above  
PEAKMJD:   53638.473 

HOSTGAL_OBJID:    -9  
HOSTGAL_PHOTOZ:   -9.0000  +- -9.0000 
HOSTGAL_SPECZ:    0.0000  +- 0.0000 
HOSTGAL_SNSEP:    -9.000    # arcsec 
 

SIM_MODEL_NAME:  SIMSED.91BG 
SIM_MODEL_INDEX:  7 
SIM_TYPE_INDEX:   0 
SIM_TYPE_NAME:    UNKNOWN 
SIM_NON1a:      0   (NONIA index) 
SIM_COMMENT:  SN Type = UNKNOWN , MODEL = SIMSED.91BG  
SIM_LIBID:  24  
SIM_NGEN_LIBID:  1  
SIM_NOBS_UNDEFINED:  0  
SIM_REDSHIFT_HELIO:  0.14786  
SIM_REDSHIFT_CMB:    0.14651  
SIM_REDSHIFT_HOST:   0.14786  
SIM_VPEC:  -0.0 (km/sec) 
SIM_HOSTLIB_NPAR: 0 
SIM_DLMU:      39.2126  mag   [ -5*log10(10pc/dL) ]
SIM_LENSDMU:   0.0000  mag 
SIM_RA:        -27.102711 deg  
SIM_DECL:      -0.016409 deg  
SIM_MWRV:    3.100   (MilkyWay RV) 
SIM_MWEBV:   0.0419   (MilkyWay E(B-V)) 
SIMOPT_MWCOLORLAW:  94   (MW color-law option) 
SIMOPT_MWEBV:       1   (modify MWEBV_SFD)
SIM_MAGSMEAR_COH:    0.000  
SIM_GALFRAC:  -9.000 -9.000 -9.000 -9.000 -9.000  (ugriz F_gal/F_SNpeak for PSF=1'')
SIM_PEAKMAG:   24.47  22.20  20.99  20.64  20.82  (ugriz obs)
SIM_EXPOSURE:     1.0    1.0    1.0    1.0    1.0  (ugriz obs)
SIM_PEAKMJD:   53635.789062  days 
SIM_SALT2x0:   2.0652e-16   
SIM_SEARCHEFF_MASK:  3  (bits 1,2=> found by software,spec) 
SIM_SEARCHEFF_SPEC:  0.2093  (spectro-search efficiency (ignores pipelines)) 
SIM_TRESTMIN:   -10.95   days 
SIM_TRESTMAX:    58.69   days 
SIM_RISETIME_SHIFT:   0.0 days 
SIM_FALLTIME_SHIFT:   0.0 days 

SIMSED_NPAR: 2 
SIMSED_PARAM(stretch):  1.017724 
SIMSED_PARAM(color):  0.529181 



# ============================================ 
# TERSE LIGHT CURVE OUTPUT: 
#
NOBS: 100 
NVAR: 9 
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR PHOTFLAG   ZPT  PSF  SIM_MAGOBS
OBS:  53623.223  u  82N   3.8967e+01   4.291e+01    0  27.320    1.07  27.3455 
OBS:  53623.223  g  82N   2.0913e+01   1.423e+01    0  28.410    1.08  25.1591 
OBS:  53623.223  r  82N  -4.5612e+00   2.130e+01    0  28.160    0.95  24.2054 
OBS:  53623.223  i  82N   1.7025e+01   3.075e+01    0  27.890    0.90  23.8935 
OBS:  53623.223  z  82N  -1.7514e+01   1.010e+02    0  25.970    0.94  24.0793 
OBS:  53626.211  u  82N  -3.4969e+01   6.329e+01    0  27.420    1.36  25.3937 
OBS:  53626.211  g  82N  -1.6692e+01   4.004e+01    0  28.300    1.38  23.6951 
OBS:  53626.211  r  82N   1.0016e+02   2.908e+01    0  28.210    1.01  22.7442 
OBS:  53626.211  i  82N   1.1045e+02   3.796e+01    0  27.920    1.02  22.4308 
OBS:  53626.211  z  82N   2.8272e+01   1.460e+02    0  25.950    1.02  22.6174 
OBS:  53628.195  u  82N   1.5747e+02   1.839e+02    0  27.000    1.78  24.8512 
OBS:  53628.195  g  82N   6.8887e+01   5.637e+01    0  28.350    1.68  22.9627 
OBS:  53628.195  r  82N   8.6859e+01   5.103e+01    0  28.170    1.55  22.0160 
OBS:  53628.195  i  82N   2.7463e+02   5.679e+01    0  27.880    1.45  21.7039 
OBS:  53628.195  z  82N  -6.5957e+01   1.615e+02    0  26.120    1.53  21.8872 
OBS:  53635.203  u  82N   1.7608e+00   6.164e+01    0  27.530    1.42  24.4207 
OBS:  53635.203  g  82N   1.7608e+02   2.177e+01    0  28.560    1.09  22.1896 
OBS:  53635.203  r  82N   4.0064e+02   2.806e+01    0  28.260    1.12  21.0136 
OBS:  53635.203  i  82N   4.7108e+02   3.570e+01    0  27.970    1.04  20.6766 
OBS:  53635.203  z  82N   4.3486e+02   1.248e+02    0  26.070    1.32  20.8510 
OBS:  53637.195  u  82N  -2.1715e+01   5.369e+01    0  27.450    1.60  24.6087 
OBS:  53637.195  g  82N   1.5100e+02   1.664e+01    0  28.500    1.43  22.2545 
OBS:  53637.195  r  82N   4.1214e+02   2.762e+01    0  28.210    1.44  20.9457 
OBS:  53637.195  i  82N   6.3617e+02   4.075e+01    0  27.920    1.26  20.5876 
OBS:  53637.195  z  82N   3.2946e+02   1.408e+02    0  25.990    1.27  20.7712 
OBS:  53644.191  u  82N  -1.5654e+01   4.030e+01    0  27.480    1.02  25.5836 
OBS:  53644.191  g  82N   4.3214e+01   1.283e+01    0  28.570    1.02  23.1354 
OBS:  53644.191  r  82N   2.8771e+02   2.052e+01    0  28.260    0.90  21.2490 
OBS:  53644.191  i  82N   5.0217e+02   3.105e+01    0  27.970    0.84  20.7360 
OBS:  53644.191  z  82N   4.3410e+02   9.427e+01    0  26.130    0.85  20.8490 
DETECTION:  3 obs satisfy gr+ri+gi  at MJD_TRIGGER=53644.1910 
OBS:  53654.223  u  82N   1.7018e+01   5.300e+01    0  27.450    1.33  26.2434 
OBS:  53654.223  g  82N   2.0037e+01   2.233e+01    0  28.530    1.40  24.0630 
