SURVEY: SDSS   
SNID:   50358   
IAUC:    NULL 
PHOTOMETRY_VERSION: 91bg 
SNTYPE:  0 
FILTERS: gri 
RA:      36.812481  deg 
DECL:    0.442223  deg 
PIXSIZE:  0.4000  arcsec 
CCDNUM: 0  
FAKE:    2   (=> simulated LC with snlc_sim.exe) 
MWEBV:       0.0310    MW E(B-V) 
MWEBV_ERR:   0.0050    error on MWEBV 
REDSHIFT_HELIO:   0.061409 +- 0.000500  (Helio, z_best) 
REDSHIFT_FINAL:   0.060549 +- 0.000500  (CMB) 
REDSHIFT_STATUS:  OK 

VPEC:         0.00  # v_pec correction
VPEC_ERR:     0.00  # error on above  
PEAKMJD:   53667.750 

HOSTGAL_OBJID:    -9  
HOSTGAL_PHOTOZ:   -9.0000  +- -9.0000 
HOSTGAL_SPECZ:    0.0000  +- 0.0000 
HOSTGAL_SNSEP:    -9.000    # arcsec 
 

SIM_MODEL_NAME:  SIMSED.91bg 
SIM_MODEL_INDEX:  7 
SIM_TYPE_INDEX:   0 
SIM_TYPE_NAME:    UNKNOWN 
SIM_NON1a:      0   (NONIA index) 
SIM_COMMENT:  SN Type = UNKNOWN , MODEL = SIMSED.91bg  
SIM_LIBID:  967  
SIM_NGEN_LIBID:  1  
SIM_NOBS_UNDEFINED:  0  
SIM_REDSHIFT_HELIO:  0.06194  
SIM_REDSHIFT_CMB:    0.06109  
SIM_REDSHIFT_HOST:   0.06194  
SIM_VPEC:  0.0 (km/sec) 
SIM_HOSTLIB_NPAR: 0 
SIM_DLMU:      37.1884  mag   [ -5*log10(10pc/dL) ]
SIM_LENSDMU:   0.0000  mag 
SIM_RA:        36.812481 deg  
SIM_DECL:      0.442223 deg  
SIM_MWRV:    3.100   (MilkyWay RV) 
SIM_MWEBV:   0.0290   (MilkyWay E(B-V)) 
SIMOPT_MWCOLORLAW:  94   (MW color-law option) 
SIMOPT_MWEBV:       1   (modify MWEBV_SFD)
SIM_MAGSMEAR_COH:    0.000  
SIM_GALFRAC:  -9.000 -9.000 -9.000  (gri F_gal/F_SNpeak for PSF=1'')
SIM_PEAKMAG:   19.81  18.88  18.77  (gri obs)
SIM_EXPOSURE:     1.0    1.0    1.0  (gri obs)
SIM_PEAKMJD:   53666.726562  days 
SIM_SALT2x0:   1.3324e-15   
SIM_SEARCHEFF_MASK:  3  (bits 1,2=> found by software,spec) 
SIM_SEARCHEFF_SPEC:  1.0000  (spectro-search efficiency (ignores pipelines)) 
SIM_TRESTMIN:   -19.10   days 
SIM_TRESTMAX:    36.34   days 
SIM_RISETIME_SHIFT:   0.0 days 
SIM_FALLTIME_SHIFT:   0.0 days 

SIMSED_NPAR: 2 
SIMSED_PARAM(stretch):  0.963595 
SIMSED_param(color):  0.516994 



# ============================================ 
# TERSE LIGHT CURVE OUTPUT: 
#
NOBS: 51 
NVAR: 9 
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR PHOTFLAG   ZPT  PSF  SIM_MAGOBS
OBS:  53646.441  g  82S   8.1225e+00   2.403e+01    0  27.640    1.26  99.0000 
OBS:  53646.441  r  82S  -1.8884e+00   2.357e+01    0  28.120    1.20  99.0000 
OBS:  53646.441  i  82S  -5.0865e+01   4.798e+01    0  27.520    1.23  99.0000 
OBS:  53655.352  g  82S   5.2793e+01   1.368e+01    0  28.470    1.17  22.9126 
OBS:  53655.352  r  82S   1.9129e+02   2.329e+01    0  28.270    1.31  22.1573 
OBS:  53655.352  i  82S   1.9568e+02   3.478e+01    0  27.920    1.05  22.0552 
OBS:  53663.441  g  82S   1.0007e+03   4.174e+01    0  28.400    1.08  19.9859 
OBS:  53663.441  r  82S   2.0564e+03   3.961e+01    0  28.250    1.12  19.1945 
OBS:  53663.441  i  82S   2.4030e+03   5.189e+01    0  27.910    1.14  19.0891 
OBS:  53665.441  g  82S   1.1599e+03   2.956e+01    0  28.390    1.03  19.8390 
OBS:  53665.441  r  82S   2.5494e+03   3.384e+01    0  28.220    1.04  18.9686 
OBS:  53665.441  i  82S   2.9269e+03   4.589e+01    0  27.890    0.90  18.8653 
DETECTION:  3 obs satisfy gr+ri+gi  at MJD_TRIGGER=53665.4410 
OBS:  53668.430  g  82S   1.1775e+03   2.891e+01    0  28.390    1.70  19.8470 
OBS:  53668.430  r  82S   3.0054e+03   3.783e+01    0  28.230    1.70  18.8135 
OBS:  53668.430  i  82S   3.2886e+03   5.661e+01    0  27.910    1.61  18.6942 
OBS:  53669.336  g  82S   1.0831e+03   2.460e+01    0  28.400    1.83  19.9016 
OBS:  53669.336  r  82S   2.9836e+03   7.231e+01    0  27.320    1.69  18.8087 
OBS:  53669.336  i  82S   3.5302e+03   1.361e+02    0  26.880    1.54  18.6793 
OBS:  53670.438  g  82S   9.6569e+02   2.421e+01    0  28.290    1.53  20.0105 
OBS:  53670.438  r  82S   2.9049e+03   3.452e+01    0  28.170    1.52  18.8271 
OBS:  53670.438  i  82S   3.3292e+03   4.950e+01    0  27.850    1.36  18.6893 
OBS:  53671.422  g  82S   8.9169e+02   2.043e+01    0  28.120    0.94  20.1315 
OBS:  53671.422  r  82S   2.9441e+03   3.164e+01    0  27.990    0.99  18.8494 
OBS:  53671.422  i  82S   3.2280e+03   4.521e+01    0  27.680    0.90  18.7212 
OBS:  53674.320  g  82S   5.7306e+02   1.961e+01    0  28.420    1.84  20.5968 
OBS:  53674.320  r  82S   2.4931e+03   3.035e+01    0  28.230    1.59  19.0367 
OBS:  53674.320  i  82S   2.9440e+03   5.158e+01    0  27.890    1.64  18.8599 
OBS:  53676.410  g  82S   4.1425e+02   1.946e+01    0  28.250    1.49  20.9360 
OBS:  53676.410  r  82S   1.9957e+03   3.926e+01    0  28.030    1.61  19.2459 
OBS:  53676.410  i  82S   2.6586e+03   5.916e+01    0  27.730    1.57  18.9508 
OBS:  53679.383  g  82S   3.3765e+02   1.849e+01    0  28.410    1.71  21.2136 
