SURVEY: SDSS   
SNID:   50367   
IAUC:    NULL 
PHOTOMETRY_VERSION: 91bg 
SNTYPE:  100 
FILTERS: gri 
RA:      -22.760517  deg 
DECL:    0.474922  deg 
PIXSIZE:  0.4000  arcsec 
CCDNUM: 0  
FAKE:    2   (=> simulated LC with snlc_sim.exe) 
MWEBV:       0.0630    MW E(B-V) 
MWEBV_ERR:   0.0101    error on MWEBV 
REDSHIFT_HELIO:   0.092546 +- 0.000500  (Helio, z_best) 
REDSHIFT_FINAL:   0.091228 +- 0.000500  (CMB) 
REDSHIFT_STATUS:  from Host Galaxy (Unconfirmed SN)

VPEC:         0.00  # v_pec correction
VPEC_ERR:     0.00  # error on above  
PEAKMJD:   53683.211 

HOSTGAL_OBJID:    -9  
HOSTGAL_PHOTOZ:   -9.0000  +- -9.0000 
HOSTGAL_SPECZ:    0.0000  +- 0.0000 
HOSTGAL_SNSEP:    -9.000    # arcsec 
 

SIM_MODEL_NAME:  SIMSED.91bg 
SIM_MODEL_INDEX:  7 
SIM_TYPE_INDEX:   0 
SIM_TYPE_NAME:    UNKNOWN 
SIM_NON1a:      0   (NONIA index) 
SIM_COMMENT:  SN Type = UNKNOWN , MODEL = SIMSED.91bg  
SIM_LIBID:  995  
SIM_NGEN_LIBID:  1  
SIM_NOBS_UNDEFINED:  0  
SIM_REDSHIFT_HELIO:  0.09196  
SIM_REDSHIFT_CMB:    0.09064  
SIM_REDSHIFT_HOST:   0.09196  
SIM_VPEC:  -0.0 (km/sec) 
SIM_HOSTLIB_NPAR: 0 
SIM_DLMU:      38.0907  mag   [ -5*log10(10pc/dL) ]
SIM_LENSDMU:   0.0000  mag 
SIM_RA:        -22.760517 deg  
SIM_DECL:      0.474922 deg  
SIM_MWRV:    3.100   (MilkyWay RV) 
SIM_MWEBV:   0.0730   (MilkyWay E(B-V)) 
SIMOPT_MWCOLORLAW:  94   (MW color-law option) 
SIMOPT_MWEBV:       1   (modify MWEBV_SFD)
SIM_MAGSMEAR_COH:    0.000  
SIM_GALFRAC:  -9.000 -9.000 -9.000  (gri F_gal/F_SNpeak for PSF=1'')
SIM_PEAKMAG:   21.10  19.94  19.65  (gri obs)
SIM_EXPOSURE:     1.0    1.0    1.0  (gri obs)
SIM_PEAKMJD:   53682.468750  days 
SIM_SALT2x0:   5.8040e-16   
SIM_SEARCHEFF_MASK:  5  (bits 1,2=> found by software,spec) 
SIM_SEARCHEFF_SPEC:  0.3707  (spectro-search efficiency (ignores pipelines)) 
SIM_TRESTMIN:   -16.72   days 
SIM_TRESTMAX:    20.77   days 
SIM_RISETIME_SHIFT:   0.0 days 
SIM_FALLTIME_SHIFT:   0.0 days 

SIMSED_NPAR: 2 
SIMSED_PARAM(stretch):  1.050733 
SIMSED_param(color):  0.625916 



# ============================================ 
# TERSE LIGHT CURVE OUTPUT: 
#
NOBS: 36 
NVAR: 9 
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR PHOTFLAG   ZPT  PSF  SIM_MAGOBS
OBS:  53664.211  g  82S  -3.1045e+01   3.573e+01    0  28.470    1.71  99.0000 
OBS:  53664.211  r  82S  -1.4557e+01   3.636e+01    0  28.250    1.58  99.0000 
OBS:  53664.211  i  82S  -3.6496e+01   4.868e+01    0  27.920    1.47  99.0000 
OBS:  53666.176  g  82S   6.2513e+00   1.332e+01    0  28.470    1.04  99.0000 
OBS:  53666.176  r  82S   1.1837e+01   2.120e+01    0  28.260    1.01  99.0000 
OBS:  53666.176  i  82S  -1.6542e+01   3.567e+01    0  27.910    0.99  99.0000 
OBS:  53669.172  g  82S   1.9565e+00   1.318e+01    0  28.470    1.10  25.8665 
OBS:  53669.172  r  82S  -2.3191e+01   2.161e+01    0  28.260    1.09  24.8944 
OBS:  53669.172  i  82S  -3.8204e+00   3.450e+01    0  27.920    0.99  24.6187 
OBS:  53674.156  g  82S   1.1822e+02   1.432e+01    0  28.420    1.19  22.4382 
OBS:  53674.156  r  82S   2.3442e+02   2.534e+01    0  28.230    1.43  21.4693 
OBS:  53674.156  i  82S   3.6382e+02   3.815e+01    0  27.900    1.30  21.1931 
OBS:  53676.246  g  82S   1.7705e+02   1.493e+01    0  28.360    1.09  21.7062 
OBS:  53676.246  r  82S   5.3074e+02   2.283e+01    0  28.220    1.07  20.7319 
OBS:  53676.246  i  82S   6.6029e+02   3.451e+01    0  27.900    0.96  20.4605 
OBS:  53679.215  g  82S   3.0904e+02   1.798e+01    0  28.410    1.67  21.2597 
OBS:  53679.215  r  82S   8.2424e+02   2.870e+01    0  28.220    1.61  20.2309 
OBS:  53679.215  i  82S   9.6765e+02   4.545e+01    0  27.910    1.57  19.9609 
DETECTION:  3 obs satisfy gr+ri+gi  at MJD_TRIGGER=53679.2150 
OBS:  53681.207  g  82S   3.7467e+02   1.462e+01    0  28.420    0.98  21.1238 
OBS:  53681.207  r  82S   9.8600e+02   2.252e+01    0  28.220    0.99  20.0204 
OBS:  53681.207  i  82S   1.2378e+03   3.419e+01    0  27.910    0.92  19.7445 
OBS:  53685.168  g  82S   3.6771e+02   4.429e+01    0  28.440    1.09  21.2119 
OBS:  53685.168  r  82S   1.0935e+03   4.530e+01    0  28.240    1.03  19.8703 
OBS:  53685.168  i  82S   1.5219e+03   5.426e+01    0  27.920    0.97  19.5553 
OBS:  53687.207  g  82S   1.7562e+02   4.465e+01    0  28.400    1.20  21.4464 
OBS:  53687.207  r  82S   1.0315e+03   4.595e+01    0  28.210    1.32  19.9204 
OBS:  53687.207  i  82S   1.5102e+03   5.657e+01    0  27.910    1.32  19.5812 
OBS:  53697.164  g  82S   9.4217e+01   1.475e+01    0  28.410    1.15  22.6921 
OBS:  53697.164  r  82S   5.3050e+02   2.676e+01    0  28.220    1.29  20.7200 
OBS:  53697.164  i  82S   8.0787e+02   3.824e+01    0  27.910    1.22  20.1573 
OBS:  53700.164  g  82S   6.4808e+01   1.434e+01    0  28.350    1.09  22.8933 
OBS:  53700.164  r  82S   4.6534e+02   2.375e+01    0  28.180    1.22  20.9354 
OBS:  53700.164  i  82S   7.4164e+02   3.708e+01    0  27.870    1.06  20.3756 
OBS:  53705.152  g  82S   3.1422e+01   1.643e+01    0  28.400    1.58  23.2248 
OBS:  53705.152  r  82S   2.9457e+02   2.730e+01    0  28.220    1.60  21.2925 
OBS:  53705.152  i  82S   5.0635e+02   4.037e+01    0  27.900    1.45  20.7340 
END_PHOTOMETRY: 
