SURVEY: SDSS   
SNID:   50380   
IAUC:    NULL 
PHOTOMETRY_VERSION: 91bg 
SNTYPE:  100 
FILTERS: gri 
RA:      -47.271862  deg 
DECL:    1.002989  deg 
PIXSIZE:  0.4000  arcsec 
CCDNUM: 0  
FAKE:    2   (=> simulated LC with snlc_sim.exe) 
MWEBV:       0.1100    MW E(B-V) 
MWEBV_ERR:   0.0176    error on MWEBV 
REDSHIFT_HELIO:   0.116247 +- 0.000500  (Helio, z_best) 
REDSHIFT_FINAL:   0.115126 +- 0.000500  (CMB) 
REDSHIFT_STATUS:  from Host Galaxy (Unconfirmed SN)

VPEC:         0.00  # v_pec correction
VPEC_ERR:     0.00  # error on above  
PEAKMJD:   53615.090 

HOSTGAL_OBJID:    -9  
HOSTGAL_PHOTOZ:   -9.0000  +- -9.0000 
HOSTGAL_SPECZ:    0.0000  +- 0.0000 
HOSTGAL_SNSEP:    -9.000    # arcsec 
 

SIM_MODEL_NAME:  SIMSED.91bg 
SIM_MODEL_INDEX:  7 
SIM_TYPE_INDEX:   0 
SIM_TYPE_NAME:    UNKNOWN 
SIM_NON1a:      0   (NONIA index) 
SIM_COMMENT:  SN Type = UNKNOWN , MODEL = SIMSED.91bg  
SIM_LIBID:  31  
SIM_NGEN_LIBID:  1  
SIM_NOBS_UNDEFINED:  0  
SIM_REDSHIFT_HELIO:  0.11626  
SIM_REDSHIFT_CMB:    0.11514  
SIM_REDSHIFT_HOST:   0.11626  
SIM_VPEC:  0.0 (km/sec) 
SIM_HOSTLIB_NPAR: 0 
SIM_DLMU:      38.6453  mag   [ -5*log10(10pc/dL) ]
SIM_LENSDMU:   0.0000  mag 
SIM_RA:        -47.271862 deg  
SIM_DECL:      1.002989 deg  
SIM_MWRV:    3.100   (MilkyWay RV) 
SIM_MWEBV:   0.1262   (MilkyWay E(B-V)) 
SIMOPT_MWCOLORLAW:  94   (MW color-law option) 
SIMOPT_MWEBV:       1   (modify MWEBV_SFD)
SIM_MAGSMEAR_COH:    0.000  
SIM_GALFRAC:  -9.000 -9.000 -9.000  (gri F_gal/F_SNpeak for PSF=1'')
SIM_PEAKMAG:   21.75  20.60  20.28  (gri obs)
SIM_EXPOSURE:     1.0    1.0    1.0  (gri obs)
SIM_PEAKMJD:   53615.312500  days 
SIM_SALT2x0:   3.4825e-16   
SIM_SEARCHEFF_MASK:  5  (bits 1,2=> found by software,spec) 
SIM_SEARCHEFF_SPEC:  0.2489  (spectro-search efficiency (ignores pipelines)) 
SIM_TRESTMIN:     8.85   days 
SIM_TRESTMAX:    80.42   days 
SIM_RISETIME_SHIFT:   0.0 days 
SIM_FALLTIME_SHIFT:   0.0 days 

SIMSED_NPAR: 2 
SIMSED_PARAM(stretch):  0.924185 
SIMSED_param(color):  0.467731 



# ============================================ 
# TERSE LIGHT CURVE OUTPUT: 
#
NOBS: 51 
NVAR: 9 
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR PHOTFLAG   ZPT  PSF  SIM_MAGOBS
OBS:  53625.188  g  82S   7.7001e+01   1.884e+01    0  28.510    1.00  22.9473 
OBS:  53625.188  r  82S   4.1334e+02   2.462e+01    0  28.190    0.96  21.0209 
OBS:  53625.188  i  82S   6.0430e+02   3.690e+01    0  27.880    1.00  20.4686 
OBS:  53627.148  g  82S   1.5001e+01   3.163e+01    0  28.490    1.25  23.1805 
OBS:  53627.148  r  82S   3.0851e+02   3.391e+01    0  28.210    1.19  21.1986 
OBS:  53627.148  i  82S   5.8817e+02   4.556e+01    0  27.880    1.22  20.5969 
OBS:  53634.141  g  82S   4.9706e+01   3.988e+01    0  28.560    2.02  23.6338 
OBS:  53634.141  r  82S   2.5969e+02   4.968e+01    0  28.230    2.06  21.6855 
OBS:  53634.141  i  82S   3.3944e+02   6.490e+01    0  27.930    2.10  21.0939 
DETECTION:  3 obs satisfy gr+ri+gi  at MJD_TRIGGER=53634.1410 
OBS:  53636.148  g  82S   2.2978e+01   1.332e+01    0  28.510    1.10  23.7642 
OBS:  53636.148  r  82S   1.9729e+02   2.210e+01    0  28.150    1.08  21.8254 
OBS:  53636.148  i  82S   3.4134e+02   3.527e+01    0  27.840    1.09  21.2359 
OBS:  53645.207  g  82S   1.8389e+01   1.436e+01    0  28.530    1.22  24.3682 
OBS:  53645.207  r  82S   1.2752e+02   2.418e+01    0  28.190    1.34  22.4397 
OBS:  53645.207  i  82S   2.1701e+02   3.490e+01    0  27.900    1.24  21.8979 
OBS:  53655.117  g  82S   4.0579e+01   2.436e+01    0  28.550    1.10  24.6485 
OBS:  53655.117  r  82S   6.0872e+01   2.974e+01    0  28.230    1.11  22.8097 
OBS:  53655.117  i  82S   1.1112e+02   4.019e+01    0  27.930    1.11  22.4157 
OBS:  53664.145  g  82S   2.7423e+01   2.550e+01    0  28.530    1.38  24.8569 
OBS:  53664.145  r  82S   6.3193e+01   3.280e+01    0  28.200    1.45  23.1021 
OBS:  53664.145  i  82S   1.1685e+02   4.591e+01    0  27.910    1.44  22.8088 
OBS:  53666.109  g  82S   1.6527e+01   1.280e+01    0  28.560    1.03  24.8917 
OBS:  53666.109  r  82S   5.8069e+01   2.257e+01    0  28.230    1.11  23.1538 
OBS:  53666.109  i  82S   6.1451e+01   3.754e+01    0  27.920    1.17  22.8628 
OBS:  53669.102  g  82S   6.3413e+00   1.266e+01    0  28.560    1.03  24.9542 
OBS:  53669.102  r  82S   5.9501e+01   2.188e+01    0  28.230    1.17  23.2324 
OBS:  53669.102  i  82S   5.9406e+01   3.434e+01    0  27.940    1.13  22.9465 
OBS:  53674.086  g  82S  -7.1798e+00   1.356e+01    0  28.510    1.23  25.0515 
OBS:  53674.086  r  82S   5.3452e+01   2.538e+01    0  28.200    1.39  23.3636 
OBS:  53674.086  i  82S   3.6819e+01   3.900e+01    0  27.900    1.35  23.0851 
OBS:  53676.176  g  82S  -5.2383e+00   1.435e+01    0  28.330    1.08  25.0917 
OBS:  53676.176  r  82S   6.6724e+01   6.125e+01    0  27.350    1.69  23.4175 
