SURVEY: SDSS   
SNID:   50442   
IAUC:    NULL 
PHOTOMETRY_VERSION: 91bg 
SNTYPE:  0 
FILTERS: gri 
RA:      -10.271520  deg 
DECL:    1.176124  deg 
PIXSIZE:  0.4000  arcsec 
CCDNUM: 0  
FAKE:    2   (=> simulated LC with snlc_sim.exe) 
MWEBV:       0.0540    MW E(B-V) 
MWEBV_ERR:   0.0086    error on MWEBV 
REDSHIFT_HELIO:   0.039991 +- 0.000500  (Helio, z_best) 
REDSHIFT_FINAL:   0.038713 +- 0.000500  (CMB) 
REDSHIFT_STATUS:  OK 

VPEC:         0.00  # v_pec correction
VPEC_ERR:     0.00  # error on above  
PEAKMJD:   53651.648 

HOSTGAL_OBJID:    -9  
HOSTGAL_PHOTOZ:   -9.0000  +- -9.0000 
HOSTGAL_SPECZ:    0.0000  +- 0.0000 
HOSTGAL_SNSEP:    -9.000    # arcsec 
 

SIM_MODEL_NAME:  SIMSED.91bg 
SIM_MODEL_INDEX:  7 
SIM_TYPE_INDEX:   0 
SIM_TYPE_NAME:    UNKNOWN 
SIM_NON1a:      0   (NONIA index) 
SIM_COMMENT:  SN Type = UNKNOWN , MODEL = SIMSED.91bg  
SIM_LIBID:  186  
SIM_NGEN_LIBID:  1  
SIM_NOBS_UNDEFINED:  0  
SIM_REDSHIFT_HELIO:  0.04057  
SIM_REDSHIFT_CMB:    0.03929  
SIM_REDSHIFT_HOST:   0.04057  
SIM_VPEC:  -0.0 (km/sec) 
SIM_HOSTLIB_NPAR: 0 
SIM_DLMU:      36.1967  mag   [ -5*log10(10pc/dL) ]
SIM_LENSDMU:   0.0000  mag 
SIM_RA:        -10.271520 deg  
SIM_DECL:      1.176124 deg  
SIM_MWRV:    3.100   (MilkyWay RV) 
SIM_MWEBV:   0.0557   (MilkyWay E(B-V)) 
SIMOPT_MWCOLORLAW:  94   (MW color-law option) 
SIMOPT_MWEBV:       1   (modify MWEBV_SFD)
SIM_MAGSMEAR_COH:    0.000  
SIM_GALFRAC:  -9.000 -9.000 -9.000  (gri F_gal/F_SNpeak for PSF=1'')
SIM_PEAKMAG:   18.88  17.93  17.87  (gri obs)
SIM_EXPOSURE:     1.0    1.0    1.0  (gri obs)
SIM_PEAKMJD:   53652.128906  days 
SIM_SALT2x0:   3.3213e-15   
SIM_SEARCHEFF_MASK:  3  (bits 1,2=> found by software,spec) 
SIM_SEARCHEFF_SPEC:  1.0000  (spectro-search efficiency (ignores pipelines)) 
SIM_TRESTMIN:   -16.22   days 
SIM_TRESTMAX:    50.03   days 
SIM_RISETIME_SHIFT:   0.0 days 
SIM_FALLTIME_SHIFT:   0.0 days 

SIMSED_NPAR: 2 
SIMSED_PARAM(stretch):  0.980505 
SIMSED_param(color):  0.538131 



# ============================================ 
# TERSE LIGHT CURVE OUTPUT: 
#
NOBS: 45 
NVAR: 9 
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR PHOTFLAG   ZPT  PSF  SIM_MAGOBS
OBS:  53635.250  g  82N  -5.8221e+01   4.039e+01    0  28.550    1.87  99.0000 
OBS:  53635.250  r  82N   1.1224e+01   3.444e+01    0  28.220    1.56  99.0000 
OBS:  53635.250  i  82N   2.6989e+01   4.708e+01    0  27.910    1.62  99.0000 
OBS:  53637.242  g  82N  -1.3007e+01   2.514e+01    0  28.480    1.67  99.0000 
OBS:  53637.242  r  82N   5.5280e+01   3.223e+01    0  28.170    1.64  99.0000 
OBS:  53637.242  i  82N   4.1568e+01   4.887e+01    0  27.860    1.64  99.0000 
OBS:  53644.234  g  82N   8.0368e+02   1.622e+01    0  28.520    1.12  20.2253 
OBS:  53644.234  r  82N   1.6566e+03   2.418e+01    0  28.200    1.10  19.4586 
OBS:  53644.234  i  82N   1.7580e+03   3.736e+01    0  27.920    1.21  19.3982 
OBS:  53654.270  g  82N   2.7135e+03   2.236e+01    0  28.450    1.01  18.9335 
OBS:  53654.270  r  82N   7.1979e+03   4.300e+01    0  28.060    1.26  17.8551 
OBS:  53654.270  i  82N   7.6939e+03   5.411e+01    0  27.820    1.22  17.7873 
OBS:  53656.219  g  82N   2.2293e+03   5.455e+01    0  28.530    1.93  19.1178 
OBS:  53656.219  r  82N   7.1004e+03   6.033e+01    0  28.210    1.88  17.8720 
OBS:  53656.219  i  82N   7.5623e+03   7.612e+01    0  27.910    1.86  17.8062 
DETECTION:  3 obs satisfy gr+ri+gi  at MJD_TRIGGER=53656.2190 
OBS:  53663.230  g  82N   8.6701e+02   2.507e+01    0  28.550    0.95  20.1662 
OBS:  53663.230  r  82N   4.4244e+03   3.454e+01    0  28.230    1.11  18.3814 
OBS:  53663.230  i  82N   5.4792e+03   4.814e+01    0  27.930    1.12  18.1581 
OBS:  53668.223  g  82N   6.1234e+02   1.720e+01    0  28.550    1.54  20.5156 
OBS:  53668.223  r  82N   3.1221e+03   3.434e+01    0  28.220    1.74  18.7626 
OBS:  53668.223  i  82N   3.9471e+03   5.408e+01    0  27.920    1.64  18.5162 
OBS:  53670.227  g  82N   5.2251e+02   1.579e+01    0  28.510    1.25  20.6577 
OBS:  53670.227  r  82N   2.7234e+03   2.813e+01    0  28.210    1.34  18.9170 
OBS:  53670.227  i  82N   3.4460e+03   4.390e+01    0  27.910    1.31  18.6631 
OBS:  53673.195  g  82N   4.4230e+02   1.584e+01    0  28.530    1.41  20.8654 
OBS:  53673.195  r  82N   2.1504e+03   2.827e+01    0  28.210    1.42  19.1437 
OBS:  53673.195  i  82N   2.7539e+03   4.329e+01    0  27.910    1.44  18.8756 
OBS:  53675.191  g  82N   3.8817e+02   1.774e+01    0  28.530    1.74  21.0099 
OBS:  53675.191  r  82N   1.8755e+03   3.173e+01    0  28.220    1.68  19.2961 
OBS:  53675.191  i  82N   2.4977e+03   5.564e+01    0  27.920    1.85  19.0190 
OBS:  53677.211  g  82N   3.6607e+02   1.590e+01    0  28.340    1.13  21.1501 
