SURVEY: SDSS   
SNID:   50598   
IAUC:    NULL 
PHOTOMETRY_VERSION: 91bg 
SNTYPE:  100 
FILTERS: gri 
RA:      -42.955338  deg 
DECL:    -0.523898  deg 
PIXSIZE:  0.4000  arcsec 
CCDNUM: 0  
FAKE:    2   (=> simulated LC with snlc_sim.exe) 
MWEBV:       0.0970    MW E(B-V) 
MWEBV_ERR:   0.0155    error on MWEBV 
REDSHIFT_HELIO:   0.113152 +- 0.000500  (Helio, z_best) 
REDSHIFT_FINAL:   0.111982 +- 0.000500  (CMB) 
REDSHIFT_STATUS:  from Host Galaxy (Unconfirmed SN)

VPEC:         0.00  # v_pec correction
VPEC_ERR:     0.00  # error on above  
PEAKMJD:   53694.035 

HOSTGAL_OBJID:    -9  
HOSTGAL_PHOTOZ:   -9.0000  +- -9.0000 
HOSTGAL_SPECZ:    0.0000  +- 0.0000 
HOSTGAL_SNSEP:    -9.000    # arcsec 
 

SIM_MODEL_NAME:  SIMSED.91bg 
SIM_MODEL_INDEX:  7 
SIM_TYPE_INDEX:   0 
SIM_TYPE_NAME:    UNKNOWN 
SIM_NON1a:      0   (NONIA index) 
SIM_COMMENT:  SN Type = UNKNOWN , MODEL = SIMSED.91bg  
SIM_LIBID:  650  
SIM_NGEN_LIBID:  1  
SIM_NOBS_UNDEFINED:  0  
SIM_REDSHIFT_HELIO:  0.11354  
SIM_REDSHIFT_CMB:    0.11237  
SIM_REDSHIFT_HOST:   0.11354  
SIM_VPEC:  0.0 (km/sec) 
SIM_HOSTLIB_NPAR: 0 
SIM_DLMU:      38.5886  mag   [ -5*log10(10pc/dL) ]
SIM_LENSDMU:   0.0000  mag 
SIM_RA:        -42.955338 deg  
SIM_DECL:      -0.523898 deg  
SIM_MWRV:    3.100   (MilkyWay RV) 
SIM_MWEBV:   0.0923   (MilkyWay E(B-V)) 
SIMOPT_MWCOLORLAW:  94   (MW color-law option) 
SIMOPT_MWEBV:       1   (modify MWEBV_SFD)
SIM_MAGSMEAR_COH:    0.000  
SIM_GALFRAC:  -9.000 -9.000 -9.000  (gri F_gal/F_SNpeak for PSF=1'')
SIM_PEAKMAG:   21.39  20.42  20.16  (gri obs)
SIM_EXPOSURE:     1.0    1.0    1.0  (gri obs)
SIM_PEAKMJD:   53693.488281  days 
SIM_SALT2x0:   3.6690e-16   
SIM_SEARCHEFF_MASK:  5  (bits 1,2=> found by software,spec) 
SIM_SEARCHEFF_SPEC:  0.2735  (spectro-search efficiency (ignores pipelines)) 
SIM_TRESTMIN:   -18.31   days 
SIM_TRESTMAX:     8.64   days 
SIM_RISETIME_SHIFT:   0.0 days 
SIM_FALLTIME_SHIFT:   0.0 days 

SIMSED_NPAR: 2 
SIMSED_PARAM(stretch):  0.838749 
SIMSED_param(color):  0.360937 



# ============================================ 
# TERSE LIGHT CURVE OUTPUT: 
#
NOBS: 27 
NVAR: 9 
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR PHOTFLAG   ZPT  PSF  SIM_MAGOBS
OBS:  53673.105  g  82N   1.0519e+01   1.436e+01    0  28.520    1.30  99.0000 
OBS:  53673.105  r  82N   1.6046e+01   2.330e+01    0  28.230    1.16  99.0000 
OBS:  53673.105  i  82N   4.3334e+01   3.469e+01    0  27.880    0.99  99.0000 
OBS:  53675.102  g  82N  -2.5524e+00   1.553e+01    0  28.520    1.52  99.0000 
OBS:  53675.102  r  82N  -1.6819e+00   2.508e+01    0  28.240    1.30  99.0000 
OBS:  53675.102  i  82N  -7.0641e+01   3.997e+01    0  27.900    1.28  99.0000 
OBS:  53677.121  g  82N   2.0121e+01   1.676e+01    0  28.340    1.43  99.0000 
OBS:  53677.121  r  82N   8.8388e-01   2.532e+01    0  28.160    1.30  99.0000 
OBS:  53677.121  i  82N  -4.2546e+01   3.681e+01    0  27.890    1.23  99.0000 
OBS:  53680.109  g  82N   1.6367e+01   1.471e+01    0  28.490    1.19  25.8473 
OBS:  53680.109  r  82N   2.8281e+01   2.172e+01    0  28.220    1.01  25.0894 
OBS:  53680.109  i  82N   2.6786e+01   3.363e+01    0  27.860    1.00  24.8404 
OBS:  53693.109  g  82N   2.9187e+02   3.701e+01    0  28.460    1.71  21.3895 
OBS:  53693.109  r  82N   6.1597e+02   3.814e+01    0  28.210    1.52  20.4413 
OBS:  53693.109  i  82N   8.1996e+02   4.792e+01    0  27.850    1.38  20.1779 
OBS:  53698.109  g  82N   2.1179e+02   1.727e+01    0  28.450    1.53  21.7205 
OBS:  53698.109  r  82N   6.7657e+02   2.537e+01    0  28.200    1.25  20.4067 
OBS:  53698.109  i  82N   8.6733e+02   3.945e+01    0  27.850    1.16  20.0832 
OBS:  53699.133  g  82N   1.4446e+02   1.781e+01    0  28.420    1.56  21.8745 
OBS:  53699.133  r  82N   6.2621e+02   3.170e+01    0  28.180    1.44  20.4589 
OBS:  53699.133  i  82N   9.4182e+02   4.632e+01    0  27.830    1.32  20.1236 
DETECTION:  3 obs satisfy gr+ri+gi  at MJD_TRIGGER=53699.1330 
OBS:  53702.105  g  82N   7.9649e+01   2.378e+01    0  28.440    2.26  22.3726 
OBS:  53702.105  r  82N   4.4677e+02   4.133e+01    0  28.190    2.28  20.7062 
OBS:  53702.105  i  82N   8.6061e+02   6.915e+01    0  27.840    2.08  20.2675 
OBS:  53703.113  g  82N   1.1297e+02   2.383e+01    0  28.430    2.24  22.5449 
OBS:  53703.113  r  82N   5.4148e+02   3.765e+01    0  28.180    2.00  20.8134 
OBS:  53703.113  i  82N   7.6096e+02   6.365e+01    0  27.840    2.08  20.3233 
END_PHOTOMETRY: 
