SURVEY: SDSS   
SNID:   124   
IAUC:    NULL 
PHOTOMETRY_VERSION: 91bg 
SNTYPE:  100 
FILTERS: ugriz 
RA:      -13.613051  deg 
DECL:    -1.026172  deg 
PIXSIZE:  0.4000  arcsec 
CCDNUM: 0  
FAKE:    2   (=> simulated LC with snlc_sim.exe) 
MWEBV:       0.0510    MW E(B-V) 
MWEBV_ERR:   0.0082    error on MWEBV 
REDSHIFT_HELIO:   0.123033 +- 0.000500  (Helio, z_best) 
REDSHIFT_FINAL:   0.121659 +- 0.000500  (CMB) 
REDSHIFT_STATUS:  from Host Galaxy (Unconfirmed SN)

VPEC:         0.00  # v_pec correction
VPEC_ERR:     0.00  # error on above  
PEAKMJD:   53680.066 

HOSTGAL_OBJID:    -9  
HOSTGAL_PHOTOZ:   -9.0000  +- -9.0000 
HOSTGAL_SPECZ:    0.0000  +- 0.0000 
HOSTGAL_SNSEP:    -9.000    # arcsec 
 

SIM_MODEL_NAME:  SIMSED.91BG 
SIM_MODEL_INDEX:  7 
SIM_TYPE_INDEX:   0 
SIM_TYPE_NAME:    UNKNOWN 
SIM_NON1a:      0   (NONIA index) 
SIM_COMMENT:  SN Type = UNKNOWN , MODEL = SIMSED.91BG  
SIM_LIBID:  330  
SIM_NGEN_LIBID:  1  
SIM_NOBS_UNDEFINED:  0  
SIM_REDSHIFT_HELIO:  0.12404  
SIM_REDSHIFT_CMB:    0.12267  
SIM_REDSHIFT_HOST:   0.12404  
SIM_VPEC:  -0.0 (km/sec) 
SIM_HOSTLIB_NPAR: 0 
SIM_DLMU:      38.7940  mag   [ -5*log10(10pc/dL) ]
SIM_LENSDMU:   0.0000  mag 
SIM_RA:        -13.613051 deg  
SIM_DECL:      -1.026172 deg  
SIM_MWRV:    3.100   (MilkyWay RV) 
SIM_MWEBV:   0.0696   (MilkyWay E(B-V)) 
SIMOPT_MWCOLORLAW:  94   (MW color-law option) 
SIMOPT_MWEBV:       1   (modify MWEBV_SFD)
SIM_MAGSMEAR_COH:    0.000  
SIM_GALFRAC:  -9.000 -9.000 -9.000 -9.000 -9.000  (ugriz F_gal/F_SNpeak for PSF=1'')
SIM_PEAKMAG:   23.97  21.80  20.65  20.34  20.56  (ugriz obs)
SIM_EXPOSURE:     1.0    1.0    1.0    1.0    1.0  (ugriz obs)
SIM_PEAKMJD:   53680.820312  days 
SIM_SALT2x0:   3.0368e-16   
SIM_SEARCHEFF_MASK:  5  (bits 1,2=> found by software,spec) 
SIM_SEARCHEFF_SPEC:  0.2443  (spectro-search efficiency (ignores pipelines)) 
SIM_TRESTMIN:   -11.22   days 
SIM_TRESTMAX:    20.78   days 
SIM_RISETIME_SHIFT:   0.0 days 
SIM_FALLTIME_SHIFT:   0.0 days 

SIMSED_NPAR: 2 
SIMSED_PARAM(stretch):  0.926674 
SIMSED_PARAM(color):  0.508777 



# ============================================ 
# TERSE LIGHT CURVE OUTPUT: 
#
NOBS: 45 
NVAR: 9 
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR PHOTFLAG   ZPT  PSF  SIM_MAGOBS
OBS:  53668.211  u  82N   1.9797e+01   5.605e+01    0  27.600    1.83  28.0557 
OBS:  53668.211  g  82N   2.5088e+01   2.166e+01    0  28.690    1.70  26.1367 
OBS:  53668.211  r  82N  -2.7580e+01   2.826e+01    0  28.260    1.56  25.2013 
OBS:  53668.211  i  82N   5.0748e+01   4.491e+01    0  27.920    1.50  24.9184 
OBS:  53668.211  z  82N   1.7587e+02   1.586e+02    0  26.260    1.62  25.1471 
OBS:  53670.219  u  82N   5.9864e+01   5.075e+01    0  27.570    1.73  26.3513 
OBS:  53670.219  g  82N   4.6806e+00   1.786e+01    0  28.650    1.33  24.4353 
OBS:  53670.219  r  82N   1.1053e+01   2.239e+01    0  28.240    1.10  23.5029 
OBS:  53670.219  i  82N   5.8782e+01   4.062e+01    0  27.900    1.37  23.2188 
OBS:  53670.219  z  82N  -8.1151e+01   1.163e+02    0  26.230    1.30  23.4473 
OBS:  53673.184  u  82N  -1.0953e+01   4.510e+01    0  27.610    1.48  24.6262 
OBS:  53673.184  g  82N   7.1186e+01   1.774e+01    0  28.670    1.35  22.9407 
OBS:  53673.184  r  82N   1.1049e+02   2.329e+01    0  28.250    1.26  22.0131 
OBS:  53673.184  i  82N   1.5092e+02   3.518e+01    0  27.900    1.11  21.7270 
OBS:  53673.184  z  82N   1.1511e+02   1.040e+02    0  26.240    1.18  21.9557 
OBS:  53675.184  u  82N   1.5414e+01   4.646e+01    0  27.620    1.59  24.1951 
OBS:  53675.184  g  82N   1.0223e+02   1.835e+01    0  28.670    1.38  22.2702 
OBS:  53675.184  r  82N   2.4021e+02   2.592e+01    0  28.260    1.35  21.3367 
OBS:  53675.184  i  82N   4.3465e+02   4.074e+01    0  27.910    1.32  21.0559 
OBS:  53675.184  z  82N   3.8985e+02   1.280e+02    0  26.260    1.40  21.2591 
OBS:  53677.203  u  82N   5.8412e+01   3.827e+01    0  27.770    1.31  23.9576 
OBS:  53677.203  g  82N   1.6232e+02   1.679e+01    0  28.660    1.09  21.9800 
OBS:  53677.203  r  82N   3.8363e+02   2.213e+01    0  28.250    1.03  20.9890 
OBS:  53677.203  i  82N   5.3662e+02   3.195e+01    0  27.910    0.88  20.7107 
OBS:  53677.203  z  82N   4.1610e+02   9.514e+01    0  26.250    1.07  20.8975 
DETECTION:  3 obs satisfy gr+ri+gi  at MJD_TRIGGER=53677.2030 
OBS:  53680.191  u  82N  -4.0942e+00   4.899e+01    0  27.570    1.64  23.9219 
OBS:  53680.191  g  82N   2.2311e+02   1.945e+01    0  28.680    1.45  21.7982 
OBS:  53680.191  r  82N   4.9947e+02   2.611e+01    0  28.250    1.41  20.6816 
OBS:  53680.191  i  82N   7.2677e+02   3.989e+01    0  27.910    1.35  20.3811 
OBS:  53680.191  z  82N   6.0493e+02   1.095e+02    0  26.260    1.34  20.5947 
OBS:  53693.191  u  82N   7.9653e+01   8.463e+01    0  27.490    1.49  25.6340 
OBS:  53693.191  g  82N  -3.5886e+01   3.861e+01    0  28.650    1.54  23.3398 
