SURVEY: SDSS   
SNID:   354   
IAUC:    NULL 
PHOTOMETRY_VERSION: 91bg 
SNTYPE:  100 
FILTERS: ugriz 
RA:      26.338177  deg 
DECL:    -0.590697  deg 
PIXSIZE:  0.4000  arcsec 
CCDNUM: 0  
FAKE:    2   (=> simulated LC with snlc_sim.exe) 
MWEBV:       0.0320    MW E(B-V) 
MWEBV_ERR:   0.0051    error on MWEBV 
REDSHIFT_HELIO:   0.100665 +- 0.000500  (Helio, z_best) 
REDSHIFT_FINAL:   0.099607 +- 0.000500  (CMB) 
REDSHIFT_STATUS:  from Host Galaxy (Unconfirmed SN)

VPEC:         0.00  # v_pec correction
VPEC_ERR:     0.00  # error on above  
PEAKMJD:   53703.582 

HOSTGAL_OBJID:    -9  
HOSTGAL_PHOTOZ:   -9.0000  +- -9.0000 
HOSTGAL_SPECZ:    0.0000  +- 0.0000 
HOSTGAL_SNSEP:    -9.000    # arcsec 
 

SIM_MODEL_NAME:  SIMSED.91BG 
SIM_MODEL_INDEX:  7 
SIM_TYPE_INDEX:   0 
SIM_TYPE_NAME:    UNKNOWN 
SIM_NON1a:      0   (NONIA index) 
SIM_COMMENT:  SN Type = UNKNOWN , MODEL = SIMSED.91BG  
SIM_LIBID:  970  
SIM_NGEN_LIBID:  1  
SIM_NOBS_UNDEFINED:  0  
SIM_REDSHIFT_HELIO:  0.10083  
SIM_REDSHIFT_CMB:    0.09977  
SIM_REDSHIFT_HOST:   0.10083  
SIM_VPEC:  0.0 (km/sec) 
SIM_HOSTLIB_NPAR: 0 
SIM_DLMU:      38.3120  mag   [ -5*log10(10pc/dL) ]
SIM_LENSDMU:   0.0000  mag 
SIM_RA:        26.338177 deg  
SIM_DECL:      -0.590697 deg  
SIM_MWRV:    3.100   (MilkyWay RV) 
SIM_MWEBV:   0.0354   (MilkyWay E(B-V)) 
SIMOPT_MWCOLORLAW:  94   (MW color-law option) 
SIMOPT_MWEBV:       1   (modify MWEBV_SFD)
SIM_MAGSMEAR_COH:    0.000  
SIM_GALFRAC:  -9.000 -9.000 -9.000 -9.000 -9.000  (ugriz F_gal/F_SNpeak for PSF=1'')
SIM_PEAKMAG:   22.50  20.62  19.71  19.49  19.80  (ugriz obs)
SIM_EXPOSURE:     1.0    1.0    1.0    1.0    1.0  (ugriz obs)
SIM_PEAKMJD:   53702.402344  days 
SIM_SALT2x0:   4.7337e-16   
SIM_SEARCHEFF_MASK:  5  (bits 1,2=> found by software,spec) 
SIM_SEARCHEFF_SPEC:  0.4418  (spectro-search efficiency (ignores pipelines)) 
SIM_TRESTMIN:   -14.63   days 
SIM_TRESTMAX:     1.71   days 
SIM_RISETIME_SHIFT:   0.0 days 
SIM_FALLTIME_SHIFT:   0.0 days 

SIMSED_NPAR: 2 
SIMSED_PARAM(stretch):  1.213641 
SIMSED_PARAM(color):  0.401632 



# ============================================ 
# TERSE LIGHT CURVE OUTPUT: 
#
NOBS: 25 
NVAR: 9 
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR PHOTFLAG   ZPT  PSF  SIM_MAGOBS
OBS:  53686.301  u  82N   6.3572e+01   1.241e+02    0  27.330    1.88  26.5986 
OBS:  53686.301  g  82N   7.7165e+01   5.738e+01    0  28.480    1.91  25.0227 
OBS:  53686.301  r  82N  -3.0140e+01   4.971e+01    0  28.220    1.64  24.3259 
OBS:  53686.301  i  82N  -3.2088e+01   5.612e+01    0  27.850    1.52  24.1148 
OBS:  53686.301  z  82N   6.6154e+01   1.431e+02    0  26.230    1.52  24.4272 
OBS:  53687.355  u  82N  -9.7492e+01   1.491e+02    0  27.140    1.54  25.8077 
OBS:  53687.355  g  82N   3.3325e+01   5.924e+01    0  28.420    1.30  24.0849 
OBS:  53687.355  r  82N   2.6171e+01   6.366e+01    0  28.180    1.43  23.3895 
OBS:  53687.355  i  82N   2.7610e+01   7.369e+01    0  27.830    1.45  23.1797 
OBS:  53687.355  z  82N  -3.8996e+01   1.684e+02    0  26.210    1.35  23.4914 
OBS:  53693.301  u  82N   8.1593e+01   1.035e+02    0  27.290    1.61  23.0606 
OBS:  53693.301  g  82N   1.5770e+02   3.790e+01    0  28.470    1.54  21.5765 
OBS:  53693.301  r  82N   4.5932e+02   3.596e+01    0  28.210    1.37  20.8836 
OBS:  53693.301  i  82N   5.6487e+02   4.326e+01    0  27.850    1.15  20.6723 
OBS:  53693.301  z  82N   2.9854e+02   1.296e+02    0  26.220    1.39  20.9860 
OBS:  53698.301  u  82N  -7.3588e-01   5.809e+01    0  27.180    1.49  22.5017 
OBS:  53698.301  g  82N   4.9210e+02   2.288e+01    0  28.130    1.39  20.7751 
OBS:  53698.301  r  82N   9.5351e+02   2.495e+01    0  28.170    0.96  20.0182 
OBS:  53698.301  i  82N   1.2045e+03   3.813e+01    0  27.810    0.99  19.8088 
OBS:  53698.301  z  82N   8.3692e+02   1.168e+02    0  26.150    1.10  20.0796 
OBS:  53704.285  u  82N   3.2206e+01   6.260e+01    0  27.280    1.78  22.6372 
OBS:  53704.285  g  82N   5.4036e+02   1.851e+01    0  28.460    1.64  20.6572 
OBS:  53704.285  r  82N   1.3257e+03   3.128e+01    0  28.200    1.57  19.6594 
OBS:  53704.285  i  82N   1.7791e+03   4.659e+01    0  27.860    1.46  19.4206 
OBS:  53704.285  z  82N   1.1304e+03   1.375e+02    0  26.210    1.50  19.7435 
END_PHOTOMETRY: 
