SURVEY: SDSS   
SNID:   529   
IAUC:    NULL 
PHOTOMETRY_VERSION: 91bg 
SNTYPE:  100 
FILTERS: ugriz 
RA:      -38.970093  deg 
DECL:    0.199398  deg 
PIXSIZE:  0.4000  arcsec 
CCDNUM: 0  
FAKE:    2   (=> simulated LC with snlc_sim.exe) 
MWEBV:       0.0550    MW E(B-V) 
MWEBV_ERR:   0.0088    error on MWEBV 
REDSHIFT_HELIO:   0.117759 +- 0.000500  (Helio, z_best) 
REDSHIFT_FINAL:   0.116536 +- 0.000500  (CMB) 
REDSHIFT_STATUS:  from Host Galaxy (Unconfirmed SN)

VPEC:         0.00  # v_pec correction
VPEC_ERR:     0.00  # error on above  
PEAKMJD:   53696.336 

HOSTGAL_OBJID:    -9  
HOSTGAL_PHOTOZ:   -9.0000  +- -9.0000 
HOSTGAL_SPECZ:    0.0000  +- 0.0000 
HOSTGAL_SNSEP:    -9.000    # arcsec 
 

SIM_MODEL_NAME:  SIMSED.91BG 
SIM_MODEL_INDEX:  7 
SIM_TYPE_INDEX:   0 
SIM_TYPE_NAME:    UNKNOWN 
SIM_NON1a:      0   (NONIA index) 
SIM_COMMENT:  SN Type = UNKNOWN , MODEL = SIMSED.91BG  
SIM_LIBID:  467  
SIM_NGEN_LIBID:  1  
SIM_NOBS_UNDEFINED:  0  
SIM_REDSHIFT_HELIO:  0.11751  
SIM_REDSHIFT_CMB:    0.11628  
SIM_REDSHIFT_HOST:   0.11751  
SIM_VPEC:  0.0 (km/sec) 
SIM_HOSTLIB_NPAR: 0 
SIM_DLMU:      38.6686  mag   [ -5*log10(10pc/dL) ]
SIM_LENSDMU:   0.0000  mag 
SIM_RA:        -38.970093 deg  
SIM_DECL:      0.199398 deg  
SIM_MWRV:    3.100   (MilkyWay RV) 
SIM_MWEBV:   0.0656   (MilkyWay E(B-V)) 
SIMOPT_MWCOLORLAW:  94   (MW color-law option) 
SIMOPT_MWEBV:       1   (modify MWEBV_SFD)
SIM_MAGSMEAR_COH:    0.000  
SIM_GALFRAC:  -9.000 -9.000 -9.000 -9.000 -9.000  (ugriz F_gal/F_SNpeak for PSF=1'')
SIM_PEAKMAG:   23.98  21.81  20.62  20.30  20.52  (ugriz obs)
SIM_EXPOSURE:     1.0    1.0    1.0    1.0    1.0  (ugriz obs)
SIM_PEAKMJD:   53697.875000  days 
SIM_SALT2x0:   3.4084e-16   
SIM_SEARCHEFF_MASK:  5  (bits 1,2=> found by software,spec) 
SIM_SEARCHEFF_SPEC:  0.2475  (spectro-search efficiency (ignores pipelines)) 
SIM_TRESTMIN:   -14.95   days 
SIM_TRESTMAX:     6.47   days 
SIM_RISETIME_SHIFT:   0.0 days 
SIM_FALLTIME_SHIFT:   0.0 days 

SIMSED_NPAR: 2 
SIMSED_PARAM(stretch):  0.857939 
SIMSED_PARAM(color):  0.577672 



# ============================================ 
# TERSE LIGHT CURVE OUTPUT: 
#
NOBS: 30 
NVAR: 9 
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR PHOTFLAG   ZPT  PSF  SIM_MAGOBS
OBS:  53681.164  u  82S   8.7291e+00   4.721e+01    0  27.270    1.10  99.0000 
OBS:  53681.164  g  82S   9.3375e+00   1.483e+01    0  28.510    1.07  99.0000 
OBS:  53681.164  r  82S   2.5569e+01   2.130e+01    0  28.170    0.91  99.0000 
OBS:  53681.164  i  82S  -2.0577e+01   3.404e+01    0  27.950    0.85  99.0000 
OBS:  53681.164  z  82S   1.1166e+02   1.132e+02    0  26.080    0.87  99.0000 
OBS:  53685.121  u  82S   1.7377e+01   9.111e+01    0  27.350    1.31  99.0000 
OBS:  53685.121  g  82S  -3.0782e+01   4.050e+01    0  28.530    1.13  99.0000 
OBS:  53685.121  r  82S  -2.8527e+01   4.179e+01    0  28.180    1.08  99.0000 
OBS:  53685.121  i  82S  -5.7305e+01   5.129e+01    0  27.960    0.95  99.0000 
OBS:  53685.121  z  82S  -1.7573e+00   1.626e+02    0  26.090    1.05  99.0000 
OBS:  53687.160  u  82S   4.5335e+01   1.413e+02    0  27.230    1.54  27.1621 
OBS:  53687.160  g  82S  -3.9767e+01   4.327e+01    0  28.490    1.38  25.1939 
OBS:  53687.160  r  82S   1.0698e+01   4.040e+01    0  28.160    1.14  24.2140 
OBS:  53687.160  i  82S   2.8842e+01   4.939e+01    0  27.950    1.24  23.9205 
OBS:  53687.160  z  82S  -1.4351e+02   1.525e+02    0  26.080    1.08  24.1417 
OBS:  53697.121  u  82S   1.0156e+02   5.832e+01    0  27.270    1.55  23.9313 
OBS:  53697.121  g  82S   2.0498e+02   1.551e+01    0  28.510    1.10  21.8146 
OBS:  53697.121  r  82S   4.7571e+02   2.829e+01    0  28.170    1.10  20.6654 
OBS:  53697.121  i  82S   7.3530e+02   3.943e+01    0  27.950    1.09  20.3592 
OBS:  53697.121  z  82S   6.1759e+02   1.386e+02    0  26.080    1.01  20.5641 
OBS:  53700.117  u  82S   3.3010e+00   1.013e+02    0  26.720    1.82  24.2674 
OBS:  53700.117  g  82S   1.9879e+02   1.886e+01    0  28.470    1.72  21.9285 
OBS:  53700.117  r  82S   5.8639e+02   3.254e+01    0  28.050    1.50  20.5560 
OBS:  53700.117  i  82S   8.8875e+02   4.926e+01    0  27.850    1.43  20.2159 
OBS:  53700.117  z  82S   5.1635e+02   2.101e+02    0  25.990    1.51  20.4355 
