SURVEY: SDSS   
SNID:   698   
IAUC:    NULL 
PHOTOMETRY_VERSION: 91bg 
SNTYPE:  100 
FILTERS: ugriz 
RA:      -49.798141  deg 
DECL:    -0.341693  deg 
PIXSIZE:  0.4000  arcsec 
CCDNUM: 0  
FAKE:    2   (=> simulated LC with snlc_sim.exe) 
MWEBV:       0.0590    MW E(B-V) 
MWEBV_ERR:   0.0094    error on MWEBV 
REDSHIFT_HELIO:   0.152650 +- 0.000500  (Helio, z_best) 
REDSHIFT_FINAL:   0.151534 +- 0.000500  (CMB) 
REDSHIFT_STATUS:  from Host Galaxy (Unconfirmed SN)

VPEC:         0.00  # v_pec correction
VPEC_ERR:     0.00  # error on above  
PEAKMJD:   53689.016 

HOSTGAL_OBJID:    -9  
HOSTGAL_PHOTOZ:   -9.0000  +- -9.0000 
HOSTGAL_SPECZ:    0.0000  +- 0.0000 
HOSTGAL_SNSEP:    -9.000    # arcsec 
 

SIM_MODEL_NAME:  SIMSED.91BG 
SIM_MODEL_INDEX:  7 
SIM_TYPE_INDEX:   0 
SIM_TYPE_NAME:    UNKNOWN 
SIM_NON1a:      0   (NONIA index) 
SIM_COMMENT:  SN Type = UNKNOWN , MODEL = SIMSED.91BG  
SIM_LIBID:  16  
SIM_NGEN_LIBID:  1  
SIM_NOBS_UNDEFINED:  0  
SIM_REDSHIFT_HELIO:  0.15270  
SIM_REDSHIFT_CMB:    0.15158  
SIM_REDSHIFT_HOST:   0.15270  
SIM_VPEC:  -0.0 (km/sec) 
SIM_HOSTLIB_NPAR: 0 
SIM_DLMU:      39.2930  mag   [ -5*log10(10pc/dL) ]
SIM_LENSDMU:   0.0000  mag 
SIM_RA:        -49.798141 deg  
SIM_DECL:      -0.341693 deg  
SIM_MWRV:    3.100   (MilkyWay RV) 
SIM_MWEBV:   0.0503   (MilkyWay E(B-V)) 
SIMOPT_MWCOLORLAW:  94   (MW color-law option) 
SIMOPT_MWEBV:       1   (modify MWEBV_SFD)
SIM_MAGSMEAR_COH:    0.000  
SIM_GALFRAC:  -9.000 -9.000 -9.000 -9.000 -9.000  (ugriz F_gal/F_SNpeak for PSF=1'')
SIM_PEAKMAG:   24.67  22.38  21.14  20.78  20.96  (ugriz obs)
SIM_EXPOSURE:     1.0    1.0    1.0    1.0    1.0  (ugriz obs)
SIM_PEAKMJD:   53690.347656  days 
SIM_SALT2x0:   1.9178e-16   
SIM_SEARCHEFF_MASK:  5  (bits 1,2=> found by software,spec) 
SIM_SEARCHEFF_SPEC:  0.1965  (spectro-search efficiency (ignores pipelines)) 
SIM_TRESTMIN:   -14.11   days 
SIM_TRESTMAX:     8.45   days 
SIM_RISETIME_SHIFT:   0.0 days 
SIM_FALLTIME_SHIFT:   0.0 days 

SIMSED_NPAR: 2 
SIMSED_PARAM(stretch):  0.952134 
SIMSED_PARAM(color):  0.518741 



# ============================================ 
# TERSE LIGHT CURVE OUTPUT: 
#
NOBS: 30 
NVAR: 9 
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR PHOTFLAG   ZPT  PSF  SIM_MAGOBS
OBS:  53674.082  u  82S   1.5701e+00   3.880e+01    0  27.610    1.20  99.0000 
OBS:  53674.082  g  82S   2.0226e+00   1.373e+01    0  28.530    1.20  99.0000 
OBS:  53674.082  r  82S  -2.4718e+01   2.358e+01    0  28.230    1.12  99.0000 
OBS:  53674.082  i  82S   2.6336e+01   3.352e+01    0  27.960    0.97  99.0000 
OBS:  53674.082  z  82S   4.3240e+01   1.059e+02    0  26.070    0.96  99.0000 
OBS:  53681.133  u  82S   6.0462e+01   4.442e+01    0  27.340    1.08  25.6814 
OBS:  53681.133  g  82S   3.0381e+01   1.712e+01    0  28.520    1.03  23.9728 
OBS:  53681.133  r  82S   6.9842e+01   4.729e+01    0  28.230    0.87  23.0110 
OBS:  53681.133  i  82S   1.6574e+02   5.991e+01    0  27.950    0.79  22.6848 
OBS:  53681.133  z  82S   1.9188e+02   1.029e+02    0  26.110    0.83  22.8664 
OBS:  53685.094  u  82S  -4.5917e+01   1.203e+02    0  27.420    1.82  24.7563 
OBS:  53685.094  g  82S  -6.2936e+00   7.144e+01    0  28.550    1.78  22.6704 
OBS:  53685.094  r  82S   3.4039e+02   4.957e+01    0  28.250    1.55  21.6823 
