SURVEY: SDSS   
SNID:   50010   
IAUC:    NULL 
PHOTOMETRY_VERSION: 91bg 
SNTYPE:  100 
FILTERS: gri 
RA:      35.879990  deg 
DECL:    -0.944552  deg 
PIXSIZE:  0.4000  arcsec 
CCDNUM: 0  
FAKE:    2   (=> simulated LC with snlc_sim.exe) 
MWEBV:       0.0340    MW E(B-V) 
MWEBV_ERR:   0.0054    error on MWEBV 
REDSHIFT_HELIO:   0.172566 +- 0.000500  (Helio, z_best) 
REDSHIFT_FINAL:   0.171604 +- 0.000500  (CMB) 
REDSHIFT_STATUS:  from Host Galaxy (Unconfirmed SN)

VPEC:         0.00  # v_pec correction
VPEC_ERR:     0.00  # error on above  
PEAKMJD:   53669.223 

HOSTGAL_OBJID:    -9  
HOSTGAL_PHOTOZ:   -9.0000  +- -9.0000 
HOSTGAL_SPECZ:    0.0000  +- 0.0000 
HOSTGAL_SNSEP:    -9.000    # arcsec 
 

SIM_MODEL_NAME:  SIMSED.91bg 
SIM_MODEL_INDEX:  7 
SIM_TYPE_INDEX:   0 
SIM_TYPE_NAME:    UNKNOWN 
SIM_NON1a:      0   (NONIA index) 
SIM_COMMENT:  SN Type = UNKNOWN , MODEL = SIMSED.91bg  
SIM_LIBID:  32  
SIM_NGEN_LIBID:  1  
SIM_NOBS_UNDEFINED:  0  
SIM_REDSHIFT_HELIO:  0.17239  
SIM_REDSHIFT_CMB:    0.17143  
SIM_REDSHIFT_HOST:   0.17239  
SIM_VPEC:  0.0 (km/sec) 
SIM_HOSTLIB_NPAR: 0 
SIM_DLMU:      39.5864  mag   [ -5*log10(10pc/dL) ]
SIM_LENSDMU:   0.0000  mag 
SIM_RA:        35.879990 deg  
SIM_DECL:      -0.944552 deg  
SIM_MWRV:    3.100   (MilkyWay RV) 
SIM_MWEBV:   0.0347   (MilkyWay E(B-V)) 
SIMOPT_MWCOLORLAW:  94   (MW color-law option) 
SIMOPT_MWEBV:       1   (modify MWEBV_SFD)
SIM_MAGSMEAR_COH:    0.000  
SIM_GALFRAC:  -9.000 -9.000 -9.000  (gri F_gal/F_SNpeak for PSF=1'')
SIM_PEAKMAG:   22.60  21.38  21.01  (gri obs)
SIM_EXPOSURE:     1.0    1.0    1.0  (gri obs)
SIM_PEAKMJD:   53668.433594  days 
SIM_SALT2x0:   1.4636e-16   
SIM_SEARCHEFF_MASK:  5  (bits 1,2=> found by software,spec) 
SIM_SEARCHEFF_SPEC:  0.1812  (spectro-search efficiency (ignores pipelines)) 
SIM_TRESTMIN:    -9.43   days 
SIM_TRESTMAX:    30.60   days 
SIM_RISETIME_SHIFT:   0.0 days 
SIM_FALLTIME_SHIFT:   0.0 days 

SIMSED_NPAR: 2 
SIMSED_PARAM(stretch):  0.904216 
SIMSED_param(color):  0.442770 



# ============================================ 
# TERSE LIGHT CURVE OUTPUT: 
#
NOBS: 54 
NVAR: 9 
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR PHOTFLAG   ZPT  PSF  SIM_MAGOBS
OBS:  53657.375  g  82N  -9.2351e+01   4.734e+01    0  28.670    2.02  24.7489 
OBS:  53657.375  r  82N   3.4866e+01   4.495e+01    0  28.250    1.76  23.8388 
OBS:  53657.375  i  82N  -1.4356e+01   5.705e+01    0  27.890    1.70  23.5070 
OBS:  53663.359  g  82N   1.1215e+02   3.254e+01    0  28.710    1.03  22.7945 
OBS:  53663.359  r  82N   1.4099e+02   2.965e+01    0  28.280    0.88  21.8379 
OBS:  53663.359  i  82N   3.1019e+02   4.039e+01    0  27.930    0.95  21.5177 
OBS:  53665.340  g  82N   2.4290e+02   8.845e+01    0  28.370    1.53  22.6388 
OBS:  53665.340  r  82N   1.8095e+02   6.358e+01    0  28.120    1.25  21.6004 
OBS:  53665.340  i  82N   3.8718e+02   4.232e+01    0  27.890    1.13  21.2634 
OBS:  53666.430  g  82N   7.4074e+01   3.668e+01    0  28.580    1.44  22.5954 
OBS:  53666.430  r  82N   2.7501e+02   2.930e+01    0  28.210    1.06  21.5091 
OBS:  53666.430  i  82N   3.5222e+02   3.816e+01    0  27.870    0.95  21.1505 
OBS:  53668.348  g  82N   1.0638e+02   2.419e+01    0  28.700    1.60  22.5943 
OBS:  53668.348  r  82N   3.0164e+02   2.933e+01    0  28.270    1.54  21.3841 
OBS:  53668.348  i  82N   3.9030e+02   4.511e+01    0  27.930    1.56  21.0143 
DETECTION:  3 obs satisfy gr+ri+gi  at MJD_TRIGGER=53668.3480 
OBS:  53669.438  g  82N   6.6243e+01   2.725e+01    0  28.520    1.46  22.6447 
OBS:  53669.438  r  82N   2.7960e+02   3.291e+01    0  28.170    1.52  21.3502 
OBS:  53669.438  i  82N   3.5811e+02   4.744e+01    0  27.850    1.49  20.9702 
OBS:  53670.355  g  82N   5.7031e+01   2.455e+01    0  28.650    1.75  22.6905 
OBS:  53670.355  r  82N   2.7942e+02   2.839e+01    0  28.240    1.60  21.3272 
OBS:  53670.355  i  82N   3.5695e+02   4.142e+01    0  27.890    1.43  20.9418 
OBS:  53673.324  g  82N   5.2189e+01   1.616e+01    0  28.680    1.08  23.0128 
OBS:  53673.324  r  82N   2.8237e+02   2.057e+01    0  28.260    0.90  21.3946 
OBS:  53673.324  i  82N   4.2227e+02   3.149e+01    0  27.900    0.90  20.9555 
OBS:  53675.320  g  82N   4.0930e+01   1.745e+01    0  28.690    1.29  23.3339 
OBS:  53675.320  r  82N   2.8514e+02   2.401e+01    0  28.260    1.16  21.5444 
OBS:  53675.320  i  82N   3.8774e+02   3.567e+01    0  27.920    1.04  21.0205 
OBS:  53677.340  g  82N   4.1495e+01   1.564e+01    0  28.650    1.03  23.6848 
OBS:  53677.340  r  82N   2.0078e+02   2.040e+01    0  28.240    0.91  21.7266 
OBS:  53677.340  i  82N   2.7747e+02   3.014e+01    0  27.900    0.82  21.1490 
OBS:  53680.328  g  82N   2.9257e+01   1.708e+01    0  28.680    1.22  24.1326 
OBS:  53680.328  r  82N   1.8721e+02   2.318e+01    0  28.250    1.08  22.0367 
