SURVEY: SDSS   
SNID:   50033   
IAUC:    NULL 
PHOTOMETRY_VERSION: 91bg 
SNTYPE:  0 
FILTERS: gri 
RA:      33.652061  deg 
DECL:    0.313612  deg 
PIXSIZE:  0.4000  arcsec 
CCDNUM: 0  
FAKE:    2   (=> simulated LC with snlc_sim.exe) 
MWEBV:       0.0380    MW E(B-V) 
MWEBV_ERR:   0.0061    error on MWEBV 
REDSHIFT_HELIO:   0.107844 +- 0.000500  (Helio, z_best) 
REDSHIFT_FINAL:   0.106892 +- 0.000500  (CMB) 
REDSHIFT_STATUS:  OK 

VPEC:         0.00  # v_pec correction
VPEC_ERR:     0.00  # error on above  
PEAKMJD:   53666.938 

HOSTGAL_OBJID:    -9  
HOSTGAL_PHOTOZ:   -9.0000  +- -9.0000 
HOSTGAL_SPECZ:    0.0000  +- 0.0000 
HOSTGAL_SNSEP:    -9.000    # arcsec 
 

SIM_MODEL_NAME:  SIMSED.91bg 
SIM_MODEL_INDEX:  7 
SIM_TYPE_INDEX:   0 
SIM_TYPE_NAME:    UNKNOWN 
SIM_NON1a:      0   (NONIA index) 
SIM_COMMENT:  SN Type = UNKNOWN , MODEL = SIMSED.91bg  
SIM_LIBID:  83  
SIM_NGEN_LIBID:  1  
SIM_NOBS_UNDEFINED:  0  
SIM_REDSHIFT_HELIO:  0.10797  
SIM_REDSHIFT_CMB:    0.10702  
SIM_REDSHIFT_HOST:   0.10797  
SIM_VPEC:  0.0 (km/sec) 
SIM_HOSTLIB_NPAR: 0 
SIM_DLMU:      38.4746  mag   [ -5*log10(10pc/dL) ]
SIM_LENSDMU:   0.0000  mag 
SIM_RA:        33.652061 deg  
SIM_DECL:      0.313612 deg  
SIM_MWRV:    3.100   (MilkyWay RV) 
SIM_MWEBV:   0.0287   (MilkyWay E(B-V)) 
SIMOPT_MWCOLORLAW:  94   (MW color-law option) 
SIMOPT_MWEBV:       1   (modify MWEBV_SFD)
SIM_MAGSMEAR_COH:    0.000  
SIM_GALFRAC:  -9.000 -9.000 -9.000  (gri F_gal/F_SNpeak for PSF=1'')
SIM_PEAKMAG:   21.14  20.16  19.91  (gri obs)
SIM_EXPOSURE:     1.0    1.0    1.0  (gri obs)
SIM_PEAKMJD:   53667.859375  days 
SIM_SALT2x0:   4.0752e-16   
SIM_SEARCHEFF_MASK:  3  (bits 1,2=> found by software,spec) 
SIM_SEARCHEFF_SPEC:  0.3195  (spectro-search efficiency (ignores pipelines)) 
SIM_TRESTMIN:    -9.47   days 
SIM_TRESTMAX:    32.89   days 
SIM_RISETIME_SHIFT:   0.0 days 
SIM_FALLTIME_SHIFT:   0.0 days 

SIMSED_NPAR: 2 
SIMSED_PARAM(stretch):  0.906764 
SIMSED_param(color):  0.445955 



# ============================================ 
# TERSE LIGHT CURVE OUTPUT: 
#
NOBS: 48 
NVAR: 9 
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR PHOTFLAG   ZPT  PSF  SIM_MAGOBS
OBS:  53657.367  g  82N   1.0167e+02   3.967e+01    0  28.550    1.76  23.4369 
OBS:  53657.367  r  82N   4.1430e+01   4.181e+01    0  28.210    1.63  22.6640 
OBS:  53657.367  i  82N   1.5615e+02   5.202e+01    0  27.980    1.60  22.4332 
OBS:  53663.352  g  82N   3.2102e+02   2.781e+01    0  28.600    0.94  21.4112 
OBS:  53663.352  r  82N   5.4110e+02   2.953e+01    0  28.240    0.89  20.6070 
OBS:  53663.352  i  82N   7.5014e+02   3.603e+01    0  28.010    0.80  20.3770 
OBS:  53665.332  g  82N   3.2480e+02   2.717e+01    0  28.550    1.35  21.2273 
OBS:  53665.332  r  82N   7.3186e+02   3.962e+01    0  28.000    0.91  20.3581 
OBS:  53665.332  i  82N   7.6514e+02   5.441e+01    0  27.920    0.87  20.1211 
OBS:  53666.422  g  82N   3.3850e+02   2.534e+01    0  28.480    1.15  21.1581 
OBS:  53666.422  r  82N   8.0646e+02   2.937e+01    0  28.180    1.08  20.2499 
OBS:  53666.422  i  82N   9.0839e+02   3.821e+01    0  27.950    0.98  20.0128 
DETECTION:  3 obs satisfy gr+ri+gi  at MJD_TRIGGER=53666.4220 
OBS:  53668.344  g  82N   3.0466e+02   2.164e+01    0  28.590    1.66  21.1471 
OBS:  53668.344  r  82N   8.9138e+02   3.004e+01    0  28.230    1.57  20.1356 
OBS:  53668.344  i  82N   1.0662e+03   4.147e+01    0  28.010    1.42  19.8843 
OBS:  53669.430  g  82N   3.4618e+02   2.332e+01    0  28.420    1.49  21.1839 
OBS:  53669.430  r  82N   8.8894e+02   3.174e+01    0  28.140    1.49  20.1029 
OBS:  53669.430  i  82N   1.1759e+03   4.415e+01    0  27.930    1.37  19.8421 
OBS:  53670.348  g  82N   3.1867e+02   1.828e+01    0  28.540    1.66  21.2348 
OBS:  53670.348  r  82N   9.2168e+02   2.727e+01    0  28.190    1.50  20.0903 
OBS:  53670.348  i  82N   1.1524e+03   4.204e+01    0  27.980    1.52  19.8174 
OBS:  53673.316  g  82N   2.1855e+02   1.372e+01    0  28.560    0.96  21.5944 
OBS:  53673.316  r  82N   8.9176e+02   2.164e+01    0  28.210    0.85  20.1801 
OBS:  53673.316  i  82N   1.1165e+03   3.130e+01    0  28.000    0.79  19.8680 
OBS:  53675.312  g  82N   1.8761e+02   1.561e+01    0  28.570    1.48  21.9258 
OBS:  53675.312  r  82N   7.2673e+02   2.398e+01    0  28.230    1.13  20.3309 
OBS:  53675.312  i  82N   9.8787e+02   3.732e+01    0  28.010    1.12  19.9622 
OBS:  53677.336  g  82N   1.1493e+02   1.451e+01    0  28.340    1.02  22.2686 
OBS:  53677.336  r  82N   5.8992e+02   2.201e+01    0  28.160    0.99  20.5304 
OBS:  53677.336  i  82N   1.0009e+03   3.455e+01    0  27.890    0.97  20.0649 
OBS:  53680.320  g  82N   9.2510e+01   1.367e+01    0  28.540    1.08  22.6011 
OBS:  53680.320  r  82N   4.8779e+02   2.442e+01    0  28.190    1.24  20.7917 
OBS:  53680.320  i  82N   7.5384e+02   3.425e+01    0  27.970    1.00  20.2597 
OBS:  53686.320  g  82N   4.1007e+01   5.481e+01    0  28.530    1.97  22.9950 
OBS:  53686.320  r  82N   3.0763e+02   4.407e+01    0  28.180    1.55  21.2139 
OBS:  53686.320  i  82N   4.2026e+02   5.518e+01    0  27.960    1.61  20.6893 
OBS:  53687.379  g  82N   2.7013e+01   1.472e+02    0  28.470    2.82  23.0641 
OBS:  53687.379  r  82N   3.8985e+02   1.996e+02    0  28.150    2.55  21.2880 
OBS:  53687.379  i  82N   2.1726e+02   2.037e+02    0  27.940    2.66  20.7645 
OBS:  53693.324  g  82N   2.7576e+01   4.663e+01    0  28.520    1.89  23.4537 
OBS:  53693.324  r  82N   2.2603e+02   4.064e+01    0  28.170    1.54  21.7067 
OBS:  53693.324  i  82N   3.3731e+02   5.058e+01    0  27.960    1.54  21.1875 
OBS:  53698.320  g  82N   1.0419e+01   2.544e+01    0  28.180    1.62  23.7865 
OBS:  53698.320  r  82N   1.3376e+02   2.536e+01    0  28.160    1.40  22.0229 
OBS:  53698.320  i  82N   2.1372e+02   3.660e+01    0  27.920    1.22  21.5517 
OBS:  53704.301  g  82N   7.9973e+00   1.498e+01    0  28.530    1.55  23.9704 
OBS:  53704.301  r  82N   9.3936e+01   2.362e+01    0  28.190    1.42  22.2516 
OBS:  53704.301  i  82N   2.4364e+02   3.426e+01    0  27.990    1.15  21.8711 
END_PHOTOMETRY: 
