SURVEY: SDSS   
SNID:   50160   
IAUC:    NULL 
PHOTOMETRY_VERSION: 91bg 
SNTYPE:  100 
FILTERS: gri 
RA:      31.298904  deg 
DECL:    0.951863  deg 
PIXSIZE:  0.4000  arcsec 
CCDNUM: 0  
FAKE:    2   (=> simulated LC with snlc_sim.exe) 
MWEBV:       0.0240    MW E(B-V) 
MWEBV_ERR:   0.0038    error on MWEBV 
REDSHIFT_HELIO:   0.175645 +- 0.000500  (Helio, z_best) 
REDSHIFT_FINAL:   0.174592 +- 0.000500  (CMB) 
REDSHIFT_STATUS:  from Host Galaxy (Unconfirmed SN)

VPEC:         0.00  # v_pec correction
VPEC_ERR:     0.00  # error on above  
PEAKMJD:   53676.355 

HOSTGAL_OBJID:    -9  
HOSTGAL_PHOTOZ:   -9.0000  +- -9.0000 
HOSTGAL_SPECZ:    0.0000  +- 0.0000 
HOSTGAL_SNSEP:    -9.000    # arcsec 
 

SIM_MODEL_NAME:  SIMSED.91bg 
SIM_MODEL_INDEX:  7 
SIM_TYPE_INDEX:   0 
SIM_TYPE_NAME:    UNKNOWN 
SIM_NON1a:      0   (NONIA index) 
SIM_COMMENT:  SN Type = UNKNOWN , MODEL = SIMSED.91bg  
SIM_LIBID:  418  
SIM_NGEN_LIBID:  1  
SIM_NOBS_UNDEFINED:  0  
SIM_REDSHIFT_HELIO:  0.17631  
SIM_REDSHIFT_CMB:    0.17525  
SIM_REDSHIFT_HOST:   0.17631  
SIM_VPEC:  0.0 (km/sec) 
SIM_HOSTLIB_NPAR: 0 
SIM_DLMU:      39.6395  mag   [ -5*log10(10pc/dL) ]
SIM_LENSDMU:   0.0000  mag 
SIM_RA:        31.298904 deg  
SIM_DECL:      0.951863 deg  
SIM_MWRV:    3.100   (MilkyWay RV) 
SIM_MWEBV:   0.0382   (MilkyWay E(B-V)) 
SIMOPT_MWCOLORLAW:  94   (MW color-law option) 
SIMOPT_MWEBV:       1   (modify MWEBV_SFD)
SIM_MAGSMEAR_COH:    0.000  
SIM_GALFRAC:  -9.000 -9.000 -9.000  (gri F_gal/F_SNpeak for PSF=1'')
SIM_PEAKMAG:   22.65  21.44  21.07  (gri obs)
SIM_EXPOSURE:     1.0    1.0    1.0  (gri obs)
SIM_PEAKMJD:   53675.847656  days 
SIM_SALT2x0:   1.3938e-16   
SIM_SEARCHEFF_MASK:  5  (bits 1,2=> found by software,spec) 
SIM_SEARCHEFF_SPEC:  0.1777  (spectro-search efficiency (ignores pipelines)) 
SIM_TRESTMIN:   -17.44   days 
SIM_TRESTMAX:    25.04   days 
SIM_RISETIME_SHIFT:   0.0 days 
SIM_FALLTIME_SHIFT:   0.0 days 

SIMSED_NPAR: 2 
SIMSED_PARAM(stretch):  0.889229 
SIMSED_param(color):  0.424036 



# ============================================ 
# TERSE LIGHT CURVE OUTPUT: 
#
NOBS: 39 
NVAR: 9 
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR PHOTFLAG   ZPT  PSF  SIM_MAGOBS
OBS:  53655.336  g  82S   6.8856e+00   1.448e+01    0  28.570    1.45  99.0000 
OBS:  53655.336  r  82S  -6.2059e-01   2.422e+01    0  28.240    1.49  99.0000 
OBS:  53655.336  i  82S  -3.5938e+01   3.796e+01    0  27.940    1.45  99.0000 
OBS:  53664.359  g  82S  -4.9207e+01   3.841e+01    0  28.530    1.39  24.9443 
OBS:  53664.359  r  82S   1.1449e+02   4.574e+01    0  28.200    1.21  24.0523 
OBS:  53664.359  i  82S   1.4580e+02   8.323e+01    0  27.910    1.16  23.7164 
OBS:  53665.426  g  82S   4.1186e+01   2.503e+01    0  28.490    1.03  24.4753 
OBS:  53665.426  r  82S   2.1093e+01   3.241e+01    0  28.190    1.24  23.5783 
OBS:  53665.426  i  82S   4.7743e+01   4.195e+01    0  27.920    1.20  23.2455 
OBS:  53669.320  g  82S   4.8179e+01   1.737e+01    0  28.510    1.59  23.0374 
OBS:  53669.320  r  82S   1.3677e+02   2.450e+01    0  28.200    1.44  22.1541 
OBS:  53669.320  i  82S   1.9140e+02   3.893e+01    0  27.910    1.50  21.8215 
OBS:  53671.406  g  82S   7.7288e+01   1.519e+01    0  28.410    1.02  22.7886 
OBS:  53671.406  r  82S   1.9354e+02   2.530e+01    0  28.130    1.27  21.8111 
OBS:  53671.406  i  82S   2.3815e+02   3.628e+01    0  27.850    1.22  21.4885 
OBS:  53674.305  g  82S   9.4288e+01   1.572e+01    0  28.520    1.62  22.6364 
OBS:  53674.305  r  82S   2.5975e+02   2.787e+01    0  28.200    1.74  21.5241 
OBS:  53674.305  i  82S   3.4531e+02   4.105e+01    0  27.900    1.63  21.1659 
OBS:  53676.395  g  82S   8.4620e+01   1.442e+01    0  28.350    0.97  22.6749 
OBS:  53676.395  r  82S   2.3026e+02   2.325e+01    0  28.130    1.16  21.4203 
OBS:  53676.395  i  82S   3.8217e+02   3.515e+01    0  27.830    1.12  21.0427 
OBS:  53679.367  g  82S   5.9423e+01   1.760e+01    0  28.480    1.71  22.8990 
OBS:  53679.367  r  82S   2.7904e+02   3.203e+01    0  28.170    1.77  21.4033 
OBS:  53679.367  i  82S   5.4756e+02   5.054e+01    0  27.900    1.79  20.9967 
DETECTION:  3 obs satisfy gr+ri+gi  at MJD_TRIGGER=53679.3670 
OBS:  53681.359  g  82S   6.2055e+01   1.325e+01    0  28.480    1.01  23.1679 
OBS:  53681.359  r  82S   2.8123e+02   2.235e+01    0  28.170    1.19  21.4963 
OBS:  53681.359  i  82S   4.1258e+02   3.372e+01    0  27.910    1.19  21.0306 
OBS:  53684.320  g  82S   4.1876e+01   4.850e+01    0  27.130    1.45  23.6650 
OBS:  53684.320  r  82S   2.0760e+02   7.826e+01    0  26.920    1.52  21.7531 
OBS:  53684.320  i  82S   3.9492e+02   1.033e+02    0  26.760    1.51  21.1782 
OBS:  53697.316  g  82S  -1.0824e+00   1.934e+01    0  28.480    1.11  24.7614 
