SURVEY: SDSS   
SNID:   50296   
IAUC:    NULL 
PHOTOMETRY_VERSION: 91bg 
SNTYPE:  0 
FILTERS: gri 
RA:      -27.678501  deg 
DECL:    1.168353  deg 
PIXSIZE:  0.4000  arcsec 
CCDNUM: 0  
FAKE:    2   (=> simulated LC with snlc_sim.exe) 
MWEBV:       0.0460    MW E(B-V) 
MWEBV_ERR:   0.0074    error on MWEBV 
REDSHIFT_HELIO:   0.027919 +- 0.000500  (Helio, z_best) 
REDSHIFT_FINAL:   0.026702 +- 0.000500  (CMB) 
REDSHIFT_STATUS:  OK 

VPEC:         0.00  # v_pec correction
VPEC_ERR:     0.00  # error on above  
PEAKMJD:   53668.980 

HOSTGAL_OBJID:    -9  
HOSTGAL_PHOTOZ:   -9.0000  +- -9.0000 
HOSTGAL_SPECZ:    0.0000  +- 0.0000 
HOSTGAL_SNSEP:    -9.000    # arcsec 
 

SIM_MODEL_NAME:  SIMSED.91bg 
SIM_MODEL_INDEX:  7 
SIM_TYPE_INDEX:   0 
SIM_TYPE_NAME:    UNKNOWN 
SIM_NON1a:      0   (NONIA index) 
SIM_COMMENT:  SN Type = UNKNOWN , MODEL = SIMSED.91bg  
SIM_LIBID:  830  
SIM_NGEN_LIBID:  1  
SIM_NOBS_UNDEFINED:  0  
SIM_REDSHIFT_HELIO:  0.02847  
SIM_REDSHIFT_CMB:    0.02726  
SIM_REDSHIFT_HOST:   0.02847  
SIM_VPEC:  -0.0 (km/sec) 
SIM_HOSTLIB_NPAR: 0 
SIM_DLMU:      35.3834  mag   [ -5*log10(10pc/dL) ]
SIM_LENSDMU:   0.0000  mag 
SIM_RA:        -27.678501 deg  
SIM_DECL:      1.168353 deg  
SIM_MWRV:    3.100   (MilkyWay RV) 
SIM_MWEBV:   0.0520   (MilkyWay E(B-V)) 
SIMOPT_MWCOLORLAW:  94   (MW color-law option) 
SIMOPT_MWEBV:       1   (modify MWEBV_SFD)
SIM_MAGSMEAR_COH:    0.000  
SIM_GALFRAC:  -9.000 -9.000 -9.000  (gri F_gal/F_SNpeak for PSF=1'')
SIM_PEAKMAG:   17.84  17.07  17.09  (gri obs)
SIM_EXPOSURE:     1.0    1.0    1.0  (gri obs)
SIM_PEAKMJD:   53667.507812  days 
SIM_SALT2x0:   7.0247e-15   
SIM_SEARCHEFF_MASK:  3  (bits 1,2=> found by software,spec) 
SIM_SEARCHEFF_SPEC:  1.0000  (spectro-search efficiency (ignores pipelines)) 
SIM_TRESTMIN:   -12.92   days 
SIM_TRESTMAX:    34.66   days 
SIM_RISETIME_SHIFT:   0.0 days 
SIM_FALLTIME_SHIFT:   0.0 days 

SIMSED_NPAR: 2 
SIMSED_PARAM(stretch):  0.851579 
SIMSED_param(color):  0.376974 



# ============================================ 
# TERSE LIGHT CURVE OUTPUT: 
#
NOBS: 42 
NVAR: 9 
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR PHOTFLAG   ZPT  PSF  SIM_MAGOBS
OBS:  53654.223  g  82N  -8.1638e+00   2.170e+01    0  28.510    1.32  25.5527 
OBS:  53654.223  r  82N   3.0480e+01   2.789e+01    0  28.210    1.30  24.9939 
OBS:  53654.223  i  82N  -2.3665e+01   4.268e+01    0  27.910    1.32  25.0073 
OBS:  53656.172  g  82N   2.7748e+02   4.454e+01    0  28.540    1.67  21.2102 
OBS:  53656.172  r  82N   6.0186e+02   5.381e+01    0  28.220    1.75  20.6124 
OBS:  53656.172  i  82N   5.9653e+02   6.346e+01    0  27.910    1.66  20.6343 
OBS:  53663.184  g  82N   5.3977e+03   3.235e+01    0  28.560    0.95  18.1626 
OBS:  53663.184  r  82N   9.3136e+03   4.060e+01    0  28.230    1.05  17.5688 
OBS:  53663.184  i  82N   9.4324e+03   5.248e+01    0  27.930    1.05  17.5645 
OBS:  53668.172  g  82N   7.1937e+03   3.168e+01    0  28.540    1.67  17.8491 
OBS:  53668.172  r  82N   1.5314e+04   4.883e+01    0  28.220    1.58  17.0382 
OBS:  53668.172  i  82N   1.4973e+04   6.615e+01    0  27.920    1.49  17.0600 
DETECTION:  3 obs satisfy gr+ri+gi  at MJD_TRIGGER=53668.1720 
OBS:  53670.180  g  82N   6.6889e+03   2.962e+01    0  28.510    1.11  17.9275 
OBS:  53670.180  r  82N   1.5928e+04   4.787e+01    0  28.200    1.37  16.9989 
OBS:  53670.180  i  82N   1.5791e+04   6.255e+01    0  27.910    1.31  17.0007 
OBS:  53673.145  g  82N   4.8331e+03   2.694e+01    0  28.530    1.52  18.2968 
OBS:  53673.145  r  82N   1.4957e+04   4.679e+01    0  28.210    1.45  17.0551 
OBS:  53673.145  i  82N   1.4443e+04   6.273e+01    0  27.910    1.51  17.1067 
OBS:  53675.145  g  82N   3.5693e+03   2.427e+01    0  28.540    1.52  18.6302 
OBS:  53675.145  r  82N   1.3179e+04   4.524e+01    0  28.220    1.52  17.1966 
OBS:  53675.145  i  82N   1.3165e+04   6.289e+01    0  27.920    1.63  17.1987 
OBS:  53677.164  g  82N   2.5911e+03   2.311e+01    0  28.340    1.15  18.9645 
OBS:  53677.164  r  82N   1.1130e+04   4.200e+01    0  28.160    1.24  17.3796 
OBS:  53677.164  i  82N   1.2182e+04   5.773e+01    0  27.890    1.37  17.2875 
OBS:  53680.152  g  82N   2.0384e+03   2.188e+01    0  28.510    1.59  19.2230 
OBS:  53680.152  r  82N   8.9442e+03   3.980e+01    0  28.190    1.45  17.6176 
OBS:  53680.152  i  82N   1.0084e+04   5.384e+01    0  27.920    1.35  17.4871 
OBS:  53686.219  g  82N   1.5044e+03   7.941e+01    0  28.410    2.41  19.6558 
OBS:  53686.219  r  82N   5.7715e+03   7.502e+01    0  28.140    2.01  18.0898 
OBS:  53686.219  i  82N   6.7060e+03   9.028e+01    0  27.870    2.02  17.9247 
OBS:  53693.152  g  82N   8.5453e+02   3.207e+01    0  28.490    1.34  20.1618 
