SURVEY: SDSS   
SNID:   50314   
IAUC:    NULL 
PHOTOMETRY_VERSION: 91bg 
SNTYPE:  100 
FILTERS: gri 
RA:      -30.750298  deg 
DECL:    -0.483374  deg 
PIXSIZE:  0.4000  arcsec 
CCDNUM: 0  
FAKE:    2   (=> simulated LC with snlc_sim.exe) 
MWEBV:       0.0990    MW E(B-V) 
MWEBV_ERR:   0.0158    error on MWEBV 
REDSHIFT_HELIO:   0.076700 +- 0.000500  (Helio, z_best) 
REDSHIFT_FINAL:   0.075451 +- 0.000500  (CMB) 
REDSHIFT_STATUS:  from Host Galaxy (Unconfirmed SN)

VPEC:         0.00  # v_pec correction
VPEC_ERR:     0.00  # error on above  
PEAKMJD:   53646.004 

HOSTGAL_OBJID:    -9  
HOSTGAL_PHOTOZ:   -9.0000  +- -9.0000 
HOSTGAL_SPECZ:    0.0000  +- 0.0000 
HOSTGAL_SNSEP:    -9.000    # arcsec 
 

SIM_MODEL_NAME:  SIMSED.91bg 
SIM_MODEL_INDEX:  7 
SIM_TYPE_INDEX:   0 
SIM_TYPE_NAME:    UNKNOWN 
SIM_NON1a:      0   (NONIA index) 
SIM_COMMENT:  SN Type = UNKNOWN , MODEL = SIMSED.91bg  
SIM_LIBID:  874  
SIM_NGEN_LIBID:  1  
SIM_NOBS_UNDEFINED:  0  
SIM_REDSHIFT_HELIO:  0.07731  
SIM_REDSHIFT_CMB:    0.07606  
SIM_REDSHIFT_HOST:   0.07731  
SIM_VPEC:  -0.0 (km/sec) 
SIM_HOSTLIB_NPAR: 0 
SIM_DLMU:      37.6881  mag   [ -5*log10(10pc/dL) ]
SIM_LENSDMU:   0.0000  mag 
SIM_RA:        -30.750298 deg  
SIM_DECL:      -0.483374 deg  
SIM_MWRV:    3.100   (MilkyWay RV) 
SIM_MWEBV:   0.1105   (MilkyWay E(B-V)) 
SIMOPT_MWCOLORLAW:  94   (MW color-law option) 
SIMOPT_MWEBV:       1   (modify MWEBV_SFD)
SIM_MAGSMEAR_COH:    0.000  
SIM_GALFRAC:  -9.000 -9.000 -9.000  (gri F_gal/F_SNpeak for PSF=1'')
SIM_PEAKMAG:   20.69  19.62  19.39  (gri obs)
SIM_EXPOSURE:     1.0    1.0    1.0  (gri obs)
SIM_PEAKMJD:   53646.265625  days 
SIM_SALT2x0:   8.4091e-16   
SIM_SEARCHEFF_MASK:  5  (bits 1,2=> found by software,spec) 
SIM_SEARCHEFF_SPEC:  0.4807  (spectro-search efficiency (ignores pipelines)) 
SIM_TRESTMIN:   -18.63   days 
SIM_TRESTMAX:    52.80   days 
SIM_RISETIME_SHIFT:   0.0 days 
SIM_FALLTIME_SHIFT:   0.0 days 

SIMSED_NPAR: 2 
SIMSED_PARAM(stretch):  0.984975 
SIMSED_param(color):  0.543718 



# ============================================ 
# TERSE LIGHT CURVE OUTPUT: 
#
NOBS: 57 
NVAR: 9 
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR PHOTFLAG   ZPT  PSF  SIM_MAGOBS
OBS:  53626.199  g  82N  -1.8623e+00   2.602e+01    0  28.480    1.14  99.0000 
OBS:  53626.199  r  82N  -3.7549e+00   2.806e+01    0  28.200    1.01  99.0000 
OBS:  53626.199  i  82N   3.2014e+01   3.975e+01    0  27.830    1.05  99.0000 
OBS:  53628.184  g  82N  -2.1277e+01   6.674e+01    0  28.350    1.84  99.0000 
OBS:  53628.184  r  82N  -2.8504e+01   5.480e+01    0  28.180    1.68  99.0000 
OBS:  53628.184  i  82N  -1.0697e+02   6.240e+01    0  27.890    1.62  99.0000 
OBS:  53635.195  g  82N  -7.1920e+00   2.103e+01    0  28.530    1.10  23.4721 
OBS:  53635.195  r  82N   1.3474e+02   2.928e+01    0  28.240    1.38  22.5806 
OBS:  53635.195  i  82N   1.6250e+02   3.547e+01    0  27.880    1.06  22.3593 
OBS:  53637.188  g  82N   9.9357e+01   1.780e+01    0  28.470    1.62  22.4480 
OBS:  53637.188  r  82N   2.2732e+02   2.567e+01    0  28.200    1.41  21.5589 
OBS:  53637.188  i  82N   2.9590e+02   4.224e+01    0  27.830    1.36  21.3370 
OBS:  53644.180  g  82N   5.0243e+02   1.537e+01    0  28.500    1.04  20.7765 
OBS:  53644.180  r  82N   1.2330e+03   2.271e+01    0  28.230    0.90  19.7860 
OBS:  53644.180  i  82N   1.4779e+03   3.401e+01    0  27.860    0.85  19.5632 
DETECTION:  3 obs satisfy gr+ri+gi  at MJD_TRIGGER=53644.1800 
OBS:  53654.215  g  82N   2.7967e+02   2.409e+01    0  28.490    1.36  21.5435 
OBS:  53654.215  r  82N   1.1589e+03   3.242e+01    0  28.220    1.31  19.8192 
OBS:  53654.215  i  82N   1.5674e+03   4.340e+01    0  27.870    1.03  19.4750 
OBS:  53656.160  g  82N   1.8434e+02   5.533e+01    0  28.520    1.88  21.8599 
OBS:  53656.160  r  82N   9.5039e+02   5.328e+01    0  28.230    1.66  20.0187 
OBS:  53656.160  i  82N   1.5603e+03   6.070e+01    0  27.880    1.47  19.5654 
OBS:  53665.152  g  82N   4.2032e+01   4.612e+01    0  27.110    1.00  22.5366 
OBS:  53665.152  r  82N   4.9272e+02   4.534e+01    0  27.250    0.88  20.6961 
OBS:  53665.152  i  82N   8.3985e+02   8.311e+01    0  26.690    0.80  20.2059 
OBS:  53668.164  g  82N   9.2607e+01   1.676e+01    0  28.530    1.62  22.7397 
OBS:  53668.164  r  82N   4.0247e+02   2.588e+01    0  28.250    1.34  20.9161 
OBS:  53668.164  i  82N   6.1249e+02   4.550e+01    0  27.900    1.40  20.4227 
OBS:  53670.168  g  82N   7.0646e+01   1.517e+01    0  28.500    1.38  22.8801 
OBS:  53670.168  r  82N   3.6081e+02   2.471e+01    0  28.230    1.24  21.0618 
OBS:  53670.168  i  82N   5.1909e+02   3.677e+01    0  27.880    0.99  20.5674 
OBS:  53673.137  g  82N   5.6788e+01   1.451e+01    0  28.520    1.35  23.0869 
OBS:  53673.137  r  82N   3.2781e+02   2.429e+01    0  28.240    1.28  21.2645 
