SURVEY: SDSS   
SNID:   50373   
IAUC:    NULL 
PHOTOMETRY_VERSION: 91bg 
SNTYPE:  100 
FILTERS: gri 
RA:      30.340469  deg 
DECL:    0.316439  deg 
PIXSIZE:  0.4000  arcsec 
CCDNUM: 0  
FAKE:    2   (=> simulated LC with snlc_sim.exe) 
MWEBV:       0.0270    MW E(B-V) 
MWEBV_ERR:   0.0043    error on MWEBV 
REDSHIFT_HELIO:   0.091345 +- 0.000500  (Helio, z_best) 
REDSHIFT_FINAL:   0.090354 +- 0.000500  (CMB) 
REDSHIFT_STATUS:  from Host Galaxy (Unconfirmed SN)

VPEC:         0.00  # v_pec correction
VPEC_ERR:     0.00  # error on above  
PEAKMJD:   53657.336 

HOSTGAL_OBJID:    -9  
HOSTGAL_PHOTOZ:   -9.0000  +- -9.0000 
HOSTGAL_SPECZ:    0.0000  +- 0.0000 
HOSTGAL_SNSEP:    -9.000    # arcsec 
 

SIM_MODEL_NAME:  SIMSED.91bg 
SIM_MODEL_INDEX:  7 
SIM_TYPE_INDEX:   0 
SIM_TYPE_NAME:    UNKNOWN 
SIM_NON1a:      0   (NONIA index) 
SIM_COMMENT:  SN Type = UNKNOWN , MODEL = SIMSED.91bg  
SIM_LIBID:  12  
SIM_NGEN_LIBID:  1  
SIM_NOBS_UNDEFINED:  0  
SIM_REDSHIFT_HELIO:  0.09068  
SIM_REDSHIFT_CMB:    0.08969  
SIM_REDSHIFT_HOST:   0.09068  
SIM_VPEC:  -0.0 (km/sec) 
SIM_HOSTLIB_NPAR: 0 
SIM_DLMU:      38.0657  mag   [ -5*log10(10pc/dL) ]
SIM_LENSDMU:   0.0000  mag 
SIM_RA:        30.340469 deg  
SIM_DECL:      0.316439 deg  
SIM_MWRV:    3.100   (MilkyWay RV) 
SIM_MWEBV:   0.0207   (MilkyWay E(B-V)) 
SIMOPT_MWCOLORLAW:  94   (MW color-law option) 
SIMOPT_MWEBV:       1   (modify MWEBV_SFD)
SIM_MAGSMEAR_COH:    0.000  
SIM_GALFRAC:  -9.000 -9.000 -9.000  (gri F_gal/F_SNpeak for PSF=1'')
SIM_PEAKMAG:   20.78  19.75  19.52  (gri obs)
SIM_EXPOSURE:     1.0    1.0    1.0  (gri obs)
SIM_PEAKMJD:   53657.601562  days 
SIM_SALT2x0:   5.9393e-16   
SIM_SEARCHEFF_MASK:  5  (bits 1,2=> found by software,spec) 
SIM_SEARCHEFF_SPEC:  0.4269  (spectro-search efficiency (ignores pipelines)) 
SIM_TRESTMIN:   -18.56   days 
SIM_TRESTMAX:    42.81   days 
SIM_RISETIME_SHIFT:   0.0 days 
SIM_FALLTIME_SHIFT:   0.0 days 

SIMSED_NPAR: 2 
SIMSED_PARAM(stretch):  0.986630 
SIMSED_param(color):  0.545787 



# ============================================ 
# TERSE LIGHT CURVE OUTPUT: 
#
NOBS: 57 
NVAR: 9 
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR PHOTFLAG   ZPT  PSF  SIM_MAGOBS
OBS:  53637.355  g  82N  -1.2282e+01   2.695e+01    0  28.520    1.51  99.0000 
OBS:  53637.355  r  82N  -2.5600e+01   2.673e+01    0  28.180    1.08  99.0000 
OBS:  53637.355  i  82N  -9.8178e+00   3.938e+01    0  27.940    1.11  99.0000 
OBS:  53639.402  g  82N   4.0239e+00   1.422e+01    0  28.570    0.97  99.0000 
OBS:  53639.402  r  82N   1.8087e+01   1.941e+01    0  28.230    0.89  99.0000 
OBS:  53639.402  i  82N  -7.0443e+00   2.867e+01    0  27.980    0.83  99.0000 
OBS:  53641.402  g  82N  -3.7568e+01   1.366e+01    0  28.510    1.07  99.0000 
OBS:  53641.402  r  82N  -1.3759e+01   1.984e+01    0  28.180    0.99  99.0000 
OBS:  53641.402  i  82N  -2.4728e+01   3.000e+01    0  27.950    0.95  99.0000 
OBS:  53644.348  g  82N   3.4472e+00   1.363e+01    0  28.550    1.28  25.4893 
OBS:  53644.348  r  82N   1.7998e+01   2.118e+01    0  28.190    1.14  24.6632 
OBS:  53644.348  i  82N   8.7613e+00   3.025e+01    0  27.970    1.00  24.4412 
OBS:  53657.359  g  82N   5.4390e+02   4.485e+01    0  28.560    1.82  20.7753 
OBS:  53657.359  r  82N   1.1991e+03   4.703e+01    0  28.210    1.70  19.7665 
OBS:  53657.359  i  82N   1.4207e+03   5.777e+01    0  27.990    1.62  19.5370 
OBS:  53663.344  g  82N   3.2705e+02   3.101e+01    0  28.580    1.02  21.2669 
OBS:  53663.344  r  82N   1.1874e+03   2.968e+01    0  28.240    0.85  19.7850 
OBS:  53663.344  i  82N   1.6888e+03   3.733e+01    0  28.010    0.77  19.4958 
OBS:  53666.414  g  82N   1.7271e+02   2.192e+01    0  28.500    1.01  21.7760 
OBS:  53666.414  r  82N   9.8865e+02   2.748e+01    0  28.180    0.96  20.0452 
OBS:  53666.414  i  82N   1.3814e+03   3.782e+01    0  27.960    0.92  19.6373 
DETECTION:  3 obs satisfy gr+ri+gi  at MJD_TRIGGER=53666.4140 
OBS:  53668.336  g  82N   1.8204e+02   2.074e+01    0  28.590    1.63  22.0890 
OBS:  53668.336  r  82N   7.8216e+02   2.880e+01    0  28.230    1.51  20.2482 
OBS:  53668.336  i  82N   1.2514e+03   4.208e+01    0  28.020    1.45  19.7480 
OBS:  53669.422  g  82N   1.1249e+02   2.400e+01    0  28.430    1.60  22.1676 
OBS:  53669.422  r  82N   7.4251e+02   3.103e+01    0  28.130    1.41  20.3286 
OBS:  53669.422  i  82N   1.1568e+03   4.375e+01    0  27.940    1.37  19.8220 
OBS:  53670.340  g  82N   1.3567e+02   1.569e+01    0  28.530    1.46  22.2276 
OBS:  53670.340  r  82N   6.6518e+02   2.605e+01    0  28.200    1.50  20.3940 
OBS:  53670.340  i  82N   1.0499e+03   3.870e+01    0  27.980    1.29  19.8868 
OBS:  53673.309  g  82N   8.1972e+01   1.282e+01    0  28.570    0.97  22.4239 
OBS:  53673.309  r  82N   5.6564e+02   2.097e+01    0  28.220    0.87  20.6073 
