SURVEY: SDSS   
SNID:   50521   
IAUC:    NULL 
PHOTOMETRY_VERSION: 91bg 
SNTYPE:  100 
FILTERS: gri 
RA:      -18.096739  deg 
DECL:    -0.386374  deg 
PIXSIZE:  0.4000  arcsec 
CCDNUM: 0  
FAKE:    2   (=> simulated LC with snlc_sim.exe) 
MWEBV:       0.0880    MW E(B-V) 
MWEBV_ERR:   0.0141    error on MWEBV 
REDSHIFT_HELIO:   0.112780 +- 0.000500  (Helio, z_best) 
REDSHIFT_FINAL:   0.111424 +- 0.000500  (CMB) 
REDSHIFT_STATUS:  from Host Galaxy (Unconfirmed SN)

VPEC:         0.00  # v_pec correction
VPEC_ERR:     0.00  # error on above  
PEAKMJD:   53619.609 

HOSTGAL_OBJID:    -9  
HOSTGAL_PHOTOZ:   -9.0000  +- -9.0000 
HOSTGAL_SPECZ:    0.0000  +- 0.0000 
HOSTGAL_SNSEP:    -9.000    # arcsec 
 

SIM_MODEL_NAME:  SIMSED.91bg 
SIM_MODEL_INDEX:  7 
SIM_TYPE_INDEX:   0 
SIM_TYPE_NAME:    UNKNOWN 
SIM_NON1a:      0   (NONIA index) 
SIM_COMMENT:  SN Type = UNKNOWN , MODEL = SIMSED.91bg  
SIM_LIBID:  419  
SIM_NGEN_LIBID:  1  
SIM_NOBS_UNDEFINED:  0  
SIM_REDSHIFT_HELIO:  0.11254  
SIM_REDSHIFT_CMB:    0.11119  
SIM_REDSHIFT_HOST:   0.11254  
SIM_VPEC:  -0.0 (km/sec) 
SIM_HOSTLIB_NPAR: 0 
SIM_DLMU:      38.5642  mag   [ -5*log10(10pc/dL) ]
SIM_LENSDMU:   0.0000  mag 
SIM_RA:        -18.096739 deg  
SIM_DECL:      -0.386374 deg  
SIM_MWRV:    3.100   (MilkyWay RV) 
SIM_MWEBV:   0.1063   (MilkyWay E(B-V)) 
SIMOPT_MWCOLORLAW:  94   (MW color-law option) 
SIMOPT_MWEBV:       1   (modify MWEBV_SFD)
SIM_MAGSMEAR_COH:    0.000  
SIM_GALFRAC:  -9.000 -9.000 -9.000  (gri F_gal/F_SNpeak for PSF=1'')
SIM_PEAKMAG:   21.79  20.50  20.16  (gri obs)
SIM_EXPOSURE:     1.0    1.0    1.0  (gri obs)
SIM_PEAKMJD:   53619.492188  days 
SIM_SALT2x0:   3.7523e-16   
SIM_SEARCHEFF_MASK:  5  (bits 1,2=> found by software,spec) 
SIM_SEARCHEFF_SPEC:  0.2615  (spectro-search efficiency (ignores pipelines)) 
SIM_TRESTMIN:     2.50   days 
SIM_TRESTMAX:    72.52   days 
SIM_RISETIME_SHIFT:   0.0 days 
SIM_FALLTIME_SHIFT:   0.0 days 

SIMSED_NPAR: 2 
SIMSED_PARAM(stretch):  1.046974 
SIMSED_param(color):  0.621218 



# ============================================ 
# TERSE LIGHT CURVE OUTPUT: 
#
NOBS: 54 
NVAR: 9 
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR PHOTFLAG   ZPT  PSF  SIM_MAGOBS
OBS:  53622.273  g  82S   1.5736e+02   1.980e+01    0  28.450    1.76  21.9108 
OBS:  53622.273  r  82S   6.7816e+02   3.008e+01    0  28.200    1.68  20.4403 
OBS:  53622.273  i  82S   9.6614e+02   4.766e+01    0  27.920    1.59  20.0666 
OBS:  53627.230  g  82S   8.9226e+01   2.699e+01    0  28.510    1.12  22.6304 
OBS:  53627.230  r  82S   5.0280e+02   3.401e+01    0  28.240    1.30  20.7066 
OBS:  53627.230  i  82S   7.6501e+02   4.225e+01    0  27.930    1.14  20.2287 
OBS:  53634.223  g  82S   5.4456e+01   5.645e+01    0  28.570    2.30  23.4094 
OBS:  53634.223  r  82S   2.9222e+02   5.494e+01    0  28.280    2.01  21.3016 
OBS:  53634.223  i  82S   5.3904e+02   6.794e+01    0  27.980    1.95  20.6752 
DETECTION:  3 obs satisfy gr+ri+gi  at MJD_TRIGGER=53634.2230 
OBS:  53636.227  g  82S   2.7510e+01   2.236e+01    0  28.490    1.27  23.5394 
OBS:  53636.227  r  82S   2.4446e+02   3.456e+01    0  28.170    1.17  21.4411 
OBS:  53636.227  i  82S   4.9377e+02   3.902e+01    0  27.830    1.01  20.8177 
OBS:  53638.262  g  82S   2.0140e+01   1.486e+01    0  28.520    1.01  23.6748 
OBS:  53638.262  r  82S   2.2197e+02   2.256e+01    0  28.250    1.01  21.5838 
OBS:  53638.262  i  82S   4.2528e+02   3.288e+01    0  27.940    0.96  20.9658 
OBS:  53648.270  g  82S   3.5904e+01   1.711e+01    0  28.340    1.55  24.3468 
OBS:  53648.270  r  82S   1.5164e+02   2.536e+01    0  28.160    1.43  22.2693 
OBS:  53648.270  i  82S   2.1124e+02   3.765e+01    0  27.890    1.33  21.6967 
OBS:  53655.199  g  82S   3.0983e+01   3.223e+01    0  28.550    1.59  24.6100 
OBS:  53655.199  r  82S   1.0466e+02   4.356e+01    0  28.250    1.67  22.5710 
OBS:  53655.199  i  82S   9.8445e+01   5.009e+01    0  27.970    1.52  22.0897 
OBS:  53664.223  g  82S   5.1131e+01   3.377e+01    0  28.550    1.65  24.7998 
OBS:  53664.223  r  82S   8.4124e+01   3.774e+01    0  28.250    1.56  22.8767 
OBS:  53664.223  i  82S   1.1846e+02   4.555e+01    0  27.960    1.42  22.5456 
OBS:  53666.188  g  82S  -3.6034e-01   1.422e+01    0  28.570    1.03  24.8607 
OBS:  53666.188  r  82S   1.0098e+02   2.228e+01    0  28.260    0.94  22.9424 
OBS:  53666.188  i  82S   3.8797e+01   3.249e+01    0  27.970    0.89  22.6239 
OBS:  53669.184  g  82S   2.2321e+01   1.275e+01    0  28.570    1.08  24.9226 
OBS:  53669.184  r  82S   4.8826e+01   2.057e+01    0  28.250    0.94  23.0290 
OBS:  53669.184  i  82S   8.1483e+01   2.970e+01    0  27.980    0.81  22.7128 
OBS:  53674.168  g  82S  -1.7749e+00   1.469e+01    0  28.530    1.48  25.0226 
OBS:  53674.168  r  82S   8.8854e+01   2.468e+01    0  28.230    1.34  23.1606 
OBS:  53674.168  i  82S   1.0172e+02   3.666e+01    0  27.950    1.37  22.8517 
OBS:  53676.258  g  82S   7.2734e+00   1.247e+01    0  28.480    0.91  25.0630 
OBS:  53676.258  r  82S   4.7812e+01   1.978e+01    0  28.220    0.82  23.2160 
OBS:  53676.258  i  82S   5.1537e+01   2.835e+01    0  27.960    0.78  22.9099 
OBS:  53679.230  g  82S  -1.5363e+01   1.571e+01    0  28.520    1.59  25.1206 
OBS:  53679.230  r  82S   6.2285e+01   2.835e+01    0  28.230    1.62  23.2938 
OBS:  53679.230  i  82S   7.9966e+01   3.829e+01    0  27.950    1.46  22.9929 
OBS:  53681.223  g  82S   7.5809e+00   1.319e+01    0  28.520    1.06  25.1598 
OBS:  53681.223  r  82S   6.5632e+01   1.986e+01    0  28.230    0.88  23.3464 
OBS:  53681.223  i  82S   9.6523e+01   2.806e+01    0  27.950    0.82  23.0487 
OBS:  53685.180  g  82S  -3.5368e+01   6.691e+01    0  28.550    1.45  25.2366 
OBS:  53685.180  r  82S   9.5134e+01   4.571e+01    0  28.250    0.92  23.4511 
OBS:  53685.180  i  82S   8.8539e+01   6.369e+01    0  27.960    1.07  23.1588 
OBS:  53687.219  g  82S   9.4114e+01   4.135e+01    0  28.510    1.12  25.2764 
OBS:  53687.219  r  82S   1.1501e+02   4.535e+01    0  28.220    1.23  23.5051 
OBS:  53687.219  i  82S   1.9899e+01   4.382e+01    0  27.950    1.00  23.2156 
OBS:  53697.180  g  82S  -1.1491e+01   1.560e+01    0  28.520    1.50  25.4710 
OBS:  53697.180  r  82S   2.4661e+01   2.420e+01    0  28.230    1.17  23.7689 
OBS:  53697.180  i  82S  -5.2226e+01   3.247e+01    0  27.950    1.14  23.4924 
