SURVEY: SDSS   
SNID:   50582   
IAUC:    NULL 
PHOTOMETRY_VERSION: 91bg 
SNTYPE:  100 
FILTERS: gri 
RA:      -45.847420  deg 
DECL:    1.092110  deg 
PIXSIZE:  0.4000  arcsec 
CCDNUM: 0  
FAKE:    2   (=> simulated LC with snlc_sim.exe) 
MWEBV:       0.0870    MW E(B-V) 
MWEBV_ERR:   0.0139    error on MWEBV 
REDSHIFT_HELIO:   0.091660 +- 0.000500  (Helio, z_best) 
REDSHIFT_FINAL:   0.090545 +- 0.000500  (CMB) 
REDSHIFT_STATUS:  from Host Galaxy (Unconfirmed SN)

VPEC:         0.00  # v_pec correction
VPEC_ERR:     0.00  # error on above  
PEAKMJD:   53663.023 

HOSTGAL_OBJID:    -9  
HOSTGAL_PHOTOZ:   -9.0000  +- -9.0000 
HOSTGAL_SPECZ:    0.0000  +- 0.0000 
HOSTGAL_SNSEP:    -9.000    # arcsec 
 

SIM_MODEL_NAME:  SIMSED.91bg 
SIM_MODEL_INDEX:  7 
SIM_TYPE_INDEX:   0 
SIM_TYPE_NAME:    UNKNOWN 
SIM_NON1a:      0   (NONIA index) 
SIM_COMMENT:  SN Type = UNKNOWN , MODEL = SIMSED.91bg  
SIM_LIBID:  617  
SIM_NGEN_LIBID:  1  
SIM_NOBS_UNDEFINED:  0  
SIM_REDSHIFT_HELIO:  0.09245  
SIM_REDSHIFT_CMB:    0.09134  
SIM_REDSHIFT_HOST:   0.09245  
SIM_VPEC:  0.0 (km/sec) 
SIM_HOSTLIB_NPAR: 0 
SIM_DLMU:      38.1080  mag   [ -5*log10(10pc/dL) ]
SIM_LENSDMU:   0.0000  mag 
SIM_RA:        -45.847420 deg  
SIM_DECL:      1.092110 deg  
SIM_MWRV:    3.100   (MilkyWay RV) 
SIM_MWEBV:   0.0922   (MilkyWay E(B-V)) 
SIMOPT_MWCOLORLAW:  94   (MW color-law option) 
SIMOPT_MWEBV:       1   (modify MWEBV_SFD)
SIM_MAGSMEAR_COH:    0.000  
SIM_GALFRAC:  -9.000 -9.000 -9.000  (gri F_gal/F_SNpeak for PSF=1'')
SIM_PEAKMAG:   21.18  20.00  19.71  (gri obs)
SIM_EXPOSURE:     1.0    1.0    1.0  (gri obs)
SIM_PEAKMJD:   53662.015625  days 
SIM_SALT2x0:   5.7122e-16   
SIM_SEARCHEFF_MASK:  5  (bits 1,2=> found by software,spec) 
SIM_SEARCHEFF_SPEC:  0.3532  (spectro-search efficiency (ignores pipelines)) 
SIM_TRESTMIN:   -16.37   days 
SIM_TRESTMAX:    38.51   days 
SIM_RISETIME_SHIFT:   0.0 days 
SIM_FALLTIME_SHIFT:   0.0 days 

SIMSED_NPAR: 2 
SIMSED_PARAM(stretch):  1.042897 
SIMSED_param(color):  0.616122 



# ============================================ 
# TERSE LIGHT CURVE OUTPUT: 
#
NOBS: 51 
NVAR: 9 
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR PHOTFLAG   ZPT  PSF  SIM_MAGOBS
OBS:  53644.137  g  82N   1.1536e+01   1.450e+01    0  28.520    1.32  99.0000 
OBS:  53644.137  r  82N  -1.4773e+01   2.144e+01    0  28.200    1.18  99.0000 
OBS:  53644.137  i  82N   1.8625e+01   3.570e+01    0  27.920    1.26  99.0000 
OBS:  53654.172  g  82N   1.4882e+02   2.493e+01    0  28.510    1.25  22.3178 
OBS:  53654.172  r  82N   2.8765e+02   3.363e+01    0  28.200    1.40  21.3368 
OBS:  53654.172  i  82N   3.3599e+02   4.817e+01    0  27.900    1.38  21.0507 
OBS:  53656.121  g  82N   2.3629e+02   4.545e+01    0  28.530    1.69  21.6825 
OBS:  53656.121  r  82N   5.1663e+02   5.542e+01    0  28.210    1.79  20.7017 
OBS:  53656.121  i  82N   7.1362e+02   6.729e+01    0  27.910    1.71  20.4184 
OBS:  53665.113  g  82N   3.2739e+02   3.282e+01    0  27.360    1.13  21.3336 
OBS:  53665.113  r  82N   1.1471e+03   8.159e+01    0  26.890    1.28  19.9457 
OBS:  53665.113  i  82N   1.3510e+03   1.002e+02    0  26.650    1.25  19.6124 
OBS:  53668.125  g  82N   2.0880e+02   1.720e+01    0  28.540    1.64  21.7358 
OBS:  53668.125  r  82N   9.6072e+02   3.318e+01    0  28.220    1.79  20.0582 
OBS:  53668.125  i  82N   1.4119e+03   5.531e+01    0  27.920    1.75  19.6976 
DETECTION:  3 obs satisfy gr+ri+gi  at MJD_TRIGGER=53668.1250 
OBS:  53670.129  g  82N   1.4484e+02   1.709e+01    0  28.510    1.65  22.0776 
OBS:  53670.129  r  82N   7.8650e+02   2.872e+01    0  28.200    1.54  20.2295 
OBS:  53670.129  i  82N   1.1987e+03   5.241e+01    0  27.910    1.68  19.7929 
OBS:  53673.098  g  82N   1.0346e+02   1.525e+01    0  28.530    1.45  22.5428 
OBS:  53673.098  r  82N   5.8693e+02   2.763e+01    0  28.210    1.49  20.5306 
OBS:  53673.098  i  82N   1.0039e+03   4.511e+01    0  27.910    1.53  19.9583 
OBS:  53675.094  g  82N   1.2222e+02   1.501e+01    0  28.540    1.47  22.6652 
OBS:  53675.094  r  82N   5.6820e+02   2.959e+01    0  28.220    1.62  20.6705 
OBS:  53675.094  i  82N   9.7955e+02   4.734e+01    0  27.920    1.60  20.0982 
OBS:  53677.113  g  82N   7.7687e+01   1.740e+01    0  28.340    1.53  22.7982 
OBS:  53677.113  r  82N   4.5869e+02   2.675e+01    0  28.160    1.43  20.8154 
OBS:  53677.113  i  82N   8.2386e+02   3.899e+01    0  27.890    1.30  20.2420 
OBS:  53680.102  g  82N   4.5872e+01   1.523e+01    0  28.510    1.29  22.9997 
OBS:  53680.102  r  82N   3.7826e+02   2.422e+01    0  28.190    1.30  21.0299 
OBS:  53680.102  i  82N   6.2370e+02   3.668e+01    0  27.920    1.24  20.4607 
OBS:  53686.156  g  82N   4.7044e+01   5.897e+01    0  28.350    1.80  23.4073 
OBS:  53686.156  r  82N   3.1165e+02   5.969e+01    0  28.110    1.85  21.4629 
