SURVEY: SDSS   
SNID:   50643   
IAUC:    NULL 
PHOTOMETRY_VERSION: 91bg 
SNTYPE:  100 
FILTERS: gri 
RA:      -32.699860  deg 
DECL:    -0.780544  deg 
PIXSIZE:  0.4000  arcsec 
CCDNUM: 0  
FAKE:    2   (=> simulated LC with snlc_sim.exe) 
MWEBV:       0.1020    MW E(B-V) 
MWEBV_ERR:   0.0163    error on MWEBV 
REDSHIFT_HELIO:   0.119222 +- 0.000500  (Helio, z_best) 
REDSHIFT_FINAL:   0.117940 +- 0.000500  (CMB) 
REDSHIFT_STATUS:  from Host Galaxy (Unconfirmed SN)

VPEC:         0.00  # v_pec correction
VPEC_ERR:     0.00  # error on above  
PEAKMJD:   53664.719 

HOSTGAL_OBJID:    -9  
HOSTGAL_PHOTOZ:   -9.0000  +- -9.0000 
HOSTGAL_SPECZ:    0.0000  +- 0.0000 
HOSTGAL_SNSEP:    -9.000    # arcsec 
 

SIM_MODEL_NAME:  SIMSED.91bg 
SIM_MODEL_INDEX:  7 
SIM_TYPE_INDEX:   0 
SIM_TYPE_NAME:    UNKNOWN 
SIM_NON1a:      0   (NONIA index) 
SIM_COMMENT:  SN Type = UNKNOWN , MODEL = SIMSED.91bg  
SIM_LIBID:  793  
SIM_NGEN_LIBID:  1  
SIM_NOBS_UNDEFINED:  0  
SIM_REDSHIFT_HELIO:  0.11957  
SIM_REDSHIFT_CMB:    0.11829  
SIM_REDSHIFT_HOST:   0.11957  
SIM_VPEC:  0.0 (km/sec) 
SIM_HOSTLIB_NPAR: 0 
SIM_DLMU:      38.7086  mag   [ -5*log10(10pc/dL) ]
SIM_LENSDMU:   0.0000  mag 
SIM_RA:        -32.699860 deg  
SIM_DECL:      -0.780544 deg  
SIM_MWRV:    3.100   (MilkyWay RV) 
SIM_MWEBV:   0.0888   (MilkyWay E(B-V)) 
SIMOPT_MWCOLORLAW:  94   (MW color-law option) 
SIMOPT_MWEBV:       1   (modify MWEBV_SFD)
SIM_MAGSMEAR_COH:    0.000  
SIM_GALFRAC:  -9.000 -9.000 -9.000  (gri F_gal/F_SNpeak for PSF=1'')
SIM_PEAKMAG:   21.85  20.60  20.27  (gri obs)
SIM_EXPOSURE:     1.0    1.0    1.0  (gri obs)
SIM_PEAKMJD:   53664.371094  days 
SIM_SALT2x0:   3.2851e-16   
SIM_SEARCHEFF_MASK:  5  (bits 1,2=> found by software,spec) 
SIM_SEARCHEFF_SPEC:  0.2488  (spectro-search efficiency (ignores pipelines)) 
SIM_TRESTMIN:    -8.23   days 
SIM_TRESTMAX:    31.95   days 
SIM_RISETIME_SHIFT:   0.0 days 
SIM_FALLTIME_SHIFT:   0.0 days 

SIMSED_NPAR: 2 
SIMSED_PARAM(stretch):  1.017756 
SIMSED_param(color):  0.584695 



# ============================================ 
# TERSE LIGHT CURVE OUTPUT: 
#
NOBS: 36 
NVAR: 9 
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR PHOTFLAG   ZPT  PSF  SIM_MAGOBS
OBS:  53655.156  g  82S   2.8327e+01   3.007e+01    0  28.520    1.41  23.4429 
OBS:  53655.156  r  82S   1.5284e+02   3.053e+01    0  28.240    1.10  22.4194 
OBS:  53655.156  i  82S   1.1508e+02   4.374e+01    0  27.880    1.22  22.1047 
OBS:  53664.184  g  82S   2.1656e+02   3.048e+01    0  28.510    1.51  21.8454 
OBS:  53664.184  r  82S   5.4458e+02   3.098e+01    0  28.240    1.25  20.6103 
OBS:  53664.184  i  82S   7.6333e+02   4.186e+01    0  27.880    1.15  20.2782 
OBS:  53666.148  g  82S   1.9354e+02   1.329e+01    0  28.520    0.93  21.9036 
OBS:  53666.148  r  82S   5.9462e+02   2.122e+01    0  28.240    0.80  20.5437 
OBS:  53666.148  i  82S   8.2415e+02   3.205e+01    0  27.880    0.72  20.1949 
DETECTION:  3 obs satisfy gr+ri+gi  at MJD_TRIGGER=53666.1480 
OBS:  53669.145  g  82S   1.2654e+02   1.315e+01    0  28.520    0.96  22.2028 
OBS:  53669.145  r  82S   6.2742e+02   2.136e+01    0  28.240    0.85  20.5948 
OBS:  53669.145  i  82S   8.5553e+02   3.207e+01    0  27.890    0.78  20.2042 
OBS:  53674.129  g  82S   7.2762e+01   1.412e+01    0  28.480    1.19  23.0336 
OBS:  53674.129  r  82S   3.5158e+02   2.304e+01    0  28.210    1.06  21.0091 
OBS:  53674.129  i  82S   6.2758e+02   3.488e+01    0  27.860    1.01  20.4499 
OBS:  53676.219  g  82S   5.8915e+01   1.378e+01    0  28.410    1.01  23.2905 
OBS:  53676.219  r  82S   3.4593e+02   2.146e+01    0  28.170    0.86  21.2016 
OBS:  53676.219  i  82S   6.0163e+02   3.106e+01    0  27.840    0.75  20.5864 
OBS:  53679.188  g  82S  -6.4530e+00   1.738e+01    0  28.450    1.66  23.4795 
OBS:  53679.188  r  82S   2.9321e+02   3.204e+01    0  28.200    1.87  21.4078 
OBS:  53679.188  i  82S   4.5435e+02   4.298e+01    0  27.850    1.56  20.7944 
OBS:  53681.180  g  82S   1.2809e+01   1.591e+01    0  28.450    1.18  23.6077 
OBS:  53681.180  r  82S   2.0224e+02   2.483e+01    0  28.200    0.92  21.5452 
OBS:  53681.180  i  82S   4.6666e+02   3.279e+01    0  27.850    0.87  20.9356 
OBS:  53685.141  g  82S  -4.6218e+00   3.768e+01    0  28.480    1.02  23.8668 
OBS:  53685.141  r  82S   2.1755e+02   6.796e+01    0  28.220    1.01  21.8203 
OBS:  53685.141  i  82S   2.9934e+02   4.480e+01    0  27.850    0.87  21.2192 
OBS:  53687.180  g  82S   8.3445e+01   4.186e+01    0  28.440    1.16  23.9983 
OBS:  53687.180  r  82S   1.3912e+02   3.988e+01    0  28.190    1.15  21.9615 
OBS:  53687.180  i  82S   2.4449e+02   3.933e+01    0  27.840    0.86  21.3629 
OBS:  53697.137  g  82S   3.0754e+01   1.713e+01    0  28.450    1.41  24.5663 
OBS:  53697.137  r  82S   8.4114e+01   2.901e+01    0  28.200    1.15  22.5532 
OBS:  53697.137  i  82S   1.8961e+02   3.625e+01    0  27.850    1.00  22.0363 
OBS:  53700.137  g  82S   3.5564e+01   1.531e+01    0  28.410    1.31  24.6665 
OBS:  53700.137  r  82S   1.0602e+02   2.400e+01    0  28.160    1.13  22.6674 
OBS:  53700.137  i  82S   1.2356e+02   3.691e+01    0  27.830    1.04  22.2014 
END_PHOTOMETRY: 
