SURVEY: SDSS   
SNID:   50864   
IAUC:    NULL 
PHOTOMETRY_VERSION: 91bg 
SNTYPE:  0 
FILTERS: gri 
RA:      -49.586849  deg 
DECL:    -0.397691  deg 
PIXSIZE:  0.4000  arcsec 
CCDNUM: 0  
FAKE:    2   (=> simulated LC with snlc_sim.exe) 
MWEBV:       0.0620    MW E(B-V) 
MWEBV_ERR:   0.0099    error on MWEBV 
REDSHIFT_HELIO:   0.183171 +- 0.000500  (Helio, z_best) 
REDSHIFT_FINAL:   0.182022 +- 0.000500  (CMB) 
REDSHIFT_STATUS:  OK 

VPEC:         0.00  # v_pec correction
VPEC_ERR:     0.00  # error on above  
PEAKMJD:   53660.832 

HOSTGAL_OBJID:    -9  
HOSTGAL_PHOTOZ:   -9.0000  +- -9.0000 
HOSTGAL_SPECZ:    0.0000  +- 0.0000 
HOSTGAL_SNSEP:    -9.000    # arcsec 
 

SIM_MODEL_NAME:  SIMSED.91bg 
SIM_MODEL_INDEX:  7 
SIM_TYPE_INDEX:   0 
SIM_TYPE_NAME:    UNKNOWN 
SIM_NON1a:      0   (NONIA index) 
SIM_COMMENT:  SN Type = UNKNOWN , MODEL = SIMSED.91bg  
SIM_LIBID:  414  
SIM_NGEN_LIBID:  1  
SIM_NOBS_UNDEFINED:  0  
SIM_REDSHIFT_HELIO:  0.18267  
SIM_REDSHIFT_CMB:    0.18152  
SIM_REDSHIFT_HOST:   0.18267  
SIM_VPEC:  -0.0 (km/sec) 
SIM_HOSTLIB_NPAR: 0 
SIM_DLMU:      39.7241  mag   [ -5*log10(10pc/dL) ]
SIM_LENSDMU:   0.0000  mag 
SIM_RA:        -49.586849 deg  
SIM_DECL:      -0.397691 deg  
SIM_MWRV:    3.100   (MilkyWay RV) 
SIM_MWEBV:   0.0445   (MilkyWay E(B-V)) 
SIMOPT_MWCOLORLAW:  94   (MW color-law option) 
SIMOPT_MWEBV:       1   (modify MWEBV_SFD)
SIM_MAGSMEAR_COH:    0.000  
SIM_GALFRAC:  -9.000 -9.000 -9.000  (gri F_gal/F_SNpeak for PSF=1'')
SIM_PEAKMAG:   22.88  21.56  21.16  (gri obs)
SIM_EXPOSURE:     1.0    1.0    1.0  (gri obs)
SIM_PEAKMJD:   53663.023438  days 
SIM_SALT2x0:   1.2893e-16   
SIM_SEARCHEFF_MASK:  3  (bits 1,2=> found by software,spec) 
SIM_SEARCHEFF_SPEC:  0.1705  (spectro-search efficiency (ignores pipelines)) 
SIM_TRESTMIN:   -15.07   days 
SIM_TRESTMAX:    31.34   days 
SIM_RISETIME_SHIFT:   0.0 days 
SIM_FALLTIME_SHIFT:   0.0 days 

SIMSED_NPAR: 2 
SIMSED_PARAM(stretch):  0.919179 
SIMSED_param(color):  0.461474 



# ============================================ 
# TERSE LIGHT CURVE OUTPUT: 
#
NOBS: 33 
NVAR: 9 
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR PHOTFLAG   ZPT  PSF  SIM_MAGOBS
OBS:  53645.199  g  82S  -1.2134e+01   1.388e+01    0  28.530    1.12  99.0000 
OBS:  53645.199  r  82S   2.1441e+00   2.203e+01    0  28.210    1.01  99.0000 
OBS:  53645.199  i  82S   9.2699e+01   3.618e+01    0  27.690    0.96  99.0000 
OBS:  53655.113  g  82S   1.1262e+01   2.234e+01    0  28.560    0.95  23.6239 
OBS:  53655.113  r  82S   1.0035e+02   2.490e+01    0  28.260    0.78  22.6578 
OBS:  53655.113  i  82S   1.4596e+02   3.303e+01    0  27.980    0.75  22.2973 
OBS:  53664.137  g  82S   9.5178e+01   2.735e+01    0  28.550    1.49  22.9359 
OBS:  53664.137  r  82S   2.2734e+02   2.916e+01    0  28.250    1.18  21.5319 
OBS:  53664.137  i  82S   3.5356e+02   4.151e+01    0  27.960    1.21  21.1218 
OBS:  53666.102  g  82S   6.8749e+01   1.239e+01    0  28.570    0.88  23.0810 
OBS:  53666.102  r  82S   2.3978e+02   2.061e+01    0  28.260    0.81  21.5205 
OBS:  53666.102  i  82S   3.9190e+02   3.045e+01    0  27.970    0.71  21.0938 
OBS:  53669.098  g  82S   3.0838e+01   1.251e+01    0  28.580    0.98  23.4879 
OBS:  53669.098  r  82S   2.1138e+02   2.090e+01    0  28.260    0.91  21.6692 
OBS:  53669.098  i  82S   2.8665e+02   3.050e+01    0  27.990    0.81  21.1461 
DETECTION:  3 obs satisfy gr+ri+gi  at MJD_TRIGGER=53669.0980 
OBS:  53674.082  g  82S   1.0739e+01   1.506e+01    0  28.530    1.45  24.3177 
OBS:  53674.082  r  82S   1.4330e+02   2.363e+01    0  28.240    1.07  22.1568 
OBS:  53674.082  i  82S   2.7515e+02   3.423e+01    0  27.950    0.95  21.4598 
OBS:  53681.133  g  82S   1.2667e+01   1.757e+01    0  28.520    1.04  24.7879 
OBS:  53681.133  r  82S   1.6442e+02   4.202e+01    0  28.230    0.88  22.6419 
OBS:  53681.133  i  82S   1.0786e+02   4.022e+01    0  27.950    0.78  21.9357 
OBS:  53685.094  g  82S  -1.7800e+01   9.640e+01    0  28.550    1.80  25.0284 
OBS:  53685.094  r  82S   4.4868e+01   5.194e+01    0  28.250    1.61  22.8966 
OBS:  53685.094  i  82S   1.6062e+02   5.814e+01    0  27.960    1.52  22.2070 
OBS:  53687.133  g  82S  -2.7045e+01   3.933e+01    0  28.510    1.35  25.1509 
OBS:  53687.133  r  82S   1.1905e+01   3.999e+01    0  28.220    1.22  23.0272 
OBS:  53687.133  i  82S   6.8269e+01   4.306e+01    0  27.950    1.03  22.3449 
OBS:  53697.090  g  82S  -1.3673e+01   1.510e+01    0  28.520    1.20  25.6188 
OBS:  53697.090  r  82S   2.5248e+01   2.597e+01    0  28.230    1.02  23.6115 
OBS:  53697.090  i  82S   3.8497e+01   3.320e+01    0  27.950    0.93  22.9707 
OBS:  53700.090  g  82S  -7.2674e+00   1.503e+01    0  28.460    1.25  25.7052 
