SURVEY: SDSS   
SNID:   50900   
IAUC:    NULL 
PHOTOMETRY_VERSION: 91bg 
SNTYPE:  100 
FILTERS: gri 
RA:      5.711775  deg 
DECL:    -0.734654  deg 
PIXSIZE:  0.4000  arcsec 
CCDNUM: 0  
FAKE:    2   (=> simulated LC with snlc_sim.exe) 
MWEBV:       0.0260    MW E(B-V) 
MWEBV_ERR:   0.0042    error on MWEBV 
REDSHIFT_HELIO:   0.190804 +- 0.000500  (Helio, z_best) 
REDSHIFT_FINAL:   0.189414 +- 0.000500  (CMB) 
REDSHIFT_STATUS:  from Host Galaxy (Unconfirmed SN)

VPEC:         0.00  # v_pec correction
VPEC_ERR:     0.00  # error on above  
PEAKMJD:   53673.723 

HOSTGAL_OBJID:    -9  
HOSTGAL_PHOTOZ:   -9.0000  +- -9.0000 
HOSTGAL_SPECZ:    0.0000  +- 0.0000 
HOSTGAL_SNSEP:    -9.000    # arcsec 
 

SIM_MODEL_NAME:  SIMSED.91bg 
SIM_MODEL_INDEX:  7 
SIM_TYPE_INDEX:   0 
SIM_TYPE_NAME:    UNKNOWN 
SIM_NON1a:      0   (NONIA index) 
SIM_COMMENT:  SN Type = UNKNOWN , MODEL = SIMSED.91bg  
SIM_LIBID:  530  
SIM_NGEN_LIBID:  1  
SIM_NOBS_UNDEFINED:  0  
SIM_REDSHIFT_HELIO:  0.18985  
SIM_REDSHIFT_CMB:    0.18846  
SIM_REDSHIFT_HOST:   0.18985  
SIM_VPEC:  0.0 (km/sec) 
SIM_HOSTLIB_NPAR: 0 
SIM_DLMU:      39.8150  mag   [ -5*log10(10pc/dL) ]
SIM_LENSDMU:   0.0000  mag 
SIM_RA:        5.711775 deg  
SIM_DECL:      -0.734654 deg  
SIM_MWRV:    3.100   (MilkyWay RV) 
SIM_MWEBV:   0.0277   (MilkyWay E(B-V)) 
SIMOPT_MWCOLORLAW:  94   (MW color-law option) 
SIMOPT_MWEBV:       1   (modify MWEBV_SFD)
SIM_MAGSMEAR_COH:    0.000  
SIM_GALFRAC:  -9.000 -9.000 -9.000  (gri F_gal/F_SNpeak for PSF=1'')
SIM_PEAKMAG:   22.82  21.59  21.21  (gri obs)
SIM_EXPOSURE:     1.0    1.0    1.0  (gri obs)
SIM_PEAKMJD:   53672.671875  days 
SIM_SALT2x0:   1.1858e-16   
SIM_SEARCHEFF_MASK:  5  (bits 1,2=> found by software,spec) 
SIM_SEARCHEFF_SPEC:  0.1694  (spectro-search efficiency (ignores pipelines)) 
SIM_TRESTMIN:   -14.63   days 
SIM_TRESTMAX:    27.36   days 
SIM_RISETIME_SHIFT:   0.0 days 
SIM_FALLTIME_SHIFT:   0.0 days 

SIMSED_NPAR: 2 
SIMSED_PARAM(stretch):  0.868965 
SIMSED_param(color):  0.398706 



# ============================================ 
# TERSE LIGHT CURVE OUTPUT: 
#
NOBS: 36 
NVAR: 9 
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR PHOTFLAG   ZPT  PSF  SIM_MAGOBS
OBS:  53655.266  g  82S   1.5955e-01   2.888e+01    0  28.520    1.69  99.0000 
OBS:  53655.266  r  82S   2.4869e+01   3.125e+01    0  28.240    1.48  99.0000 
OBS:  53655.266  i  82S   1.1261e+02   4.694e+01    0  27.890    1.51  99.0000 
OBS:  53664.289  g  82S  -4.0350e-02   2.767e+01    0  28.510    1.14  23.6989 
OBS:  53664.289  r  82S   6.1194e+01   3.214e+01    0  28.240    1.06  22.8210 
OBS:  53664.289  i  82S   1.7830e+02   5.048e+01    0  27.880    1.02  22.4883 
OBS:  53669.250  g  82S   7.7453e+01   1.346e+01    0  28.500    1.08  22.8613 
OBS:  53669.250  r  82S   1.6033e+02   2.104e+01    0  28.230    0.97  21.8274 
OBS:  53669.250  i  82S   2.2140e+02   3.379e+01    0  27.880    0.98  21.4977 
OBS:  53671.336  g  82S   8.5726e+01   1.682e+01    0  28.390    1.41  22.7983 
OBS:  53671.336  r  82S   2.5370e+02   2.640e+01    0  28.170    1.37  21.6546 
OBS:  53671.336  i  82S   3.1259e+02   3.849e+01    0  27.830    1.14  21.2947 
OBS:  53674.234  g  82S   6.4847e+01   1.446e+01    0  28.480    1.26  22.9075 
OBS:  53674.234  r  82S   2.3168e+02   2.202e+01    0  28.210    1.06  21.5507 
OBS:  53674.234  i  82S   3.7746e+02   3.358e+01    0  27.860    1.05  21.1592 
OBS:  53676.324  g  82S   8.1042e+01   1.421e+01    0  28.420    1.05  23.0894 
OBS:  53676.324  r  82S   2.6961e+02   2.157e+01    0  28.190    0.92  21.5660 
OBS:  53676.324  i  82S   3.5017e+02   3.186e+01    0  27.860    0.88  21.1491 
DETECTION:  3 obs satisfy gr+ri+gi  at MJD_TRIGGER=53676.3240 
OBS:  53679.297  g  82S   2.4740e+01   1.717e+01    0  28.450    1.67  23.5229 
OBS:  53679.297  r  82S   1.7989e+02   2.918e+01    0  28.200    1.52  21.7548 
OBS:  53679.297  i  82S   3.1766e+02   4.529e+01    0  27.850    1.49  21.2115 
OBS:  53681.285  g  82S   4.9635e+01   1.523e+01    0  28.450    1.39  23.8599 
OBS:  53681.285  r  82S   1.8149e+02   2.266e+01    0  28.200    1.05  21.9434 
OBS:  53681.285  i  82S   3.2060e+02   3.225e+01    0  27.850    0.93  21.3318 
OBS:  53685.246  g  82S  -8.0143e+00   5.201e+01    0  28.480    1.47  24.4034 
OBS:  53685.246  r  82S   1.0765e+02   4.686e+01    0  28.220    1.14  22.3342 
OBS:  53685.246  i  82S   1.8252e+02   4.924e+01    0  27.850    1.00  21.6098 
OBS:  53697.242  g  82S   1.1358e+00   1.451e+01    0  28.450    1.19  25.1150 
OBS:  53697.242  r  82S   4.1724e+01   2.192e+01    0  28.200    1.12  23.0977 
OBS:  53697.242  i  82S   1.0768e+02   3.254e+01    0  27.850    1.05  22.4200 
OBS:  53700.242  g  82S   2.0217e+01   1.770e+01    0  28.410    1.68  25.2927 
OBS:  53700.242  r  82S   7.4055e+01   2.728e+01    0  28.170    1.55  23.2892 
OBS:  53700.242  i  82S   9.1052e+01   4.004e+01    0  27.830    1.40  22.6228 
OBS:  53705.230  g  82S  -2.1224e+01   1.521e+01    0  28.450    1.42  25.5103 
OBS:  53705.230  r  82S   2.7467e+01   2.147e+01    0  28.190    1.11  23.6048 
OBS:  53705.230  i  82S   8.3269e+01   3.177e+01    0  27.860    1.05  22.9365 
END_PHOTOMETRY: 
