SURVEY: SDSS   
SNID:   50949   
IAUC:    NULL 
PHOTOMETRY_VERSION: 91bg 
SNTYPE:  100 
FILTERS: gri 
RA:      -15.704784  deg 
DECL:    0.132933  deg 
PIXSIZE:  0.4000  arcsec 
CCDNUM: 0  
FAKE:    2   (=> simulated LC with snlc_sim.exe) 
MWEBV:       0.0590    MW E(B-V) 
MWEBV_ERR:   0.0094    error on MWEBV 
REDSHIFT_HELIO:   0.183537 +- 0.000500  (Helio, z_best) 
REDSHIFT_FINAL:   0.182088 +- 0.000500  (CMB) 
REDSHIFT_STATUS:  from Host Galaxy (Unconfirmed SN)

VPEC:         0.00  # v_pec correction
VPEC_ERR:     0.00  # error on above  
PEAKMJD:   53672.727 

HOSTGAL_OBJID:    -9  
HOSTGAL_PHOTOZ:   -9.0000  +- -9.0000 
HOSTGAL_SPECZ:    0.0000  +- 0.0000 
HOSTGAL_SNSEP:    -9.000    # arcsec 
 

SIM_MODEL_NAME:  SIMSED.91bg 
SIM_MODEL_INDEX:  7 
SIM_TYPE_INDEX:   0 
SIM_TYPE_NAME:    UNKNOWN 
SIM_NON1a:      0   (NONIA index) 
SIM_COMMENT:  SN Type = UNKNOWN , MODEL = SIMSED.91bg  
SIM_LIBID:  669  
SIM_NGEN_LIBID:  1  
SIM_NOBS_UNDEFINED:  0  
SIM_REDSHIFT_HELIO:  0.18456  
SIM_REDSHIFT_CMB:    0.18311  
SIM_REDSHIFT_HOST:   0.18456  
SIM_VPEC:  -0.0 (km/sec) 
SIM_HOSTLIB_NPAR: 0 
SIM_DLMU:      39.7457  mag   [ -5*log10(10pc/dL) ]
SIM_LENSDMU:   0.0000  mag 
SIM_RA:        -15.704784 deg  
SIM_DECL:      0.132933 deg  
SIM_MWRV:    3.100   (MilkyWay RV) 
SIM_MWEBV:   0.0717   (MilkyWay E(B-V)) 
SIMOPT_MWCOLORLAW:  94   (MW color-law option) 
SIMOPT_MWEBV:       1   (modify MWEBV_SFD)
SIM_MAGSMEAR_COH:    0.000  
SIM_GALFRAC:  -9.000 -9.000 -9.000  (gri F_gal/F_SNpeak for PSF=1'')
SIM_PEAKMAG:   23.35  21.74  21.25  (gri obs)
SIM_EXPOSURE:     1.0    1.0    1.0  (gri obs)
SIM_PEAKMJD:   53673.289062  days 
SIM_SALT2x0:   1.2639e-16   
SIM_SEARCHEFF_MASK:  5  (bits 1,2=> found by software,spec) 
SIM_SEARCHEFF_SPEC:  0.1616  (spectro-search efficiency (ignores pipelines)) 
SIM_TRESTMIN:   -15.26   days 
SIM_TRESTMAX:    26.92   days 
SIM_RISETIME_SHIFT:   0.0 days 
SIM_FALLTIME_SHIFT:   0.0 days 

SIMSED_NPAR: 2 
SIMSED_PARAM(stretch):  1.067347 
SIMSED_param(color):  0.646684 



# ============================================ 
# TERSE LIGHT CURVE OUTPUT: 
#
NOBS: 36 
NVAR: 9 
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR PHOTFLAG   ZPT  PSF  SIM_MAGOBS
OBS:  53655.207  g  82S   1.3184e+01   3.809e+01    0  28.580    1.88  99.0000 
OBS:  53655.207  r  82S   1.8157e+01   3.527e+01    0  28.220    1.47  99.0000 
OBS:  53655.207  i  82S   1.7919e+01   4.908e+01    0  28.000    1.55  99.0000 
OBS:  53664.230  g  82S   7.8681e+01   2.952e+01    0  28.570    1.52  24.4978 
OBS:  53664.230  r  82S   6.5913e+01   3.487e+01    0  28.210    1.45  23.2431 
OBS:  53664.230  i  82S   1.4282e+02   4.617e+01    0  28.000    1.41  22.8000 
OBS:  53666.195  g  82S   2.0468e+01   1.448e+01    0  28.590    0.97  23.8239 
OBS:  53666.195  r  82S   8.1534e+01   2.263e+01    0  28.230    0.97  22.5831 
OBS:  53666.195  i  82S   6.6908e+01   3.267e+01    0  27.990    0.86  22.1383 
OBS:  53669.191  g  82S   2.6853e+01   1.369e+01    0  28.580    1.22  23.4292 
OBS:  53669.191  r  82S   1.3705e+02   2.237e+01    0  28.230    1.09  22.0546 
OBS:  53669.191  i  82S   1.8625e+02   3.313e+01    0  28.010    0.94  21.6242 
OBS:  53674.176  g  82S   2.6071e+01   1.501e+01    0  28.550    1.50  23.3932 
OBS:  53674.176  r  82S   2.1896e+02   2.507e+01    0  28.200    1.40  21.7148 
OBS:  53674.176  i  82S   3.3959e+02   3.907e+01    0  27.980    1.39  21.2199 
OBS:  53676.266  g  82S   2.9262e+01   1.391e+01    0  28.490    1.07  23.5432 
OBS:  53676.266  r  82S   2.3729e+02   2.101e+01    0  28.180    0.93  21.6961 
OBS:  53676.266  i  82S   3.6220e+02   3.047e+01    0  27.980    0.84  21.1847 
OBS:  53679.234  g  82S   5.8300e+01   1.606e+01    0  28.500    1.52  23.9427 
OBS:  53679.234  r  82S   2.1948e+02   2.652e+01    0  28.170    1.47  21.8377 
OBS:  53679.234  i  82S   2.9126e+02   3.885e+01    0  27.950    1.36  21.2328 
DETECTION:  3 obs satisfy gr+ri+gi  at MJD_TRIGGER=53679.2340 
OBS:  53681.227  g  82S   1.7447e+01   1.308e+01    0  28.510    0.99  24.2796 
OBS:  53681.227  r  82S   1.5138e+02   3.330e+01    0  28.170    0.92  22.0185 
OBS:  53681.227  i  82S   2.7767e+02   3.148e+01    0  27.950    0.82  21.3297 
OBS:  53687.227  g  82S   2.6896e+01   5.174e+01    0  28.490    1.46  25.0200 
OBS:  53687.227  r  82S   9.1601e+01   4.233e+01    0  28.160    1.11  22.5547 
OBS:  53687.227  i  82S   2.3563e+02   4.421e+01    0  27.950    0.97  21.7439 
OBS:  53697.184  g  82S  -4.2420e+00   1.535e+01    0  28.510    1.42  25.6173 
OBS:  53697.184  r  82S   6.3745e+01   2.546e+01    0  28.170    1.34  23.1927 
OBS:  53697.184  i  82S   1.0966e+02   3.309e+01    0  27.950    1.11  22.4216 
OBS:  53700.184  g  82S   6.9384e-01   1.637e+01    0  28.480    1.55  25.8007 
OBS:  53700.184  r  82S   5.6305e+01   2.413e+01    0  28.160    1.33  23.3843 
