SURVEY: SDSS   
SNID:   41   
IAUC:    NULL 
PHOTOMETRY_VERSION: 91bg 
SNTYPE:  100 
FILTERS: ugriz 
RA:      12.628891  deg 
DECL:    0.289548  deg 
PIXSIZE:  0.4000  arcsec 
CCDNUM: 0  
FAKE:    2   (=> simulated LC with snlc_sim.exe) 
MWEBV:       0.0220    MW E(B-V) 
MWEBV_ERR:   0.0035    error on MWEBV 
REDSHIFT_HELIO:   0.227539 +- 0.000500  (Helio, z_best) 
REDSHIFT_FINAL:   0.226168 +- 0.000500  (CMB) 
REDSHIFT_STATUS:  from Host Galaxy (Unconfirmed SN)

VPEC:         0.00  # v_pec correction
VPEC_ERR:     0.00  # error on above  
PEAKMJD:   53676.852 

HOSTGAL_OBJID:    -9  
HOSTGAL_PHOTOZ:   -9.0000  +- -9.0000 
HOSTGAL_SPECZ:    0.0000  +- 0.0000 
HOSTGAL_SNSEP:    -9.000    # arcsec 
 

SIM_MODEL_NAME:  SIMSED.91BG 
SIM_MODEL_INDEX:  7 
SIM_TYPE_INDEX:   0 
SIM_TYPE_NAME:    UNKNOWN 
SIM_NON1a:      0   (NONIA index) 
SIM_COMMENT:  SN Type = UNKNOWN , MODEL = SIMSED.91BG  
SIM_LIBID:  102  
SIM_NGEN_LIBID:  1  
SIM_NOBS_UNDEFINED:  0  
SIM_REDSHIFT_HELIO:  0.22784  
SIM_REDSHIFT_CMB:    0.22647  
SIM_REDSHIFT_HOST:   0.22784  
SIM_VPEC:  0.0 (km/sec) 
SIM_HOSTLIB_NPAR: 0 
SIM_DLMU:      40.2616  mag   [ -5*log10(10pc/dL) ]
SIM_LENSDMU:   0.0000  mag 
SIM_RA:        12.628891 deg  
SIM_DECL:      0.289548 deg  
SIM_MWRV:    3.100   (MilkyWay RV) 
SIM_MWEBV:   0.0244   (MilkyWay E(B-V)) 
SIMOPT_MWCOLORLAW:  94   (MW color-law option) 
SIMOPT_MWEBV:       1   (modify MWEBV_SFD)
SIM_MAGSMEAR_COH:    0.000  
SIM_GALFRAC:  -9.000 -9.000 -9.000 -9.000 -9.000  (ugriz F_gal/F_SNpeak for PSF=1'')
SIM_PEAKMAG:   24.73  22.61  21.61  21.29  21.44  (ugriz obs)
SIM_EXPOSURE:     1.0    1.0    1.0    1.0    1.0  (ugriz obs)
SIM_PEAKMJD:   53676.976562  days 
SIM_SALT2x0:   7.8588e-17   
SIM_SEARCHEFF_MASK:  5  (bits 1,2=> found by software,spec) 
SIM_SEARCHEFF_SPEC:  0.1683  (spectro-search efficiency (ignores pipelines)) 
SIM_TRESTMIN:   -11.14   days 
SIM_TRESTMAX:    22.21   days 
SIM_RISETIME_SHIFT:   0.0 days 
SIM_FALLTIME_SHIFT:   0.0 days 

SIMSED_NPAR: 2 
SIMSED_PARAM(stretch):  1.079577 
SIMSED_PARAM(color):  0.180347 



# ============================================ 
# TERSE LIGHT CURVE OUTPUT: 
#
NOBS: 65 
NVAR: 9 
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR PHOTFLAG   ZPT  PSF  SIM_MAGOBS
OBS:  53663.297  u  82N  -4.4872e+01   7.333e+01    0  27.410    1.02  27.2845 
OBS:  53663.297  g  82N   5.4780e+00   2.729e+01    0  28.580    1.01  25.1571 
OBS:  53663.297  r  82N   1.5808e+01   2.817e+01    0  28.240    0.92  24.5163 
OBS:  53663.297  i  82N  -2.1848e+01   3.294e+01    0  28.010    0.82  24.2545 
OBS:  53663.297  z  82N   1.8263e+02   1.271e+02    0  26.100    0.96  24.4019 
OBS:  53665.273  u  82N  -3.7511e+01   5.144e+01    0  27.440    0.95  25.9841 
OBS:  53665.273  g  82N  -1.0410e+00   1.791e+01    0  28.560    0.87  24.3021 
OBS:  53665.273  r  82N   2.1676e+01   7.587e+01    0  27.880    0.77  23.6671 
OBS:  53665.273  i  82N   2.3846e+01   3.079e+01    0  27.980    0.70  23.4119 
OBS:  53665.273  z  82N   8.1152e+01   1.005e+02    0  26.080    0.73  23.5585 
OBS:  53666.367  u  82N   4.2852e+01   7.872e+01    0  27.170    1.30  25.5008 
OBS:  53666.367  g  82N   2.0844e+01   2.372e+01    0  28.500    1.20  23.8810 
OBS:  53666.367  r  82N  -7.5688e+00   2.669e+01    0  28.180    1.08  23.2560 
OBS:  53666.367  i  82N   4.8576e+01   3.422e+01    0  27.960    0.95  22.9990 
OBS:  53666.367  z  82N  -7.4673e+01   1.348e+02    0  26.020    0.98  23.1452 
OBS:  53668.285  u  82N   8.2887e+01   6.860e+01    0  27.410    1.90  25.0448 
OBS:  53668.285  g  82N   4.3042e+01   1.962e+01    0  28.590    1.67  23.2464 
OBS:  53668.285  r  82N   6.2850e+01   3.021e+01    0  28.220    1.63  22.6446 
OBS:  53668.285  i  82N   5.3518e+01   4.413e+01    0  28.010    1.57  22.3767 
OBS:  53668.285  z  82N  -9.9055e+01   1.762e+02    0  26.110    1.46  22.5258 
OBS:  53670.289  u  82N   8.2760e+01   5.708e+01    0  27.340    1.59  24.7901 
OBS:  53670.289  g  82N   6.7556e+01   1.484e+01    0  28.540    1.32  22.8518 
OBS:  53670.289  r  82N   1.4889e+02   2.330e+01    0  28.200    1.28  22.1833 
OBS:  53670.289  i  82N   1.9285e+02   3.660e+01    0  27.980    1.29  21.9341 
OBS:  53670.289  z  82N   3.2826e+02   1.407e+02    0  26.050    1.11  22.0648 
OBS:  53673.258  u  82N  -3.2374e+01   4.579e+01    0  27.400    1.16  24.5680 
OBS:  53673.258  g  82N   8.0179e+01   1.385e+01    0  28.560    1.15  22.6495 
OBS:  53673.258  r  82N   1.6997e+02   2.075e+01    0  28.210    0.95  21.8304 
OBS:  53673.258  i  82N   2.6995e+02   3.202e+01    0  27.990    0.95  21.5735 
OBS:  53673.258  z  82N   9.8319e+01   1.286e+02    0  26.070    1.00  21.7097 
OBS:  53675.254  u  82N   5.2380e+00   5.189e+01    0  27.400    1.43  24.5987 
OBS:  53675.254  g  82N   7.3459e+01   1.508e+01    0  28.570    1.41  22.5934 
OBS:  53675.254  r  82N   1.7600e+02   2.608e+01    0  28.220    1.32  21.6819 
OBS:  53675.254  i  82N   3.0529e+02   4.029e+01    0  28.000    1.28  21.3927 
OBS:  53675.254  z  82N   1.4456e+02   1.366e+02    0  26.100    1.04  21.5379 
DETECTION:  3 obs satisfy gr+ri+gi  at MJD_TRIGGER=53675.2540 
OBS:  53677.277  u  82N  -4.8280e+01   5.718e+01    0  26.960    1.09  24.7651 
OBS:  53677.277  g  82N   9.6992e+01   1.384e+01    0  28.340    0.96  22.6258 
OBS:  53677.277  r  82N   2.2265e+02   2.084e+01    0  28.160    0.95  21.6052 
OBS:  53677.277  i  82N   2.9661e+02   3.160e+01    0  27.890    0.87  21.2777 
OBS:  53677.277  z  82N   9.3604e+01   1.049e+02    0  26.150    0.85  21.4251 
OBS:  53680.262  u  82N   9.0700e+01   4.577e+01    0  27.370    1.10  25.1039 
OBS:  53680.262  g  82N   8.5725e+01   1.339e+01    0  28.540    1.03  22.8154 
OBS:  53680.262  r  82N   2.6263e+02   2.120e+01    0  28.190    0.91  21.6023 
OBS:  53680.262  i  82N   4.5377e+02   3.110e+01    0  27.970    0.84  21.2221 
OBS:  53680.262  z  82N   2.5758e+02   1.151e+02    0  26.090    0.88  21.3509 
OBS:  53693.266  u  82N   2.2138e+01   8.623e+01    0  27.300    1.33  26.4238 
OBS:  53693.266  g  82N   6.4876e+01   3.260e+01    0  28.520    1.41  24.3148 
OBS:  53693.266  r  82N   8.1826e+01   2.832e+01    0  28.170    1.01  22.6778 
OBS:  53693.266  i  82N   1.7489e+02   3.423e+01    0  27.960    0.89  21.8312 
OBS:  53693.266  z  82N   1.4507e+02   1.423e+02    0  26.090    1.11  21.8436 
OBS:  53698.262  u  82N   1.1568e+01   6.059e+01    0  27.190    1.58  26.4398 
OBS:  53698.262  g  82N   6.4869e+00   2.022e+01    0  28.180    1.66  24.5758 
OBS:  53698.262  r  82N   7.1929e+01   2.308e+01    0  28.160    1.25  22.9595 
OBS:  53698.262  i  82N   1.6983e+02   3.668e+01    0  27.920    1.21  22.1341 
OBS:  53698.262  z  82N   3.0067e+02   1.744e+02    0  25.980    1.38  22.1238 
OBS:  53699.285  u  82N  -1.6897e+01   5.076e+01    0  27.160    1.20  26.4448 
OBS:  53699.285  g  82N  -8.9310e+00   1.368e+01    0  28.470    1.19  24.6299 
OBS:  53699.285  r  82N   4.7524e+01   2.132e+01    0  28.150    1.01  23.0169 
OBS:  53699.285  i  82N   1.5558e+02   3.264e+01    0  27.940    0.96  22.1963 
OBS:  53699.285  z  82N  -6.4583e+00   1.183e+02    0  26.070    0.91  22.1816 
OBS:  53704.246  u  82N   4.9913e+01   5.949e+01    0  27.310    1.74  26.4798 
OBS:  53704.246  g  82N   1.0765e+01   1.644e+01    0  28.530    1.69  24.8908 
OBS:  53704.246  r  82N   9.5793e+01   2.881e+01    0  28.190    1.70  23.2957 
OBS:  53704.246  i  82N   1.4591e+02   4.116e+01    0  27.990    1.51  22.4960 
OBS:  53704.246  z  82N   2.8880e+02   1.879e+02    0  26.100    1.59  22.4578 
END_PHOTOMETRY: 
