SURVEY: SDSS   
SNID:   617   
IAUC:    NULL 
PHOTOMETRY_VERSION: 91bg 
SNTYPE:  100 
FILTERS: ugriz 
RA:      36.509548  deg 
DECL:    -0.231258  deg 
PIXSIZE:  0.4000  arcsec 
CCDNUM: 0  
FAKE:    2   (=> simulated LC with snlc_sim.exe) 
MWEBV:       0.0370    MW E(B-V) 
MWEBV_ERR:   0.0059    error on MWEBV 
REDSHIFT_HELIO:   0.126776 +- 0.000500  (Helio, z_best) 
REDSHIFT_FINAL:   0.125860 +- 0.000500  (CMB) 
REDSHIFT_STATUS:  from Host Galaxy (Unconfirmed SN)

VPEC:         0.00  # v_pec correction
VPEC_ERR:     0.00  # error on above  
PEAKMJD:   53698.152 

HOSTGAL_OBJID:    -9  
HOSTGAL_PHOTOZ:   -9.0000  +- -9.0000 
HOSTGAL_SPECZ:    0.0000  +- 0.0000 
HOSTGAL_SNSEP:    -9.000    # arcsec 
 

SIM_MODEL_NAME:  SIMSED.91BG 
SIM_MODEL_INDEX:  7 
SIM_TYPE_INDEX:   0 
SIM_TYPE_NAME:    UNKNOWN 
SIM_NON1a:      0   (NONIA index) 
SIM_COMMENT:  SN Type = UNKNOWN , MODEL = SIMSED.91BG  
SIM_LIBID:  756  
SIM_NGEN_LIBID:  1  
SIM_NOBS_UNDEFINED:  0  
SIM_REDSHIFT_HELIO:  0.12703  
SIM_REDSHIFT_CMB:    0.12612  
SIM_REDSHIFT_HOST:   0.12703  
SIM_VPEC:  0.0 (km/sec) 
SIM_HOSTLIB_NPAR: 0 
SIM_DLMU:      38.8582  mag   [ -5*log10(10pc/dL) ]
SIM_LENSDMU:   0.0000  mag 
SIM_RA:        36.509548 deg  
SIM_DECL:      -0.231258 deg  
SIM_MWRV:    3.100   (MilkyWay RV) 
SIM_MWEBV:   0.0379   (MilkyWay E(B-V)) 
SIMOPT_MWCOLORLAW:  94   (MW color-law option) 
SIMOPT_MWEBV:       1   (modify MWEBV_SFD)
SIM_MAGSMEAR_COH:    0.000  
SIM_GALFRAC:  -9.000 -9.000 -9.000 -9.000 -9.000  (ugriz F_gal/F_SNpeak for PSF=1'')
SIM_PEAKMAG:   23.90  21.73  20.57  20.27  20.49  (ugriz obs)
SIM_EXPOSURE:     1.0    1.0    1.0    1.0    1.0  (ugriz obs)
SIM_PEAKMJD:   53697.597656  days 
SIM_SALT2x0:   2.8625e-16   
SIM_SEARCHEFF_MASK:  5  (bits 1,2=> found by software,spec) 
SIM_SEARCHEFF_SPEC:  0.2522  (spectro-search efficiency (ignores pipelines)) 
SIM_TRESTMIN:   -14.40   days 
SIM_TRESTMAX:     6.85   days 
SIM_RISETIME_SHIFT:   0.0 days 
SIM_FALLTIME_SHIFT:   0.0 days 

SIMSED_NPAR: 2 
SIMSED_PARAM(stretch):  1.034478 
SIMSED_PARAM(color):  0.542934 



# ============================================ 
# TERSE LIGHT CURVE OUTPUT: 
#
NOBS: 25 
NVAR: 9 
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR PHOTFLAG   ZPT  PSF  SIM_MAGOBS
OBS:  53681.371  u  82S  -5.5379e+01   4.536e+01    0  27.350    1.29  99.0000 
OBS:  53681.371  g  82S   9.9890e+00   1.372e+01    0  28.520    1.14  99.0000 
OBS:  53681.371  r  82S   1.9761e+01   2.059e+01    0  28.230    0.96  99.0000 
OBS:  53681.371  i  82S   2.6325e+01   3.005e+01    0  27.950    0.88  99.0000 
OBS:  53681.371  z  82S   1.2261e+02   9.150e+01    0  26.110    0.93  99.0000 
OBS:  53684.332  u  82S   4.7592e+01   5.082e+01    0  27.420    1.58  27.2833 
OBS:  53684.332  g  82S   1.6546e+01   1.470e+01    0  28.550    1.39  25.2659 
OBS:  53684.332  r  82S   5.5641e+01   3.064e+01    0  28.250    1.31  24.3329 
OBS:  53684.332  i  82S   4.7165e+01   3.857e+01    0  27.960    1.29  24.0566 
OBS:  53684.332  z  82S   1.1187e+02   1.297e+02    0  26.120    1.33  24.2856 
OBS:  53697.328  u  82S  -1.2184e+01   5.333e+01    0  27.340    1.17  23.8774 
OBS:  53697.328  g  82S   1.8264e+02   1.818e+01    0  28.520    1.06  21.7291 
OBS:  53697.328  r  82S   5.8598e+02   2.458e+01    0  28.230    0.98  20.5852 
OBS:  53697.328  i  82S   7.6966e+02   3.457e+01    0  27.950    0.90  20.2856 
OBS:  53697.328  z  82S   7.4789e+02   1.035e+02    0  26.110    0.88  20.5054 
OBS:  53700.328  u  82S   3.9370e+01   5.514e+01    0  27.320    1.71  24.1912 
OBS:  53700.328  g  82S   1.8194e+02   1.643e+01    0  28.460    1.57  21.8507 
OBS:  53700.328  r  82S   6.1301e+02   2.897e+01    0  28.200    1.59  20.5138 
OBS:  53700.328  i  82S   8.5874e+02   4.254e+01    0  27.930    1.42  20.1867 
OBS:  53700.328  z  82S   6.2693e+02   1.328e+02    0  26.070    1.25  20.4097 
OBS:  53705.316  u  82S   2.1669e-01   4.996e+01    0  27.350    1.50  24.9141 
OBS:  53705.316  g  82S   9.5422e+01   1.648e+01    0  28.500    1.58  22.5199 
OBS:  53705.316  r  82S   4.7463e+02   2.585e+01    0  28.220    1.32  20.7581 
OBS:  53705.316  i  82S   7.0740e+02   3.759e+01    0  27.960    1.23  20.3273 
OBS:  53705.316  z  82S   5.9288e+02   1.215e+02    0  26.100    1.13  20.4789 
END_PHOTOMETRY: 
