SURVEY: SDSS   
SNID:   619   
IAUC:    NULL 
PHOTOMETRY_VERSION: 91bg 
SNTYPE:  100 
FILTERS: ugriz 
RA:      17.626068  deg 
DECL:    0.228777  deg 
PIXSIZE:  0.4000  arcsec 
CCDNUM: 0  
FAKE:    2   (=> simulated LC with snlc_sim.exe) 
MWEBV:       0.0250    MW E(B-V) 
MWEBV_ERR:   0.0040    error on MWEBV 
REDSHIFT_HELIO:   0.099259 +- 0.000500  (Helio, z_best) 
REDSHIFT_FINAL:   0.098086 +- 0.000500  (CMB) 
REDSHIFT_STATUS:  from Host Galaxy (Unconfirmed SN)

VPEC:         0.00  # v_pec correction
VPEC_ERR:     0.00  # error on above  
PEAKMJD:   53693.859 

HOSTGAL_OBJID:    -9  
HOSTGAL_PHOTOZ:   -9.0000  +- -9.0000 
HOSTGAL_SPECZ:    0.0000  +- 0.0000 
HOSTGAL_SNSEP:    -9.000    # arcsec 
 

SIM_MODEL_NAME:  SIMSED.91BG 
SIM_MODEL_INDEX:  7 
SIM_TYPE_INDEX:   0 
SIM_TYPE_NAME:    UNKNOWN 
SIM_NON1a:      0   (NONIA index) 
SIM_COMMENT:  SN Type = UNKNOWN , MODEL = SIMSED.91BG  
SIM_LIBID:  759  
SIM_NGEN_LIBID:  1  
SIM_NOBS_UNDEFINED:  0  
SIM_REDSHIFT_HELIO:  0.09906  
SIM_REDSHIFT_CMB:    0.09789  
SIM_REDSHIFT_HOST:   0.09906  
SIM_VPEC:  0.0 (km/sec) 
SIM_HOSTLIB_NPAR: 0 
SIM_DLMU:      38.2681  mag   [ -5*log10(10pc/dL) ]
SIM_LENSDMU:   0.0000  mag 
SIM_RA:        17.626068 deg  
SIM_DECL:      0.228777 deg  
SIM_MWRV:    3.100   (MilkyWay RV) 
SIM_MWEBV:   0.0228   (MilkyWay E(B-V)) 
SIMOPT_MWCOLORLAW:  94   (MW color-law option) 
SIMOPT_MWEBV:       1   (modify MWEBV_SFD)
SIM_MAGSMEAR_COH:    0.000  
SIM_GALFRAC:  -9.000 -9.000 -9.000 -9.000 -9.000  (ugriz F_gal/F_SNpeak for PSF=1'')
SIM_PEAKMAG:   23.01  20.99  19.96  19.71  19.98  (ugriz obs)
SIM_EXPOSURE:     1.0    1.0    1.0    1.0    1.0  (ugriz obs)
SIM_PEAKMJD:   53695.402344  days 
SIM_SALT2x0:   4.9292e-16   
SIM_SEARCHEFF_MASK:  5  (bits 1,2=> found by software,spec) 
SIM_SEARCHEFF_SPEC:  0.3645  (spectro-search efficiency (ignores pipelines)) 
SIM_TRESTMIN:   -13.76   days 
SIM_TRESTMAX:     8.06   days 
SIM_RISETIME_SHIFT:   0.0 days 
SIM_FALLTIME_SHIFT:   0.0 days 

SIMSED_NPAR: 2 
SIMSED_PARAM(stretch):  0.959963 
SIMSED_PARAM(color):  0.524518 



# ============================================ 
# TERSE LIGHT CURVE OUTPUT: 
#
NOBS: 25 
NVAR: 9 
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR PHOTFLAG   ZPT  PSF  SIM_MAGOBS
OBS:  53680.277  u  82N   1.3879e+01   5.039e+01    0  27.370    1.44  32.0793 
OBS:  53680.277  g  82N   2.3289e+00   1.381e+01    0  28.540    1.17  30.4697 
OBS:  53680.277  r  82N   4.7496e+00   2.145e+01    0  28.190    1.05  29.6376 
OBS:  53680.277  i  82N  -2.6808e+00   3.088e+01    0  27.970    0.94  29.4003 
OBS:  53680.277  z  82N  -1.0791e+02   1.252e+02    0  26.090    1.03  29.6677 
OBS:  53693.277  u  82N   7.6312e+01   9.423e+01    0  27.300    1.38  22.9650 
OBS:  53693.277  g  82N   3.8377e+02   2.956e+01    0  28.520    1.15  21.0701 
OBS:  53693.277  r  82N   8.8421e+02   3.429e+01    0  28.170    1.18  20.1352 
OBS:  53693.277  i  82N   1.1552e+03   4.323e+01    0  27.960    1.06  19.8941 
OBS:  53693.277  z  82N   8.1807e+02   1.324e+02    0  26.090    0.98  20.1299 
OBS:  53698.277  u  82N   2.1796e+01   5.770e+01    0  27.190    1.45  23.3519 
OBS:  53698.277  g  82N   3.4232e+02   1.836e+01    0  28.180    1.30  21.1360 
OBS:  53698.277  r  82N   1.1188e+03   2.752e+01    0  28.160    1.29  19.9010 
OBS:  53698.277  i  82N   1.4596e+03   3.980e+01    0  27.920    1.07  19.6162 
OBS:  53698.277  z  82N   1.0633e+03   1.490e+02    0  25.980    1.05  19.8960 
OBS:  53699.301  u  82N   4.3417e+00   5.798e+01    0  27.160    1.43  23.5253 
OBS:  53699.301  g  82N   2.9628e+02   1.593e+01    0  28.470    1.30  21.2517 
OBS:  53699.301  r  82N   1.0838e+03   2.620e+01    0  28.150    1.12  19.9233 
OBS:  53699.301  i  82N   1.4515e+03   3.800e+01    0  27.940    0.99  19.6249 
OBS:  53699.301  z  82N   1.0711e+03   1.305e+02    0  26.070    1.00  19.8892 
DETECTION:  3 obs satisfy gr+ri+gi  at MJD_TRIGGER=53699.3010 
OBS:  53704.262  u  82N   3.1312e+01   6.567e+01    0  27.310    1.87  24.2902 
OBS:  53704.262  g  82N   1.5883e+02   1.664e+01    0  28.530    1.65  22.0696 
OBS:  53704.262  r  82N   7.2616e+02   2.704e+01    0  28.190    1.51  20.3000 
OBS:  53704.262  i  82N   1.1959e+03   4.993e+01    0  27.990    1.57  19.8503 
OBS:  53704.262  z  82N   1.1080e+03   1.854e+02    0  26.100    1.50  19.9912 
END_PHOTOMETRY: 
