SURVEY: SDSS   
SNID:   50090   
IAUC:    NULL 
PHOTOMETRY_VERSION: 91bg 
SNTYPE:  0 
FILTERS: gri 
RA:      -24.222179  deg 
DECL:    -0.289650  deg 
PIXSIZE:  0.4000  arcsec 
CCDNUM: 0  
FAKE:    2   (=> simulated LC with snlc_sim.exe) 
MWEBV:       0.0650    MW E(B-V) 
MWEBV_ERR:   0.0104    error on MWEBV 
REDSHIFT_HELIO:   0.082614 +- 0.000500  (Helio, z_best) 
REDSHIFT_FINAL:   0.081317 +- 0.000500  (CMB) 
REDSHIFT_STATUS:  OK 

VPEC:         0.00  # v_pec correction
VPEC_ERR:     0.00  # error on above  
PEAKMJD:   53618.445 

HOSTGAL_OBJID:    -9  
HOSTGAL_PHOTOZ:   -9.0000  +- -9.0000 
HOSTGAL_SPECZ:    0.0000  +- 0.0000 
HOSTGAL_SNSEP:    -9.000    # arcsec 
 

SIM_MODEL_NAME:  SIMSED.91bg 
SIM_MODEL_INDEX:  7 
SIM_TYPE_INDEX:   0 
SIM_TYPE_NAME:    UNKNOWN 
SIM_NON1a:      0   (NONIA index) 
SIM_COMMENT:  SN Type = UNKNOWN , MODEL = SIMSED.91bg  
SIM_LIBID:  235  
SIM_NGEN_LIBID:  1  
SIM_NOBS_UNDEFINED:  0  
SIM_REDSHIFT_HELIO:  0.08238  
SIM_REDSHIFT_CMB:    0.08108  
SIM_REDSHIFT_HOST:   0.08238  
SIM_VPEC:  -0.0 (km/sec) 
SIM_HOSTLIB_NPAR: 0 
SIM_DLMU:      37.8344  mag   [ -5*log10(10pc/dL) ]
SIM_LENSDMU:   0.0000  mag 
SIM_RA:        -24.222179 deg  
SIM_DECL:      -0.289650 deg  
SIM_MWRV:    3.100   (MilkyWay RV) 
SIM_MWEBV:   0.0622   (MilkyWay E(B-V)) 
SIMOPT_MWCOLORLAW:  94   (MW color-law option) 
SIMOPT_MWEBV:       1   (modify MWEBV_SFD)
SIM_MAGSMEAR_COH:    0.000  
SIM_GALFRAC:  -9.000 -9.000 -9.000  (gri F_gal/F_SNpeak for PSF=1'')
SIM_PEAKMAG:   20.91  19.67  19.40  (gri obs)
SIM_EXPOSURE:     1.0    1.0    1.0  (gri obs)
SIM_PEAKMJD:   53618.343750  days 
SIM_SALT2x0:   7.3492e-16   
SIM_SEARCHEFF_MASK:  3  (bits 1,2=> found by software,spec) 
SIM_SEARCHEFF_SPEC:  0.4567  (spectro-search efficiency (ignores pipelines)) 
SIM_TRESTMIN:     3.61   days 
SIM_TRESTMAX:    75.59   days 
SIM_RISETIME_SHIFT:   0.0 days 
SIM_FALLTIME_SHIFT:   0.0 days 

SIMSED_NPAR: 2 
SIMSED_PARAM(stretch):  1.132104 
SIMSED_param(color):  0.727630 



# ============================================ 
# TERSE LIGHT CURVE OUTPUT: 
#
NOBS: 51 
NVAR: 9 
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR PHOTFLAG   ZPT  PSF  SIM_MAGOBS
OBS:  53622.254  g  82S   4.0429e+02   1.867e+01    0  28.450    1.59  21.1438 
OBS:  53622.254  r  82S   1.3900e+03   3.018e+01    0  28.190    1.55  19.6315 
OBS:  53622.254  i  82S   1.8917e+03   4.658e+01    0  27.920    1.50  19.3188 
OBS:  53625.250  g  82S   2.3540e+02   1.458e+01    0  28.530    0.91  21.5896 
OBS:  53625.250  r  82S   1.2384e+03   2.235e+01    0  28.240    0.77  19.7832 
OBS:  53625.250  i  82S   1.6977e+03   3.290e+01    0  27.940    0.73  19.4399 
OBS:  53627.211  g  82S   1.5574e+02   2.957e+01    0  28.510    1.24  21.9166 
OBS:  53627.211  r  82S   1.0067e+03   3.080e+01    0  28.240    1.01  19.9693 
OBS:  53627.211  i  82S   1.5350e+03   4.015e+01    0  27.930    0.93  19.5270 
DETECTION:  3 obs satisfy gr+ri+gi  at MJD_TRIGGER=53627.2110 
OBS:  53634.207  g  82S   6.9556e+01   5.137e+01    0  28.570    2.03  22.5613 
OBS:  53634.207  r  82S   6.3118e+02   5.286e+01    0  28.280    1.96  20.5372 
OBS:  53634.207  i  82S   1.0649e+03   6.200e+01    0  27.990    1.85  19.9989 
OBS:  53636.211  g  82S   1.1162e+02   2.014e+01    0  28.460    1.03  22.6985 
OBS:  53636.211  r  82S   5.0928e+02   2.514e+01    0  28.200    0.93  20.6834 
OBS:  53636.211  i  82S   9.2743e+02   3.548e+01    0  27.890    0.87  20.1471 
OBS:  53648.254  g  82S   4.3601e+01   1.887e+01    0  28.340    1.74  23.5002 
OBS:  53648.254  r  82S   3.0547e+02   3.060e+01    0  28.160    1.68  21.5064 
OBS:  53648.254  i  82S   4.2673e+02   5.241e+01    0  27.890    1.78  21.0075 
OBS:  53655.184  g  82S  -5.2233e+01   3.774e+01    0  28.550    1.69  23.7186 
OBS:  53655.184  r  82S   2.1414e+02   3.870e+01    0  28.260    1.47  21.7893 
OBS:  53655.184  i  82S   3.1312e+02   4.930e+01    0  27.970    1.46  21.3831 
OBS:  53664.207  g  82S   2.2564e+01   2.908e+01    0  28.550    1.50  23.9602 
OBS:  53664.207  r  82S   1.2097e+02   3.898e+01    0  28.250    1.62  22.0845 
OBS:  53664.207  i  82S   2.0480e+02   4.828e+01    0  27.960    1.51  21.8544 
OBS:  53666.172  g  82S   1.2468e+01   1.293e+01    0  28.570    1.04  24.0090 
OBS:  53666.172  r  82S   1.4313e+02   2.187e+01    0  28.260    0.96  22.1354 
OBS:  53666.172  i  82S   1.8910e+02   3.204e+01    0  27.970    0.85  21.9183 
OBS:  53669.168  g  82S   1.7698e+01   1.285e+01    0  28.570    1.09  24.0648 
OBS:  53669.168  r  82S   1.2757e+02   2.037e+01    0  28.260    0.88  22.2187 
OBS:  53669.168  i  82S   2.4013e+02   3.169e+01    0  27.990    0.88  22.0025 
OBS:  53674.152  g  82S   1.5572e+00   1.436e+01    0  28.530    1.43  24.1683 
OBS:  53674.152  r  82S   9.5309e+01   2.136e+01    0  28.230    1.00  22.3562 
OBS:  53674.152  i  82S   1.5539e+02   3.011e+01    0  27.950    0.89  22.1449 
OBS:  53676.242  g  82S  -9.3810e+00   1.349e+01    0  28.480    1.07  24.2103 
OBS:  53676.242  r  82S   7.9551e+01   1.959e+01    0  28.220    0.82  22.4138 
OBS:  53676.242  i  82S   1.0298e+02   2.741e+01    0  27.960    0.70  22.2045 
OBS:  53679.211  g  82S  -8.5968e+00   1.672e+01    0  28.520    1.70  24.2696 
OBS:  53679.211  r  82S   5.0673e+01   2.911e+01    0  28.230    1.70  22.4955 
OBS:  53679.211  i  82S   1.2071e+02   4.127e+01    0  27.950    1.60  22.2891 
OBS:  53681.203  g  82S   4.0996e+01   1.304e+01    0  28.520    1.03  24.3092 
OBS:  53681.203  r  82S   8.7460e+01   1.968e+01    0  28.230    0.84  22.5507 
OBS:  53681.203  i  82S   1.0514e+02   2.816e+01    0  27.950    0.80  22.3456 
OBS:  53687.203  g  82S  -1.2493e+01   5.006e+01    0  28.510    1.47  24.4288 
OBS:  53687.203  r  82S   4.2115e+01   3.992e+01    0  28.220    1.07  22.7170 
OBS:  53687.203  i  82S   5.7830e+01   4.424e+01    0  27.950    1.03  22.5151 
OBS:  53697.160  g  82S   2.8968e+01   1.442e+01    0  28.520    1.22  24.6301 
OBS:  53697.160  r  82S   1.0886e+02   2.445e+01    0  28.230    1.03  22.9920 
OBS:  53697.160  i  82S   9.1895e+01   3.200e+01    0  27.950    0.96  22.7972 
OBS:  53700.160  g  82S   1.2039e+01   1.457e+01    0  28.460    1.27  24.6900 
OBS:  53700.160  r  82S   4.9266e+01   2.290e+01    0  28.200    1.15  23.0753 
OBS:  53700.160  i  82S   4.6035e+01   3.440e+01    0  27.920    1.10  22.8825 
END_PHOTOMETRY: 
