SURVEY: SDSS   
SNID:   50121   
IAUC:    NULL 
PHOTOMETRY_VERSION: 91bg 
SNTYPE:  100 
FILTERS: gri 
RA:      -11.527566  deg 
DECL:    -1.036032  deg 
PIXSIZE:  0.4000  arcsec 
CCDNUM: 0  
FAKE:    2   (=> simulated LC with snlc_sim.exe) 
MWEBV:       0.0440    MW E(B-V) 
MWEBV_ERR:   0.0070    error on MWEBV 
REDSHIFT_HELIO:   0.094097 +- 0.000500  (Helio, z_best) 
REDSHIFT_FINAL:   0.092758 +- 0.000500  (CMB) 
REDSHIFT_STATUS:  from Host Galaxy (Unconfirmed SN)

VPEC:         0.00  # v_pec correction
VPEC_ERR:     0.00  # error on above  
PEAKMJD:   53656.812 

HOSTGAL_OBJID:    -9  
HOSTGAL_PHOTOZ:   -9.0000  +- -9.0000 
HOSTGAL_SPECZ:    0.0000  +- 0.0000 
HOSTGAL_SNSEP:    -9.000    # arcsec 
 

SIM_MODEL_NAME:  SIMSED.91bg 
SIM_MODEL_INDEX:  7 
SIM_TYPE_INDEX:   0 
SIM_TYPE_NAME:    UNKNOWN 
SIM_NON1a:      0   (NONIA index) 
SIM_COMMENT:  SN Type = UNKNOWN , MODEL = SIMSED.91bg  
SIM_LIBID:  311  
SIM_NGEN_LIBID:  1  
SIM_NOBS_UNDEFINED:  0  
SIM_REDSHIFT_HELIO:  0.09398  
SIM_REDSHIFT_CMB:    0.09264  
SIM_REDSHIFT_HOST:   0.09398  
SIM_VPEC:  -0.0 (km/sec) 
SIM_HOSTLIB_NPAR: 0 
SIM_DLMU:      38.1412  mag   [ -5*log10(10pc/dL) ]
SIM_LENSDMU:   0.0000  mag 
SIM_RA:        -11.527566 deg  
SIM_DECL:      -1.036032 deg  
SIM_MWRV:    3.100   (MilkyWay RV) 
SIM_MWEBV:   0.0496   (MilkyWay E(B-V)) 
SIMOPT_MWCOLORLAW:  94   (MW color-law option) 
SIMOPT_MWEBV:       1   (modify MWEBV_SFD)
SIM_MAGSMEAR_COH:    0.000  
SIM_GALFRAC:  -9.000 -9.000 -9.000  (gri F_gal/F_SNpeak for PSF=1'')
SIM_PEAKMAG:   21.19  19.94  19.64  (gri obs)
SIM_EXPOSURE:     1.0    1.0    1.0  (gri obs)
SIM_PEAKMJD:   53656.449219  days 
SIM_SALT2x0:   5.5402e-16   
SIM_SEARCHEFF_MASK:  5  (bits 1,2=> found by software,spec) 
SIM_SEARCHEFF_SPEC:  0.3689  (spectro-search efficiency (ignores pipelines)) 
SIM_TRESTMIN:   -19.38   days 
SIM_TRESTMAX:    43.63   days 
SIM_RISETIME_SHIFT:   0.0 days 
SIM_FALLTIME_SHIFT:   0.0 days 

SIMSED_NPAR: 2 
SIMSED_PARAM(stretch):  1.115699 
SIMSED_param(color):  0.707124 



# ============================================ 
# TERSE LIGHT CURVE OUTPUT: 
#
NOBS: 48 
NVAR: 9 
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR PHOTFLAG   ZPT  PSF  SIM_MAGOBS
OBS:  53635.246  g  82N   6.9511e+00   3.454e+01    0  28.690    1.57  99.0000 
OBS:  53635.246  r  82N   3.1051e+01   2.865e+01    0  28.260    1.22  99.0000 
OBS:  53635.246  i  82N  -1.9318e+01   3.497e+01    0  27.900    0.97  99.0000 
OBS:  53637.242  g  82N  -1.2647e+01   3.006e+01    0  28.630    1.69  99.0000 
OBS:  53637.242  r  82N   1.4052e+01   3.337e+01    0  28.210    1.64  99.0000 
OBS:  53637.242  i  82N   1.2643e+01   5.256e+01    0  27.850    1.64  99.0000 
OBS:  53644.234  g  82N   1.1573e+01   1.574e+01    0  28.690    1.07  24.6555 
OBS:  53644.234  r  82N   4.3691e+01   1.968e+01    0  28.260    0.94  23.6051 
OBS:  53644.234  i  82N   3.2155e+01   2.992e+01    0  27.910    0.90  23.3206 
OBS:  53654.270  g  82N   3.2376e+02   2.065e+01    0  28.470    1.10  21.2690 
OBS:  53654.270  r  82N   9.4327e+02   2.409e+01    0  28.240    0.97  20.1179 
OBS:  53654.270  i  82N   1.2181e+03   3.816e+01    0  27.900    0.95  19.8266 
OBS:  53656.215  g  82N   4.2738e+02   5.892e+01    0  28.680    2.23  21.1883 
OBS:  53656.215  r  82N   9.8568e+02   5.606e+01    0  28.250    1.86  19.9559 
OBS:  53656.215  i  82N   1.2757e+03   6.685e+01    0  27.900    1.73  19.6585 
OBS:  53663.230  g  82N   2.0471e+02   2.596e+01    0  28.700    0.95  21.8543 
OBS:  53663.230  r  82N   9.8796e+02   2.601e+01    0  28.270    0.81  20.0481 
OBS:  53663.230  i  82N   1.3724e+03   3.583e+01    0  27.920    0.81  19.6645 
DETECTION:  3 obs satisfy gr+ri+gi  at MJD_TRIGGER=53663.2300 
OBS:  53668.219  g  82N   1.3025e+02   2.314e+01    0  28.680    1.79  22.5916 
OBS:  53668.219  r  82N   6.2557e+02   2.988e+01    0  28.260    1.63  20.5194 
OBS:  53668.219  i  82N   1.1298e+03   5.050e+01    0  27.920    1.58  19.9435 
OBS:  53670.223  g  82N   7.2153e+01   1.858e+01    0  28.660    1.42  22.7229 
OBS:  53670.223  r  82N   5.4711e+02   2.330e+01    0  28.240    1.11  20.6626 
OBS:  53670.223  i  82N   8.7892e+02   3.608e+01    0  27.900    0.97  20.0858 
OBS:  53673.191  g  82N   4.8643e+01   1.910e+01    0  28.670    1.46  22.9194 
OBS:  53673.191  r  82N   4.6072e+02   2.311e+01    0  28.250    1.13  20.8746 
OBS:  53673.191  i  82N   7.4439e+02   3.684e+01    0  27.900    1.19  20.2992 
OBS:  53675.188  g  82N   6.8018e+01   2.049e+01    0  28.680    1.60  23.0543 
OBS:  53675.188  r  82N   4.3413e+02   2.619e+01    0  28.260    1.39  21.0178 
OBS:  53675.188  i  82N   6.3570e+02   4.167e+01    0  27.910    1.35  20.4457 
OBS:  53677.207  g  82N   5.2792e+01   1.662e+01    0  28.660    1.12  23.1883 
OBS:  53677.207  r  82N   3.7208e+02   2.148e+01    0  28.240    0.99  21.1625 
