SURVEY: SDSS   
SNID:   50197   
IAUC:    NULL 
PHOTOMETRY_VERSION: 91bg 
SNTYPE:  100 
FILTERS: gri 
RA:      -29.092812  deg 
DECL:    -0.877050  deg 
PIXSIZE:  0.4000  arcsec 
CCDNUM: 0  
FAKE:    2   (=> simulated LC with snlc_sim.exe) 
MWEBV:       0.0840    MW E(B-V) 
MWEBV_ERR:   0.0134    error on MWEBV 
REDSHIFT_HELIO:   0.153753 +- 0.000500  (Helio, z_best) 
REDSHIFT_FINAL:   0.152403 +- 0.000500  (CMB) 
REDSHIFT_STATUS:  from Host Galaxy (Unconfirmed SN)

VPEC:         0.00  # v_pec correction
VPEC_ERR:     0.00  # error on above  
PEAKMJD:   53649.273 

HOSTGAL_OBJID:    -9  
HOSTGAL_PHOTOZ:   -9.0000  +- -9.0000 
HOSTGAL_SPECZ:    0.0000  +- 0.0000 
HOSTGAL_SNSEP:    -9.000    # arcsec 
 

SIM_MODEL_NAME:  SIMSED.91bg 
SIM_MODEL_INDEX:  7 
SIM_TYPE_INDEX:   0 
SIM_TYPE_NAME:    UNKNOWN 
SIM_NON1a:      0   (NONIA index) 
SIM_COMMENT:  SN Type = UNKNOWN , MODEL = SIMSED.91bg  
SIM_LIBID:  537  
SIM_NGEN_LIBID:  1  
SIM_NOBS_UNDEFINED:  0  
SIM_REDSHIFT_HELIO:  0.15409  
SIM_REDSHIFT_CMB:    0.15274  
SIM_REDSHIFT_HOST:   0.15409  
SIM_VPEC:  0.0 (km/sec) 
SIM_HOSTLIB_NPAR: 0 
SIM_DLMU:      39.3115  mag   [ -5*log10(10pc/dL) ]
SIM_LENSDMU:   0.0000  mag 
SIM_RA:        -29.092812 deg  
SIM_DECL:      -0.877050 deg  
SIM_MWRV:    3.100   (MilkyWay RV) 
SIM_MWEBV:   0.0910   (MilkyWay E(B-V)) 
SIMOPT_MWCOLORLAW:  94   (MW color-law option) 
SIMOPT_MWEBV:       1   (modify MWEBV_SFD)
SIM_MAGSMEAR_COH:    0.000  
SIM_GALFRAC:  -9.000 -9.000 -9.000  (gri F_gal/F_SNpeak for PSF=1'')
SIM_PEAKMAG:   22.73  21.31  20.88  (gri obs)
SIM_EXPOSURE:     1.0    1.0    1.0  (gri obs)
SIM_PEAKMJD:   53650.640625  days 
SIM_SALT2x0:   1.8853e-16   
SIM_SEARCHEFF_MASK:  5  (bits 1,2=> found by software,spec) 
SIM_SEARCHEFF_SPEC:  0.1857  (spectro-search efficiency (ignores pipelines)) 
SIM_TRESTMIN:   -19.45   days 
SIM_TRESTMAX:    45.50   days 
SIM_RISETIME_SHIFT:   0.0 days 
SIM_FALLTIME_SHIFT:   0.0 days 

SIMSED_NPAR: 2 
SIMSED_PARAM(stretch):  1.057235 
SIMSED_param(color):  0.634044 



# ============================================ 
# TERSE LIGHT CURVE OUTPUT: 
#
NOBS: 57 
NVAR: 9 
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR PHOTFLAG   ZPT  PSF  SIM_MAGOBS
OBS:  53628.191  g  82N   7.5600e+01   7.651e+01    0  28.340    1.76  99.0000 
OBS:  53628.191  r  82N   4.6873e+01   6.563e+01    0  28.160    1.85  99.0000 
OBS:  53628.191  i  82N   5.9820e+01   6.599e+01    0  27.880    1.65  99.0000 
OBS:  53635.199  g  82N   1.4481e+01   2.363e+01    0  28.690    1.08  99.0000 
OBS:  53635.199  r  82N  -8.4031e+00   2.421e+01    0  28.250    0.98  99.0000 
OBS:  53635.199  i  82N   6.8712e+01   3.713e+01    0  27.900    1.12  99.0000 
OBS:  53637.191  g  82N   3.1854e+01   2.265e+01    0  28.630    1.63  26.6125 
OBS:  53637.191  r  82N  -1.2538e+01   2.754e+01    0  28.210    1.55  25.4523 
OBS:  53637.191  i  82N   4.8680e+01   4.386e+01    0  27.850    1.45  25.0658 
OBS:  53644.184  g  82N   3.7967e+01   1.592e+01    0  28.690    1.05  23.1841 
OBS:  53644.184  r  82N   1.7253e+02   2.012e+01    0  28.260    0.90  22.0378 
OBS:  53644.184  i  82N   1.9404e+02   3.134e+01    0  27.910    0.89  21.6527 
OBS:  53654.219  g  82N   3.1270e+01   2.559e+01    0  28.650    1.36  22.9632 
OBS:  53654.219  r  82N   2.9566e+02   2.946e+01    0  28.240    1.13  21.2640 
OBS:  53654.219  i  82N   4.7070e+02   4.404e+01    0  27.900    1.10  20.8045 
OBS:  53656.168  g  82N   8.5920e+01   5.267e+01    0  28.680    1.74  23.2249 
OBS:  53656.168  r  82N   2.0424e+02   5.284e+01    0  28.260    1.64  21.3483 
OBS:  53656.168  i  82N   5.1781e+02   6.952e+01    0  27.900    1.70  20.8433 
OBS:  53663.180  g  82N   4.7756e+01   2.426e+01    0  28.700    0.94  24.2642 
OBS:  53663.180  r  82N   1.6720e+02   2.424e+01    0  28.270    0.84  21.9673 
OBS:  53663.180  i  82N   2.9899e+02   3.242e+01    0  27.920    0.80  21.2614 
DETECTION:  3 obs satisfy gr+ri+gi  at MJD_TRIGGER=53663.1800 
OBS:  53665.156  g  82N   2.2837e+02   1.535e+02    0  26.360    1.04  24.3852 
OBS:  53665.156  r  82N   2.0615e+01   1.235e+02    0  26.360    0.93  22.0989 
OBS:  53665.156  i  82N   3.9027e+02   1.522e+02    0  26.120    0.90  21.3973 
OBS:  53668.168  g  82N   1.1521e+01   2.005e+01    0  28.690    1.57  24.5719 
OBS:  53668.168  r  82N   1.1300e+02   2.818e+01    0  28.260    1.49  22.2985 
OBS:  53668.168  i  82N   2.3504e+02   4.581e+01    0  27.920    1.42  21.6064 
OBS:  53670.176  g  82N   1.0454e+01   1.711e+01    0  28.650    1.18  24.6998 
OBS:  53670.176  r  82N   1.4620e+02   2.544e+01    0  28.240    1.26  22.4320 
OBS:  53670.176  i  82N   1.3529e+02   3.789e+01    0  27.900    1.00  21.7487 
OBS:  53673.141  g  82N   2.6511e+01   1.885e+01    0  28.670    1.48  24.8846 
OBS:  53673.141  r  82N   1.1312e+02   2.385e+01    0  28.250    1.26  22.6294 
