SURVEY: SDSS   
SNID:   50529   
IAUC:    NULL 
PHOTOMETRY_VERSION: 91bg 
SNTYPE:  0 
FILTERS: gri 
RA:      -24.035826  deg 
DECL:    -0.349622  deg 
PIXSIZE:  0.4000  arcsec 
CCDNUM: 0  
FAKE:    2   (=> simulated LC with snlc_sim.exe) 
MWEBV:       0.0670    MW E(B-V) 
MWEBV_ERR:   0.0107    error on MWEBV 
REDSHIFT_HELIO:   0.079208 +- 0.000500  (Helio, z_best) 
REDSHIFT_FINAL:   0.077914 +- 0.000500  (CMB) 
REDSHIFT_STATUS:  OK 

VPEC:         0.00  # v_pec correction
VPEC_ERR:     0.00  # error on above  
PEAKMJD:   53623.891 

HOSTGAL_OBJID:    -9  
HOSTGAL_PHOTOZ:   -9.0000  +- -9.0000 
HOSTGAL_SPECZ:    0.0000  +- 0.0000 
HOSTGAL_SNSEP:    -9.000    # arcsec 
 

SIM_MODEL_NAME:  SIMSED.91bg 
SIM_MODEL_INDEX:  7 
SIM_TYPE_INDEX:   0 
SIM_TYPE_NAME:    UNKNOWN 
SIM_NON1a:      0   (NONIA index) 
SIM_COMMENT:  SN Type = UNKNOWN , MODEL = SIMSED.91bg  
SIM_LIBID:  440  
SIM_NGEN_LIBID:  1  
SIM_NOBS_UNDEFINED:  0  
SIM_REDSHIFT_HELIO:  0.07879  
SIM_REDSHIFT_CMB:    0.07750  
SIM_REDSHIFT_HOST:   0.07879  
SIM_VPEC:  -0.0 (km/sec) 
SIM_HOSTLIB_NPAR: 0 
SIM_DLMU:      37.7309  mag   [ -5*log10(10pc/dL) ]
SIM_LENSDMU:   0.0000  mag 
SIM_RA:        -24.035826 deg  
SIM_DECL:      -0.349622 deg  
SIM_MWRV:    3.100   (MilkyWay RV) 
SIM_MWEBV:   0.0634   (MilkyWay E(B-V)) 
SIMOPT_MWCOLORLAW:  94   (MW color-law option) 
SIMOPT_MWEBV:       1   (modify MWEBV_SFD)
SIM_MAGSMEAR_COH:    0.000  
SIM_GALFRAC:  -9.000 -9.000 -9.000  (gri F_gal/F_SNpeak for PSF=1'')
SIM_PEAKMAG:   20.41  19.51  19.33  (gri obs)
SIM_EXPOSURE:     1.0    1.0    1.0  (gri obs)
SIM_PEAKMJD:   53624.941406  days 
SIM_SALT2x0:   8.0841e-16   
SIM_SEARCHEFF_MASK:  3  (bits 1,2=> found by software,spec) 
SIM_SEARCHEFF_SPEC:  0.5328  (spectro-search efficiency (ignores pipelines)) 
SIM_TRESTMIN:    -2.49   days 
SIM_TRESTMAX:    69.72   days 
SIM_RISETIME_SHIFT:   0.0 days 
SIM_FALLTIME_SHIFT:   0.0 days 

SIMSED_NPAR: 2 
SIMSED_PARAM(stretch):  0.890006 
SIMSED_param(color):  0.425007 



# ============================================ 
# TERSE LIGHT CURVE OUTPUT: 
#
NOBS: 54 
NVAR: 9 
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR PHOTFLAG   ZPT  PSF  SIM_MAGOBS
OBS:  53622.258  g  82S   6.2647e+02   1.977e+01    0  28.450    1.61  20.5307 
OBS:  53622.258  r  82S   1.3082e+03   3.014e+01    0  28.190    1.55  19.7432 
OBS:  53622.258  i  82S   1.4828e+03   4.633e+01    0  27.910    1.51  19.5727 
OBS:  53625.254  g  82S   6.8667e+02   1.613e+01    0  28.530    0.88  20.4107 
OBS:  53625.254  r  82S   1.5885e+03   2.318e+01    0  28.240    0.77  19.4927 
OBS:  53625.254  i  82S   1.9228e+03   3.382e+01    0  27.940    0.75  19.3124 
OBS:  53627.215  g  82S   6.3475e+02   2.838e+01    0  28.510    1.08  20.4757 
OBS:  53627.215  r  82S   1.6733e+03   3.189e+01    0  28.240    1.02  19.4390 
OBS:  53627.215  i  82S   2.0210e+03   4.117e+01    0  27.930    0.93  19.2399 
DETECTION:  3 obs satisfy gr+ri+gi  at MJD_TRIGGER=53627.2150 
OBS:  53634.207  g  82S   3.2152e+02   5.185e+01    0  28.570    2.03  21.4698 
OBS:  53634.207  r  82S   1.1502e+03   5.227e+01    0  28.280    1.93  19.8436 
OBS:  53634.207  i  82S   1.5386e+03   6.446e+01    0  27.990    1.95  19.4711 
OBS:  53636.211  g  82S   1.7840e+02   1.991e+01    0  28.440    1.02  21.7498 
OBS:  53636.211  r  82S   9.4392e+02   2.611e+01    0  28.180    0.97  20.0361 
OBS:  53636.211  i  82S   1.4639e+03   3.641e+01    0  27.890    0.86  19.5939 
OBS:  53648.254  g  82S   1.0090e+02   1.834e+01    0  28.340    1.66  22.5520 
OBS:  53648.254  r  82S   3.1658e+02   3.167e+01    0  28.160    1.72  20.9083 
OBS:  53648.254  i  82S   7.5031e+02   4.942e+01    0  27.890    1.61  20.4629 
OBS:  53655.184  g  82S   7.0690e+01   3.938e+01    0  28.550    1.75  22.9943 
OBS:  53655.184  r  82S   2.8972e+02   3.863e+01    0  28.260    1.47  21.3500 
OBS:  53655.184  i  82S   3.6388e+02   5.010e+01    0  27.970    1.47  20.9469 
OBS:  53664.207  g  82S   7.2905e+01   3.314e+01    0  28.550    1.61  23.2532 
OBS:  53664.207  r  82S   2.3359e+02   3.757e+01    0  28.250    1.59  21.7109 
OBS:  53664.207  i  82S   3.0068e+02   5.225e+01    0  27.960    1.62  21.4442 
OBS:  53666.172  g  82S   6.1353e+01   1.328e+01    0  28.570    1.06  23.3005 
OBS:  53666.172  r  82S   2.0064e+02   2.165e+01    0  28.260    0.93  21.7836 
OBS:  53666.172  i  82S   2.6249e+02   3.244e+01    0  27.980    0.86  21.5542 
OBS:  53669.168  g  82S   6.2294e+01   1.310e+01    0  28.570    1.10  23.3888 
OBS:  53669.168  r  82S   1.5185e+02   2.114e+01    0  28.260    0.94  21.8774 
OBS:  53669.168  i  82S   1.6152e+02   3.174e+01    0  27.980    0.88  21.7112 
OBS:  53674.152  g  82S   6.4391e+01   1.502e+01    0  28.530    1.49  23.5174 
