SURVEY: SDSS   
SNID:   50913   
IAUC:    NULL 
PHOTOMETRY_VERSION: 91bg 
SNTYPE:  0 
FILTERS: gri 
RA:      3.208580  deg 
DECL:    -0.703528  deg 
PIXSIZE:  0.4000  arcsec 
CCDNUM: 0  
FAKE:    2   (=> simulated LC with snlc_sim.exe) 
MWEBV:       0.0690    MW E(B-V) 
MWEBV_ERR:   0.0110    error on MWEBV 
REDSHIFT_HELIO:   0.067604 +- 0.000500  (Helio, z_best) 
REDSHIFT_FINAL:   0.066342 +- 0.000500  (CMB) 
REDSHIFT_STATUS:  OK 

VPEC:         0.00  # v_pec correction
VPEC_ERR:     0.00  # error on above  
PEAKMJD:   53674.883 

HOSTGAL_OBJID:    -9  
HOSTGAL_PHOTOZ:   -9.0000  +- -9.0000 
HOSTGAL_SPECZ:    0.0000  +- 0.0000 
HOSTGAL_SNSEP:    -9.000    # arcsec 
 

SIM_MODEL_NAME:  SIMSED.91bg 
SIM_MODEL_INDEX:  7 
SIM_TYPE_INDEX:   0 
SIM_TYPE_NAME:    UNKNOWN 
SIM_NON1a:      0   (NONIA index) 
SIM_COMMENT:  SN Type = UNKNOWN , MODEL = SIMSED.91bg  
SIM_LIBID:  572  
SIM_NGEN_LIBID:  1  
SIM_NOBS_UNDEFINED:  0  
SIM_REDSHIFT_HELIO:  0.06770  
SIM_REDSHIFT_CMB:    0.06644  
SIM_REDSHIFT_HOST:   0.06770  
SIM_VPEC:  -0.0 (km/sec) 
SIM_HOSTLIB_NPAR: 0 
SIM_DLMU:      37.3799  mag   [ -5*log10(10pc/dL) ]
SIM_LENSDMU:   0.0000  mag 
SIM_RA:        3.208580 deg  
SIM_DECL:      -0.703528 deg  
SIM_MWRV:    3.100   (MilkyWay RV) 
SIM_MWEBV:   0.0379   (MilkyWay E(B-V)) 
SIMOPT_MWCOLORLAW:  94   (MW color-law option) 
SIMOPT_MWEBV:       1   (modify MWEBV_SFD)
SIM_MAGSMEAR_COH:    0.000  
SIM_GALFRAC:  -9.000 -9.000 -9.000  (gri F_gal/F_SNpeak for PSF=1'')
SIM_PEAKMAG:   20.07  19.10  18.96  (gri obs)
SIM_EXPOSURE:     1.0    1.0    1.0  (gri obs)
SIM_PEAKMJD:   53674.824219  days 
SIM_SALT2x0:   1.1170e-15   
SIM_SEARCHEFF_MASK:  3  (bits 1,2=> found by software,spec) 
SIM_SEARCHEFF_SPEC:  0.8571  (spectro-search efficiency (ignores pipelines)) 
SIM_TRESTMIN:   -18.33   days 
SIM_TRESTMAX:    28.47   days 
SIM_RISETIME_SHIFT:   0.0 days 
SIM_FALLTIME_SHIFT:   0.0 days 

SIMSED_NPAR: 2 
SIMSED_PARAM(stretch):  0.976033 
SIMSED_param(color):  0.532542 



# ============================================ 
# TERSE LIGHT CURVE OUTPUT: 
#
NOBS: 39 
NVAR: 9 
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR PHOTFLAG   ZPT  PSF  SIM_MAGOBS
OBS:  53655.258  g  82S   3.5128e+01   3.285e+01    0  28.520    1.86  99.0000 
OBS:  53655.258  r  82S  -1.0549e+01   3.123e+01    0  28.250    1.48  99.0000 
OBS:  53655.258  i  82S   6.7837e+00   4.431e+01    0  27.890    1.47  99.0000 
OBS:  53664.285  g  82S   1.0336e+02   3.165e+01    0  28.510    1.38  22.6028 
OBS:  53664.285  r  82S   2.5932e+02   8.504e+01    0  28.240    1.28  21.8186 
OBS:  53664.285  i  82S   2.2003e+02   6.770e+01    0  27.880    1.25  21.6829 
OBS:  53666.246  g  82S   2.1234e+02   1.880e+01    0  28.520    1.06  21.6265 
OBS:  53666.246  r  82S   4.5227e+02   2.326e+01    0  28.230    0.91  20.8451 
OBS:  53666.246  i  82S   5.4274e+02   3.335e+01    0  27.870    0.83  20.7084 
OBS:  53669.242  g  82S   6.1079e+02   1.619e+01    0  28.500    1.19  20.5465 
OBS:  53669.242  r  82S   1.2080e+03   2.416e+01    0  28.230    1.03  19.7667 
OBS:  53669.242  i  82S   1.3765e+03   3.577e+01    0  27.880    0.94  19.6275 
OBS:  53671.328  g  82S   7.7428e+02   2.055e+01    0  28.390    1.57  20.2644 
OBS:  53671.328  r  82S   1.6815e+03   3.056e+01    0  28.170    1.45  19.4449 
OBS:  53671.328  i  82S   1.7448e+03   4.380e+01    0  27.830    1.32  19.3094 
DETECTION:  3 obs satisfy gr+ri+gi  at MJD_TRIGGER=53671.3280 
OBS:  53674.227  g  82S   9.3541e+02   1.827e+01    0  28.480    1.40  20.0735 
OBS:  53674.227  r  82S   2.2466e+03   2.865e+01    0  28.220    1.43  19.1391 
OBS:  53674.227  i  82S   2.5372e+03   4.005e+01    0  27.860    1.25  19.0026 
OBS:  53676.316  g  82S   9.2892e+02   1.856e+01    0  28.420    1.27  20.1001 
OBS:  53676.316  r  82S   2.3845e+03   2.668e+01    0  28.170    0.94  19.0467 
OBS:  53676.316  i  82S   2.7369e+03   3.591e+01    0  27.850    0.81  18.8951 
OBS:  53679.289  g  82S   6.9800e+02   1.975e+01    0  28.450    1.67  20.3597 
OBS:  53679.289  r  82S   2.4014e+03   3.527e+01    0  28.200    1.70  19.0706 
OBS:  53679.289  i  82S   2.8443e+03   5.254e+01    0  27.850    1.61  18.9012 
OBS:  53681.281  g  82S   5.4757e+02   1.611e+01    0  28.450    1.09  20.6613 
OBS:  53681.281  r  82S   2.1329e+03   2.669e+01    0  28.200    1.03  19.1660 
OBS:  53681.281  i  82S   2.5840e+03   3.718e+01    0  27.850    0.93  18.9957 
OBS:  53685.238  g  82S   3.4195e+02   5.494e+01    0  28.480    1.51  21.3121 
OBS:  53685.238  r  82S   1.4835e+03   5.062e+01    0  28.220    1.14  19.5504 
OBS:  53685.238  i  82S   2.1852e+03   6.358e+01    0  27.850    1.22  19.1817 
OBS:  53697.238  g  82S   1.3770e+02   1.550e+01    0  28.450    1.37  22.1432 
