    INFO (2020-05-19 16:31:12,024): root - Selecting best fit object types
    INFO (2020-05-19 16:31:16,122): root - Subtyping Spectra rlapmin=5
    INFO (2020-05-19 16:31:16,149): root - Fetching data for <14815> (0 / 938)
   DEBUG (2020-05-19 16:31:16,431): root - Formatting table for <14815>
   DEBUG (2020-05-19 16:31:16,431): root - Fetching t0 for <14815>
    INFO (2020-05-19 16:31:16,502): root - Found t0 for <14815>. t0 = 2454025.0
    INFO (2020-05-19 16:31:16,587): root - Formatted table for <14815> has 3 spectra
    INFO (2020-05-19 16:31:16,588): root - Using template Ia
    INFO (2020-05-19 16:31:16,594): root - snid usetype=Ia rlapmin=5 inter=0 plot=0 verbose=0 /Users/daniel/Github/Photometric-Classification/results/snid/subtype_rlap_5/14815_-6.50.dat
    INFO (2020-05-19 16:31:19,960): root - Using template Ia
    INFO (2020-05-19 16:31:19,966): root - snid usetype=Ia rlapmin=5 inter=0 plot=0 verbose=0 /Users/daniel/Github/Photometric-Classification/results/snid/subtype_rlap_5/14815_0.50.dat
    INFO (2020-05-19 16:31:22,879): root - Using template Ia
    INFO (2020-05-19 16:31:22,886): root - snid usetype=Ia rlapmin=5 inter=0 plot=0 verbose=0 /Users/daniel/Github/Photometric-Classification/results/snid/subtype_rlap_5/14815_12.50.dat
   DEBUG (2020-05-19 16:31:26,294): root - Finished with target


    INFO (2020-05-19 16:31:26,294): root - Fetching data for <12874> (1 / 938)
   DEBUG (2020-05-19 16:31:26,411): root - Formatting table for <12874>
   DEBUG (2020-05-19 16:31:26,411): root - Fetching t0 for <12874>
    INFO (2020-05-19 16:31:26,413): root - Found t0 for <12874>. t0 = 2453984.2
    INFO (2020-05-19 16:31:26,437): root - Formatted table for <12874> has 1 spectra
    INFO (2020-05-19 16:31:26,437): root - Using template Ia
    INFO (2020-05-19 16:31:26,446): root - snid usetype=Ia rlapmin=5 inter=0 plot=0 verbose=0 /Users/daniel/Github/Photometric-Classification/results/snid/subtype_rlap_5/12874_7.30.dat
   DEBUG (2020-05-19 16:31:30,595): root - Finished with target


    INFO (2020-05-19 16:31:30,596): root - Fetching data for <16290> (2 / 938)
   DEBUG (2020-05-19 16:31:30,749): root - Formatting table for <16290>
   DEBUG (2020-05-19 16:31:30,749): root - Fetching t0 for <16290>
    INFO (2020-05-19 16:31:30,751): root - Found t0 for <16290>. t0 = 2454057.7
    INFO (2020-05-19 16:31:30,783): root - Formatted table for <16290> has 0 spectra
   DEBUG (2020-05-19 16:31:30,784): root - Finished with target


    INFO (2020-05-19 16:31:30,784): root - Fetching data for <16692> (3 / 938)
   DEBUG (2020-05-19 16:31:30,944): root - Formatting table for <16692>
   DEBUG (2020-05-19 16:31:30,944): root - Fetching t0 for <16692>
    INFO (2020-05-19 16:31:30,945): root - t0 not available for <16692>
   DEBUG (2020-05-19 16:31:30,945): root - Finished with target


    INFO (2020-05-19 16:31:30,945): root - Fetching data for <7824> (4 / 938)
   DEBUG (2020-05-19 16:31:31,040): root - Formatting table for <7824>
   DEBUG (2020-05-19 16:31:31,040): root - Fetching t0 for <7824>
    INFO (2020-05-19 16:31:31,041): root - Found t0 for <7824>. t0 = 2453680.0
    INFO (2020-05-19 16:31:31,057): root - Formatted table for <7824> has 0 spectra
   DEBUG (2020-05-19 16:31:31,057): root - Finished with target


    INFO (2020-05-19 16:31:31,057): root - Fetching data for <5588> (5 / 938)
   DEBUG (2020-05-19 16:31:31,200): root - Formatting table for <5588>
   DEBUG (2020-05-19 16:31:31,200): root - Fetching t0 for <5588>
    INFO (2020-05-19 16:31:31,202): root - Found t0 for <5588>. t0 = 2453662.3
    INFO (2020-05-19 16:31:31,235): root - Formatted table for <5588> has 1 spectra
    INFO (2020-05-19 16:31:31,236): root - No recorded type for <5588>
