    INFO (2020-05-19 15:28:34,125): root - Typing Spectra rlapmin=5
    INFO (2020-05-19 15:28:34,154): root - Fetching data for <20934> (0 / 938)
   DEBUG (2020-05-19 15:28:34,260): root - Formatting table for <20934>
   DEBUG (2020-05-19 15:28:34,260): root - Fetching t0 for <20934>
    INFO (2020-05-19 15:28:34,262): root - t0 not available for <20934>
   DEBUG (2020-05-19 15:28:34,262): root - Finished with target


    INFO (2020-05-19 15:28:34,262): root - Fetching data for <16314> (1 / 938)
   DEBUG (2020-05-19 15:28:34,492): root - Formatting table for <16314>
   DEBUG (2020-05-19 15:28:34,493): root - Fetching t0 for <16314>
    INFO (2020-05-19 15:28:34,588): root - Found t0 for <16314>. t0 = 2454067.1
    INFO (2020-05-19 15:28:34,657): root - Formatted table for <16314> has 3 spectra
    INFO (2020-05-19 15:28:34,667): root - snid forcez=0.061415 emclip=0.061415 age=-11.600000000093132 wmin=4000 wmax=9000 dage=10 rlapmin=5 inter=0 plot=0 verbose=0 /Users/daniel/Github/Photometric-Classification/results/snid/type_rlap_5/16314_-11.60.dat
    INFO (2020-05-19 15:28:36,530): root - snid forcez=0.061415 emclip=0.061415 age=-5.600000000093132 wmin=4000 wmax=9000 dage=10 rlapmin=5 inter=0 plot=0 verbose=0 /Users/daniel/Github/Photometric-Classification/results/snid/type_rlap_5/16314_-5.60.dat
    INFO (2020-05-19 15:28:38,653): root - snid forcez=0.061415 emclip=0.061415 age=3.3999999999068677 wmin=4000 wmax=9000 dage=10 rlapmin=5 inter=0 plot=0 verbose=0 /Users/daniel/Github/Photometric-Classification/results/snid/type_rlap_5/16314_3.40.dat
   DEBUG (2020-05-19 15:28:40,757): root - Finished with target


    INFO (2020-05-19 15:28:40,758): root - Fetching data for <2744> (2 / 938)
   DEBUG (2020-05-19 15:28:40,853): root - Formatting table for <2744>
   DEBUG (2020-05-19 15:28:40,853): root - Fetching t0 for <2744>
    INFO (2020-05-19 15:28:40,855): root - Found t0 for <2744>. t0 = 2453647.0
    INFO (2020-05-19 15:28:40,872): root - Formatted table for <2744> has 0 spectra
   DEBUG (2020-05-19 15:28:40,872): root - Finished with target


    INFO (2020-05-19 15:28:40,872): root - Fetching data for <15674> (3 / 938)
   DEBUG (2020-05-19 15:28:40,967): root - Formatting table for <15674>
   DEBUG (2020-05-19 15:28:40,967): root - Fetching t0 for <15674>
    INFO (2020-05-19 15:28:40,968): root - Found t0 for <15674>. t0 = 2454040.8
    INFO (2020-05-19 15:28:40,986): root - Formatted table for <15674> has 1 spectra
    INFO (2020-05-19 15:28:40,993): root - snid forcez=0.196541 emclip=0.196541 age=14.700000000186265 wmin=4000 wmax=9000 dage=10 rlapmin=5 inter=0 plot=0 verbose=0 /Users/daniel/Github/Photometric-Classification/results/snid/type_rlap_5/15674_14.70.dat
   DEBUG (2020-05-19 15:28:42,996): root - Finished with target


    INFO (2020-05-19 15:28:42,997): root - Fetching data for <19070> (4 / 938)
   DEBUG (2020-05-19 15:28:43,099): root - Formatting table for <19070>
   DEBUG (2020-05-19 15:28:43,099): root - Fetching t0 for <19070>
    INFO (2020-05-19 15:28:43,101): root - Found t0 for <19070>. t0 = 2454388.4
    INFO (2020-05-19 15:28:43,120): root - Formatted table for <19070> has 1 spectra
    INFO (2020-05-19 15:28:43,126): root - snid forcez=0.46861 emclip=0.46861 age=1.1000000000931323 wmin=4000 wmax=9000 dage=10 rlapmin=5 inter=0 plot=0 verbose=0 /Users/daniel/Github/Photometric-Classification/results/snid/type_rlap_5/19070_1.10.dat
   DEBUG (2020-05-19 15:28:45,229): root - Finished with target


    INFO (2020-05-19 15:28:45,230): root - Fetching data for <6530> (5 / 938)
   DEBUG (2020-05-19 15:28:45,344): root - Formatting table for <6530>
   DEBUG (2020-05-19 15:28:45,344): root - Fetching t0 for <6530>
    INFO (2020-05-19 15:28:45,346): root - Found t0 for <6530>. t0 = 2453656.8
    INFO (2020-05-19 15:28:45,362): root - Formatted table for <6530> has 0 spectra
   DEBUG (2020-05-19 15:28:45,362): root - Finished with target


    INFO (2020-05-19 15:28:45,362): root - Fetching data for <13044> (6 / 938)
   DEBUG (2020-05-19 15:28:45,572): root - Formatting table for <13044>
   DEBUG (2020-05-19 15:28:45,573): root - Fetching t0 for <13044>
