    INFO (2020-06-17 15:18:00,034): root - Typing Spectra rlapmin=5
    INFO (2020-06-17 15:18:00,056): root - Fetching data for <20545> (0 / 938)
   DEBUG (2020-06-17 15:18:00,170): root - Formatting table for <20545>
   DEBUG (2020-06-17 15:18:00,171): root - Fetching t0 for <20545>
    INFO (2020-06-17 15:18:00,217): root - Found t0 for <20545>. t0 = 2454418.3
    INFO (2020-06-17 15:18:00,256): root - Formatted table for <20545> has 0 spectra
   DEBUG (2020-06-17 15:18:00,256): root - Finished with target


    INFO (2020-06-17 15:18:00,256): root - Fetching data for <20051> (1 / 938)
   DEBUG (2020-06-17 15:18:00,322): root - Formatting table for <20051>
   DEBUG (2020-06-17 15:18:00,322): root - Fetching t0 for <20051>
    INFO (2020-06-17 15:18:00,323): root - Found t0 for <20051>. t0 = 2454414.5
    INFO (2020-06-17 15:18:00,339): root - Formatted table for <20051> has 1 spectra
    INFO (2020-06-17 15:18:00,345): root - snid forcez=0.233708 emclip=0.233708 age=0.0 wmin=4000 wmax=9000 dage=5 rlapmin=5 inter=0 plot=0 verbose=0 /tmp/tmptye3ervo/20051_0.00.dat
   DEBUG (2020-06-17 15:18:01,449): root - Finished with target


    INFO (2020-06-17 15:18:01,450): root - Fetching data for <16333> (2 / 938)
   DEBUG (2020-06-17 15:18:01,589): root - Formatting table for <16333>
   DEBUG (2020-06-17 15:18:01,589): root - Fetching t0 for <16333>
    INFO (2020-06-17 15:18:01,590): root - Found t0 for <16333>. t0 = 2454064.6
    INFO (2020-06-17 15:18:01,650): root - Formatted table for <16333> has 3 spectra
    INFO (2020-06-17 15:18:01,659): root - snid forcez=0.070675 emclip=0.070675 age=-9.100000000093132 wmin=4000 wmax=9000 dage=5 rlapmin=5 inter=0 plot=0 verbose=0 /tmp/tmpluon47a9/16333_-9.10.dat
    INFO (2020-06-17 15:18:02,694): root - snid forcez=0.070675 emclip=0.070675 age=-6.100000000093132 wmin=4000 wmax=9000 dage=5 rlapmin=5 inter=0 plot=0 verbose=0 /tmp/tmpwscujxe1/16333_-6.10.dat
    INFO (2020-06-17 15:18:03,781): root - snid forcez=0.070675 emclip=0.070675 age=2.8999999999068677 wmin=4000 wmax=9000 dage=5 rlapmin=5 inter=0 plot=0 verbose=0 /tmp/tmpw4j2focu/16333_2.90.dat
   DEBUG (2020-06-17 15:18:04,882): root - Finished with target


