   DEBUG (2020-05-18 10:24:42,929): urllib3.connectionpool - Starting new HTTPS connection (1): portal.nersc.gov:443
   DEBUG (2020-05-18 10:24:43,314): urllib3.connectionpool - https://portal.nersc.gov:443 "GET /project/dessn/SDSS/dataRelease/ HTTP/1.1" 200 2024
   DEBUG (2020-05-18 10:24:43,336): urllib3.connectionpool - Starting new HTTP connection (1): www.ioa.s.u-tokyo.ac.jp:80
   DEBUG (2020-05-18 10:24:43,703): urllib3.connectionpool - http://www.ioa.s.u-tokyo.ac.jp:80 "GET /~doi/sdss/ HTTP/1.1" 404 208
    INFO (2020-05-18 10:24:47,466): root - Typing Spectra rlapmin=5
    INFO (2020-05-18 10:24:47,515): root - Fetching data for <722>
   DEBUG (2020-05-18 10:24:47,961): root - Formatting table for <722>
   DEBUG (2020-05-18 10:24:47,961): root - Fetching t0 for <722>
    INFO (2020-05-18 10:24:47,964): root - t0 not available for <722>
   DEBUG (2020-05-18 10:24:47,964): root - Finished with target


    INFO (2020-05-18 10:24:47,964): root - Fetching data for <739>
   DEBUG (2020-05-18 10:24:48,367): root - Formatting table for <739>
   DEBUG (2020-05-18 10:24:48,368): root - Fetching t0 for <739>
    INFO (2020-05-18 10:24:48,498): root - Found t0 for <739>. t0 = 2453610.0
    INFO (2020-05-18 10:24:48,559): root - Formatted table for <739> is empty
    INFO (2020-05-18 10:24:48,577): root - snid forcez=0.106421 rlapmin=5 inter=0 plot=0 verbose=0 /Users/daniel/Github/Photometric-Classification/results/snid/type_rlap_5/739_12.50.dat
   DEBUG (2020-05-18 10:24:50,449): root - Finished with target


    INFO (2020-05-18 10:24:50,450): root - Fetching data for <744>
   DEBUG (2020-05-18 10:24:50,828): root - Formatting table for <744>
   DEBUG (2020-05-18 10:24:50,828): root - Fetching t0 for <744>
    INFO (2020-05-18 10:24:50,829): root - Found t0 for <744>. t0 = 2453613.4
    INFO (2020-05-18 10:24:50,875): root - Formatted table for <744> is empty
    INFO (2020-05-18 10:24:50,893): root - snid forcez=0.12694 rlapmin=5 inter=0 plot=0 verbose=0 /Users/daniel/Github/Photometric-Classification/results/snid/type_rlap_5/744_8.10.dat
   DEBUG (2020-05-18 10:24:52,280): root - Finished with target


    INFO (2020-05-18 10:24:52,281): root - Fetching data for <762>
   DEBUG (2020-05-18 10:24:52,619): root - Formatting table for <762>
   DEBUG (2020-05-18 10:24:52,619): root - Fetching t0 for <762>
    INFO (2020-05-18 10:24:52,621): root - Found t0 for <762>. t0 = 2453625.7
    INFO (2020-05-18 10:24:52,692): root - Formatted table for <762> is empty
