    INFO (2020-05-18 22:35:13,873): root - Selecting best fit object types
    INFO (2020-05-18 22:35:19,686): root - Subtyping Spectra rlapmin=5
    INFO (2020-05-18 22:35:19,717): root - Fetching data for <16185> (0 / 938)
   DEBUG (2020-05-18 22:35:19,946): root - Formatting table for <16185>
   DEBUG (2020-05-18 22:35:19,946): root - Fetching t0 for <16185>
    INFO (2020-05-18 22:35:20,025): root - Found t0 for <16185>. t0 = 2454054.5
    INFO (2020-05-18 22:35:20,089): root - Formatted table for <16185> has 1 spectra
    INFO (2020-05-18 22:35:20,090): root - Using template Ia
    INFO (2020-05-18 22:35:20,096): root - snid usetype=Ia rlapmin=5 inter=0 plot=0 verbose=0 /Users/daniel/Github/Photometric-Classification/results/snid/subtype_rlap_5/16185_4.00.dat
   DEBUG (2020-05-18 22:35:23,341): root - Finished with target


    INFO (2020-05-18 22:35:23,342): root - Fetching data for <14492> (1 / 938)
   DEBUG (2020-05-18 22:35:23,555): root - Formatting table for <14492>
   DEBUG (2020-05-18 22:35:23,555): root - Fetching t0 for <14492>
    INFO (2020-05-18 22:35:23,557): root - Found t0 for <14492>. t0 = 2454015.0
    INFO (2020-05-18 22:35:23,612): root - Formatted table for <14492> has 1 spectra
    INFO (2020-05-18 22:35:23,613): root - Using template Ib
    INFO (2020-05-18 22:35:23,623): root - snid usetype=Ib rlapmin=5 inter=0 plot=0 verbose=0 /Users/daniel/Github/Photometric-Classification/results/snid/subtype_rlap_5/14492_8.50.dat
   DEBUG (2020-05-18 22:35:24,041): root - Finished with target


    INFO (2020-05-18 22:35:24,041): root - Fetching data for <6714> (2 / 938)
   DEBUG (2020-05-18 22:35:24,149): root - Formatting table for <6714>
   DEBUG (2020-05-18 22:35:24,150): root - Fetching t0 for <6714>
    INFO (2020-05-18 22:35:24,151): root - Found t0 for <6714>. t0 = 2453677.7
    INFO (2020-05-18 22:35:24,169): root - Formatted table for <6714> has 0 spectra
   DEBUG (2020-05-18 22:35:24,170): root - Finished with target


    INFO (2020-05-18 22:35:24,170): root - Fetching data for <16105> (3 / 938)
   DEBUG (2020-05-18 22:35:24,353): root - Formatting table for <16105>
   DEBUG (2020-05-18 22:35:24,353): root - Fetching t0 for <16105>
    INFO (2020-05-18 22:35:24,354): root - Found t0 for <16105>. t0 = 2454048.7
    INFO (2020-05-18 22:35:24,401): root - Formatted table for <16105> has 3 spectra
    INFO (2020-05-18 22:35:24,401): root - No recorded type for <16105>
    INFO (2020-05-18 22:35:24,402): root - No recorded type for <16105>
    INFO (2020-05-18 22:35:24,402): root - No recorded type for <16105>
   DEBUG (2020-05-18 22:35:24,402): root - Finished with target


    INFO (2020-05-18 22:35:24,402): root - Fetching data for <1395> (4 / 938)
   DEBUG (2020-05-18 22:35:24,563): root - Formatting table for <1395>
   DEBUG (2020-05-18 22:35:24,564): root - Fetching t0 for <1395>
    INFO (2020-05-18 22:35:24,565): root - Found t0 for <1395>. t0 = 2453622.9
    INFO (2020-05-18 22:35:24,609): root - Formatted table for <1395> has 0 spectra
   DEBUG (2020-05-18 22:35:24,609): root - Finished with target


    INFO (2020-05-18 22:35:24,609): root - Fetching data for <2871> (5 / 938)
   DEBUG (2020-05-18 22:35:24,767): root - Formatting table for <2871>
   DEBUG (2020-05-18 22:35:24,767): root - Fetching t0 for <2871>
    INFO (2020-05-18 22:35:24,769): root - Found t0 for <2871>. t0 = 2453634.1
    INFO (2020-05-18 22:35:24,811): root - Formatted table for <2871> has 0 spectra
