    INFO (2020-05-18 14:26:43,603): root - Typing Spectra rlapmin=5
    INFO (2020-05-18 14:26:43,631): root - Fetching data for <16280> (0 / 500)
   DEBUG (2020-05-18 14:26:43,960): root - Formatting table for <16280>
   DEBUG (2020-05-18 14:26:43,961): root - Fetching t0 for <16280>
    INFO (2020-05-18 14:26:44,074): root - Found t0 for <16280>. t0 = 2454058.4
    INFO (2020-05-18 14:26:44,185): root - Formatted table for <16280> has 3 spectra
    INFO (2020-05-18 14:26:44,198): root - snid forcez=0.03702 emclip=0.03702 rlapmin=5 inter=0 plot=0 verbose=0 /Users/daniel/Github/Photometric-Classification/results/snid/type_rlap_5/16280_-1.90.dat
    INFO (2020-05-18 14:26:45,165): root - snid forcez=0.03702 emclip=0.03702 rlapmin=5 inter=0 plot=0 verbose=0 /Users/daniel/Github/Photometric-Classification/results/snid/type_rlap_5/16280_1.10.dat
    INFO (2020-05-18 14:26:46,132): root - snid forcez=0.03702 emclip=0.03702 rlapmin=5 inter=0 plot=0 verbose=0 /Users/daniel/Github/Photometric-Classification/results/snid/type_rlap_5/16280_5.10.dat
   DEBUG (2020-05-18 14:26:47,075): root - Finished with target


    INFO (2020-05-18 14:26:47,075): root - Fetching data for <5844> (1 / 500)
   DEBUG (2020-05-18 14:26:47,388): root - Formatting table for <5844>
   DEBUG (2020-05-18 14:26:47,389): root - Fetching t0 for <5844>
    INFO (2020-05-18 14:26:47,390): root - Found t0 for <5844>. t0 = 2453664.0
    INFO (2020-05-18 14:26:47,443): root - Formatted table for <5844> has 1 spectra
    INFO (2020-05-18 14:26:47,461): root - snid forcez=0.309294 emclip=0.309294 rlapmin=5 inter=0 plot=0 verbose=0 /Users/daniel/Github/Photometric-Classification/results/snid/type_rlap_5/5844_5.50.dat
   DEBUG (2020-05-18 14:26:48,404): root - Finished with target


    INFO (2020-05-18 14:26:48,405): root - Fetching data for <16099> (2 / 500)
   DEBUG (2020-05-18 14:26:48,508): root - Formatting table for <16099>
   DEBUG (2020-05-18 14:26:48,508): root - Fetching t0 for <16099>
    INFO (2020-05-18 14:26:48,510): root - Found t0 for <16099>. t0 = 2454054.5
    INFO (2020-05-18 14:26:48,529): root - Formatted table for <16099> has 1 spectra
    INFO (2020-05-18 14:26:48,535): root - snid forcez=0.195801 emclip=0.195801 rlapmin=5 inter=0 plot=0 verbose=0 /Users/daniel/Github/Photometric-Classification/results/snid/type_rlap_5/16099_-2.00.dat
   DEBUG (2020-05-18 14:26:49,458): root - Finished with target


    INFO (2020-05-18 14:26:49,459): root - Fetching data for <12883> (3 / 500)
   DEBUG (2020-05-18 14:26:49,641): root - Formatting table for <12883>
   DEBUG (2020-05-18 14:26:49,642): root - Fetching t0 for <12883>
    INFO (2020-05-18 14:26:49,643): root - Found t0 for <12883>. t0 = 2453980.4
    INFO (2020-05-18 14:26:49,696): root - Formatted table for <12883> has 0 spectra
   DEBUG (2020-05-18 14:26:49,696): root - Finished with target


    INFO (2020-05-18 14:26:49,696): root - Fetching data for <2992> (4 / 500)
   DEBUG (2020-05-18 14:26:50,209): root - Formatting table for <2992>
   DEBUG (2020-05-18 14:26:50,210): root - Fetching t0 for <2992>
    INFO (2020-05-18 14:26:50,211): root - Found t0 for <2992>. t0 = 2453641.7
    INFO (2020-05-18 14:26:50,306): root - Formatted table for <2992> has 1 spectra
    INFO (2020-05-18 14:26:50,320): root - snid forcez=0.126077 emclip=0.126077 rlapmin=5 inter=0 plot=0 verbose=0 /Users/daniel/Github/Photometric-Classification/results/snid/type_rlap_5/2992_8.80.dat
   DEBUG (2020-05-18 14:26:51,318): root - Finished with target


    INFO (2020-05-18 14:26:51,318): root - Fetching data for <2102> (5 / 500)
   DEBUG (2020-05-18 14:26:51,466): root - Formatting table for <2102>
   DEBUG (2020-05-18 14:26:51,466): root - Fetching t0 for <2102>
    INFO (2020-05-18 14:26:51,468): root - Found t0 for <2102>. t0 = 2453620.8
    INFO (2020-05-18 14:26:51,501): root - Formatted table for <2102> has 0 spectra
   DEBUG (2020-05-18 14:26:51,501): root - Finished with target


    INFO (2020-05-18 14:26:51,502): root - Fetching data for <7017> (6 / 500)
   DEBUG (2020-05-18 14:26:51,736): root - Formatting table for <7017>
   DEBUG (2020-05-18 14:26:51,736): root - Fetching t0 for <7017>
    INFO (2020-05-18 14:26:51,737): root - Found t0 for <7017>. t0 = 2453684.9
    INFO (2020-05-18 14:26:51,755): root - Formatted table for <7017> has 0 spectra
   DEBUG (2020-05-18 14:26:51,755): root - Finished with target


    INFO (2020-05-18 14:26:51,755): root - Fetching data for <20889> (7 / 500)
   DEBUG (2020-05-18 14:26:51,868): root - Formatting table for <20889>
   DEBUG (2020-05-18 14:26:51,868): root - Fetching t0 for <20889>
    INFO (2020-05-18 14:26:51,870): root - Found t0 for <20889>. t0 = 2454417.5
    INFO (2020-05-18 14:26:51,891): root - Formatted table for <20889> has 1 spectra
    INFO (2020-05-18 14:26:51,898): root - snid forcez=0.208746 emclip=0.208746 rlapmin=5 inter=0 plot=0 verbose=0 /Users/daniel/Github/Photometric-Classification/results/snid/type_rlap_5/20889_-3.00.dat
   DEBUG (2020-05-18 14:26:52,816): root - Finished with target


    INFO (2020-05-18 14:26:52,816): root - Fetching data for <8030> (8 / 500)
   DEBUG (2020-05-18 14:26:52,928): root - Formatting table for <8030>
   DEBUG (2020-05-18 14:26:52,928): root - Fetching t0 for <8030>
    INFO (2020-05-18 14:26:52,929): root - Found t0 for <8030>. t0 = 2453678.4
    INFO (2020-05-18 14:26:52,951): root - Formatted table for <8030> has 1 spectra
    INFO (2020-05-18 14:26:52,958): root - snid forcez=0.420927 emclip=0.420927 rlapmin=5 inter=0 plot=0 verbose=0 /Users/daniel/Github/Photometric-Classification/results/snid/type_rlap_5/8030_1.10.dat
   DEBUG (2020-05-18 14:26:53,917): root - Finished with target


    INFO (2020-05-18 14:26:53,917): root - Fetching data for <15222> (9 / 500)
   DEBUG (2020-05-18 14:26:54,046): root - Formatting table for <15222>
   DEBUG (2020-05-18 14:26:54,046): root - Fetching t0 for <15222>
    INFO (2020-05-18 14:26:54,048): root - Found t0 for <15222>. t0 = 2454031.6
    INFO (2020-05-18 14:26:54,072): root - Formatted table for <15222> has 1 spectra
    INFO (2020-05-18 14:26:54,081): root - snid forcez=0.198005 emclip=0.198005 rlapmin=5 inter=0 plot=0 verbose=0 /Users/daniel/Github/Photometric-Classification/results/snid/type_rlap_5/15222_-7.10.dat
   DEBUG (2020-05-18 14:26:55,076): root - Finished with target


    INFO (2020-05-18 14:26:55,076): root - Fetching data for <17500> (10 / 500)
   DEBUG (2020-05-18 14:26:55,196): root - Formatting table for <17500>
   DEBUG (2020-05-18 14:26:55,196): root - Fetching t0 for <17500>
    INFO (2020-05-18 14:26:55,197): root - t0 not available for <17500>
   DEBUG (2020-05-18 14:26:55,197): root - Finished with target


    INFO (2020-05-18 14:26:55,197): root - Fetching data for <5183> (11 / 500)
   DEBUG (2020-05-18 14:26:55,340): root - Formatting table for <5183>
   DEBUG (2020-05-18 14:26:55,340): root - Fetching t0 for <5183>
    INFO (2020-05-18 14:26:55,341): root - Found t0 for <5183>. t0 = 2453647.5
    INFO (2020-05-18 14:26:55,362): root - Formatted table for <5183> has 1 spectra
    INFO (2020-05-18 14:26:55,370): root - snid forcez=0.389088 emclip=0.389088 rlapmin=5 inter=0 plot=0 verbose=0 /Users/daniel/Github/Photometric-Classification/results/snid/type_rlap_5/5183_4.00.dat
   DEBUG (2020-05-18 14:26:56,371): root - Finished with target


