SURVEY: SDSS   
SNID:   50016   
IAUC:    NULL 
PHOTOMETRY_VERSION: 91bg 
SNTYPE:  0 
FILTERS: gri 
RA:      7.439024  deg 
DECL:    0.933843  deg 
PIXSIZE:  0.4000  arcsec 
CCDNUM: 0  
FAKE:    2   (=> simulated LC with snlc_sim.exe) 
MWEBV:       0.0260    MW E(B-V) 
MWEBV_ERR:   0.0042    error on MWEBV 
REDSHIFT_HELIO:   0.053938 +- 0.000500  (Helio, z_best) 
REDSHIFT_FINAL:   0.052716 +- 0.000500  (CMB) 
REDSHIFT_STATUS:  OK 

VPEC:         0.00  # v_pec correction
VPEC_ERR:     0.00  # error on above  
PEAKMJD:   53685.438 

HOSTGAL_OBJID:    -9  
HOSTGAL_PHOTOZ:   -9.0000  +- -9.0000 
HOSTGAL_SPECZ:    0.0000  +- 0.0000 
HOSTGAL_SNSEP:    -9.000    # arcsec 
 

SIM_MODEL_NAME:  SIMSED.91bg 
SIM_MODEL_INDEX:  7 
SIM_TYPE_INDEX:   0 
SIM_TYPE_NAME:    UNKNOWN 
SIM_NON1a:      0   (NONIA index) 
SIM_COMMENT:  SN Type = UNKNOWN , MODEL = SIMSED.91bg  
SIM_LIBID:  52  
SIM_NGEN_LIBID:  1  
SIM_NOBS_UNDEFINED:  0  
SIM_REDSHIFT_HELIO:  0.05457  
SIM_REDSHIFT_CMB:    0.05334  
SIM_REDSHIFT_HOST:   0.05457  
SIM_VPEC:  -0.0 (km/sec) 
SIM_HOSTLIB_NPAR: 0 
SIM_DLMU:      36.8829  mag   [ -5*log10(10pc/dL) ]
SIM_LENSDMU:   0.0000  mag 
SIM_RA:        7.439024 deg  
SIM_DECL:      0.933843 deg  
SIM_MWRV:    3.100   (MilkyWay RV) 
SIM_MWEBV:   0.0288   (MilkyWay E(B-V)) 
SIMOPT_MWCOLORLAW:  94   (MW color-law option) 
SIMOPT_MWEBV:       1   (modify MWEBV_SFD)
SIM_MAGSMEAR_COH:    0.000  
SIM_GALFRAC:  -9.000 -9.000 -9.000  (gri F_gal/F_SNpeak for PSF=1'')
SIM_PEAKMAG:   19.52  18.57  18.48  (gri obs)
SIM_EXPOSURE:     1.0    1.0    1.0  (gri obs)
SIM_PEAKMJD:   53684.046875  days 
SIM_SALT2x0:   1.7654e-15   
SIM_SEARCHEFF_MASK:  3  (bits 1,2=> found by software,spec) 
SIM_SEARCHEFF_SPEC:  1.0000  (spectro-search efficiency (ignores pipelines)) 
SIM_TRESTMIN:   -18.73   days 
SIM_TRESTMAX:    20.09   days 
SIM_RISETIME_SHIFT:   0.0 days 
SIM_FALLTIME_SHIFT:   0.0 days 

SIMSED_NPAR: 2 
SIMSED_PARAM(stretch):  0.986955 
SIMSED_param(color):  0.546193 



# ============================================ 
# TERSE LIGHT CURVE OUTPUT: 
#
NOBS: 33 
NVAR: 9 
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR PHOTFLAG   ZPT  PSF  SIM_MAGOBS
OBS:  53664.297  g  82S   6.9810e+00   3.129e+01    0  28.530    1.39  99.0000 
OBS:  53664.297  r  82S   2.8092e+01   3.079e+01    0  28.200    1.28  99.0000 
OBS:  53664.297  i  82S   2.6167e+00   4.395e+01    0  27.910    1.36  99.0000 
OBS:  53669.254  g  82S  -1.5038e+01   1.260e+01    0  28.530    1.05  99.0000 
OBS:  53669.254  r  82S  -1.4688e+01   2.146e+01    0  28.210    1.18  99.0000 
OBS:  53669.254  i  82S  -2.8862e+01   3.541e+01    0  27.920    1.29  99.0000 
OBS:  53671.340  g  82S   3.4322e+01   1.803e+01    0  28.370    1.47  24.0747 
OBS:  53671.340  r  82S  -1.4754e+01   2.718e+01    0  28.140    1.48  23.3114 
OBS:  53671.340  i  82S   2.7414e+01   3.971e+01    0  27.840    1.39  23.2244 
OBS:  53674.238  g  82S   1.9383e+02   1.448e+01    0  28.520    1.34  21.7660 
OBS:  53674.238  r  82S   4.2947e+02   2.330e+01    0  28.200    1.28  20.9992 
OBS:  53674.238  i  82S   5.0526e+02   3.538e+01    0  27.910    1.32  20.9144 
OBS:  53676.328  g  82S   5.0488e+02   1.507e+01    0  28.470    0.95  20.7329 
OBS:  53676.328  r  82S   9.7730e+02   2.476e+01    0  28.190    1.23  19.9669 
OBS:  53676.328  i  82S   1.1689e+03   3.510e+01    0  27.910    1.04  19.8788 
OBS:  53679.301  g  82S   1.1390e+03   1.952e+01    0  28.480    1.48  19.8632 
OBS:  53679.301  r  82S   2.3118e+03   3.510e+01    0  28.170    1.71  19.0936 
OBS:  53679.301  i  82S   2.4680e+03   5.027e+01    0  27.900    1.58  18.9954 
DETECTION:  3 obs satisfy gr+ri+gi  at MJD_TRIGGER=53679.3010 
OBS:  53681.293  g  82S   1.4031e+03   1.857e+01    0  28.480    1.06  19.6441 
OBS:  53681.293  r  82S   2.9655e+03   3.123e+01    0  28.170    1.45  18.8200 
OBS:  53681.293  i  82S   3.2118e+03   4.219e+01    0  27.910    1.26  18.7308 
OBS:  53685.250  g  82S   1.5264e+03   5.256e+01    0  28.500    1.52  19.5381 
OBS:  53685.250  r  82S   3.9270e+03   5.924e+01    0  28.180    1.52  18.5162 
OBS:  53685.250  i  82S   4.3018e+03   6.998e+01    0  27.910    1.52  18.4222 
OBS:  53697.250  g  82S   4.0259e+02   1.563e+01    0  28.480    1.06  20.9526 
OBS:  53697.250  r  82S   2.0664e+03   2.764e+01    0  28.170    1.34  19.2045 
OBS:  53697.250  i  82S   2.7833e+03   4.030e+01    0  27.910    1.28  18.9055 
OBS:  53700.246  g  82S   3.7734e+02   1.904e+01    0  28.460    1.74  21.1595 
OBS:  53700.246  r  82S   1.6820e+03   3.052e+01    0  28.170    1.69  19.4295 
OBS:  53700.246  i  82S   2.2980e+03   4.593e+01    0  27.880    1.55  19.1223 
OBS:  53705.234  g  82S   2.5248e+02   1.580e+01    0  28.500    1.44  21.5056 
OBS:  53705.234  r  82S   1.2235e+03   2.564e+01    0  28.190    1.46  19.8050 
OBS:  53705.234  i  82S   1.5666e+03   3.745e+01    0  27.910    1.37  19.4845 
END_PHOTOMETRY: 
