SURVEY: SDSS   
SNID:   50237   
IAUC:    NULL 
PHOTOMETRY_VERSION: 91bg 
SNTYPE:  100 
FILTERS: gri 
RA:      -31.268637  deg 
DECL:    1.029894  deg 
PIXSIZE:  0.4000  arcsec 
CCDNUM: 0  
FAKE:    2   (=> simulated LC with snlc_sim.exe) 
MWEBV:       0.0610    MW E(B-V) 
MWEBV_ERR:   0.0098    error on MWEBV 
REDSHIFT_HELIO:   0.081909 +- 0.000500  (Helio, z_best) 
REDSHIFT_FINAL:   0.080653 +- 0.000500  (CMB) 
REDSHIFT_STATUS:  from Host Galaxy (Unconfirmed SN)

VPEC:         0.00  # v_pec correction
VPEC_ERR:     0.00  # error on above  
PEAKMJD:   53632.215 

HOSTGAL_OBJID:    -9  
HOSTGAL_PHOTOZ:   -9.0000  +- -9.0000 
HOSTGAL_SPECZ:    0.0000  +- 0.0000 
HOSTGAL_SNSEP:    -9.000    # arcsec 
 

SIM_MODEL_NAME:  SIMSED.91bg 
SIM_MODEL_INDEX:  7 
SIM_TYPE_INDEX:   0 
SIM_TYPE_NAME:    UNKNOWN 
SIM_NON1a:      0   (NONIA index) 
SIM_COMMENT:  SN Type = UNKNOWN , MODEL = SIMSED.91bg  
SIM_LIBID:  653  
SIM_NGEN_LIBID:  1  
SIM_NOBS_UNDEFINED:  0  
SIM_REDSHIFT_HELIO:  0.08172  
SIM_REDSHIFT_CMB:    0.08047  
SIM_REDSHIFT_HOST:   0.08172  
SIM_VPEC:  -0.0 (km/sec) 
SIM_HOSTLIB_NPAR: 0 
SIM_DLMU:      37.8170  mag   [ -5*log10(10pc/dL) ]
SIM_LENSDMU:   0.0000  mag 
SIM_RA:        -31.268637 deg  
SIM_DECL:      1.029894 deg  
SIM_MWRV:    3.100   (MilkyWay RV) 
SIM_MWEBV:   0.0517   (MilkyWay E(B-V)) 
SIMOPT_MWCOLORLAW:  94   (MW color-law option) 
SIMOPT_MWEBV:       1   (modify MWEBV_SFD)
SIM_MAGSMEAR_COH:    0.000  
SIM_GALFRAC:  -9.000 -9.000 -9.000  (gri F_gal/F_SNpeak for PSF=1'')
SIM_PEAKMAG:   20.46  19.56  19.38  (gri obs)
SIM_EXPOSURE:     1.0    1.0    1.0  (gri obs)
SIM_PEAKMJD:   53631.648438  days 
SIM_SALT2x0:   7.4676e-16   
SIM_SEARCHEFF_MASK:  5  (bits 1,2=> found by software,spec) 
SIM_SEARCHEFF_SPEC:  0.5050  (spectro-search efficiency (ignores pipelines)) 
SIM_TRESTMIN:    -8.70   days 
SIM_TRESTMAX:    67.93   days 
SIM_RISETIME_SHIFT:   0.0 days 
SIM_FALLTIME_SHIFT:   0.0 days 

SIMSED_NPAR: 2 
SIMSED_PARAM(stretch):  0.890868 
SIMSED_param(color):  0.426085 



# ============================================ 
# TERSE LIGHT CURVE OUTPUT: 
#
NOBS: 54 
NVAR: 9 
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR PHOTFLAG   ZPT  PSF  SIM_MAGOBS
OBS:  53622.234  g  82S   1.0024e+02   2.164e+01    0  28.440    1.87  22.3618 
OBS:  53622.234  r  82S   2.1554e+02   2.952e+01    0  28.170    1.72  21.6578 
OBS:  53622.234  i  82S   2.3227e+02   4.597e+01    0  27.880    1.70  21.4832 
OBS:  53625.230  g  82S   3.3959e+02   1.783e+01    0  28.510    1.01  21.1400 
OBS:  53625.230  r  82S   6.4794e+02   2.329e+01    0  28.190    0.95  20.4306 
OBS:  53625.230  i  82S   7.1186e+02   3.548e+01    0  27.880    1.00  20.2599 
OBS:  53627.191  g  82S   5.2662e+02   3.304e+01    0  28.490    1.36  20.7627 
OBS:  53627.191  r  82S   9.8129e+02   3.273e+01    0  28.210    1.17  20.0365 
OBS:  53627.191  i  82S   1.1332e+03   4.496e+01    0  27.880    1.18  19.8574 
DETECTION:  3 obs satisfy gr+ri+gi  at MJD_TRIGGER=53627.1910 
OBS:  53634.188  g  82S   6.2532e+02   4.810e+01    0  28.560    2.12  20.5466 
OBS:  53634.188  r  82S   1.5798e+03   5.056e+01    0  28.230    2.00  19.4948 
OBS:  53634.188  i  82S   1.8886e+03   7.267e+01    0  27.930    2.16  19.2851 
OBS:  53636.191  g  82S   4.8773e+02   1.922e+01    0  28.430    1.08  20.7639 
OBS:  53636.191  r  82S   1.5456e+03   2.607e+01    0  28.150    1.03  19.5369 
OBS:  53636.191  i  82S   1.8648e+03   4.216e+01    0  27.830    1.13  19.3082 
OBS:  53655.164  g  82S   8.3251e+01   3.110e+01    0  28.550    1.46  22.6196 
OBS:  53655.164  r  82S   4.2375e+02   3.685e+01    0  28.230    1.50  20.9777 
OBS:  53655.164  i  82S   6.0610e+02   4.761e+01    0  27.930    1.45  20.5235 
OBS:  53664.188  g  82S   1.4316e+02   3.008e+01    0  28.530    1.54  23.1361 
OBS:  53664.188  r  82S   2.8742e+02   3.444e+01    0  28.200    1.52  21.5004 
OBS:  53664.188  i  82S   2.8096e+02   4.811e+01    0  27.910    1.55  21.1242 
OBS:  53666.152  g  82S   6.3043e+01   1.258e+01    0  28.560    0.99  23.2001 
OBS:  53666.152  r  82S   2.6155e+02   2.199e+01    0  28.230    1.07  21.5834 
OBS:  53666.152  i  82S   2.9821e+02   3.547e+01    0  27.930    1.09  21.2396 
OBS:  53669.148  g  82S   3.8970e+01   1.288e+01    0  28.560    1.08  23.2706 
OBS:  53669.148  r  82S   2.2881e+02   2.140e+01    0  28.240    1.10  21.6992 
OBS:  53669.148  i  82S   2.3635e+02   3.413e+01    0  27.940    1.09  21.3915 
OBS:  53674.133  g  82S   3.3193e+01   1.413e+01    0  28.510    1.38  23.3899 
OBS:  53674.133  r  82S   1.7483e+02   2.416e+01    0  28.200    1.38  21.8792 
OBS:  53674.133  i  82S   1.8142e+02   3.813e+01    0  27.910    1.41  21.6629 
OBS:  53676.223  g  82S   3.1252e+01   1.371e+01    0  28.450    1.03  23.4551 
OBS:  53676.223  r  82S   1.6140e+02   2.297e+01    0  28.160    1.18  21.9393 
OBS:  53676.223  i  82S   1.8612e+02   3.382e+01    0  27.890    1.10  21.7721 
OBS:  53679.191  g  82S   5.7540e+01   1.791e+01    0  28.480    1.80  23.5422 
OBS:  53679.191  r  82S   1.7772e+02   2.855e+01    0  28.170    1.74  22.0134 
OBS:  53679.191  i  82S   1.6248e+02   4.103e+01    0  27.900    1.64  21.8839 
OBS:  53681.184  g  82S   3.9933e+01   1.396e+01    0  28.480    1.17  23.5790 
OBS:  53681.184  r  82S   1.4046e+02   3.434e+01    0  28.170    1.34  22.0688 
OBS:  53681.184  i  82S   1.2696e+02   3.619e+01    0  27.910    1.32  21.9394 
OBS:  53685.145  g  82S   3.7150e+00   5.636e+01    0  28.500    1.04  23.6622 
OBS:  53685.145  r  82S   1.4042e+02   4.255e+01    0  28.180    1.10  22.1783 
OBS:  53685.145  i  82S   1.6400e+02   4.979e+01    0  27.910    1.16  22.0526 
OBS:  53687.184  g  82S  -9.4096e+00   4.266e+01    0  28.460    1.29  23.7032 
OBS:  53687.184  r  82S   1.2081e+02   3.986e+01    0  28.160    1.24  22.2349 
OBS:  53687.184  i  82S   1.3527e+02   4.574e+01    0  27.900    1.21  22.1104 
OBS:  53697.141  g  82S   3.2384e+01   1.470e+01    0  28.480    1.13  23.9041 
OBS:  53697.141  r  82S   1.0145e+02   3.086e+01    0  28.170    1.37  22.5102 
OBS:  53697.141  i  82S   1.1592e+02   4.000e+01    0  27.910    1.41  22.3932 
OBS:  53700.141  g  82S   5.0677e+01   1.468e+01    0  28.450    1.21  23.9643 
OBS:  53700.141  r  82S   5.8863e+01   2.629e+01    0  28.160    1.47  22.5935 
OBS:  53700.141  i  82S   1.1419e+02   4.092e+01    0  27.880    1.42  22.4780 
OBS:  53705.129  g  82S   3.0108e+01   1.765e+01    0  28.500    1.72  24.0665 
OBS:  53705.129  r  82S   8.0448e+01   2.829e+01    0  28.190    1.71  22.7319 
