SURVEY: SDSS   
SNID:   50280   
IAUC:    NULL 
PHOTOMETRY_VERSION: 91bg 
SNTYPE:  100 
FILTERS: gri 
RA:      13.326387  deg 
DECL:    -0.093525  deg 
PIXSIZE:  0.4000  arcsec 
CCDNUM: 0  
FAKE:    2   (=> simulated LC with snlc_sim.exe) 
MWEBV:       0.0280    MW E(B-V) 
MWEBV_ERR:   0.0045    error on MWEBV 
REDSHIFT_HELIO:   0.140479 +- 0.000500  (Helio, z_best) 
REDSHIFT_FINAL:   0.139215 +- 0.000500  (CMB) 
REDSHIFT_STATUS:  from Host Galaxy (Unconfirmed SN)

VPEC:         0.00  # v_pec correction
VPEC_ERR:     0.00  # error on above  
PEAKMJD:   53689.070 

HOSTGAL_OBJID:    -9  
HOSTGAL_PHOTOZ:   -9.0000  +- -9.0000 
HOSTGAL_SPECZ:    0.0000  +- 0.0000 
HOSTGAL_SNSEP:    -9.000    # arcsec 
 

SIM_MODEL_NAME:  SIMSED.91bg 
SIM_MODEL_INDEX:  7 
SIM_TYPE_INDEX:   0 
SIM_TYPE_NAME:    UNKNOWN 
SIM_NON1a:      0   (NONIA index) 
SIM_COMMENT:  SN Type = UNKNOWN , MODEL = SIMSED.91bg  
SIM_LIBID:  773  
SIM_NGEN_LIBID:  1  
SIM_NOBS_UNDEFINED:  0  
SIM_REDSHIFT_HELIO:  0.14012  
SIM_REDSHIFT_CMB:    0.13886  
SIM_REDSHIFT_HOST:   0.14012  
SIM_VPEC:  -0.0 (km/sec) 
SIM_HOSTLIB_NPAR: 0 
SIM_DLMU:      39.0855  mag   [ -5*log10(10pc/dL) ]
SIM_LENSDMU:   0.0000  mag 
SIM_RA:        13.326387 deg  
SIM_DECL:      -0.093525 deg  
SIM_MWRV:    3.100   (MilkyWay RV) 
SIM_MWEBV:   0.0288   (MilkyWay E(B-V)) 
SIMOPT_MWCOLORLAW:  94   (MW color-law option) 
SIMOPT_MWEBV:       1   (modify MWEBV_SFD)
SIM_MAGSMEAR_COH:    0.000  
SIM_GALFRAC:  -9.000 -9.000 -9.000  (gri F_gal/F_SNpeak for PSF=1'')
SIM_PEAKMAG:   22.09  20.86  20.53  (gri obs)
SIM_EXPOSURE:     1.0    1.0    1.0  (gri obs)
SIM_PEAKMJD:   53689.105469  days 
SIM_SALT2x0:   2.3217e-16   
SIM_SEARCHEFF_MASK:  5  (bits 1,2=> found by software,spec) 
SIM_SEARCHEFF_SPEC:  0.2208  (spectro-search efficiency (ignores pipelines)) 
SIM_TRESTMIN:   -19.94   days 
SIM_TRESTMAX:    13.28   days 
SIM_RISETIME_SHIFT:   0.0 days 
SIM_FALLTIME_SHIFT:   0.0 days 

SIMSED_NPAR: 2 
SIMSED_PARAM(stretch):  1.010424 
SIMSED_param(color):  0.575531 



# ============================================ 
# TERSE LIGHT CURVE OUTPUT: 
#
NOBS: 33 
NVAR: 9 
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR PHOTFLAG   ZPT  PSF  SIM_MAGOBS
OBS:  53666.367  g  82N  -1.1774e+01   2.530e+01    0  28.480    1.41  99.0000 
OBS:  53666.367  r  82N  -3.9633e+00   2.629e+01    0  28.220    1.07  99.0000 
OBS:  53666.367  i  82N  -1.1817e+01   3.371e+01    0  27.940    0.94  99.0000 
OBS:  53668.285  g  82N   7.2377e+00   1.886e+01    0  28.570    1.63  99.0000 
OBS:  53668.285  r  82N   3.3304e+00   2.784e+01    0  28.260    1.54  99.0000 
OBS:  53668.285  i  82N   5.5079e+00   4.116e+01    0  27.980    1.48  99.0000 
OBS:  53670.293  g  82N   2.4745e+01   1.581e+01    0  28.520    1.55  99.0000 
OBS:  53670.293  r  82N   3.0738e+01   2.481e+01    0  28.240    1.47  99.0000 
OBS:  53670.293  i  82N  -4.9128e+01   3.250e+01    0  27.960    1.04  99.0000 
OBS:  53673.258  g  82N   5.9995e+00   1.257e+01    0  28.550    1.01  99.0000 
OBS:  53673.258  r  82N  -3.7590e+01   2.029e+01    0  28.240    0.95  99.0000 
OBS:  53673.258  i  82N   2.0277e+01   3.135e+01    0  27.960    0.97  99.0000 
OBS:  53675.258  g  82N   2.1145e+01   1.718e+01    0  28.550    1.73  26.7227 
OBS:  53675.258  r  82N   3.1161e+01   2.510e+01    0  28.260    1.35  25.7276 
OBS:  53675.258  i  82N  -8.1821e+00   3.216e+01    0  27.980    0.98  25.4249 
OBS:  53677.277  g  82N   1.3393e+00   1.307e+01    0  28.340    0.96  24.8388 
OBS:  53677.277  r  82N   9.5230e-02   2.009e+01    0  28.160    0.89  23.8609 
OBS:  53677.277  i  82N   4.1691e+01   2.882e+01    0  27.890    0.82  23.5564 
OBS:  53680.266  g  82N   4.6347e+01   1.277e+01    0  28.560    1.01  23.4077 
OBS:  53680.266  r  82N   1.4116e+02   2.132e+01    0  28.250    0.96  22.4309 
OBS:  53680.266  i  82N   1.2644e+02   2.970e+01    0  27.970    0.88  22.1256 
OBS:  53693.266  g  82N   1.2581e+02   3.024e+01    0  28.530    1.33  22.3718 
OBS:  53693.266  r  82N   4.5355e+02   3.077e+01    0  28.240    1.09  20.8351 
OBS:  53693.266  i  82N   6.7160e+02   3.756e+01    0  27.960    0.99  20.4541 
OBS:  53698.266  g  82N   6.5349e+01   1.504e+01    0  28.410    1.38  23.1783 
OBS:  53698.266  r  82N   3.0240e+02   2.500e+01    0  28.190    1.38  21.2043 
OBS:  53698.266  i  82N   5.6201e+02   3.970e+01    0  27.890    1.38  20.6764 
OBS:  53699.289  g  82N   7.5042e+01   1.353e+01    0  28.490    1.12  23.3490 
OBS:  53699.289  r  82N   2.7599e+02   2.159e+01    0  28.210    0.99  21.3121 
OBS:  53699.289  i  82N   5.2827e+02   3.145e+01    0  27.940    0.88  20.7417 
DETECTION:  3 obs satisfy gr+ri+gi  at MJD_TRIGGER=53699.2890 
OBS:  53704.250  g  82N   3.5517e+01   1.536e+01    0  28.500    1.56  23.7567 
OBS:  53704.250  r  82N   1.8070e+02   2.619e+01    0  28.220    1.56  21.6912 
