SURVEY: SDSS   
SNID:   50362   
IAUC:    NULL 
PHOTOMETRY_VERSION: 91bg 
SNTYPE:  100 
FILTERS: gri 
RA:      -47.213432  deg 
DECL:    -0.249939  deg 
PIXSIZE:  0.4000  arcsec 
CCDNUM: 0  
FAKE:    2   (=> simulated LC with snlc_sim.exe) 
MWEBV:       0.1190    MW E(B-V) 
MWEBV_ERR:   0.0190    error on MWEBV 
REDSHIFT_HELIO:   0.139546 +- 0.000500  (Helio, z_best) 
REDSHIFT_FINAL:   0.138404 +- 0.000500  (CMB) 
REDSHIFT_STATUS:  from Host Galaxy (Unconfirmed SN)

VPEC:         0.00  # v_pec correction
VPEC_ERR:     0.00  # error on above  
PEAKMJD:   53632.586 

HOSTGAL_OBJID:    -9  
HOSTGAL_PHOTOZ:   -9.0000  +- -9.0000 
HOSTGAL_SPECZ:    0.0000  +- 0.0000 
HOSTGAL_SNSEP:    -9.000    # arcsec 
 

SIM_MODEL_NAME:  SIMSED.91bg 
SIM_MODEL_INDEX:  7 
SIM_TYPE_INDEX:   0 
SIM_TYPE_NAME:    UNKNOWN 
SIM_NON1a:      0   (NONIA index) 
SIM_COMMENT:  SN Type = UNKNOWN , MODEL = SIMSED.91bg  
SIM_LIBID:  983  
SIM_NGEN_LIBID:  1  
SIM_NOBS_UNDEFINED:  0  
SIM_REDSHIFT_HELIO:  0.13991  
SIM_REDSHIFT_CMB:    0.13877  
SIM_REDSHIFT_HOST:   0.13991  
SIM_VPEC:  -0.0 (km/sec) 
SIM_HOSTLIB_NPAR: 0 
SIM_DLMU:      39.0838  mag   [ -5*log10(10pc/dL) ]
SIM_LENSDMU:   0.0000  mag 
SIM_RA:        -47.213432 deg  
SIM_DECL:      -0.249939 deg  
SIM_MWRV:    3.100   (MilkyWay RV) 
SIM_MWEBV:   0.1546   (MilkyWay E(B-V)) 
SIMOPT_MWCOLORLAW:  94   (MW color-law option) 
SIMOPT_MWEBV:       1   (modify MWEBV_SFD)
SIM_MAGSMEAR_COH:    0.000  
SIM_GALFRAC:  -9.000 -9.000 -9.000  (gri F_gal/F_SNpeak for PSF=1'')
SIM_PEAKMAG:   22.45  21.17  20.79  (gri obs)
SIM_EXPOSURE:     1.0    1.0    1.0  (gri obs)
SIM_PEAKMJD:   53631.664062  days 
SIM_SALT2x0:   2.3254e-16   
SIM_SEARCHEFF_MASK:  5  (bits 1,2=> found by software,spec) 
SIM_SEARCHEFF_SPEC:  0.1947  (spectro-search efficiency (ignores pipelines)) 
SIM_TRESTMIN:    -5.68   days 
SIM_TRESTMAX:    60.03   days 
SIM_RISETIME_SHIFT:   0.0 days 
SIM_FALLTIME_SHIFT:   0.0 days 

SIMSED_NPAR: 2 
SIMSED_PARAM(stretch):  0.944161 
SIMSED_param(color):  0.492702 



# ============================================ 
# TERSE LIGHT CURVE OUTPUT: 
#
NOBS: 48 
NVAR: 9 
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR PHOTFLAG   ZPT  PSF  SIM_MAGOBS
OBS:  53625.188  g  82S   7.4372e+01   1.771e+01    0  28.530    0.93  22.9572 
OBS:  53625.188  r  82S   1.4921e+02   2.209e+01    0  28.240    0.81  21.9330 
OBS:  53625.188  i  82S   2.4722e+02   3.053e+01    0  27.940    0.74  21.5855 
OBS:  53627.148  g  82S   5.6200e+01   3.036e+01    0  28.510    1.14  22.6656 
OBS:  53627.148  r  82S   2.2872e+02   3.160e+01    0  28.240    1.01  21.5834 
OBS:  53627.148  i  82S   2.8903e+02   3.800e+01    0  27.930    0.92  21.2416 
OBS:  53634.141  g  82S   1.1244e+02   3.832e+01    0  28.570    1.97  22.5536 
OBS:  53634.141  r  82S   3.7473e+02   4.776e+01    0  28.270    2.12  21.1109 
OBS:  53634.141  i  82S   5.2062e+02   6.121e+01    0  27.980    1.89  20.7088 
OBS:  53636.148  g  82S   7.2110e+01   1.339e+01    0  28.520    1.04  22.7667 
OBS:  53636.148  r  82S   3.4433e+02   2.186e+01    0  28.180    0.95  21.1563 
OBS:  53636.148  i  82S   5.7132e+02   3.311e+01    0  27.890    0.91  20.7223 
OBS:  53645.207  g  82S   2.5381e+01   1.407e+01    0  28.530    1.17  24.0091 
OBS:  53645.207  r  82S   1.7087e+02   2.358e+01    0  28.220    1.08  21.8915 
OBS:  53645.207  i  82S   3.2806e+02   3.254e+01    0  27.950    0.94  21.2302 
DETECTION:  3 obs satisfy gr+ri+gi  at MJD_TRIGGER=53645.2070 
OBS:  53655.121  g  82S   7.2564e+01   2.494e+01    0  28.560    1.06  24.6378 
OBS:  53655.121  r  82S   8.4087e+01   2.553e+01    0  28.260    0.83  22.5619 
OBS:  53655.121  i  82S   1.5379e+02   3.323e+01    0  27.980    0.78  21.9263 
OBS:  53664.145  g  82S   1.4690e+01   2.463e+01    0  28.550    1.36  25.1385 
OBS:  53664.145  r  82S   1.1044e+02   3.063e+01    0  28.250    1.25  23.1020 
OBS:  53664.145  i  82S   8.7757e+01   3.952e+01    0  27.960    1.13  22.5267 
OBS:  53666.109  g  82S   1.5546e+01   1.238e+01    0  28.570    0.94  25.2054 
OBS:  53666.109  r  82S   2.2786e+01   2.072e+01    0  28.260    0.86  23.1733 
OBS:  53666.109  i  82S   7.4783e+01   3.134e+01    0  27.970    0.79  22.6301 
OBS:  53669.102  g  82S  -4.4855e+00   1.248e+01    0  28.570    0.98  25.2892 
OBS:  53669.102  r  82S   5.7707e+01   2.016e+01    0  28.260    0.87  23.2800 
OBS:  53669.102  i  82S   9.4949e+01   2.913e+01    0  27.990    0.75  22.7840 
OBS:  53674.086  g  82S   2.4182e+01   1.334e+01    0  28.520    1.11  25.3779 
OBS:  53674.086  r  82S   4.2659e+01   2.316e+01    0  28.240    1.07  23.4373 
OBS:  53674.086  i  82S   2.8280e+00   3.260e+01    0  27.950    0.95  23.0295 
OBS:  53676.176  g  82S   1.7063e+01   1.339e+01    0  28.440    0.97  25.4142 
OBS:  53676.176  r  82S   1.3499e+02   4.052e+01    0  27.910    1.79  23.5023 
OBS:  53676.176  i  82S   9.7245e+01   5.323e+01    0  27.820    1.98  23.1320 
OBS:  53681.141  g  82S  -1.0817e+01   1.979e+01    0  28.520    1.03  25.5373 
OBS:  53681.141  r  82S  -3.3608e+01   4.142e+01    0  28.230    0.84  23.6733 
OBS:  53681.141  i  82S   6.1761e+01   3.778e+01    0  27.950    0.77  23.3028 
OBS:  53685.098  g  82S  -2.0612e+01   4.406e+01    0  28.550    1.59  25.6127 
OBS:  53685.098  r  82S   1.0801e+01   5.156e+01    0  28.250    1.59  23.7716 
OBS:  53685.098  i  82S   1.3398e+02   5.291e+01    0  27.960    1.38  23.4109 
OBS:  53687.137  g  82S   8.9791e+00   3.825e+01    0  28.510    1.33  25.6569 
OBS:  53687.137  r  82S   2.9370e+01   4.006e+01    0  28.220    1.28  23.8231 
OBS:  53687.137  i  82S  -2.6558e+01   4.140e+01    0  27.950    1.02  23.4665 
OBS:  53697.098  g  82S   2.2175e+01   1.460e+01    0  28.520    1.08  25.8499 
OBS:  53697.098  r  82S   4.1062e+01   2.586e+01    0  28.230    1.03  24.0735 
OBS:  53697.098  i  82S  -6.4172e+00   3.334e+01    0  27.950    0.94  23.7390 
OBS:  53700.098  g  82S  -6.9793e+00   1.502e+01    0  28.450    1.26  25.9080 
