SURVEY: SDSS   
SNID:   50392   
IAUC:    NULL 
PHOTOMETRY_VERSION: 91bg 
SNTYPE:  0 
FILTERS: gri 
RA:      -21.513054  deg 
DECL:    1.120163  deg 
PIXSIZE:  0.4000  arcsec 
CCDNUM: 0  
FAKE:    2   (=> simulated LC with snlc_sim.exe) 
MWEBV:       0.0890    MW E(B-V) 
MWEBV_ERR:   0.0142    error on MWEBV 
REDSHIFT_HELIO:   0.054611 +- 0.000500  (Helio, z_best) 
REDSHIFT_FINAL:   0.053332 +- 0.000500  (CMB) 
REDSHIFT_STATUS:  OK 

VPEC:         0.00  # v_pec correction
VPEC_ERR:     0.00  # error on above  
PEAKMJD:   53677.527 

HOSTGAL_OBJID:    -9  
HOSTGAL_PHOTOZ:   -9.0000  +- -9.0000 
HOSTGAL_SPECZ:    0.0000  +- 0.0000 
HOSTGAL_SNSEP:    -9.000    # arcsec 
 

SIM_MODEL_NAME:  SIMSED.91bg 
SIM_MODEL_INDEX:  7 
SIM_TYPE_INDEX:   0 
SIM_TYPE_NAME:    UNKNOWN 
SIM_NON1a:      0   (NONIA index) 
SIM_COMMENT:  SN Type = UNKNOWN , MODEL = SIMSED.91bg  
SIM_LIBID:  49  
SIM_NGEN_LIBID:  1  
SIM_NOBS_UNDEFINED:  0  
SIM_REDSHIFT_HELIO:  0.05576  
SIM_REDSHIFT_CMB:    0.05448  
SIM_REDSHIFT_HOST:   0.05576  
SIM_VPEC:  0.0 (km/sec) 
SIM_HOSTLIB_NPAR: 0 
SIM_DLMU:      36.9306  mag   [ -5*log10(10pc/dL) ]
SIM_LENSDMU:   0.0000  mag 
SIM_RA:        -21.513054 deg  
SIM_DECL:      1.120163 deg  
SIM_MWRV:    3.100   (MilkyWay RV) 
SIM_MWEBV:   0.0690   (MilkyWay E(B-V)) 
SIMOPT_MWCOLORLAW:  94   (MW color-law option) 
SIMOPT_MWEBV:       1   (modify MWEBV_SFD)
SIM_MAGSMEAR_COH:    0.000  
SIM_GALFRAC:  -9.000 -9.000 -9.000  (gri F_gal/F_SNpeak for PSF=1'')
SIM_PEAKMAG:   19.74  18.73  18.61  (gri obs)
SIM_EXPOSURE:     1.0    1.0    1.0  (gri obs)
SIM_PEAKMJD:   53677.238281  days 
SIM_SALT2x0:   1.6895e-15   
SIM_SEARCHEFF_MASK:  3  (bits 1,2=> found by software,spec) 
SIM_SEARCHEFF_SPEC:  1.0000  (spectro-search efficiency (ignores pipelines)) 
SIM_TRESTMIN:   -19.94   days 
SIM_TRESTMAX:    20.79   days 
SIM_RISETIME_SHIFT:   0.0 days 
SIM_FALLTIME_SHIFT:   0.0 days 

SIMSED_NPAR: 2 
SIMSED_PARAM(stretch):  0.997810 
SIMSED_param(color):  0.559762 



# ============================================ 
# TERSE LIGHT CURVE OUTPUT: 
#
NOBS: 39 
NVAR: 9 
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR PHOTFLAG   ZPT  PSF  SIM_MAGOBS
OBS:  53656.188  g  82N  -4.5397e+01   4.546e+01    0  28.530    1.70  99.0000 
OBS:  53656.188  r  82N   2.5269e+01   5.343e+01    0  28.220    1.80  99.0000 
OBS:  53656.188  i  82N   1.1421e+01   6.230e+01    0  27.910    1.69  99.0000 
OBS:  53663.199  g  82N  -2.6322e+01   2.214e+01    0  28.560    0.95  99.0000 
OBS:  53663.199  r  82N   9.0903e+00   2.614e+01    0  28.230    1.02  99.0000 
OBS:  53663.199  i  82N  -1.0435e+01   3.629e+01    0  27.930    1.03  99.0000 
OBS:  53665.180  g  82N   1.4337e+01   2.258e+01    0  28.520    1.25  23.4809 
OBS:  53665.180  r  82N   1.0899e+02   8.430e+01    0  28.190    1.28  22.6502 
OBS:  53665.180  i  82N   6.5925e+01   5.119e+01    0  27.890    1.29  22.5375 
OBS:  53668.191  g  82N   2.3914e+02   1.654e+01    0  28.550    1.57  21.5774 
OBS:  53668.191  r  82N   5.3310e+02   2.949e+01    0  28.220    1.58  20.7526 
OBS:  53668.191  i  82N   5.7532e+02   4.646e+01    0  27.930    1.48  20.6367 
OBS:  53670.195  g  82N   5.4154e+02   1.610e+01    0  28.520    1.36  20.6899 
OBS:  53670.195  r  82N   1.1571e+03   2.570e+01    0  28.200    1.36  19.8604 
OBS:  53670.195  i  82N   1.2352e+03   4.237e+01    0  27.910    1.41  19.7446 
OBS:  53673.164  g  82N   1.0116e+03   1.846e+01    0  28.530    1.51  20.0098 
OBS:  53673.164  r  82N   2.1499e+03   2.984e+01    0  28.210    1.51  19.1652 
OBS:  53673.164  i  82N   2.4475e+03   4.467e+01    0  27.910    1.42  19.0373 
DETECTION:  3 obs satisfy gr+ri+gi  at MJD_TRIGGER=53673.1640 
OBS:  53675.160  g  82N   1.2052e+03   1.861e+01    0  28.540    1.50  19.8188 
OBS:  53675.160  r  82N   2.7594e+03   3.066e+01    0  28.220    1.51  18.9016 
OBS:  53675.160  i  82N   3.0736e+03   4.897e+01    0  27.920    1.57  18.7812 
OBS:  53677.180  g  82N   1.2670e+03   1.936e+01    0  28.340    1.11  19.7371 
OBS:  53677.180  r  82N   3.2686e+03   2.943e+01    0  28.160    1.18  18.7297 
OBS:  53677.180  i  82N   3.5547e+03   4.266e+01    0  27.890    1.15  18.6109 
OBS:  53680.168  g  82N   1.1409e+03   1.740e+01    0  28.510    1.12  19.8545 
OBS:  53680.168  r  82N   3.4496e+03   2.949e+01    0  28.190    1.27  18.6624 
OBS:  53680.168  i  82N   3.9472e+03   4.318e+01    0  27.920    1.27  18.5182 
OBS:  53686.234  g  82N   5.8014e+02   7.612e+01    0  28.410    2.06  20.7468 
OBS:  53686.234  r  82N   2.3603e+03   7.193e+01    0  28.150    1.94  19.0153 
OBS:  53686.234  i  82N   2.9213e+03   8.618e+01    0  27.880    1.83  18.7593 
OBS:  53693.168  g  82N   2.7442e+02   2.874e+01    0  28.490    1.15  21.3594 
