SURVEY: SDSS   
SNID:   50425   
IAUC:    NULL 
PHOTOMETRY_VERSION: 91bg 
SNTYPE:  100 
FILTERS: gri 
RA:      24.092123  deg 
DECL:    -0.125465  deg 
PIXSIZE:  0.4000  arcsec 
CCDNUM: 0  
FAKE:    2   (=> simulated LC with snlc_sim.exe) 
MWEBV:       0.0270    MW E(B-V) 
MWEBV_ERR:   0.0043    error on MWEBV 
REDSHIFT_HELIO:   0.154699 +- 0.000500  (Helio, z_best) 
REDSHIFT_FINAL:   0.153554 +- 0.000500  (CMB) 
REDSHIFT_STATUS:  from Host Galaxy (Unconfirmed SN)

VPEC:         0.00  # v_pec correction
VPEC_ERR:     0.00  # error on above  
PEAKMJD:   53634.820 

HOSTGAL_OBJID:    -9  
HOSTGAL_PHOTOZ:   -9.0000  +- -9.0000 
HOSTGAL_SPECZ:    0.0000  +- 0.0000 
HOSTGAL_SNSEP:    -9.000    # arcsec 
 

SIM_MODEL_NAME:  SIMSED.91bg 
SIM_MODEL_INDEX:  7 
SIM_TYPE_INDEX:   0 
SIM_TYPE_NAME:    UNKNOWN 
SIM_NON1a:      0   (NONIA index) 
SIM_COMMENT:  SN Type = UNKNOWN , MODEL = SIMSED.91bg  
SIM_LIBID:  135  
SIM_NGEN_LIBID:  1  
SIM_NOBS_UNDEFINED:  0  
SIM_REDSHIFT_HELIO:  0.15469  
SIM_REDSHIFT_CMB:    0.15354  
SIM_REDSHIFT_HOST:   0.15469  
SIM_VPEC:  -0.0 (km/sec) 
SIM_HOSTLIB_NPAR: 0 
SIM_DLMU:      39.3236  mag   [ -5*log10(10pc/dL) ]
SIM_LENSDMU:   0.0000  mag 
SIM_RA:        24.092123 deg  
SIM_DECL:      -0.125465 deg  
SIM_MWRV:    3.100   (MilkyWay RV) 
SIM_MWEBV:   0.0299   (MilkyWay E(B-V)) 
SIMOPT_MWCOLORLAW:  94   (MW color-law option) 
SIMOPT_MWEBV:       1   (modify MWEBV_SFD)
SIM_MAGSMEAR_COH:    0.000  
SIM_GALFRAC:  -9.000 -9.000 -9.000  (gri F_gal/F_SNpeak for PSF=1'')
SIM_PEAKMAG:   22.21  21.09  20.76  (gri obs)
SIM_EXPOSURE:     1.0    1.0    1.0  (gri obs)
SIM_PEAKMJD:   53636.207031  days 
SIM_SALT2x0:   1.8644e-16   
SIM_SEARCHEFF_MASK:  5  (bits 1,2=> found by software,spec) 
SIM_SEARCHEFF_SPEC:  0.2009  (spectro-search efficiency (ignores pipelines)) 
SIM_TRESTMIN:   -17.18   days 
SIM_TRESTMAX:    58.95   days 
SIM_RISETIME_SHIFT:   0.0 days 
SIM_FALLTIME_SHIFT:   0.0 days 

SIMSED_NPAR: 2 
SIMSED_PARAM(stretch):  0.907294 
SIMSED_param(color):  0.446618 



# ============================================ 
# TERSE LIGHT CURVE OUTPUT: 
#
NOBS: 63 
NVAR: 9 
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR PHOTFLAG   ZPT  PSF  SIM_MAGOBS
OBS:  53616.375  g  82N   1.0920e+01   1.747e+01    0  28.470    1.75  99.0000 
OBS:  53616.375  r  82N   2.0360e+00   2.601e+01    0  28.210    1.57  99.0000 
OBS:  53616.375  i  82N   4.6095e+01   3.712e+01    0  27.920    1.36  99.0000 
OBS:  53626.352  g  82N   2.9676e+01   1.823e+01    0  28.270    1.51  23.9039 
OBS:  53626.352  r  82N   4.9376e+01   2.449e+01    0  28.200    1.50  23.0558 
OBS:  53626.352  i  82N   7.0187e+01   3.581e+01    0  27.860    1.37  22.7601 
OBS:  53628.336  g  82N   2.8691e+00   3.557e+01    0  28.330    1.39  23.0802 
OBS:  53628.336  r  82N   1.2079e+02   3.340e+01    0  28.160    1.25  22.2414 
OBS:  53628.336  i  82N   2.1636e+02   4.024e+01    0  27.880    1.09  21.9438 
OBS:  53635.348  g  82N   1.4171e+02   2.539e+01    0  28.560    1.00  22.1959 
OBS:  53635.348  r  82N   3.2006e+02   2.994e+01    0  28.250    0.95  21.1300 
OBS:  53635.348  i  82N   4.6528e+02   4.052e+01    0  27.960    1.02  20.8107 
OBS:  53637.340  g  82N   9.2175e+01   2.467e+01    0  28.510    1.44  22.2548 
OBS:  53637.340  r  82N   4.2727e+02   3.043e+01    0  28.220    1.32  21.0530 
OBS:  53637.340  i  82N   5.3407e+02   3.958e+01    0  27.920    1.15  20.7115 
OBS:  53639.383  g  82N   1.2752e+02   1.507e+01    0  28.560    1.04  22.3977 
OBS:  53639.383  r  82N   3.9398e+02   2.141e+01    0  28.260    0.96  21.0387 
OBS:  53639.383  i  82N   4.9653e+02   3.013e+01    0  27.960    0.86  20.6777 
DETECTION:  3 obs satisfy gr+ri+gi  at MJD_TRIGGER=53639.3830 
OBS:  53641.383  g  82N   8.8256e+01   1.396e+01    0  28.490    1.06  22.6427 
OBS:  53641.383  r  82N   3.6948e+02   2.110e+01    0  28.210    0.98  21.1088 
OBS:  53641.383  i  82N   5.4350e+02   2.998e+01    0  27.920    0.86  20.7055 
OBS:  53644.332  g  82N   6.6557e+01   1.276e+01    0  28.570    1.04  23.1347 
OBS:  53644.332  r  82N   2.6276e+02   2.038e+01    0  28.260    0.98  21.3438 
OBS:  53644.332  i  82N   4.4610e+02   2.981e+01    0  27.970    0.90  20.8451 
OBS:  53657.344  g  82N   9.7224e+01   4.023e+01    0  28.540    1.85  24.2702 
OBS:  53657.344  r  82N   4.5469e+01   5.881e+01    0  28.240    1.99  22.3219 
OBS:  53657.344  i  82N   1.5191e+02   6.875e+01    0  27.940    1.85  21.7328 
OBS:  53663.328  g  82N   1.2878e+01   2.536e+01    0  28.580    0.91  24.6415 
OBS:  53663.328  r  82N   1.0794e+02   2.973e+01    0  28.270    0.91  22.7195 
OBS:  53663.328  i  82N   1.1179e+02   3.308e+01    0  27.990    0.79  22.1492 
OBS:  53666.395  g  82N  -5.9693e+00   2.403e+01    0  28.480    1.20  24.8169 
OBS:  53666.395  r  82N   6.2888e+01   2.695e+01    0  28.220    1.05  22.9238 
OBS:  53666.395  i  82N   9.1008e+01   3.479e+01    0  27.940    0.99  22.3712 
OBS:  53668.316  g  82N  -2.4244e+01   1.924e+01    0  28.570    1.59  24.8998 
OBS:  53668.316  r  82N   7.5418e+01   3.025e+01    0  28.270    1.68  23.0169 
OBS:  53668.316  i  82N   4.1992e+01   4.229e+01    0  27.990    1.59  22.4795 
OBS:  53670.320  g  82N   2.7420e+01   1.444e+01    0  28.520    1.41  24.9625 
OBS:  53670.320  r  82N   5.7691e+01   2.295e+01    0  28.240    1.31  23.0877 
OBS:  53670.320  i  82N   9.6040e+01   3.558e+01    0  27.960    1.32  22.5805 
OBS:  53673.289  g  82N   1.7521e+01   1.280e+01    0  28.550    1.05  25.0518 
OBS:  53673.289  r  82N   5.9705e+01   2.043e+01    0  28.250    0.94  23.1913 
