SURVEY: SDSS   
SNID:   50458   
IAUC:    NULL 
PHOTOMETRY_VERSION: 91bg 
SNTYPE:  0 
FILTERS: gri 
RA:      -28.759897  deg 
DECL:    -0.711581  deg 
PIXSIZE:  0.4000  arcsec 
CCDNUM: 0  
FAKE:    2   (=> simulated LC with snlc_sim.exe) 
MWEBV:       0.0930    MW E(B-V) 
MWEBV_ERR:   0.0149    error on MWEBV 
REDSHIFT_HELIO:   0.088725 +- 0.000500  (Helio, z_best) 
REDSHIFT_FINAL:   0.087448 +- 0.000500  (CMB) 
REDSHIFT_STATUS:  OK 

VPEC:         0.00  # v_pec correction
VPEC_ERR:     0.00  # error on above  
PEAKMJD:   53659.582 

HOSTGAL_OBJID:    -9  
HOSTGAL_PHOTOZ:   -9.0000  +- -9.0000 
HOSTGAL_SPECZ:    0.0000  +- 0.0000 
HOSTGAL_SNSEP:    -9.000    # arcsec 
 

SIM_MODEL_NAME:  SIMSED.91bg 
SIM_MODEL_INDEX:  7 
SIM_TYPE_INDEX:   0 
SIM_TYPE_NAME:    UNKNOWN 
SIM_NON1a:      0   (NONIA index) 
SIM_COMMENT:  SN Type = UNKNOWN , MODEL = SIMSED.91bg  
SIM_LIBID:  230  
SIM_NGEN_LIBID:  1  
SIM_NOBS_UNDEFINED:  0  
SIM_REDSHIFT_HELIO:  0.08917  
SIM_REDSHIFT_CMB:    0.08790  
SIM_REDSHIFT_HOST:   0.08917  
SIM_VPEC:  0.0 (km/sec) 
SIM_HOSTLIB_NPAR: 0 
SIM_DLMU:      38.0198  mag   [ -5*log10(10pc/dL) ]
SIM_LENSDMU:   0.0000  mag 
SIM_RA:        -28.759897 deg  
SIM_DECL:      -0.711581 deg  
SIM_MWRV:    3.100   (MilkyWay RV) 
SIM_MWEBV:   0.0981   (MilkyWay E(B-V)) 
SIMOPT_MWCOLORLAW:  94   (MW color-law option) 
SIMOPT_MWEBV:       1   (modify MWEBV_SFD)
SIM_MAGSMEAR_COH:    0.000  
SIM_GALFRAC:  -9.000 -9.000 -9.000  (gri F_gal/F_SNpeak for PSF=1'')
SIM_PEAKMAG:   20.71  19.86  19.65  (gri obs)
SIM_EXPOSURE:     1.0    1.0    1.0  (gri obs)
SIM_PEAKMJD:   53659.101562  days 
SIM_SALT2x0:   6.1955e-16   
SIM_SEARCHEFF_MASK:  3  (bits 1,2=> found by software,spec) 
SIM_SEARCHEFF_SPEC:  0.3916  (spectro-search efficiency (ignores pipelines)) 
SIM_TRESTMIN:    -9.97   days 
SIM_TRESTMAX:    37.69   days 
SIM_RISETIME_SHIFT:   0.0 days 
SIM_FALLTIME_SHIFT:   0.0 days 

SIMSED_NPAR: 2 
SIMSED_PARAM(stretch):  0.801094 
SIMSED_param(color):  0.313868 



# ============================================ 
# TERSE LIGHT CURVE OUTPUT: 
#
NOBS: 36 
NVAR: 9 
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR PHOTFLAG   ZPT  PSF  SIM_MAGOBS
OBS:  53648.242  g  82S   4.6357e+01   1.888e+01    0  28.340    1.70  23.2825 
OBS:  53648.242  r  82S   9.7253e+01   3.201e+01    0  28.160    1.79  22.6315 
OBS:  53648.242  i  82S   1.1046e+02   4.623e+01    0  27.890    1.64  22.4336 
OBS:  53655.172  g  82S   3.6352e+02   3.522e+01    0  28.510    1.55  20.9447 
OBS:  53655.172  r  82S   7.5328e+02   3.805e+01    0  28.240    1.46  20.2539 
OBS:  53655.172  i  82S   9.8170e+02   5.158e+01    0  27.880    1.44  20.0550 
OBS:  53664.195  g  82S   4.0547e+02   3.952e+01    0  28.510    1.82  21.1014 
OBS:  53664.195  r  82S   1.1174e+03   3.691e+01    0  28.240    1.51  19.8595 
OBS:  53664.195  i  82S   1.4687e+03   4.494e+01    0  27.880    1.19  19.6001 
OBS:  53666.156  g  82S   2.6192e+02   1.410e+01    0  28.520    1.00  21.4116 
OBS:  53666.156  r  82S   9.7862e+02   2.214e+01    0  28.240    0.79  19.9856 
OBS:  53666.156  i  82S   1.3763e+03   3.435e+01    0  27.880    0.78  19.6875 
DETECTION:  3 obs satisfy gr+ri+gi  at MJD_TRIGGER=53666.1560 
OBS:  53669.156  g  82S   1.6689e+02   1.524e+01    0  28.520    1.32  21.9123 
OBS:  53669.156  r  82S   7.5222e+02   2.339e+01    0  28.240    0.99  20.2856 
OBS:  53669.156  i  82S   1.1938e+03   3.787e+01    0  27.890    1.01  19.8323 
OBS:  53674.137  g  82S   1.1912e+02   1.413e+01    0  28.480    1.12  22.3066 
OBS:  53674.137  r  82S   4.9285e+02   2.296e+01    0  28.210    1.05  20.6653 
OBS:  53674.137  i  82S   8.0991e+02   3.420e+01    0  27.860    0.96  20.1782 
OBS:  53676.227  g  82S   1.0119e+02   1.389e+01    0  28.400    0.96  22.4477 
OBS:  53676.227  r  82S   5.1218e+02   2.228e+01    0  28.140    0.87  20.8160 
OBS:  53676.227  i  82S   7.4622e+02   3.325e+01    0  27.800    0.80  20.3308 
OBS:  53679.199  g  82S   1.0251e+02   1.958e+01    0  28.450    1.84  22.6471 
OBS:  53679.199  r  82S   4.0065e+02   3.003e+01    0  28.200    1.72  21.0296 
OBS:  53679.199  i  82S   6.2592e+02   4.798e+01    0  27.850    1.72  20.5455 
OBS:  53681.191  g  82S   7.2789e+01   1.437e+01    0  28.450    1.09  22.7799 
OBS:  53681.191  r  82S   2.9697e+02   2.112e+01    0  28.200    0.88  21.1730 
OBS:  53681.191  i  82S   5.1125e+02   3.172e+01    0  27.850    0.82  20.6879 
OBS:  53685.152  g  82S   3.6689e+01   4.226e+01    0  28.480    1.08  23.0523 
OBS:  53685.152  r  82S   3.0246e+02   4.076e+01    0  28.220    0.95  21.4514 
OBS:  53685.152  i  82S   4.3761e+02   5.042e+01    0  27.850    0.93  20.9770 
OBS:  53687.188  g  82S   1.0774e+01   4.548e+01    0  28.440    1.32  23.2100 
OBS:  53687.188  r  82S   2.1586e+02   3.967e+01    0  28.190    1.08  21.5824 
OBS:  53687.188  i  82S   3.8078e+02   4.410e+01    0  27.840    0.97  21.1324 
OBS:  53700.148  g  82S   4.2254e+01   1.576e+01    0  28.410    1.35  23.6176 
OBS:  53700.148  r  82S   1.2589e+02   2.277e+01    0  28.170    1.02  22.1214 
OBS:  53700.148  i  82S   1.5653e+02   3.337e+01    0  27.830    0.91  21.8572 
END_PHOTOMETRY: 
