SURVEY: SDSS   
SNID:   50476   
IAUC:    NULL 
PHOTOMETRY_VERSION: 91bg 
SNTYPE:  100 
FILTERS: gri 
RA:      -36.716877  deg 
DECL:    0.584080  deg 
PIXSIZE:  0.4000  arcsec 
CCDNUM: 0  
FAKE:    2   (=> simulated LC with snlc_sim.exe) 
MWEBV:       0.0560    MW E(B-V) 
MWEBV_ERR:   0.0090    error on MWEBV 
REDSHIFT_HELIO:   0.164904 +- 0.000500  (Helio, z_best) 
REDSHIFT_FINAL:   0.163604 +- 0.000500  (CMB) 
REDSHIFT_STATUS:  from Host Galaxy (Unconfirmed SN)

VPEC:         0.00  # v_pec correction
VPEC_ERR:     0.00  # error on above  
PEAKMJD:   53618.227 

HOSTGAL_OBJID:    -9  
HOSTGAL_PHOTOZ:   -9.0000  +- -9.0000 
HOSTGAL_SPECZ:    0.0000  +- 0.0000 
HOSTGAL_SNSEP:    -9.000    # arcsec 
 

SIM_MODEL_NAME:  SIMSED.91bg 
SIM_MODEL_INDEX:  7 
SIM_TYPE_INDEX:   0 
SIM_TYPE_NAME:    UNKNOWN 
SIM_NON1a:      0   (NONIA index) 
SIM_COMMENT:  SN Type = UNKNOWN , MODEL = SIMSED.91bg  
SIM_LIBID:  273  
SIM_NGEN_LIBID:  1  
SIM_NOBS_UNDEFINED:  0  
SIM_REDSHIFT_HELIO:  0.16447  
SIM_REDSHIFT_CMB:    0.16317  
SIM_REDSHIFT_HOST:   0.16447  
SIM_VPEC:  -0.0 (km/sec) 
SIM_HOSTLIB_NPAR: 0 
SIM_DLMU:      39.4688  mag   [ -5*log10(10pc/dL) ]
SIM_LENSDMU:   0.0000  mag 
SIM_RA:        -36.716877 deg  
SIM_DECL:      0.584080 deg  
SIM_MWRV:    3.100   (MilkyWay RV) 
SIM_MWEBV:   0.0537   (MilkyWay E(B-V)) 
SIMOPT_MWCOLORLAW:  94   (MW color-law option) 
SIMOPT_MWEBV:       1   (modify MWEBV_SFD)
SIM_MAGSMEAR_COH:    0.000  
SIM_GALFRAC:  -9.000 -9.000 -9.000  (gri F_gal/F_SNpeak for PSF=1'')
SIM_PEAKMAG:   22.68  21.35  20.95  (gri obs)
SIM_EXPOSURE:     1.0    1.0    1.0  (gri obs)
SIM_PEAKMJD:   53616.585938  days 
SIM_SALT2x0:   1.6311e-16   
SIM_SEARCHEFF_MASK:  5  (bits 1,2=> found by software,spec) 
SIM_SEARCHEFF_SPEC:  0.1832  (spectro-search efficiency (ignores pipelines)) 
SIM_TRESTMIN:     4.84   days 
SIM_TRESTMAX:    76.02   days 
SIM_RISETIME_SHIFT:   0.0 days 
SIM_FALLTIME_SHIFT:   0.0 days 

SIMSED_NPAR: 2 
SIMSED_PARAM(stretch):  0.986585 
SIMSED_param(color):  0.545732 



# ============================================ 
# TERSE LIGHT CURVE OUTPUT: 
#
NOBS: 53 
NVAR: 9 
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR PHOTFLAG   ZPT  PSF  SIM_MAGOBS
OBS:  53622.223  g  82S   8.0407e+01   2.023e+01    0  28.370    1.81  23.2051 
OBS:  53622.223  r  82S   2.7320e+02   2.833e+01    0  28.200    1.64  21.4015 
OBS:  53622.223  i  82S   4.0785e+02   4.402e+01    0  27.860    1.44  20.9118 
OBS:  53625.219  g  82S   3.2010e+01   1.651e+01    0  28.430    0.92  23.7126 
OBS:  53625.219  r  82S   2.6322e+02   2.155e+01    0  28.240    0.83  21.6568 
OBS:  53627.180  g  82S   4.5565e+01   3.056e+01    0  28.410    1.18  24.0368 
OBS:  53627.180  r  82S   1.5945e+02   3.088e+01    0  28.240    1.06  21.8544 
OBS:  53627.180  i  82S   3.9098e+02   4.049e+01    0  27.870    0.95  21.2027 
OBS:  53634.172  g  82S   7.5312e+01   4.313e+01    0  28.470    1.99  24.5407 
OBS:  53634.172  r  82S   9.1406e+01   4.747e+01    0  28.260    1.97  22.3547 
OBS:  53634.172  i  82S   2.4633e+02   6.990e+01    0  27.920    2.12  21.6795 
DETECTION:  3 obs satisfy gr+ri+gi  at MJD_TRIGGER=53634.1720 
OBS:  53636.176  g  82S   1.8867e+00   1.575e+01    0  28.340    1.03  24.6667 
OBS:  53636.176  r  82S   9.9819e+01   2.110e+01    0  28.200    0.94  22.4863 
OBS:  53636.176  i  82S   2.1625e+02   3.190e+01    0  27.850    0.86  21.8205 
OBS:  53655.148  g  82S   2.0610e+01   3.256e+01    0  28.460    1.49  25.5688 
OBS:  53655.148  r  82S   1.8876e+01   3.685e+01    0  28.260    1.43  23.5116 
OBS:  53655.148  i  82S  -1.3446e+01   4.654e+01    0  27.910    1.30  22.9915 
OBS:  53664.172  g  82S   9.8186e+00   2.689e+01    0  28.470    1.42  25.7149 
OBS:  53664.172  r  82S   7.2319e+00   2.885e+01    0  28.250    1.26  23.7815 
OBS:  53664.172  i  82S   1.6532e+01   3.980e+01    0  27.920    1.23  23.4031 
OBS:  53666.137  g  82S   4.0640e+00   1.218e+01    0  28.470    0.92  25.7739 
OBS:  53666.137  r  82S   2.5278e+01   2.022e+01    0  28.260    0.89  23.8554 
OBS:  53666.137  i  82S   8.9343e+01   3.270e+01    0  27.900    0.85  23.4630 
OBS:  53669.133  g  82S  -3.7497e+00   1.241e+01    0  28.460    0.95  25.8347 
OBS:  53669.133  r  82S   2.2090e+01   2.087e+01    0  28.260    1.02  23.9325 
OBS:  53669.133  i  82S   6.2368e+01   3.268e+01    0  27.920    0.92  23.5439 
OBS:  53674.117  g  82S   2.7162e+00   1.377e+01    0  28.420    1.20  25.9371 
OBS:  53674.117  r  82S   5.7004e+01   2.135e+01    0  28.230    1.08  24.0532 
OBS:  53674.117  i  82S   2.0845e+01   3.252e+01    0  27.890    0.97  23.6771 
OBS:  53676.207  g  82S  -1.6785e+01   1.369e+01    0  28.360    1.05  25.9780 
OBS:  53676.207  r  82S   4.7376e+01   2.158e+01    0  28.190    1.00  24.1036 
OBS:  53676.207  i  82S   4.8302e+01   3.309e+01    0  27.860    0.95  23.7331 
