SURVEY: SDSS   
SNID:   50520   
IAUC:    NULL 
PHOTOMETRY_VERSION: 91bg 
SNTYPE:  0 
FILTERS: gri 
RA:      31.298904  deg 
DECL:    0.951863  deg 
PIXSIZE:  0.4000  arcsec 
CCDNUM: 0  
FAKE:    2   (=> simulated LC with snlc_sim.exe) 
MWEBV:       0.0240    MW E(B-V) 
MWEBV_ERR:   0.0038    error on MWEBV 
REDSHIFT_HELIO:   0.045192 +- 0.000500  (Helio, z_best) 
REDSHIFT_FINAL:   0.044256 +- 0.000500  (CMB) 
REDSHIFT_STATUS:  OK 

VPEC:         0.00  # v_pec correction
VPEC_ERR:     0.00  # error on above  
PEAKMJD:   53625.207 

HOSTGAL_OBJID:    -9  
HOSTGAL_PHOTOZ:   -9.0000  +- -9.0000 
HOSTGAL_SPECZ:    0.0000  +- 0.0000 
HOSTGAL_SNSEP:    -9.000    # arcsec 
 

SIM_MODEL_NAME:  SIMSED.91bg 
SIM_MODEL_INDEX:  7 
SIM_TYPE_INDEX:   0 
SIM_TYPE_NAME:    UNKNOWN 
SIM_NON1a:      0   (NONIA index) 
SIM_COMMENT:  SN Type = UNKNOWN , MODEL = SIMSED.91bg  
SIM_LIBID:  418  
SIM_NGEN_LIBID:  1  
SIM_NOBS_UNDEFINED:  0  
SIM_REDSHIFT_HELIO:  0.04504  
SIM_REDSHIFT_CMB:    0.04410  
SIM_REDSHIFT_HOST:   0.04504  
SIM_VPEC:  0.0 (km/sec) 
SIM_HOSTLIB_NPAR: 0 
SIM_DLMU:      36.4546  mag   [ -5*log10(10pc/dL) ]
SIM_LENSDMU:   0.0000  mag 
SIM_RA:        31.298904 deg  
SIM_DECL:      0.951863 deg  
SIM_MWRV:    3.100   (MilkyWay RV) 
SIM_MWEBV:   0.0245   (MilkyWay E(B-V)) 
SIMOPT_MWCOLORLAW:  94   (MW color-law option) 
SIMOPT_MWEBV:       1   (modify MWEBV_SFD)
SIM_MAGSMEAR_COH:    0.000  
SIM_GALFRAC:  -9.000 -9.000 -9.000  (gri F_gal/F_SNpeak for PSF=1'')
SIM_PEAKMAG:   19.06  18.11  18.05  (gri obs)
SIM_EXPOSURE:     1.0    1.0    1.0  (gri obs)
SIM_PEAKMJD:   53625.839844  days 
SIM_SALT2x0:   2.6191e-15   
SIM_SEARCHEFF_MASK:  3  (bits 1,2=> found by software,spec) 
SIM_SEARCHEFF_SPEC:  1.0000  (spectro-search efficiency (ignores pipelines)) 
SIM_TRESTMIN:    -3.28   days 
SIM_TRESTMAX:    76.04   days 
SIM_RISETIME_SHIFT:   0.0 days 
SIM_FALLTIME_SHIFT:   0.0 days 

SIMSED_NPAR: 2 
SIMSED_PARAM(stretch):  0.996685 
SIMSED_param(color):  0.558356 



# ============================================ 
# TERSE LIGHT CURVE OUTPUT: 
#
NOBS: 57 
NVAR: 9 
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR PHOTFLAG   ZPT  PSF  SIM_MAGOBS
OBS:  53622.410  g  82S   2.0348e+03   2.070e+01    0  28.480    1.31  19.2469 
OBS:  53622.410  r  82S   4.1024e+03   3.019e+01    0  28.180    1.30  18.4624 
OBS:  53622.410  i  82S   4.4260e+03   4.377e+01    0  27.900    1.23  18.3949 
OBS:  53627.367  g  82S   2.2897e+03   2.288e+01    0  28.490    1.57  19.0861 
OBS:  53627.367  r  82S   6.0824e+03   3.428e+01    0  28.210    1.45  18.0524 
OBS:  53627.367  i  82S   6.3093e+03   4.937e+01    0  27.880    1.42  17.9881 
OBS:  53634.359  g  82S   1.0522e+03   4.547e+01    0  28.580    1.50  19.9874 
OBS:  53634.359  r  82S   4.6654e+03   5.530e+01    0  28.230    1.51  18.3364 
OBS:  53634.359  i  82S   5.2251e+03   6.512e+01    0  27.940    1.47  18.1921 
DETECTION:  3 obs satisfy gr+ri+gi  at MJD_TRIGGER=53634.3590 
OBS:  53638.398  g  82S   6.4160e+02   1.812e+01    0  28.560    1.06  20.4439 
OBS:  53638.398  r  82S   3.3314e+03   2.911e+01    0  28.230    1.12  18.6847 
OBS:  53638.398  i  82S   4.1959e+03   4.333e+01    0  27.920    1.11  18.4418 
OBS:  53640.363  g  82S   5.6238e+02   1.840e+01    0  28.470    1.43  20.5805 
OBS:  53640.363  r  82S   2.9498e+03   2.922e+01    0  28.170    1.32  18.8339 
OBS:  53640.363  i  82S   3.6717e+03   4.261e+01    0  27.870    1.18  18.5823 
OBS:  53646.426  g  82S   3.7451e+02   1.811e+01    0  28.060    1.03  21.0059 
OBS:  53646.426  r  82S   1.8700e+03   3.228e+01    0  27.770    1.16  19.2965 
OBS:  53646.426  i  82S   2.5046e+03   5.318e+01    0  27.340    1.11  19.0229 
OBS:  53655.336  g  82S   2.3268e+02   1.529e+01    0  28.570    1.45  21.5856 
OBS:  53655.336  r  82S   1.0876e+03   2.655e+01    0  28.240    1.49  19.9109 
OBS:  53655.336  i  82S   1.4292e+03   4.159e+01    0  27.940    1.45  19.6559 
OBS:  53664.359  g  82S   1.6926e+02   3.869e+01    0  28.530    1.39  21.8563 
OBS:  53664.359  r  82S   6.8456e+02   4.638e+01    0  28.200    1.21  20.3124 
OBS:  53664.359  i  82S   7.9316e+02   8.503e+01    0  27.910    1.16  20.1715 
OBS:  53665.426  g  82S   2.2935e+02   2.559e+01    0  28.490    1.03  21.8851 
OBS:  53665.426  r  82S   6.9027e+02   3.338e+01    0  28.190    1.24  20.3582 
OBS:  53665.426  i  82S   8.3808e+02   4.432e+01    0  27.920    1.20  20.2335 
OBS:  53669.320  g  82S   1.4067e+02   1.775e+01    0  28.510    1.59  22.0048 
OBS:  53669.320  r  82S   6.6531e+02   2.552e+01    0  28.200    1.44  20.4828 
OBS:  53669.320  i  82S   6.9269e+02   4.046e+01    0  27.910    1.50  20.4378 
OBS:  53671.406  g  82S   1.3827e+02   1.549e+01    0  28.410    1.02  22.0623 
OBS:  53671.406  r  82S   6.0647e+02   2.612e+01    0  28.130    1.27  20.5286 
OBS:  53671.406  i  82S   6.3215e+02   3.753e+01    0  27.850    1.22  20.5163 
OBS:  53674.305  g  82S   1.3126e+02   1.590e+01    0  28.520    1.62  22.1216 
OBS:  53674.305  r  82S   5.8879e+02   2.842e+01    0  28.200    1.74  20.6135 
OBS:  53674.305  i  82S   5.6436e+02   4.172e+01    0  27.900    1.63  20.5981 
OBS:  53676.395  g  82S   1.0017e+02   1.454e+01    0  28.350    0.97  22.1695 
OBS:  53676.395  r  82S   5.1871e+02   2.389e+01    0  28.130    1.16  20.6742 
OBS:  53676.395  i  82S   5.6600e+02   3.573e+01    0  27.830    1.12  20.6597 
OBS:  53679.367  g  82S   1.3251e+02   1.789e+01    0  28.480    1.71  22.2323 
OBS:  53679.367  r  82S   5.2384e+02   3.239e+01    0  28.170    1.77  20.7611 
OBS:  53679.367  i  82S   4.6476e+02   5.057e+01    0  27.900    1.79  20.7445 
OBS:  53681.359  g  82S   1.0514e+02   1.349e+01    0  28.480    1.01  22.2751 
OBS:  53681.359  r  82S   5.0573e+02   2.286e+01    0  28.170    1.19  20.8194 
OBS:  53681.359  i  82S   5.2092e+02   3.405e+01    0  27.910    1.19  20.8021 
OBS:  53684.320  g  82S   1.0864e+02   4.880e+01    0  27.130    1.45  22.3376 
OBS:  53684.320  r  82S   4.7559e+02   7.882e+01    0  26.920    1.52  20.9054 
OBS:  53684.320  i  82S   4.1297e+02   1.036e+02    0  26.760    1.51  20.8870 
OBS:  53697.316  g  82S   8.4443e+01   1.964e+01    0  28.480    1.11  22.6159 
OBS:  53697.316  r  82S   3.1571e+02   2.727e+01    0  28.170    1.35  21.2855 
OBS:  53697.316  i  82S   2.7660e+02   3.866e+01    0  27.910    1.33  21.2580 
OBS:  53700.312  g  82S   5.1453e+01   1.716e+01    0  28.450    1.74  22.6786 
OBS:  53700.312  r  82S   3.1362e+02   2.926e+01    0  28.170    1.75  21.3728 
OBS:  53700.312  i  82S   3.0782e+02   4.791e+01    0  27.880    1.75  21.3441 
OBS:  53705.301  g  82S   6.7268e+01   1.798e+01    0  28.500    1.68  22.7857 
OBS:  53705.301  r  82S   2.6596e+02   2.826e+01    0  28.190    1.68  21.5188 
OBS:  53705.301  i  82S   3.3805e+02   4.051e+01    0  27.910    1.51  21.4861 
