SURVEY: SDSS   
SNID:   50528   
IAUC:    NULL 
PHOTOMETRY_VERSION: 91bg 
SNTYPE:  100 
FILTERS: gri 
RA:      -18.464781  deg 
DECL:    0.279930  deg 
PIXSIZE:  0.4000  arcsec 
CCDNUM: 0  
FAKE:    2   (=> simulated LC with snlc_sim.exe) 
MWEBV:       0.0750    MW E(B-V) 
MWEBV_ERR:   0.0120    error on MWEBV 
REDSHIFT_HELIO:   0.129717 +- 0.000500  (Helio, z_best) 
REDSHIFT_FINAL:   0.128339 +- 0.000500  (CMB) 
REDSHIFT_STATUS:  from Host Galaxy (Unconfirmed SN)

VPEC:         0.00  # v_pec correction
VPEC_ERR:     0.00  # error on above  
PEAKMJD:   53668.168 

HOSTGAL_OBJID:    -9  
HOSTGAL_PHOTOZ:   -9.0000  +- -9.0000 
HOSTGAL_SPECZ:    0.0000  +- 0.0000 
HOSTGAL_SNSEP:    -9.000    # arcsec 
 

SIM_MODEL_NAME:  SIMSED.91bg 
SIM_MODEL_INDEX:  7 
SIM_TYPE_INDEX:   0 
SIM_TYPE_NAME:    UNKNOWN 
SIM_NON1a:      0   (NONIA index) 
SIM_COMMENT:  SN Type = UNKNOWN , MODEL = SIMSED.91bg  
SIM_LIBID:  434  
SIM_NGEN_LIBID:  1  
SIM_NOBS_UNDEFINED:  0  
SIM_REDSHIFT_HELIO:  0.12935  
SIM_REDSHIFT_CMB:    0.12798  
SIM_REDSHIFT_HOST:   0.12935  
SIM_VPEC:  -0.0 (km/sec) 
SIM_HOSTLIB_NPAR: 0 
SIM_DLMU:      38.8934  mag   [ -5*log10(10pc/dL) ]
SIM_LENSDMU:   0.0000  mag 
SIM_RA:        -18.464781 deg  
SIM_DECL:      0.279930 deg  
SIM_MWRV:    3.100   (MilkyWay RV) 
SIM_MWEBV:   0.0721   (MilkyWay E(B-V)) 
SIMOPT_MWCOLORLAW:  94   (MW color-law option) 
SIMOPT_MWEBV:       1   (modify MWEBV_SFD)
SIM_MAGSMEAR_COH:    0.000  
SIM_GALFRAC:  -9.000 -9.000 -9.000  (gri F_gal/F_SNpeak for PSF=1'')
SIM_PEAKMAG:   22.27  20.81  20.43  (gri obs)
SIM_EXPOSURE:     1.0    1.0    1.0  (gri obs)
SIM_PEAKMJD:   53668.617188  days 
SIM_SALT2x0:   2.7709e-16   
SIM_SEARCHEFF_MASK:  5  (bits 1,2=> found by software,spec) 
SIM_SEARCHEFF_SPEC:  0.2260  (spectro-search efficiency (ignores pipelines)) 
SIM_TRESTMIN:   -12.72   days 
SIM_TRESTMAX:    29.71   days 
SIM_RISETIME_SHIFT:   0.0 days 
SIM_FALLTIME_SHIFT:   0.0 days 

SIMSED_NPAR: 2 
SIMSED_PARAM(stretch):  1.145978 
SIMSED_param(color):  0.744973 



# ============================================ 
# TERSE LIGHT CURVE OUTPUT: 
#
NOBS: 42 
NVAR: 9 
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR PHOTFLAG   ZPT  PSF  SIM_MAGOBS
OBS:  53654.250  g  82N  -1.1935e+01   1.904e+01    0  28.520    1.01  28.4824 
OBS:  53654.250  r  82N   2.2851e+01   3.242e+01    0  28.040    1.00  27.2304 
OBS:  53654.250  i  82N  -7.4072e+01   6.199e+01    0  27.810    0.89  26.8693 
OBS:  53656.195  g  82N  -1.9691e+01   5.244e+01    0  28.570    1.98  25.5306 
OBS:  53656.195  r  82N   2.3669e+01   4.561e+01    0  28.210    1.54  24.2959 
OBS:  53656.195  i  82N   8.0550e+01   5.990e+01    0  27.990    1.62  23.9393 
OBS:  53663.211  g  82N   1.1351e+02   2.317e+01    0  28.590    0.96  22.5942 
OBS:  53663.211  r  82N   3.1836e+02   2.454e+01    0  28.230    0.81  21.3470 
OBS:  53663.211  i  82N   3.8335e+02   3.172e+01    0  28.010    0.74  20.9947 
OBS:  53668.199  g  82N   1.3687e+02   1.585e+01    0  28.580    1.56  22.2678 
OBS:  53668.199  r  82N   4.6631e+02   2.562e+01    0  28.220    1.38  20.8300 
OBS:  53668.199  i  82N   6.2191e+02   4.299e+01    0  28.000    1.36  20.4499 
OBS:  53670.203  g  82N   1.0858e+02   1.495e+01    0  28.550    1.40  22.3288 
OBS:  53670.203  r  82N   4.5932e+02   2.359e+01    0  28.200    1.16  20.7620 
OBS:  53670.203  i  82N   7.1981e+02   3.589e+01    0  27.990    1.03  20.3633 
DETECTION:  3 obs satisfy gr+ri+gi  at MJD_TRIGGER=53670.2030 
OBS:  53673.172  g  82N   1.1174e+02   1.471e+01    0  28.570    1.39  22.6042 
OBS:  53673.172  r  82N   4.8101e+02   2.486e+01    0  28.210    1.38  20.7967 
OBS:  53673.172  i  82N   6.5697e+02   3.838e+01    0  27.990    1.32  20.3588 
OBS:  53675.168  g  82N   6.9788e+01   1.500e+01    0  28.570    1.50  22.9133 
OBS:  53675.168  r  82N   4.2189e+02   2.391e+01    0  28.220    1.22  20.9193 
OBS:  53675.168  i  82N   6.8582e+02   3.766e+01    0  28.000    1.20  20.4336 
OBS:  53677.191  g  82N   4.9851e+01   1.379e+01    0  28.340    1.00  23.2663 
OBS:  53677.191  r  82N   3.1178e+02   2.047e+01    0  28.160    0.87  21.0959 
OBS:  53677.191  i  82N   6.3804e+02   3.195e+01    0  27.890    0.82  20.5422 
OBS:  53680.176  g  82N   3.0564e+01   1.350e+01    0  28.540    1.13  23.7278 
OBS:  53680.176  r  82N   2.7951e+02   2.182e+01    0  28.190    1.06  21.3982 
OBS:  53680.176  i  82N   5.3143e+02   3.269e+01    0  27.970    0.98  20.7300 
OBS:  53686.242  g  82N   2.6293e+01   7.777e+01    0  28.450    2.10  24.1012 
OBS:  53686.242  r  82N   3.2195e+02   7.150e+01    0  28.130    1.85  21.8098 
OBS:  53686.242  i  82N   2.4708e+02   7.472e+01    0  27.950    1.74  21.1557 
OBS:  53693.180  g  82N   6.6014e+01   3.088e+01    0  28.520    1.34  24.5519 
OBS:  53693.180  r  82N   1.4600e+02   3.042e+01    0  28.170    1.12  22.2841 
OBS:  53693.180  i  82N   2.4176e+02   3.606e+01    0  27.960    0.96  21.6461 
OBS:  53698.176  g  82N   1.2055e+03   7.854e+02    0  23.960    1.43  24.8650 
OBS:  53698.176  r  82N  -1.9838e+03   1.891e+03    0  23.270    1.34  22.6119 
OBS:  53698.176  i  82N  -2.5935e+03   2.163e+03    0  23.210    1.07  22.0097 
OBS:  53699.199  g  82N   6.4628e+00   1.496e+01    0  28.470    1.33  24.9234 
OBS:  53699.199  r  82N   6.8215e+01   2.839e+01    0  28.150    1.19  22.6757 
OBS:  53699.199  i  82N   1.5353e+02   3.433e+01    0  27.940    1.01  22.0778 
OBS:  53702.172  g  82N   3.0565e+01   2.032e+01    0  28.500    1.27  25.0202 
OBS:  53702.172  r  82N   7.7934e+01   4.185e+01    0  28.160    2.46  22.7849 
OBS:  53702.172  i  82N   1.1021e+02   5.960e+01    0  27.950    2.01  22.2289 
END_PHOTOMETRY: 
