SURVEY: SDSS   
SNID:   50656   
IAUC:    NULL 
PHOTOMETRY_VERSION: 91bg 
SNTYPE:  0 
FILTERS: gri 
RA:      42.706741  deg 
DECL:    -0.788618  deg 
PIXSIZE:  0.4000  arcsec 
CCDNUM: 0  
FAKE:    2   (=> simulated LC with snlc_sim.exe) 
MWEBV:       0.0570    MW E(B-V) 
MWEBV_ERR:   0.0091    error on MWEBV 
REDSHIFT_HELIO:   0.028366 +- 0.000500  (Helio, z_best) 
REDSHIFT_FINAL:   0.027639 +- 0.000500  (CMB) 
REDSHIFT_STATUS:  OK 

VPEC:         0.00  # v_pec correction
VPEC_ERR:     0.00  # error on above  
PEAKMJD:   53673.812 

HOSTGAL_OBJID:    -9  
HOSTGAL_PHOTOZ:   -9.0000  +- -9.0000 
HOSTGAL_SPECZ:    0.0000  +- 0.0000 
HOSTGAL_SNSEP:    -9.000    # arcsec 
 

SIM_MODEL_NAME:  SIMSED.91bg 
SIM_MODEL_INDEX:  7 
SIM_TYPE_INDEX:   0 
SIM_TYPE_NAME:    UNKNOWN 
SIM_NON1a:      0   (NONIA index) 
SIM_COMMENT:  SN Type = UNKNOWN , MODEL = SIMSED.91bg  
SIM_LIBID:  826  
SIM_NGEN_LIBID:  1  
SIM_NOBS_UNDEFINED:  0  
SIM_REDSHIFT_HELIO:  0.02901  
SIM_REDSHIFT_CMB:    0.02828  
SIM_REDSHIFT_HOST:   0.02901  
SIM_VPEC:  0.0 (km/sec) 
SIM_HOSTLIB_NPAR: 0 
SIM_DLMU:      35.4641  mag   [ -5*log10(10pc/dL) ]
SIM_LENSDMU:   0.0000  mag 
SIM_RA:        42.706741 deg  
SIM_DECL:      -0.788618 deg  
SIM_MWRV:    3.100   (MilkyWay RV) 
SIM_MWEBV:   0.0543   (MilkyWay E(B-V)) 
SIMOPT_MWCOLORLAW:  94   (MW color-law option) 
SIMOPT_MWEBV:       1   (modify MWEBV_SFD)
SIM_MAGSMEAR_COH:    0.000  
SIM_GALFRAC:  -9.000 -9.000 -9.000  (gri F_gal/F_SNpeak for PSF=1'')
SIM_PEAKMAG:   18.21  17.19  17.14  (gri obs)
SIM_EXPOSURE:     1.0    1.0    1.0  (gri obs)
SIM_PEAKMJD:   53673.507812  days 
SIM_SALT2x0:   6.5218e-15   
SIM_SEARCHEFF_MASK:  3  (bits 1,2=> found by software,spec) 
SIM_SEARCHEFF_SPEC:  1.0000  (spectro-search efficiency (ignores pipelines)) 
SIM_TRESTMIN:   -15.77   days 
SIM_TRESTMAX:    30.93   days 
SIM_RISETIME_SHIFT:   0.0 days 
SIM_FALLTIME_SHIFT:   0.0 days 

SIMSED_NPAR: 2 
SIMSED_PARAM(stretch):  1.069772 
SIMSED_param(color):  0.649715 



# ============================================ 
# TERSE LIGHT CURVE OUTPUT: 
#
NOBS: 48 
NVAR: 9 
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR PHOTFLAG   ZPT  PSF  SIM_MAGOBS
OBS:  53657.277  g  82S   6.5400e+01   4.612e+01    0  28.460    2.06  99.0000 
OBS:  53657.277  r  82S  -1.3558e+01   6.558e+01    0  28.190    2.44  99.0000 
OBS:  53657.277  i  82S   1.4621e+02   8.088e+01    0  27.840    2.27  99.0000 
OBS:  53663.457  g  82S   4.9944e+02   4.462e+01    0  28.460    1.21  20.6927 
OBS:  53663.457  r  82S   1.0753e+03   3.893e+01    0  28.210    1.04  19.8533 
OBS:  53663.457  i  82S   1.2527e+03   4.414e+01    0  27.880    0.92  19.7958 
OBS:  53665.457  g  82S   1.3727e+03   3.390e+01    0  28.440    1.26  19.6713 
OBS:  53665.457  r  82S   2.9046e+03   3.570e+01    0  28.200    1.01  18.8348 
OBS:  53665.457  i  82S   3.1660e+03   4.631e+01    0  27.870    0.90  18.7772 
OBS:  53668.445  g  82S   3.5568e+03   3.533e+01    0  28.440    1.74  18.6285 
OBS:  53668.445  r  82S   7.5818e+03   4.677e+01    0  28.200    1.73  17.7982 
OBS:  53668.445  i  82S   8.1991e+03   6.222e+01    0  27.870    1.63  17.7237 
DETECTION:  3 obs satisfy gr+ri+gi  at MJD_TRIGGER=53668.4450 
OBS:  53669.352  g  82S   3.9476e+03   2.820e+01    0  28.470    1.53  18.5078 
OBS:  53669.352  r  82S   8.4984e+03   6.516e+01    0  27.600    1.58  17.6659 
OBS:  53669.352  i  82S   9.1738e+03   8.726e+01    0  27.150    1.29  17.5864 
OBS:  53670.453  g  82S   4.5442e+03   3.253e+01    0  28.360    1.54  18.3679 
OBS:  53670.453  r  82S   1.0009e+04   4.312e+01    0  28.140    1.08  17.5000 
OBS:  53670.453  i  82S   1.0675e+04   5.309e+01    0  27.820    1.04  17.4317 
OBS:  53671.438  g  82S   4.8447e+03   3.033e+01    0  28.300    1.02  18.2932 
OBS:  53671.438  r  82S   1.1179e+04   4.422e+01    0  28.080    0.91  17.3780 
OBS:  53671.438  i  82S   1.1937e+04   5.255e+01    0  27.750    0.84  17.3112 
OBS:  53674.336  g  82S   5.1494e+03   2.961e+01    0  28.490    1.72  18.2252 
OBS:  53674.336  r  82S   1.3692e+04   4.662e+01    0  28.210    1.45  17.1545 
OBS:  53674.336  i  82S   1.4451e+04   5.806e+01    0  27.850    1.36  17.0998 
OBS:  53676.426  g  82S   4.6998e+03   3.052e+01    0  28.250    1.18  18.3214 
OBS:  53676.426  r  82S   1.4113e+04   5.144e+01    0  28.030    1.12  17.1242 
OBS:  53676.426  i  82S   1.5197e+04   6.230e+01    0  27.710    1.10  17.0477 
OBS:  53679.398  g  82S   3.2391e+03   2.594e+01    0  28.450    1.66  18.7158 
OBS:  53679.398  r  82S   1.3217e+04   4.799e+01    0  28.200    1.50  17.1885 
OBS:  53679.398  i  82S   1.3589e+04   6.226e+01    0  27.850    1.46  17.1673 
OBS:  53681.391  g  82S   2.4196e+03   2.210e+01    0  28.450    1.09  19.0440 
OBS:  53681.391  r  82S   1.1506e+04   4.171e+01    0  28.200    0.92  17.3413 
OBS:  53681.391  i  82S   1.2532e+04   4.980e+01    0  27.850    0.86  17.2519 
OBS:  53684.352  g  82S   1.6180e+03   2.107e+01    0  28.480    1.45  19.4759 
OBS:  53684.352  r  82S   9.1296e+03   3.999e+01    0  28.220    1.11  17.6063 
OBS:  53684.352  i  82S   1.0804e+04   5.286e+01    0  27.850    1.11  17.4084 
OBS:  53687.293  g  82S   1.3045e+03   5.477e+01    0  28.500    1.56  19.6839 
OBS:  53687.293  r  82S   7.3097e+03   8.058e+01    0  28.200    1.39  17.8334 
OBS:  53687.293  i  82S   8.9763e+03   5.988e+01    0  27.880    1.09  17.6167 
OBS:  53697.348  g  82S   6.7962e+02   2.276e+01    0  28.450    1.31  20.3989 
OBS:  53697.348  r  82S   3.6108e+03   3.108e+01    0  28.200    1.00  18.6147 
OBS:  53697.348  i  82S   4.6507e+03   4.338e+01    0  27.850    0.98  18.3413 
OBS:  53700.344  g  82S   5.6134e+02   1.783e+01    0  28.420    1.47  20.6331 
OBS:  53700.344  r  82S   2.9732e+03   3.107e+01    0  28.170    1.38  18.8150 
OBS:  53700.344  i  82S   3.8191e+03   4.443e+01    0  27.840    1.11  18.5643 
OBS:  53705.332  g  82S   4.3420e+02   1.946e+01    0  28.450    1.68  20.8409 
OBS:  53705.332  r  82S   2.3218e+03   2.921e+01    0  28.190    1.40  19.0840 
OBS:  53705.332  i  82S   2.8087e+03   4.183e+01    0  27.860    1.16  18.8680 
END_PHOTOMETRY: 
