SURVEY: SDSS   
SNID:   50708   
IAUC:    NULL 
PHOTOMETRY_VERSION: 91bg 
SNTYPE:  100 
FILTERS: gri 
RA:      -46.026623  deg 
DECL:    -0.748237  deg 
PIXSIZE:  0.4000  arcsec 
CCDNUM: 0  
FAKE:    2   (=> simulated LC with snlc_sim.exe) 
MWEBV:       0.0990    MW E(B-V) 
MWEBV_ERR:   0.0158    error on MWEBV 
REDSHIFT_HELIO:   0.199209 +- 0.000500  (Helio, z_best) 
REDSHIFT_FINAL:   0.197992 +- 0.000500  (CMB) 
REDSHIFT_STATUS:  from Host Galaxy (Unconfirmed SN)

VPEC:         0.00  # v_pec correction
VPEC_ERR:     0.00  # error on above  
PEAKMJD:   53666.754 

HOSTGAL_OBJID:    -9  
HOSTGAL_PHOTOZ:   -9.0000  +- -9.0000 
HOSTGAL_SPECZ:    0.0000  +- 0.0000 
HOSTGAL_SNSEP:    -9.000    # arcsec 
 

SIM_MODEL_NAME:  SIMSED.91bg 
SIM_MODEL_INDEX:  7 
SIM_TYPE_INDEX:   0 
SIM_TYPE_NAME:    UNKNOWN 
SIM_NON1a:      0   (NONIA index) 
SIM_COMMENT:  SN Type = UNKNOWN , MODEL = SIMSED.91bg  
SIM_LIBID:  999  
SIM_NGEN_LIBID:  1  
SIM_NOBS_UNDEFINED:  0  
SIM_REDSHIFT_HELIO:  0.19870  
SIM_REDSHIFT_CMB:    0.19748  
SIM_REDSHIFT_HOST:   0.19870  
SIM_VPEC:  0.0 (km/sec) 
SIM_HOSTLIB_NPAR: 0 
SIM_DLMU:      39.9278  mag   [ -5*log10(10pc/dL) ]
SIM_LENSDMU:   0.0000  mag 
SIM_RA:        -46.026623 deg  
SIM_DECL:      -0.748237 deg  
SIM_MWRV:    3.100   (MilkyWay RV) 
SIM_MWEBV:   0.1050   (MilkyWay E(B-V)) 
SIMOPT_MWCOLORLAW:  94   (MW color-law option) 
SIMOPT_MWEBV:       1   (modify MWEBV_SFD)
SIM_MAGSMEAR_COH:    0.000  
SIM_GALFRAC:  -9.000 -9.000 -9.000  (gri F_gal/F_SNpeak for PSF=1'')
SIM_PEAKMAG:   23.80  22.05  21.51  (gri obs)
SIM_EXPOSURE:     1.0    1.0    1.0  (gri obs)
SIM_PEAKMJD:   53664.738281  days 
SIM_SALT2x0:   1.0688e-16   
SIM_SEARCHEFF_MASK:  5  (bits 1,2=> found by software,spec) 
SIM_SEARCHEFF_SPEC:  0.1489  (spectro-search efficiency (ignores pipelines)) 
SIM_TRESTMIN:   -16.29   days 
SIM_TRESTMAX:    33.66   days 
SIM_RISETIME_SHIFT:   0.0 days 
SIM_FALLTIME_SHIFT:   0.0 days 

SIMSED_NPAR: 2 
SIMSED_PARAM(stretch):  1.086570 
SIMSED_param(color):  0.670712 



# ============================================ 
# TERSE LIGHT CURVE OUTPUT: 
#
NOBS: 42 
NVAR: 9 
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR PHOTFLAG   ZPT  PSF  SIM_MAGOBS
OBS:  53645.211  g  82S   1.6656e+01   2.246e+01    0  27.830    1.24  99.0000 
OBS:  53645.211  r  82S   2.8594e+01   2.207e+01    0  28.140    1.04  99.0000 
OBS:  53645.211  i  82S   2.5380e+01   3.540e+01    0  27.700    0.98  99.0000 
OBS:  53655.121  g  82S   3.5203e+01   3.414e+01    0  28.510    1.46  25.1027 
OBS:  53655.121  r  82S   2.8756e+01   2.712e+01    0  28.240    0.90  23.7267 
OBS:  53655.121  i  82S   3.0325e+01   3.882e+01    0  27.880    0.93  23.2386 
OBS:  53657.211  g  82S   8.2105e+01   9.780e+01    0  28.410    2.35  24.3343 
OBS:  53657.211  r  82S   2.4313e+02   1.031e+02    0  28.170    2.45  22.9833 
OBS:  53657.211  i  82S   1.7680e+02   1.092e+02    0  27.820    2.22  22.4887 
OBS:  53664.148  g  82S   4.0302e+00   2.621e+01    0  28.510    1.40  23.7773 
OBS:  53664.148  r  82S   1.4828e+02   2.825e+01    0  28.240    1.11  22.0739 
OBS:  53664.148  i  82S   3.1376e+02   4.138e+01    0  27.880    1.14  21.5405 
OBS:  53666.109  g  82S   5.4423e+01   1.277e+01    0  28.520    0.95  23.8765 
OBS:  53666.109  r  82S   1.7058e+02   2.086e+01    0  28.240    0.83  22.0198 
OBS:  53666.109  i  82S   2.9651e+02   3.207e+01    0  27.880    0.77  21.4610 
OBS:  53669.105  g  82S   3.0554e+01   1.334e+01    0  28.520    1.08  24.1567 
OBS:  53669.105  r  82S   1.2996e+02   2.049e+01    0  28.240    0.88  22.0624 
OBS:  53669.105  i  82S   2.1916e+02   3.009e+01    0  27.890    0.76  21.4522 
OBS:  53674.090  g  82S   4.0348e+01   1.459e+01    0  28.480    1.32  24.9784 
OBS:  53674.090  r  82S   1.1606e+02   2.286e+01    0  28.210    1.02  22.4964 
OBS:  53674.090  i  82S   2.0461e+02   3.464e+01    0  27.860    0.95  21.6697 
DETECTION:  3 obs satisfy gr+ri+gi  at MJD_TRIGGER=53674.0900 
OBS:  53676.180  g  82S   9.7342e+00   1.396e+01    0  28.420    1.03  25.3013 
OBS:  53676.180  r  82S   1.2180e+02   2.177e+01    0  28.180    0.89  22.7347 
OBS:  53676.180  i  82S   1.7286e+02   3.018e+01    0  27.850    0.70  21.8241 
OBS:  53681.145  g  82S  -2.0403e+01   1.829e+01    0  28.450    1.06  25.6154 
OBS:  53681.145  r  82S   4.9895e+01   3.042e+01    0  28.200    0.92  23.0669 
OBS:  53681.145  i  82S   6.0649e+01   3.950e+01    0  27.850    0.83  22.1546 
OBS:  53685.102  g  82S   8.6104e+01   5.202e+01    0  28.480    1.68  25.8505 
OBS:  53685.102  r  82S   1.2874e+02   4.794e+01    0  28.220    1.50  23.3156 
OBS:  53685.102  i  82S   3.0044e+01   5.632e+01    0  27.850    1.42  22.4234 
OBS:  53687.141  g  82S   3.2276e+01   4.583e+01    0  28.440    1.47  25.9706 
OBS:  53687.141  r  82S  -1.9644e+01   3.617e+01    0  28.190    1.08  23.4443 
