SURVEY: SDSS   
SNID:   50812   
IAUC:    NULL 
PHOTOMETRY_VERSION: 91bg 
SNTYPE:  100 
FILTERS: gri 
RA:      -37.090164  deg 
DECL:    -0.585053  deg 
PIXSIZE:  0.4000  arcsec 
CCDNUM: 0  
FAKE:    2   (=> simulated LC with snlc_sim.exe) 
MWEBV:       0.0470    MW E(B-V) 
MWEBV_ERR:   0.0075    error on MWEBV 
REDSHIFT_HELIO:   0.102821 +- 0.000500  (Helio, z_best) 
REDSHIFT_FINAL:   0.101597 +- 0.000500  (CMB) 
REDSHIFT_STATUS:  from Host Galaxy (Unconfirmed SN)

VPEC:         0.00  # v_pec correction
VPEC_ERR:     0.00  # error on above  
PEAKMJD:   53664.039 

HOSTGAL_OBJID:    -9  
HOSTGAL_PHOTOZ:   -9.0000  +- -9.0000 
HOSTGAL_SPECZ:    0.0000  +- 0.0000 
HOSTGAL_SNSEP:    -9.000    # arcsec 
 

SIM_MODEL_NAME:  SIMSED.91bg 
SIM_MODEL_INDEX:  7 
SIM_TYPE_INDEX:   0 
SIM_TYPE_NAME:    UNKNOWN 
SIM_NON1a:      0   (NONIA index) 
SIM_COMMENT:  SN Type = UNKNOWN , MODEL = SIMSED.91bg  
SIM_LIBID:  263  
SIM_NGEN_LIBID:  1  
SIM_NOBS_UNDEFINED:  0  
SIM_REDSHIFT_HELIO:  0.10317  
SIM_REDSHIFT_CMB:    0.10195  
SIM_REDSHIFT_HOST:   0.10317  
SIM_VPEC:  -0.0 (km/sec) 
SIM_HOSTLIB_NPAR: 0 
SIM_DLMU:      38.3623  mag   [ -5*log10(10pc/dL) ]
SIM_LENSDMU:   0.0000  mag 
SIM_RA:        -37.090164 deg  
SIM_DECL:      -0.585053 deg  
SIM_MWRV:    3.100   (MilkyWay RV) 
SIM_MWEBV:   0.0354   (MilkyWay E(B-V)) 
SIMOPT_MWCOLORLAW:  94   (MW color-law option) 
SIMOPT_MWEBV:       1   (modify MWEBV_SFD)
SIM_MAGSMEAR_COH:    0.000  
SIM_GALFRAC:  -9.000 -9.000 -9.000  (gri F_gal/F_SNpeak for PSF=1'')
SIM_PEAKMAG:   20.98  20.05  19.82  (gri obs)
SIM_EXPOSURE:     1.0    1.0    1.0  (gri obs)
SIM_PEAKMJD:   53661.570312  days 
SIM_SALT2x0:   4.5193e-16   
SIM_SEARCHEFF_MASK:  5  (bits 1,2=> found by software,spec) 
SIM_SEARCHEFF_SPEC:  0.3415  (spectro-search efficiency (ignores pipelines)) 
SIM_TRESTMIN:   -15.78   days 
SIM_TRESTMAX:    37.68   days 
SIM_RISETIME_SHIFT:   0.0 days 
SIM_FALLTIME_SHIFT:   0.0 days 

SIMSED_NPAR: 2 
SIMSED_PARAM(stretch):  0.877729 
SIMSED_param(color):  0.409662 



# ============================================ 
# TERSE LIGHT CURVE OUTPUT: 
#
NOBS: 48 
NVAR: 9 
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR PHOTFLAG   ZPT  PSF  SIM_MAGOBS
OBS:  53644.160  g  82N   1.5148e+01   1.325e+01    0  28.500    1.03  99.0000 
OBS:  53644.160  r  82N   1.6910e+01   2.006e+01    0  28.230    0.96  99.0000 
OBS:  53644.160  i  82N  -2.6133e+01   3.245e+01    0  27.860    0.96  99.0000 
OBS:  53654.195  g  82N   1.6082e+02   2.590e+01    0  28.480    1.42  21.8976 
OBS:  53654.195  r  82N   3.9210e+02   2.706e+01    0  28.230    0.97  21.1790 
OBS:  53654.195  i  82N   4.1109e+02   4.250e+01    0  27.880    1.07  20.9590 
OBS:  53656.145  g  82N   2.1785e+02   5.251e+01    0  28.520    1.83  21.3594 
OBS:  53656.145  r  82N   5.5725e+02   5.263e+01    0  28.240    1.65  20.6346 
OBS:  53656.145  i  82N   6.6594e+02   6.687e+01    0  27.880    1.66  20.4162 
OBS:  53665.137  g  82N   3.8022e+02   4.270e+01    0  27.050    1.06  21.1825 
OBS:  53665.137  r  82N   1.0465e+03   3.804e+01    0  27.490    0.92  20.0038 
OBS:  53665.137  i  82N   1.3494e+03   5.921e+01    0  26.990    0.82  19.7256 
DETECTION:  3 obs satisfy gr+ri+gi  at MJD_TRIGGER=53665.1370 
OBS:  53668.148  g  82N   2.5689e+02   1.763e+01    0  28.530    1.65  21.6117 
OBS:  53668.148  r  82N   8.8484e+02   2.893e+01    0  28.250    1.47  20.1465 
OBS:  53668.148  i  82N   1.1904e+03   5.296e+01    0  27.900    1.55  19.8264 
OBS:  53670.152  g  82N   1.6167e+02   1.460e+01    0  28.500    1.21  21.9536 
OBS:  53670.152  r  82N   7.7924e+02   2.539e+01    0  28.230    1.27  20.3278 
OBS:  53670.152  i  82N   1.1664e+03   3.918e+01    0  27.880    1.08  19.9243 
OBS:  53673.121  g  82N   1.3084e+02   1.462e+01    0  28.520    1.29  22.3914 
OBS:  53673.121  r  82N   5.4156e+02   2.511e+01    0  28.230    1.27  20.6241 
OBS:  53673.121  i  82N   9.0979e+02   3.825e+01    0  27.890    1.11  20.1030 
OBS:  53675.117  g  82N   1.0992e+02   1.455e+01    0  28.530    1.36  22.5059 
OBS:  53675.117  r  82N   4.9680e+02   2.378e+01    0  28.240    1.06  20.7600 
OBS:  53675.117  i  82N   7.7991e+02   3.698e+01    0  27.900    1.00  20.2432 
OBS:  53677.137  g  82N   7.6757e+01   1.550e+01    0  28.340    1.28  22.6376 
OBS:  53677.137  r  82N   4.5276e+02   2.620e+01    0  28.160    1.32  20.9030 
OBS:  53677.137  i  82N   7.1230e+02   3.650e+01    0  27.890    1.10  20.3863 
OBS:  53680.125  g  82N   6.2519e+01   1.527e+01    0  28.490    1.39  22.8373 
OBS:  53680.125  r  82N   3.0773e+02   2.536e+01    0  28.220    1.35  21.1146 
OBS:  53680.125  i  82N   5.5280e+02   3.831e+01    0  27.860    1.28  20.6039 
OBS:  53686.191  g  82N  -7.1433e+01   7.721e+01    0  28.390    2.16  23.2412 
OBS:  53686.191  r  82N   3.2911e+02   7.204e+01    0  28.160    2.12  21.5431 
