SURVEY: SDSS   
SNID:   50930   
IAUC:    NULL 
PHOTOMETRY_VERSION: 91bg 
SNTYPE:  0 
FILTERS: gri 
RA:      -24.493668  deg 
DECL:    -0.516664  deg 
PIXSIZE:  0.4000  arcsec 
CCDNUM: 0  
FAKE:    2   (=> simulated LC with snlc_sim.exe) 
MWEBV:       0.0720    MW E(B-V) 
MWEBV_ERR:   0.0115    error on MWEBV 
REDSHIFT_HELIO:   0.038470 +- 0.000500  (Helio, z_best) 
REDSHIFT_FINAL:   0.037228 +- 0.000500  (CMB) 
REDSHIFT_STATUS:  OK 

VPEC:         0.00  # v_pec correction
VPEC_ERR:     0.00  # error on above  
PEAKMJD:   53648.852 

HOSTGAL_OBJID:    -9  
HOSTGAL_PHOTOZ:   -9.0000  +- -9.0000 
HOSTGAL_SPECZ:    0.0000  +- 0.0000 
HOSTGAL_SNSEP:    -9.000    # arcsec 
 

SIM_MODEL_NAME:  SIMSED.91bg 
SIM_MODEL_INDEX:  7 
SIM_TYPE_INDEX:   0 
SIM_TYPE_NAME:    UNKNOWN 
SIM_NON1a:      0   (NONIA index) 
SIM_COMMENT:  SN Type = UNKNOWN , MODEL = SIMSED.91bg  
SIM_LIBID:  621  
SIM_NGEN_LIBID:  1  
SIM_NOBS_UNDEFINED:  0  
SIM_REDSHIFT_HELIO:  0.03856  
SIM_REDSHIFT_CMB:    0.03731  
SIM_REDSHIFT_HOST:   0.03856  
SIM_VPEC:  -0.0 (km/sec) 
SIM_HOSTLIB_NPAR: 0 
SIM_DLMU:      36.0817  mag   [ -5*log10(10pc/dL) ]
SIM_LENSDMU:   0.0000  mag 
SIM_RA:        -24.493668 deg  
SIM_DECL:      -0.516664 deg  
SIM_MWRV:    3.100   (MilkyWay RV) 
SIM_MWEBV:   0.0750   (MilkyWay E(B-V)) 
SIMOPT_MWCOLORLAW:  94   (MW color-law option) 
SIMOPT_MWEBV:       1   (modify MWEBV_SFD)
SIM_MAGSMEAR_COH:    0.000  
SIM_GALFRAC:  -9.000 -9.000 -9.000  (gri F_gal/F_SNpeak for PSF=1'')
SIM_PEAKMAG:   18.92  17.88  17.79  (gri obs)
SIM_EXPOSURE:     1.0    1.0    1.0  (gri obs)
SIM_PEAKMJD:   53649.574219  days 
SIM_SALT2x0:   3.6924e-15   
SIM_SEARCHEFF_MASK:  3  (bits 1,2=> found by software,spec) 
SIM_SEARCHEFF_SPEC:  1.0000  (spectro-search efficiency (ignores pipelines)) 
SIM_TRESTMIN:   -13.83   days 
SIM_TRESTMAX:    50.63   days 
SIM_RISETIME_SHIFT:   0.0 days 
SIM_FALLTIME_SHIFT:   0.0 days 

SIMSED_NPAR: 2 
SIMSED_PARAM(stretch):  1.045570 
SIMSED_param(color):  0.619463 



# ============================================ 
# TERSE LIGHT CURVE OUTPUT: 
#
NOBS: 48 
NVAR: 9 
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR PHOTFLAG   ZPT  PSF  SIM_MAGOBS
OBS:  53635.211  g  82N  -1.4732e+00   2.461e+01    0  28.530    1.33  99.0000 
OBS:  53635.211  r  82N  -1.8423e+00   2.513e+01    0  28.240    1.03  99.0000 
OBS:  53635.211  i  82N   6.8553e+00   3.642e+01    0  27.880    1.07  99.0000 
OBS:  53637.203  g  82N   6.2676e+01   1.936e+01    0  28.480    1.62  23.2646 
OBS:  53637.203  r  82N   8.1554e+01   2.662e+01    0  28.200    1.42  22.4120 
OBS:  53637.203  i  82N   1.3324e+02   4.488e+01    0  27.830    1.42  22.3271 
OBS:  53644.195  g  82N   1.7563e+03   1.935e+01    0  28.500    1.00  19.3850 
OBS:  53644.195  r  82N   3.8004e+03   2.848e+01    0  28.230    0.93  18.5344 
OBS:  53644.195  i  82N   4.1836e+03   3.855e+01    0  27.860    0.81  18.4370 
OBS:  53654.230  g  82N   2.0067e+03   2.414e+01    0  28.490    1.06  19.2281 
OBS:  53654.230  r  82N   7.3527e+03   3.664e+01    0  28.230    0.86  17.8299 
OBS:  53654.230  i  82N   7.9345e+03   4.629e+01    0  27.880    0.79  17.7502 
OBS:  53656.180  g  82N   1.5877e+03   5.325e+01    0  28.530    1.80  19.5376 
OBS:  53656.180  r  82N   6.7512e+03   5.812e+01    0  28.240    1.67  17.9208 
OBS:  53656.180  i  82N   7.2096e+03   6.808e+01    0  27.880    1.50  17.8551 
DETECTION:  3 obs satisfy gr+ri+gi  at MJD_TRIGGER=53656.1800 
OBS:  53663.191  g  82N   7.1964e+02   2.462e+01    0  28.540    0.94  20.3788 
OBS:  53663.191  r  82N   3.9327e+03   3.079e+01    0  28.260    0.79  18.5163 
OBS:  53663.191  i  82N   4.8856e+03   3.989e+01    0  27.900    0.74  18.2580 
OBS:  53668.184  g  82N   5.0169e+02   1.810e+01    0  28.530    1.62  20.7308 
OBS:  53668.184  r  82N   2.7283e+03   3.084e+01    0  28.250    1.44  18.9000 
OBS:  53668.184  i  82N   3.5411e+03   5.040e+01    0  27.900    1.39  18.6201 
OBS:  53670.188  g  82N   4.7531e+02   1.729e+01    0  28.500    1.50  20.8717 
OBS:  53670.188  r  82N   2.3795e+03   2.703e+01    0  28.230    1.07  19.0538 
OBS:  53670.188  i  82N   3.1504e+03   4.006e+01    0  27.880    0.98  18.7640 
OBS:  53673.156  g  82N   3.8764e+02   1.699e+01    0  28.520    1.53  21.0805 
OBS:  53673.156  r  82N   1.9474e+03   2.686e+01    0  28.240    1.26  19.2825 
OBS:  53673.156  i  82N   2.6033e+03   4.048e+01    0  27.890    1.19  18.9770 
OBS:  53675.152  g  82N   3.1471e+02   1.521e+01    0  28.520    1.27  21.2257 
OBS:  53675.152  r  82N   1.6999e+03   2.716e+01    0  28.240    1.26  19.4223 
OBS:  53675.152  i  82N   2.1570e+03   3.928e+01    0  27.900    1.06  19.1279 
OBS:  53677.172  g  82N   2.8880e+02   1.506e+01    0  28.340    1.01  21.3761 
OBS:  53677.172  r  82N   1.4950e+03   2.468e+01    0  28.160    0.96  19.5665 
OBS:  53677.172  i  82N   1.9396e+03   3.378e+01    0  27.890    0.82  19.2798 
OBS:  53680.160  g  82N   2.4850e+02   1.519e+01    0  28.490    1.22  21.4928 
OBS:  53680.160  r  82N   1.2693e+03   2.505e+01    0  28.220    1.14  19.7152 
OBS:  53680.160  i  82N   1.6411e+03   3.711e+01    0  27.860    1.04  19.4539 
OBS:  53686.227  g  82N   2.5630e+02   7.960e+01    0  28.390    2.17  21.6736 
OBS:  53686.227  r  82N   1.0043e+03   7.351e+01    0  28.170    2.00  19.9923 
OBS:  53686.227  i  82N   1.3429e+03   7.879e+01    0  27.840    1.74  19.8010 
OBS:  53693.160  g  82N   2.0496e+02   2.955e+01    0  28.460    1.16  21.8761 
OBS:  53693.160  r  82N   8.0779e+02   3.064e+01    0  28.210    1.05  20.2440 
OBS:  53693.160  i  82N   8.5199e+02   3.914e+01    0  27.850    0.96  20.1671 
OBS:  53699.184  g  82N   1.5022e+02   1.591e+01    0  28.420    1.29  22.0142 
OBS:  53699.184  r  82N   6.9637e+02   2.583e+01    0  28.180    1.04  20.4098 
OBS:  53699.184  i  82N   7.4463e+02   3.777e+01    0  27.830    0.96  20.3481 
OBS:  53702.156  g  82N   1.2758e+02   2.414e+01    0  28.440    2.24  22.0786 
OBS:  53702.156  r  82N   6.6907e+02   4.099e+01    0  28.190    2.22  20.4974 
OBS:  53702.156  i  82N   7.8340e+02   6.690e+01    0  27.840    2.03  20.4334 
END_PHOTOMETRY: 
