SURVEY: SDSS   
SNID:   50969   
IAUC:    NULL 
PHOTOMETRY_VERSION: 91bg 
SNTYPE:  0 
FILTERS: gri 
RA:      13.572084  deg 
DECL:    -1.221636  deg 
PIXSIZE:  0.4000  arcsec 
CCDNUM: 0  
FAKE:    2   (=> simulated LC with snlc_sim.exe) 
MWEBV:       0.0370    MW E(B-V) 
MWEBV_ERR:   0.0059    error on MWEBV 
REDSHIFT_HELIO:   0.026888 +- 0.000500  (Helio, z_best) 
REDSHIFT_FINAL:   0.025754 +- 0.000500  (CMB) 
REDSHIFT_STATUS:  OK 

VPEC:         0.00  # v_pec correction
VPEC_ERR:     0.00  # error on above  
PEAKMJD:   53636.516 

HOSTGAL_OBJID:    -9  
HOSTGAL_PHOTOZ:   -9.0000  +- -9.0000 
HOSTGAL_SPECZ:    0.0000  +- 0.0000 
HOSTGAL_SNSEP:    -9.000    # arcsec 
 

SIM_MODEL_NAME:  SIMSED.91bg 
SIM_MODEL_INDEX:  7 
SIM_TYPE_INDEX:   0 
SIM_TYPE_NAME:    UNKNOWN 
SIM_NON1a:      0   (NONIA index) 
SIM_COMMENT:  SN Type = UNKNOWN , MODEL = SIMSED.91bg  
SIM_LIBID:  736  
SIM_NGEN_LIBID:  1  
SIM_NOBS_UNDEFINED:  0  
SIM_REDSHIFT_HELIO:  0.02660  
SIM_REDSHIFT_CMB:    0.02547  
SIM_REDSHIFT_HOST:   0.02660  
SIM_VPEC:  -0.0 (km/sec) 
SIM_HOSTLIB_NPAR: 0 
SIM_DLMU:      35.2330  mag   [ -5*log10(10pc/dL) ]
SIM_LENSDMU:   0.0000  mag 
SIM_RA:        13.572084 deg  
SIM_DECL:      -1.221636 deg  
SIM_MWRV:    3.100   (MilkyWay RV) 
SIM_MWEBV:   0.0440   (MilkyWay E(B-V)) 
SIMOPT_MWCOLORLAW:  94   (MW color-law option) 
SIMOPT_MWEBV:       1   (modify MWEBV_SFD)
SIM_MAGSMEAR_COH:    0.000  
SIM_GALFRAC:  -9.000 -9.000 -9.000  (gri F_gal/F_SNpeak for PSF=1'')
SIM_PEAKMAG:   17.85  16.92  16.90  (gri obs)
SIM_EXPOSURE:     1.0    1.0    1.0  (gri obs)
SIM_PEAKMJD:   53635.996094  days 
SIM_SALT2x0:   8.0690e-15   
SIM_SEARCHEFF_MASK:  3  (bits 1,2=> found by software,spec) 
SIM_SEARCHEFF_SPEC:  1.0000  (spectro-search efficiency (ignores pipelines)) 
SIM_TRESTMIN:   -13.28   days 
SIM_TRESTMAX:    67.46   days 
SIM_RISETIME_SHIFT:   0.0 days 
SIM_FALLTIME_SHIFT:   0.0 days 

SIMSED_NPAR: 2 
SIMSED_PARAM(stretch):  1.003178 
SIMSED_param(color):  0.566473 



# ============================================ 
# TERSE LIGHT CURVE OUTPUT: 
#
NOBS: 51 
NVAR: 9 
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR PHOTFLAG   ZPT  PSF  SIM_MAGOBS
OBS:  53622.359  g  82S   3.3886e+01   2.519e+01    0  28.600    1.69  99.0000 
OBS:  53622.359  r  82S  -2.5637e+00   2.700e+01    0  28.200    1.57  99.0000 
OBS:  53622.359  i  82S   4.2254e+01   4.459e+01    0  27.870    1.51  99.0000 
OBS:  53627.316  g  82S   1.4089e+03   3.396e+01    0  28.650    1.55  19.6318 
OBS:  53627.316  r  82S   2.7854e+03   4.051e+01    0  28.250    1.74  18.8862 
OBS:  53627.316  i  82S   2.8197e+03   5.068e+01    0  27.860    1.45  18.8621 
OBS:  53634.309  g  82S   6.9699e+03   5.482e+01    0  28.710    1.55  17.9048 
OBS:  53634.309  r  82S   1.4929e+04   5.502e+01    0  28.280    1.31  17.0647 
OBS:  53634.309  i  82S   1.5282e+04   6.531e+01    0  27.930    1.23  17.0325 
OBS:  53638.352  g  82S   6.8376e+03   3.322e+01    0  28.700    1.07  17.9099 
OBS:  53638.352  r  82S   1.8284e+04   4.924e+01    0  28.270    0.98  16.8446 
OBS:  53638.352  i  82S   1.8932e+04   6.203e+01    0  27.900    0.90  16.8102 
DETECTION:  3 obs satisfy gr+ri+gi  at MJD_TRIGGER=53638.3520 
OBS:  53640.316  g  82S   5.6910e+03   3.204e+01    0  28.620    1.33  18.1095 
OBS:  53640.316  r  82S   1.8083e+04   4.970e+01    0  28.220    1.10  16.8637 
OBS:  53640.316  i  82S   1.8369e+04   6.573e+01    0  27.850    1.26  16.8405 
OBS:  53655.289  g  82S   1.3102e+03   2.864e+01    0  28.700    1.53  19.7101 
OBS:  53655.289  r  82S   6.3772e+03   3.804e+01    0  28.270    1.32  17.9879 
OBS:  53655.289  i  82S   7.7339e+03   5.449e+01    0  27.920    1.30  17.7744 
OBS:  53664.312  g  82S   7.4607e+02   3.668e+01    0  28.680    1.48  20.3489 
OBS:  53664.312  r  82S   3.5556e+03   4.469e+01    0  28.250    1.22  18.6332 
OBS:  53664.312  i  82S   4.3127e+03   5.396e+01    0  27.910    1.21  18.4149 
OBS:  53669.270  g  82S   6.1712e+02   1.706e+01    0  28.680    0.95  20.5269 
OBS:  53669.270  r  82S   2.7749e+03   2.573e+01    0  28.250    0.84  18.8804 
OBS:  53669.270  i  82S   3.2193e+03   3.778e+01    0  27.910    0.81  18.7130 
OBS:  53671.355  g  82S   5.9018e+02   2.232e+01    0  28.500    1.30  20.5827 
OBS:  53671.355  r  82S   2.5412e+03   3.010e+01    0  28.130    1.06  18.9731 
OBS:  53671.355  i  82S   2.9338e+03   4.283e+01    0  27.810    0.97  18.8229 
OBS:  53674.258  g  82S   5.3722e+02   2.102e+01    0  28.650    1.51  20.6584 
OBS:  53674.258  r  82S   2.2761e+03   2.837e+01    0  28.240    1.35  19.1077 
OBS:  53674.258  i  82S   2.4550e+03   4.134e+01    0  27.900    1.24  18.9904 
OBS:  53676.344  g  82S   4.8680e+02   2.174e+01    0  28.550    1.38  20.7226 
OBS:  53676.344  r  82S   2.0684e+03   2.592e+01    0  28.220    0.96  19.2000 
OBS:  53676.344  i  82S   2.2778e+03   4.192e+01    0  27.880    1.16  19.1050 
OBS:  53679.316  g  82S   4.6851e+02   2.416e+01    0  28.640    1.76  20.8102 
OBS:  53679.316  r  82S   1.9584e+03   3.127e+01    0  28.230    1.47  19.2833 
OBS:  53679.316  i  82S   2.0760e+03   4.848e+01    0  27.890    1.49  19.2295 
OBS:  53681.309  g  82S   4.2448e+02   1.862e+01    0  28.640    1.11  20.8596 
OBS:  53681.309  r  82S   1.8800e+03   2.632e+01    0  28.230    1.01  19.3343 
OBS:  53681.309  i  82S   1.9495e+03   3.734e+01    0  27.900    0.93  19.2859 
OBS:  53685.266  g  82S   4.4018e+02   5.387e+01    0  28.670    1.65  20.9471 
OBS:  53685.266  r  82S   1.6467e+03   5.105e+01    0  28.250    1.43  19.4530 
OBS:  53685.266  i  82S   1.9092e+03   6.387e+01    0  27.900    1.44  19.3999 
OBS:  53697.266  g  82S   3.4586e+02   1.994e+01    0  28.640    1.09  21.2119 
OBS:  53697.266  r  82S   1.1659e+03   2.461e+01    0  28.230    0.95  19.8127 
OBS:  53697.266  i  82S   1.2461e+03   3.543e+01    0  27.900    0.87  19.7456 
OBS:  53700.266  g  82S   2.9267e+02   2.536e+01    0  28.580    1.80  21.2781 
OBS:  53700.266  r  82S   1.0638e+03   2.902e+01    0  28.190    1.50  19.9027 
OBS:  53700.266  i  82S   1.1217e+03   4.473e+01    0  27.860    1.41  19.8319 
OBS:  53705.250  g  82S   2.8171e+02   1.983e+01    0  28.620    1.42  21.3891 
OBS:  53705.250  r  82S   9.6414e+02   2.478e+01    0  28.220    1.22  20.0524 
OBS:  53705.250  i  82S   1.0589e+03   3.629e+01    0  27.900    1.04  19.9742 
END_PHOTOMETRY: 
