SURVEY: SDSS   
SNID:   50261   
IAUC:    NULL 
PHOTOMETRY_VERSION: 91bg 
SNTYPE:  0 
FILTERS: gri 
RA:      -21.512218  deg 
DECL:    0.332870  deg 
PIXSIZE:  0.4000  arcsec 
CCDNUM: 0  
FAKE:    2   (=> simulated LC with snlc_sim.exe) 
MWEBV:       0.0740    MW E(B-V) 
MWEBV_ERR:   0.0118    error on MWEBV 
REDSHIFT_HELIO:   0.048943 +- 0.000500  (Helio, z_best) 
REDSHIFT_FINAL:   0.047673 +- 0.000500  (CMB) 
REDSHIFT_STATUS:  OK 

VPEC:         0.00  # v_pec correction
VPEC_ERR:     0.00  # error on above  
PEAKMJD:   53629.516 

HOSTGAL_OBJID:    -9  
HOSTGAL_PHOTOZ:   -9.0000  +- -9.0000 
HOSTGAL_SPECZ:    0.0000  +- 0.0000 
HOSTGAL_SNSEP:    -9.000    # arcsec 
 

SIM_MODEL_NAME:  SIMSED.91bg 
SIM_MODEL_INDEX:  7 
SIM_TYPE_INDEX:   0 
SIM_TYPE_NAME:    UNKNOWN 
SIM_NON1a:      0   (NONIA index) 
SIM_COMMENT:  SN Type = UNKNOWN , MODEL = SIMSED.91bg  
SIM_LIBID:  713  
SIM_NGEN_LIBID:  1  
SIM_NOBS_UNDEFINED:  0  
SIM_REDSHIFT_HELIO:  0.04932  
SIM_REDSHIFT_CMB:    0.04805  
SIM_REDSHIFT_HOST:   0.04932  
SIM_VPEC:  0.0 (km/sec) 
SIM_HOSTLIB_NPAR: 0 
SIM_DLMU:      36.6477  mag   [ -5*log10(10pc/dL) ]
SIM_LENSDMU:   0.0000  mag 
SIM_RA:        -21.512218 deg  
SIM_DECL:      0.332870 deg  
SIM_MWRV:    3.100   (MilkyWay RV) 
SIM_MWEBV:   0.0930   (MilkyWay E(B-V)) 
SIMOPT_MWCOLORLAW:  94   (MW color-law option) 
SIMOPT_MWEBV:       1   (modify MWEBV_SFD)
SIM_MAGSMEAR_COH:    0.000  
SIM_GALFRAC:  -9.000 -9.000 -9.000  (gri F_gal/F_SNpeak for PSF=1'')
SIM_PEAKMAG:   19.76  18.53  18.37  (gri obs)
SIM_EXPOSURE:     1.0    1.0    1.0  (gri obs)
SIM_PEAKMJD:   53629.613281  days 
SIM_SALT2x0:   2.1925e-15   
SIM_SEARCHEFF_MASK:  3  (bits 1,2=> found by software,spec) 
SIM_SEARCHEFF_SPEC:  1.0000  (spectro-search efficiency (ignores pipelines)) 
SIM_TRESTMIN:   -12.74   days 
SIM_TRESTMAX:    69.14   days 
SIM_RISETIME_SHIFT:   0.0 days 
SIM_FALLTIME_SHIFT:   0.0 days 

SIMSED_NPAR: 2 
SIMSED_PARAM(stretch):  1.154511 
SIMSED_param(color):  0.761279 



# ============================================ 
# TERSE LIGHT CURVE OUTPUT: 
#
NOBS: 63 
NVAR: 9 
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR PHOTFLAG   ZPT  PSF  SIM_MAGOBS
OBS:  53616.250  g  82N   2.1449e+01   1.831e+01    0  28.440    1.69  26.0893 
OBS:  53616.250  r  82N   5.6455e+00   2.712e+01    0  28.140    1.58  25.0621 
OBS:  53616.250  i  82N   1.0627e+01   4.158e+01    0  27.920    1.43  24.8984 
OBS:  53623.242  g  82N   6.4988e+02   2.052e+01    0  28.340    1.45  20.5046 
OBS:  53623.242  r  82N   1.6532e+03   2.633e+01    0  28.060    1.00  19.4500 
OBS:  53623.242  i  82N   1.8695e+03   3.819e+01    0  27.880    0.97  19.2935 
OBS:  53626.227  g  82N   1.0359e+03   2.611e+01    0  28.460    1.03  19.9462 
OBS:  53626.227  r  82N   2.7412e+03   3.371e+01    0  28.150    1.01  18.8720 
OBS:  53626.227  i  82N   3.3136e+03   9.651e+01    0  27.900    0.94  18.7062 
OBS:  53628.211  g  82N   1.2034e+03   5.427e+01    0  28.340    1.55  19.7942 
OBS:  53628.211  r  82N   3.5167e+03   4.593e+01    0  28.160    1.34  18.6381 
OBS:  53628.211  i  82N   4.0824e+03   6.065e+01    0  27.870    1.34  18.4774 
DETECTION:  3 obs satisfy gr+ri+gi  at MJD_TRIGGER=53628.2110 
OBS:  53635.219  g  82N   8.1023e+02   3.165e+01    0  28.580    1.55  20.2213 
OBS:  53635.219  r  82N   3.8771e+03   3.374e+01    0  28.220    1.10  18.5317 
OBS:  53635.219  i  82N   4.3777e+03   4.616e+01    0  27.990    1.09  18.3784 
OBS:  53637.215  g  82N   5.8095e+02   2.334e+01    0  28.520    1.66  20.5540 
OBS:  53637.215  r  82N   3.4309e+03   3.455e+01    0  28.180    1.48  18.6804 
OBS:  53637.215  i  82N   4.0145e+03   5.206e+01    0  27.940    1.46  18.4726 
OBS:  53644.207  g  82N   3.1692e+02   1.375e+01    0  28.550    0.92  21.2974 
OBS:  53644.207  r  82N   1.9671e+03   2.384e+01    0  28.190    0.82  19.2701 
OBS:  53644.207  i  82N   2.7616e+03   3.631e+01    0  27.970    0.78  18.9040 
OBS:  53654.238  g  82N   1.5737e+02   1.957e+01    0  28.540    1.20  21.9950 
OBS:  53654.238  r  82N   9.2625e+02   2.622e+01    0  28.210    0.97  20.0294 
OBS:  53654.238  i  82N   1.3454e+03   4.325e+01    0  27.980    1.09  19.6340 
OBS:  53656.188  g  82N   1.1569e+02   4.445e+01    0  28.570    1.67  22.1322 
OBS:  53656.188  r  82N   7.9346e+02   5.222e+01    0  28.220    1.68  20.1657 
OBS:  53656.188  i  82N   1.1689e+03   5.954e+01    0  27.980    1.51  19.7847 
OBS:  53663.199  g  82N   1.0288e+02   2.117e+01    0  28.580    0.87  22.4370 
OBS:  53663.199  r  82N   6.0604e+02   2.368e+01    0  28.240    0.74  20.5314 
OBS:  53663.199  i  82N   7.9179e+02   3.224e+01    0  28.000    0.67  20.2194 
OBS:  53668.191  g  82N   7.4448e+01   1.558e+01    0  28.580    1.51  22.5604 
