SURVEY: SDSS   
SNID:   50319   
IAUC:    NULL 
PHOTOMETRY_VERSION: 91bg 
SNTYPE:  100 
FILTERS: gri 
RA:      -33.975819  deg 
DECL:    -0.495014  deg 
PIXSIZE:  0.4000  arcsec 
CCDNUM: 0  
FAKE:    2   (=> simulated LC with snlc_sim.exe) 
MWEBV:       0.0530    MW E(B-V) 
MWEBV_ERR:   0.0085    error on MWEBV 
REDSHIFT_HELIO:   0.200185 +- 0.000500  (Helio, z_best) 
REDSHIFT_FINAL:   0.198821 +- 0.000500  (CMB) 
REDSHIFT_STATUS:  from Host Galaxy (Unconfirmed SN)

VPEC:         0.00  # v_pec correction
VPEC_ERR:     0.00  # error on above  
PEAKMJD:   53625.426 

HOSTGAL_OBJID:    -9  
HOSTGAL_PHOTOZ:   -9.0000  +- -9.0000 
HOSTGAL_SPECZ:    0.0000  +- 0.0000 
HOSTGAL_SNSEP:    -9.000    # arcsec 
 

SIM_MODEL_NAME:  SIMSED.91bg 
SIM_MODEL_INDEX:  7 
SIM_TYPE_INDEX:   0 
SIM_TYPE_NAME:    UNKNOWN 
SIM_NON1a:      0   (NONIA index) 
SIM_COMMENT:  SN Type = UNKNOWN , MODEL = SIMSED.91bg  
SIM_LIBID:  884  
SIM_NGEN_LIBID:  1  
SIM_NOBS_UNDEFINED:  0  
SIM_REDSHIFT_HELIO:  0.19965  
SIM_REDSHIFT_CMB:    0.19829  
SIM_REDSHIFT_HOST:   0.19965  
SIM_VPEC:  0.0 (km/sec) 
SIM_HOSTLIB_NPAR: 0 
SIM_DLMU:      39.9379  mag   [ -5*log10(10pc/dL) ]
SIM_LENSDMU:   0.0000  mag 
SIM_RA:        -33.975819 deg  
SIM_DECL:      -0.495014 deg  
SIM_MWRV:    3.100   (MilkyWay RV) 
SIM_MWEBV:   0.0715   (MilkyWay E(B-V)) 
SIMOPT_MWCOLORLAW:  94   (MW color-law option) 
SIMOPT_MWEBV:       1   (modify MWEBV_SFD)
SIM_MAGSMEAR_COH:    0.000  
SIM_GALFRAC:  -9.000 -9.000 -9.000  (gri F_gal/F_SNpeak for PSF=1'')
SIM_PEAKMAG:   23.10  21.83  21.42  (gri obs)
SIM_EXPOSURE:     1.0    1.0    1.0  (gri obs)
SIM_PEAKMJD:   53624.433594  days 
SIM_SALT2x0:   1.0589e-16   
SIM_SEARCHEFF_MASK:  5  (bits 1,2=> found by software,spec) 
SIM_SEARCHEFF_SPEC:  0.1580  (spectro-search efficiency (ignores pipelines)) 
SIM_TRESTMIN:    -1.02   days 
SIM_TRESTMAX:    65.61   days 
SIM_RISETIME_SHIFT:   0.0 days 
SIM_FALLTIME_SHIFT:   0.0 days 

SIMSED_NPAR: 2 
SIMSED_PARAM(stretch):  0.843175 
SIMSED_param(color):  0.366469 



# ============================================ 
# TERSE LIGHT CURVE OUTPUT: 
#
NOBS: 58 
NVAR: 9 
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR PHOTFLAG   ZPT  PSF  SIM_MAGOBS
OBS:  53623.207  g  82N   5.1866e+01   1.558e+01    0  28.410    1.33  23.0720 
OBS:  53623.207  r  82N   1.5699e+02   2.220e+01    0  28.140    1.06  21.8808 
OBS:  53623.207  i  82N   2.7127e+02   3.455e+01    0  27.800    1.02  21.4967 
OBS:  53626.191  g  82N   9.7937e+01   2.600e+01    0  28.480    1.12  23.1966 
OBS:  53626.191  r  82N   1.6811e+02   2.782e+01    0  28.200    0.95  21.7879 
OBS:  53626.191  i  82N   2.6596e+02   3.615e+01    0  27.830    0.87  21.3663 
OBS:  53628.176  g  82N  -6.8825e+00   6.200e+01    0  28.350    1.73  23.3755 
OBS:  53628.176  r  82N   8.9787e+01   5.419e+01    0  28.180    1.62  21.8131 
OBS:  53628.176  i  82N   3.1939e+02   6.285e+01    0  27.890    1.57  21.3624 
OBS:  53635.184  g  82N   2.7296e+01   1.909e+01    0  28.530    1.00  24.4810 
OBS:  53635.184  r  82N   9.9084e+01   2.560e+01    0  28.240    1.11  22.4323 
OBS:  53635.184  i  82N   2.0134e+02   3.112e+01    0  27.880    0.86  21.6871 
DETECTION:  3 obs satisfy gr+ri+gi  at MJD_TRIGGER=53635.1840 
OBS:  53637.180  g  82N   2.1302e+00   1.730e+01    0  28.460    1.61  24.6869 
OBS:  53637.180  r  82N   6.5778e+01   2.674e+01    0  28.190    1.51  22.6155 
OBS:  53637.180  i  82N   1.2096e+02   4.476e+01    0  27.820    1.47  21.8238 
OBS:  53644.172  g  82N   1.8200e+01   1.310e+01    0  28.500    1.00  25.0945 
OBS:  53644.172  r  82N   4.7135e+01   2.004e+01    0  28.230    0.92  23.0561 
OBS:  53644.172  i  82N   9.4208e+01   3.062e+01    0  27.860    0.83  22.2927 
OBS:  53654.207  g  82N   8.6107e+00   2.309e+01    0  28.490    1.24  25.6402 
OBS:  53654.207  r  82N   6.1786e+00   3.050e+01    0  28.220    1.26  23.6924 
OBS:  53654.207  i  82N   7.0211e+01   4.124e+01    0  27.870    1.06  22.9527 
OBS:  53656.152  g  82N  -3.7742e+00   5.001e+01    0  28.520    1.73  25.7169 
OBS:  53656.152  r  82N   1.1924e+01   5.079e+01    0  28.240    1.61  23.8197 
OBS:  53656.152  i  82N   9.1541e+01   5.906e+01    0  27.880    1.46  23.0724 
OBS:  53665.145  g  82N   5.0789e+01   3.465e+01    0  27.420    1.13  25.9795 
OBS:  53665.145  r  82N   8.7286e+00   2.924e+01    0  27.700    0.87  24.1204 
OBS:  53665.145  i  82N   1.3306e+01   5.001e+01    0  27.160    0.87  23.4860 
OBS:  53668.156  g  82N   2.3163e+01   1.548e+01    0  28.530    1.50  25.9963 
OBS:  53668.156  r  82N   2.9508e+01   2.843e+01    0  28.250    1.52  24.1991 
OBS:  53668.156  i  82N   7.0460e+01   4.353e+01    0  27.900    1.34  23.6203 
OBS:  53670.156  g  82N   8.5808e+00   1.387e+01    0  28.500    1.17  26.0069 
OBS:  53670.156  r  82N   9.4263e-01   2.225e+01    0  28.230    1.04  24.2542 
