SURVEY: SDSS   
SNID:   50418   
IAUC:    NULL 
PHOTOMETRY_VERSION: 91bg 
SNTYPE:  0 
FILTERS: gri 
RA:      30.796309  deg 
DECL:    0.951812  deg 
PIXSIZE:  0.4000  arcsec 
CCDNUM: 0  
FAKE:    2   (=> simulated LC with snlc_sim.exe) 
MWEBV:       0.0260    MW E(B-V) 
MWEBV_ERR:   0.0042    error on MWEBV 
REDSHIFT_HELIO:   0.043314 +- 0.000500  (Helio, z_best) 
REDSHIFT_FINAL:   0.042372 +- 0.000500  (CMB) 
REDSHIFT_STATUS:  OK 

VPEC:         0.00  # v_pec correction
VPEC_ERR:     0.00  # error on above  
PEAKMJD:   53648.695 

HOSTGAL_OBJID:    -9  
HOSTGAL_PHOTOZ:   -9.0000  +- -9.0000 
HOSTGAL_SPECZ:    0.0000  +- 0.0000 
HOSTGAL_SNSEP:    -9.000    # arcsec 
 

SIM_MODEL_NAME:  SIMSED.91bg 
SIM_MODEL_INDEX:  7 
SIM_TYPE_INDEX:   0 
SIM_TYPE_NAME:    UNKNOWN 
SIM_NON1a:      0   (NONIA index) 
SIM_COMMENT:  SN Type = UNKNOWN , MODEL = SIMSED.91bg  
SIM_LIBID:  121  
SIM_NGEN_LIBID:  1  
SIM_NOBS_UNDEFINED:  0  
SIM_REDSHIFT_HELIO:  0.04329  
SIM_REDSHIFT_CMB:    0.04235  
SIM_REDSHIFT_HOST:   0.04329  
SIM_VPEC:  -0.0 (km/sec) 
SIM_HOSTLIB_NPAR: 0 
SIM_DLMU:      36.3640  mag   [ -5*log10(10pc/dL) ]
SIM_LENSDMU:   0.0000  mag 
SIM_RA:        30.796309 deg  
SIM_DECL:      0.951812 deg  
SIM_MWRV:    3.100   (MilkyWay RV) 
SIM_MWEBV:   0.0313   (MilkyWay E(B-V)) 
SIMOPT_MWCOLORLAW:  94   (MW color-law option) 
SIMOPT_MWEBV:       1   (modify MWEBV_SFD)
SIM_MAGSMEAR_COH:    0.000  
SIM_GALFRAC:  -9.000 -9.000 -9.000  (gri F_gal/F_SNpeak for PSF=1'')
SIM_PEAKMAG:   19.04  18.05  17.98  (gri obs)
SIM_EXPOSURE:     1.0    1.0    1.0  (gri obs)
SIM_PEAKMJD:   53647.984375  days 
SIM_SALT2x0:   2.8472e-15   
SIM_SEARCHEFF_MASK:  3  (bits 1,2=> found by software,spec) 
SIM_SEARCHEFF_SPEC:  1.0000  (spectro-search efficiency (ignores pipelines)) 
SIM_TRESTMIN:   -19.76   days 
SIM_TRESTMAX:    54.94   days 
SIM_RISETIME_SHIFT:   0.0 days 
SIM_FALLTIME_SHIFT:   0.0 days 

SIMSED_NPAR: 2 
SIMSED_PARAM(stretch):  1.038114 
SIMSED_param(color):  0.610143 



# ============================================ 
# TERSE LIGHT CURVE OUTPUT: 
#
NOBS: 54 
NVAR: 9 
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR PHOTFLAG   ZPT  PSF  SIM_MAGOBS
OBS:  53627.367  g  82S   7.0553e+00   1.702e+01    0  28.490    1.62  99.0000 
OBS:  53627.367  r  82S   2.4610e+01   2.273e+01    0  28.210    1.41  99.0000 
OBS:  53627.367  i  82S  -1.4492e+01   3.773e+01    0  27.880    1.48  99.0000 
OBS:  53634.359  g  82S   3.8346e+01   4.863e+01    0  28.570    1.61  99.0000 
OBS:  53634.359  r  82S   1.3221e+01   4.933e+01    0  28.240    1.50  99.0000 
OBS:  53634.359  i  82S  -4.1069e+01   5.730e+01    0  27.930    1.48  99.0000 
OBS:  53638.398  g  82S   3.2455e+02   1.694e+01    0  28.550    1.02  21.2245 
OBS:  53638.398  r  82S   6.8689e+02   2.401e+01    0  28.230    1.15  20.4169 
OBS:  53638.398  i  82S   6.6959e+02   3.534e+01    0  27.910    1.10  20.3473 
OBS:  53640.363  g  82S   7.9608e+02   1.807e+01    0  28.470    1.23  20.2492 
OBS:  53640.363  r  82S   1.6750e+03   2.774e+01    0  28.170    1.43  19.4410 
OBS:  53640.363  i  82S   1.8106e+03   3.923e+01    0  27.860    1.25  19.3682 
OBS:  53646.426  g  82S   2.3205e+03   2.877e+01    0  27.830    1.05  19.0817 
OBS:  53646.426  r  82S   5.3765e+03   3.638e+01    0  27.930    1.14  18.1689 
OBS:  53646.426  i  82S   5.6909e+03   6.392e+01    0  27.290    1.12  18.0952 
DETECTION:  3 obs satisfy gr+ri+gi  at MJD_TRIGGER=53646.4260 
OBS:  53655.336  g  82S   1.2011e+03   1.904e+01    0  28.560    1.50  19.7891 
OBS:  53655.336  r  82S   5.4712e+03   3.440e+01    0  28.240    1.50  18.1632 
OBS:  53655.336  i  82S   5.9174e+03   5.140e+01    0  27.940    1.51  18.0693 
OBS:  53664.359  g  82S   5.2671e+02   3.813e+01    0  28.530    1.31  20.6969 
OBS:  53664.359  r  82S   2.8113e+03   6.106e+01    0  28.200    1.21  18.9067 
OBS:  53664.359  i  82S   3.5886e+03   6.340e+01    0  27.910    1.12  18.6406 
OBS:  53665.426  g  82S   4.7822e+02   2.704e+01    0  28.480    1.06  20.7725 
OBS:  53665.426  r  82S   2.5780e+03   3.606e+01    0  28.200    1.26  18.9886 
OBS:  53665.426  i  82S   3.2425e+03   4.902e+01    0  27.910    1.17  18.7192 
OBS:  53669.320  g  82S   4.1467e+02   1.754e+01    0  28.510    1.47  21.0442 
OBS:  53669.320  r  82S   1.9628e+03   2.774e+01    0  28.200    1.43  19.2852 
OBS:  53669.320  i  82S   2.4951e+03   4.184e+01    0  27.910    1.38  18.9989 
OBS:  53671.402  g  82S   3.4661e+02   1.651e+01    0  28.400    1.03  21.1936 
OBS:  53671.402  r  82S   1.6249e+03   2.835e+01    0  28.120    1.27  19.4438 
OBS:  53671.402  i  82S   2.2253e+03   4.194e+01    0  27.850    1.23  19.1488 
OBS:  53674.305  g  82S   2.5632e+02   1.689e+01    0  28.510    1.69  21.3983 
