SURVEY: SDSS   
SNID:   50781   
IAUC:    NULL 
PHOTOMETRY_VERSION: 91bg 
SNTYPE:  100 
FILTERS: gri 
RA:      54.403152  deg 
DECL:    0.324754  deg 
PIXSIZE:  0.4000  arcsec 
CCDNUM: 0  
FAKE:    2   (=> simulated LC with snlc_sim.exe) 
MWEBV:       0.0840    MW E(B-V) 
MWEBV_ERR:   0.0134    error on MWEBV 
REDSHIFT_HELIO:   0.070528 +- 0.000500  (Helio, z_best) 
REDSHIFT_FINAL:   0.070001 +- 0.000500  (CMB) 
REDSHIFT_STATUS:  from Host Galaxy (Unconfirmed SN)

VPEC:         0.00  # v_pec correction
VPEC_ERR:     0.00  # error on above  
PEAKMJD:   53672.949 

HOSTGAL_OBJID:    -9  
HOSTGAL_PHOTOZ:   -9.0000  +- -9.0000 
HOSTGAL_SPECZ:    0.0000  +- 0.0000 
HOSTGAL_SNSEP:    -9.000    # arcsec 
 

SIM_MODEL_NAME:  SIMSED.91bg 
SIM_MODEL_INDEX:  7 
SIM_TYPE_INDEX:   0 
SIM_TYPE_NAME:    UNKNOWN 
SIM_NON1a:      0   (NONIA index) 
SIM_COMMENT:  SN Type = UNKNOWN , MODEL = SIMSED.91bg  
SIM_LIBID:  187  
SIM_NGEN_LIBID:  1  
SIM_NOBS_UNDEFINED:  0  
SIM_REDSHIFT_HELIO:  0.07106  
SIM_REDSHIFT_CMB:    0.07054  
SIM_REDSHIFT_HOST:   0.07106  
SIM_VPEC:  -0.0 (km/sec) 
SIM_HOSTLIB_NPAR: 0 
SIM_DLMU:      37.5145  mag   [ -5*log10(10pc/dL) ]
SIM_LENSDMU:   0.0000  mag 
SIM_RA:        54.403152 deg  
SIM_DECL:      0.324754 deg  
SIM_MWRV:    3.100   (MilkyWay RV) 
SIM_MWEBV:   0.0873   (MilkyWay E(B-V)) 
SIMOPT_MWCOLORLAW:  94   (MW color-law option) 
SIMOPT_MWEBV:       1   (modify MWEBV_SFD)
SIM_MAGSMEAR_COH:    0.000  
SIM_GALFRAC:  -9.000 -9.000 -9.000  (gri F_gal/F_SNpeak for PSF=1'')
SIM_PEAKMAG:   20.41  19.37  19.19  (gri obs)
SIM_EXPOSURE:     1.0    1.0    1.0  (gri obs)
SIM_PEAKMJD:   53672.742188  days 
SIM_SALT2x0:   9.8671e-16   
SIM_SEARCHEFF_MASK:  5  (bits 1,2=> found by software,spec) 
SIM_SEARCHEFF_SPEC:  0.6117  (spectro-search efficiency (ignores pipelines)) 
SIM_TRESTMIN:   -14.30   days 
SIM_TRESTMAX:    29.52   days 
SIM_RISETIME_SHIFT:   0.0 days 
SIM_FALLTIME_SHIFT:   0.0 days 

SIMSED_NPAR: 2 
SIMSED_PARAM(stretch):  0.978767 
SIMSED_param(color):  0.535959 



# ============================================ 
# TERSE LIGHT CURVE OUTPUT: 
#
NOBS: 45 
NVAR: 9 
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR PHOTFLAG   ZPT  PSF  SIM_MAGOBS
OBS:  53657.426  g  82N   6.2871e+00   1.763e+01    0  28.560    1.71  99.0000 
OBS:  53657.426  r  82N  -2.0821e+01   2.526e+01    0  28.210    1.51  99.0000 
OBS:  53657.426  i  82N   4.0359e+00   4.026e+01    0  27.990    1.42  99.0000 
OBS:  53663.410  g  82N   1.5019e+02   3.317e+01    0  28.590    1.08  22.3229 
OBS:  53663.410  r  82N   2.9940e+02   3.966e+01    0  28.230    1.27  21.4771 
OBS:  53663.410  i  82N   3.1749e+02   4.277e+01    0  28.010    1.03  21.2992 
OBS:  53665.391  g  82N   2.6073e+02   3.109e+01    0  28.570    1.39  21.4286 
OBS:  53665.391  r  82N   5.9877e+02   3.056e+01    0  28.210    1.00  20.5815 
OBS:  53665.391  i  82N   7.2197e+02   4.064e+01    0  27.990    0.91  20.4027 
OBS:  53666.480  g  82N   3.6119e+02   2.350e+01    0  28.510    1.00  21.0712 
OBS:  53666.480  r  82N   7.8093e+02   2.930e+01    0  28.180    1.03  20.2176 
OBS:  53666.480  i  82N   9.3629e+02   3.735e+01    0  27.980    0.88  20.0425 
DETECTION:  3 obs satisfy gr+ri+gi  at MJD_TRIGGER=53666.4800 
OBS:  53668.402  g  82N   5.1817e+02   2.631e+01    0  28.590    1.75  20.7062 
OBS:  53668.402  r  82N   1.1674e+03   3.261e+01    0  28.230    1.58  19.8401 
OBS:  53668.402  i  82N   1.3428e+03   4.797e+01    0  28.020    1.52  19.6547 
OBS:  53669.488  g  82N   5.7103e+02   2.305e+01    0  28.420    1.37  20.5740 
OBS:  53669.488  r  82N   1.3564e+03   3.240e+01    0  28.130    1.36  19.6814 
OBS:  53669.488  i  82N   1.6006e+03   4.332e+01    0  27.930    1.06  19.5043 
OBS:  53670.406  g  82N   6.1360e+02   2.687e+01    0  28.220    1.53  20.5068 
OBS:  53670.406  r  82N   1.5101e+03   3.179e+01    0  28.100    1.51  19.5729 
OBS:  53670.406  i  82N   1.7332e+03   4.245e+01    0  27.910    1.27  19.3924 
OBS:  53673.375  g  82N   7.0119e+02   1.576e+01    0  28.570    1.06  20.4134 
OBS:  53673.375  r  82N   1.8335e+03   2.552e+01    0  28.220    1.00  19.3459 
OBS:  53673.375  i  82N   2.1084e+03   3.617e+01    0  27.990    0.88  19.1563 
OBS:  53675.371  g  82N   6.3620e+02   1.574e+01    0  28.580    1.10  20.4984 
OBS:  53675.371  r  82N   1.8679e+03   2.695e+01    0  28.230    1.13  19.3069 
OBS:  53675.371  i  82N   2.2618e+03   4.066e+01    0  28.010    1.09  19.0981 
OBS:  53680.379  g  82N   3.2829e+02   1.467e+01    0  28.540    1.05  21.1997 
OBS:  53680.379  r  82N   1.4925e+03   2.382e+01    0  28.190    0.89  19.5448 
OBS:  53680.379  i  82N   1.9497e+03   3.540e+01    0  27.970    0.82  19.2708 
OBS:  53686.379  g  82N   1.6659e+02   2.822e+01    0  28.530    1.34  21.8830 
OBS:  53686.379  r  82N   8.8919e+02   3.401e+01    0  28.180    1.33  20.0663 
