SURVEY: SDSS   
SNID:   50887   
IAUC:    NULL 
PHOTOMETRY_VERSION: 91bg 
SNTYPE:  0 
FILTERS: gri 
RA:      -32.292923  deg 
DECL:    0.637413  deg 
PIXSIZE:  0.4000  arcsec 
CCDNUM: 0  
FAKE:    2   (=> simulated LC with snlc_sim.exe) 
MWEBV:       0.0980    MW E(B-V) 
MWEBV_ERR:   0.0157    error on MWEBV 
REDSHIFT_HELIO:   0.029279 +- 0.000500  (Helio, z_best) 
REDSHIFT_FINAL:   0.028093 +- 0.000500  (CMB) 
REDSHIFT_STATUS:  OK 

VPEC:         0.00  # v_pec correction
VPEC_ERR:     0.00  # error on above  
PEAKMJD:   53671.965 

HOSTGAL_OBJID:    -9  
HOSTGAL_PHOTOZ:   -9.0000  +- -9.0000 
HOSTGAL_SPECZ:    0.0000  +- 0.0000 
HOSTGAL_SNSEP:    -9.000    # arcsec 
 

SIM_MODEL_NAME:  SIMSED.91bg 
SIM_MODEL_INDEX:  7 
SIM_TYPE_INDEX:   0 
SIM_TYPE_NAME:    UNKNOWN 
SIM_NON1a:      0   (NONIA index) 
SIM_COMMENT:  SN Type = UNKNOWN , MODEL = SIMSED.91bg  
SIM_LIBID:  496  
SIM_NGEN_LIBID:  1  
SIM_NOBS_UNDEFINED:  0  
SIM_REDSHIFT_HELIO:  0.02900  
SIM_REDSHIFT_CMB:    0.02781  
SIM_REDSHIFT_HOST:   0.02900  
SIM_VPEC:  -0.0 (km/sec) 
SIM_HOSTLIB_NPAR: 0 
SIM_DLMU:      35.4281  mag   [ -5*log10(10pc/dL) ]
SIM_LENSDMU:   0.0000  mag 
SIM_RA:        -32.292923 deg  
SIM_DECL:      0.637413 deg  
SIM_MWRV:    3.100   (MilkyWay RV) 
SIM_MWEBV:   0.1050   (MilkyWay E(B-V)) 
SIMOPT_MWCOLORLAW:  94   (MW color-law option) 
SIMOPT_MWEBV:       1   (modify MWEBV_SFD)
SIM_MAGSMEAR_COH:    0.000  
SIM_GALFRAC:  -9.000 -9.000 -9.000  (gri F_gal/F_SNpeak for PSF=1'')
SIM_PEAKMAG:   18.23  17.28  17.23  (gri obs)
SIM_EXPOSURE:     1.0    1.0    1.0  (gri obs)
SIM_PEAKMJD:   53670.933594  days 
SIM_SALT2x0:   6.7415e-15   
SIM_SEARCHEFF_MASK:  3  (bits 1,2=> found by software,spec) 
SIM_SEARCHEFF_SPEC:  1.0000  (spectro-search efficiency (ignores pipelines)) 
SIM_TRESTMIN:   -16.25   days 
SIM_TRESTMAX:    31.30   days 
SIM_RISETIME_SHIFT:   0.0 days 
SIM_FALLTIME_SHIFT:   0.0 days 

SIMSED_NPAR: 2 
SIMSED_PARAM(stretch):  0.958511 
SIMSED_param(color):  0.510639 



# ============================================ 
# TERSE LIGHT CURVE OUTPUT: 
#
NOBS: 42 
NVAR: 9 
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR PHOTFLAG   ZPT  PSF  SIM_MAGOBS
OBS:  53654.211  g  82N  -3.9996e+01   2.419e+01    0  28.440    1.39  99.0000 
OBS:  53654.211  r  82N  -3.6499e+01   3.491e+01    0  28.250    1.54  99.0000 
OBS:  53654.211  i  82N   5.8448e+01   4.924e+01    0  27.910    1.35  99.0000 
OBS:  53656.156  g  82N   2.3999e+01   5.035e+01    0  28.480    1.76  99.0000 
OBS:  53656.156  r  82N   5.6295e+01   5.085e+01    0  28.270    1.67  99.0000 
OBS:  53656.156  i  82N  -1.0701e+02   6.827e+01    0  27.920    1.67  99.0000 
OBS:  53665.148  g  82N   2.9135e+03   4.536e+01    0  27.430    1.03  18.8441 
OBS:  53665.148  r  82N   5.9583e+03   6.940e+01    0  27.060    0.92  18.0608 
OBS:  53665.148  i  82N   6.3203e+03   8.546e+01    0  26.920    0.86  18.0086 
OBS:  53668.160  g  82N   4.5425e+03   2.741e+01    0  28.480    1.55  18.3632 
OBS:  53668.160  r  82N   9.6008e+03   4.104e+01    0  28.270    1.40  17.5458 
OBS:  53668.160  i  82N   1.0043e+04   6.072e+01    0  27.940    1.33  17.4858 
OBS:  53670.164  g  82N   5.0714e+03   2.841e+01    0  28.450    1.51  18.2400 
OBS:  53670.164  r  82N   1.1671e+04   4.239e+01    0  28.250    1.29  17.3305 
OBS:  53670.164  i  82N   1.2319e+04   6.033e+01    0  27.910    1.15  17.2806 
DETECTION:  3 obs satisfy gr+ri+gi  at MJD_TRIGGER=53670.1640 
OBS:  53673.133  g  82N   4.8467e+03   2.708e+01    0  28.470    1.28  18.2845 
OBS:  53673.133  r  82N   1.3164e+04   4.414e+01    0  28.260    1.26  17.1993 
OBS:  53673.133  i  82N   1.3994e+04   6.173e+01    0  27.920    1.14  17.1420 
OBS:  53675.129  g  82N   4.0769e+03   2.498e+01    0  28.480    1.17  18.4776 
OBS:  53675.129  r  82N   1.3010e+04   4.331e+01    0  28.270    1.21  17.2158 
OBS:  53675.129  i  82N   1.3553e+04   6.007e+01    0  27.920    1.16  17.1656 
OBS:  53677.152  g  82N   3.1050e+03   2.491e+01    0  28.340    1.28  18.7860 
OBS:  53677.152  r  82N   1.2152e+04   4.605e+01    0  28.160    1.41  17.2885 
OBS:  53677.152  i  82N   1.2298e+04   6.021e+01    0  27.890    1.25  17.2748 
OBS:  53680.137  g  82N   1.9391e+03   2.003e+01    0  28.450    1.07  19.2862 
OBS:  53680.137  r  82N   9.6949e+03   3.916e+01    0  28.240    1.12  17.5445 
OBS:  53680.137  i  82N   1.0997e+04   5.465e+01    0  27.920    1.04  17.4011 
OBS:  53686.203  g  82N   1.2855e+03   7.651e+01    0  28.340    2.10  19.8046 
OBS:  53686.203  r  82N   6.2499e+03   8.294e+01    0  28.190    2.29  18.0283 
OBS:  53686.203  i  82N   7.5037e+03   1.029e+02    0  27.880    2.13  17.8125 
OBS:  53693.141  g  82N   6.9073e+02   3.121e+01    0  28.420    1.19  20.3025 
OBS:  53693.141  r  82N   3.7101e+03   3.651e+01    0  28.230    1.16  18.5679 
OBS:  53693.141  i  82N   4.6541e+03   5.406e+01    0  27.920    1.27  18.3127 
OBS:  53699.160  g  82N   5.0334e+02   1.757e+01    0  28.380    1.10  20.7319 
OBS:  53699.160  r  82N   2.5549e+03   3.115e+01    0  28.200    1.18  18.9889 
OBS:  53699.160  i  82N   3.3022e+03   4.569e+01    0  27.900    1.05  18.7448 
OBS:  53702.137  g  82N   4.8095e+02   2.609e+01    0  28.400    1.92  20.8402 
OBS:  53702.137  r  82N   2.2311e+03   4.423e+01    0  28.220    2.25  19.1310 
OBS:  53702.137  i  82N   2.6990e+03   7.395e+01    0  27.910    1.96  18.9189 
OBS:  53703.145  g  82N   4.4129e+02   2.321e+01    0  28.390    1.92  20.8720 
OBS:  53703.145  r  82N   2.1490e+03   3.669e+01    0  28.210    1.88  19.1830 
OBS:  53703.145  i  82N   2.5505e+03   6.096e+01    0  27.900    1.83  18.9823 
END_PHOTOMETRY: 
