SURVEY: SDSS   
SNID:   50896   
IAUC:    NULL 
PHOTOMETRY_VERSION: 91bg 
SNTYPE:  0 
FILTERS: gri 
RA:      -3.493570  deg 
DECL:    0.194262  deg 
PIXSIZE:  0.4000  arcsec 
CCDNUM: 0  
FAKE:    2   (=> simulated LC with snlc_sim.exe) 
MWEBV:       0.0320    MW E(B-V) 
MWEBV_ERR:   0.0051    error on MWEBV 
REDSHIFT_HELIO:   0.053316 +- 0.000500  (Helio, z_best) 
REDSHIFT_FINAL:   0.052038 +- 0.000500  (CMB) 
REDSHIFT_STATUS:  OK 

VPEC:         0.00  # v_pec correction
VPEC_ERR:     0.00  # error on above  
PEAKMJD:   53668.086 

HOSTGAL_OBJID:    -9  
HOSTGAL_PHOTOZ:   -9.0000  +- -9.0000 
HOSTGAL_SPECZ:    0.0000  +- 0.0000 
HOSTGAL_SNSEP:    -9.000    # arcsec 
 

SIM_MODEL_NAME:  SIMSED.91bg 
SIM_MODEL_INDEX:  7 
SIM_TYPE_INDEX:   0 
SIM_TYPE_NAME:    UNKNOWN 
SIM_NON1a:      0   (NONIA index) 
SIM_COMMENT:  SN Type = UNKNOWN , MODEL = SIMSED.91bg  
SIM_LIBID:  518  
SIM_NGEN_LIBID:  1  
SIM_NOBS_UNDEFINED:  0  
SIM_REDSHIFT_HELIO:  0.05349  
SIM_REDSHIFT_CMB:    0.05221  
SIM_REDSHIFT_HOST:   0.05349  
SIM_VPEC:  0.0 (km/sec) 
SIM_HOSTLIB_NPAR: 0 
SIM_DLMU:      36.8347  mag   [ -5*log10(10pc/dL) ]
SIM_LENSDMU:   0.0000  mag 
SIM_RA:        -3.493570 deg  
SIM_DECL:      0.194262 deg  
SIM_MWRV:    3.100   (MilkyWay RV) 
SIM_MWEBV:   0.0259   (MilkyWay E(B-V)) 
SIMOPT_MWCOLORLAW:  94   (MW color-law option) 
SIMOPT_MWEBV:       1   (modify MWEBV_SFD)
SIM_MAGSMEAR_COH:    0.000  
SIM_GALFRAC:  -9.000 -9.000 -9.000  (gri F_gal/F_SNpeak for PSF=1'')
SIM_PEAKMAG:   19.30  18.49  18.44  (gri obs)
SIM_EXPOSURE:     1.0    1.0    1.0  (gri obs)
SIM_PEAKMJD:   53668.250000  days 
SIM_SALT2x0:   1.8455e-15   
SIM_SEARCHEFF_MASK:  3  (bits 1,2=> found by software,spec) 
SIM_SEARCHEFF_SPEC:  1.0000  (spectro-search efficiency (ignores pipelines)) 
SIM_TRESTMIN:   -12.35   days 
SIM_TRESTMAX:    35.08   days 
SIM_RISETIME_SHIFT:   0.0 days 
SIM_FALLTIME_SHIFT:   0.0 days 

SIMSED_NPAR: 2 
SIMSED_PARAM(stretch):  0.881278 
SIMSED_param(color):  0.414097 



# ============================================ 
# TERSE LIGHT CURVE OUTPUT: 
#
NOBS: 36 
NVAR: 9 
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR PHOTFLAG   ZPT  PSF  SIM_MAGOBS
OBS:  53655.242  g  82S  -2.1635e+01   4.059e+01    0  28.580    2.09  24.4143 
OBS:  53655.242  r  82S  -9.4885e+00   4.973e+01    0  28.220    2.12  23.7939 
OBS:  53655.242  i  82S   2.9561e+01   6.006e+01    0  28.000    2.00  23.7439 
OBS:  53664.266  g  82S   1.5070e+03   4.193e+01    0  28.570    1.51  19.5628 
OBS:  53664.266  r  82S   2.7656e+03   4.243e+01    0  28.210    1.37  18.9141 
OBS:  53664.266  i  82S   2.8099e+03   5.938e+01    0  28.000    1.18  18.8544 
OBS:  53666.230  g  82S   1.7976e+03   2.193e+01    0  28.580    1.03  19.3780 
OBS:  53666.230  r  82S   3.4434e+03   2.943e+01    0  28.230    0.95  18.6567 
OBS:  53666.230  i  82S   3.5700e+03   3.996e+01    0  28.000    0.86  18.6046 
OBS:  53669.223  g  82S   1.8958e+03   1.894e+01    0  28.580    1.05  19.3140 
OBS:  53669.223  r  82S   4.1728e+03   2.920e+01    0  28.230    0.95  18.4431 
OBS:  53669.223  i  82S   4.3633e+03   3.937e+01    0  28.010    0.82  18.3906 
DETECTION:  3 obs satisfy gr+ri+gi  at MJD_TRIGGER=53669.2230 
OBS:  53671.309  g  82S   1.7055e+03   2.213e+01    0  28.450    1.47  19.4280 
OBS:  53671.309  r  82S   4.2157e+03   3.459e+01    0  28.150    1.41  18.4227 
OBS:  53671.309  i  82S   4.5865e+03   4.798e+01    0  27.940    1.32  18.3485 
OBS:  53674.207  g  82S   1.1887e+03   1.857e+01    0  28.550    1.45  19.8073 
OBS:  53674.207  r  82S   3.9672e+03   3.309e+01    0  28.210    1.55  18.5025 
OBS:  53674.207  i  82S   4.0970e+03   4.480e+01    0  27.990    1.37  18.4613 
OBS:  53676.297  g  82S   9.2803e+02   1.770e+01    0  28.490    1.14  20.1491 
OBS:  53676.297  r  82S   3.3583e+03   3.053e+01    0  28.170    1.22  18.6745 
OBS:  53676.297  i  82S   3.8009e+03   4.129e+01    0  27.980    1.04  18.5496 
OBS:  53679.270  g  82S   5.8827e+02   1.952e+01    0  28.500    1.73  20.5943 
OBS:  53679.270  r  82S   2.6288e+03   3.288e+01    0  28.170    1.53  18.9603 
OBS:  53679.270  i  82S   3.3338e+03   4.607e+01    0  27.950    1.29  18.7080 
OBS:  53681.262  g  82S   4.9918e+02   1.525e+01    0  28.510    1.02  20.7176 
OBS:  53681.262  r  82S   2.3160e+03   2.560e+01    0  28.170    0.88  19.1057 
OBS:  53681.262  i  82S   2.9014e+03   3.671e+01    0  27.950    0.81  18.8500 
OBS:  53697.219  g  82S   1.9213e+02   1.537e+01    0  28.510    1.22  21.8115 
OBS:  53697.219  r  82S   7.5472e+02   2.715e+01    0  28.170    1.31  20.2734 
OBS:  53697.219  i  82S   9.8817e+02   3.602e+01    0  27.950    1.04  20.0116 
OBS:  53700.219  g  82S   1.9120e+02   1.539e+01    0  28.490    1.34  21.9181 
