SURVEY: SDSS   
SNID:   396   
IAUC:    NULL 
PHOTOMETRY_VERSION: 91bg 
SNTYPE:  100 
FILTERS: ugriz 
RA:      19.347504  deg 
DECL:    0.451763  deg 
PIXSIZE:  0.4000  arcsec 
CCDNUM: 0  
FAKE:    2   (=> simulated LC with snlc_sim.exe) 
MWEBV:       0.0340    MW E(B-V) 
MWEBV_ERR:   0.0054    error on MWEBV 
REDSHIFT_HELIO:   0.156471 +- 0.000500  (Helio, z_best) 
REDSHIFT_FINAL:   0.155257 +- 0.000500  (CMB) 
REDSHIFT_STATUS:  from Host Galaxy (Unconfirmed SN)

VPEC:         0.00  # v_pec correction
VPEC_ERR:     0.00  # error on above  
PEAKMJD:   53694.828 

HOSTGAL_OBJID:    -9  
HOSTGAL_PHOTOZ:   -9.0000  +- -9.0000 
HOSTGAL_SPECZ:    0.0000  +- 0.0000 
HOSTGAL_SNSEP:    -9.000    # arcsec 
 

SIM_MODEL_NAME:  SIMSED.91BG 
SIM_MODEL_INDEX:  7 
SIM_TYPE_INDEX:   0 
SIM_TYPE_NAME:    UNKNOWN 
SIM_NON1a:      0   (NONIA index) 
SIM_COMMENT:  SN Type = UNKNOWN , MODEL = SIMSED.91BG  
SIM_LIBID:  72  
SIM_NGEN_LIBID:  1  
SIM_NOBS_UNDEFINED:  0  
SIM_REDSHIFT_HELIO:  0.15563  
SIM_REDSHIFT_CMB:    0.15441  
SIM_REDSHIFT_HOST:   0.15563  
SIM_VPEC:  0.0 (km/sec) 
SIM_HOSTLIB_NPAR: 0 
SIM_DLMU:      39.3372  mag   [ -5*log10(10pc/dL) ]
SIM_LENSDMU:   0.0000  mag 
SIM_RA:        19.347504 deg  
SIM_DECL:      0.451763 deg  
SIM_MWRV:    3.100   (MilkyWay RV) 
SIM_MWEBV:   0.0352   (MilkyWay E(B-V)) 
SIMOPT_MWCOLORLAW:  94   (MW color-law option) 
SIMOPT_MWEBV:       1   (modify MWEBV_SFD)
SIM_MAGSMEAR_COH:    0.000  
SIM_GALFRAC:  -9.000 -9.000 -9.000 -9.000 -9.000  (ugriz F_gal/F_SNpeak for PSF=1'')
SIM_PEAKMAG:   23.82  21.71  20.78  20.50  20.75  (ugriz obs)
SIM_EXPOSURE:     1.0    1.0    1.0    1.0    1.0  (ugriz obs)
SIM_PEAKMJD:   53695.121094  days 
SIM_SALT2x0:   1.8412e-16   
SIM_SEARCHEFF_MASK:  5  (bits 1,2=> found by software,spec) 
SIM_SEARCHEFF_SPEC:  0.2285  (spectro-search efficiency (ignores pipelines)) 
SIM_TRESTMIN:   -13.66   days 
SIM_TRESTMAX:     8.78   days 
SIM_RISETIME_SHIFT:   0.0 days 
SIM_FALLTIME_SHIFT:   0.0 days 

SIMSED_NPAR: 2 
SIMSED_PARAM(stretch):  1.116553 
SIMSED_PARAM(color):  0.288320 



# ============================================ 
# TERSE LIGHT CURVE OUTPUT: 
#
NOBS: 30 
NVAR: 9 
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR PHOTFLAG   ZPT  PSF  SIM_MAGOBS
OBS:  53679.332  u  82S  -2.0303e+00   6.069e+01    0  27.510    1.93  27.9795 
OBS:  53679.332  g  82S  -4.0818e+00   1.858e+01    0  28.410    1.86  26.1812 
OBS:  53679.332  r  82S   3.0178e+01   3.198e+01    0  28.220    1.79  25.5205 
OBS:  53679.332  i  82S  -7.4508e+01   5.220e+01    0  27.910    1.78  25.2732 
OBS:  53679.332  z  82S  -7.3794e+00   1.457e+02    0  26.650    1.63  25.5362 
OBS:  53681.324  u  82S  -2.1073e+01   4.196e+01    0  27.510    1.10  26.6588 
OBS:  53681.324  g  82S   2.9195e-01   1.281e+01    0  28.420    1.00  24.6048 
OBS:  53681.324  r  82S   2.5743e+01   2.129e+01    0  28.220    1.07  23.9559 
OBS:  53681.324  i  82S   4.9070e+01   3.202e+01    0  27.910    0.99  23.7067 
OBS:  53681.324  z  82S  -4.7703e+01   8.713e+01    0  26.650    0.88  23.9684 
OBS:  53685.285  u  82S  -6.1154e+01   7.073e+01    0  27.590    1.22  24.4902 
OBS:  53685.285  g  82S   4.1316e+01   3.342e+01    0  28.440    1.13  22.9158 
OBS:  53685.285  r  82S   1.2396e+02   3.565e+01    0  28.240    1.05  22.2722 
OBS:  53685.285  i  82S   1.1131e+02   4.368e+01    0  27.920    1.05  22.0214 
OBS:  53685.285  z  82S   1.0915e+02   1.055e+02    0  26.660    1.06  22.2837 
OBS:  53697.281  u  82S  -7.8477e+00   5.233e+01    0  27.510    1.27  24.0419 
OBS:  53697.281  g  82S   1.9701e+02   2.030e+01    0  28.410    1.22  21.7926 
OBS:  53697.281  r  82S   4.9784e+02   2.875e+01    0  28.220    1.26  20.7282 
OBS:  53697.281  i  82S   6.8221e+02   3.939e+01    0  27.910    1.13  20.4282 
OBS:  53697.281  z  82S   4.9852e+02   1.018e+02    0  26.650    1.01  20.6854 
OBS:  53700.281  u  82S   7.0084e+01   6.201e+01    0  27.440    1.92  24.4157 
OBS:  53700.281  g  82S   1.3477e+02   1.834e+01    0  28.320    1.73  22.0643 
OBS:  53700.281  r  82S   4.8791e+02   2.816e+01    0  28.170    1.58  20.7787 
OBS:  53700.281  i  82S   7.0920e+02   4.864e+01    0  27.860    1.59  20.4350 
OBS:  53700.281  z  82S   4.0070e+02   1.390e+02    0  26.570    1.50  20.6833 
DETECTION:  3 obs satisfy gr+ri+gi  at MJD_TRIGGER=53700.2810 
OBS:  53705.266  u  82S   2.2948e+01   4.580e+01    0  27.510    1.49  25.0592 
OBS:  53705.266  g  82S   7.1527e+01   1.451e+01    0  28.400    1.25  22.7894 
OBS:  53705.266  r  82S   3.4827e+02   2.269e+01    0  28.220    1.33  21.1250 
OBS:  53705.266  i  82S   5.0865e+02   3.504e+01    0  27.900    1.19  20.6438 
OBS:  53705.266  z  82S   5.6492e+02   9.562e+01    0  26.620    1.12  20.8144 
END_PHOTOMETRY: 
