SURVEY: SDSS   
SNID:   497   
IAUC:    NULL 
PHOTOMETRY_VERSION: 91bg 
SNTYPE:  0 
FILTERS: ugriz 
RA:      24.936026  deg 
DECL:    0.074971  deg 
PIXSIZE:  0.4000  arcsec 
CCDNUM: 0  
FAKE:    2   (=> simulated LC with snlc_sim.exe) 
MWEBV:       0.0270    MW E(B-V) 
MWEBV_ERR:   0.0043    error on MWEBV 
REDSHIFT_HELIO:   0.044344 +- 0.000500  (Helio, z_best) 
REDSHIFT_FINAL:   0.043320 +- 0.000500  (CMB) 
REDSHIFT_STATUS:  OK 

VPEC:         0.00  # v_pec correction
VPEC_ERR:     0.00  # error on above  
PEAKMJD:   53695.035 

HOSTGAL_OBJID:    -9  
HOSTGAL_PHOTOZ:   -9.0000  +- -9.0000 
HOSTGAL_SPECZ:    0.0000  +- 0.0000 
HOSTGAL_SNSEP:    -9.000    # arcsec 
 

SIM_MODEL_NAME:  SIMSED.91BG 
SIM_MODEL_INDEX:  7 
SIM_TYPE_INDEX:   0 
SIM_TYPE_NAME:    UNKNOWN 
SIM_NON1a:      0   (NONIA index) 
SIM_COMMENT:  SN Type = UNKNOWN , MODEL = SIMSED.91BG  
SIM_LIBID:  370  
SIM_NGEN_LIBID:  1  
SIM_NOBS_UNDEFINED:  0  
SIM_REDSHIFT_HELIO:  0.04485  
SIM_REDSHIFT_CMB:    0.04382  
SIM_REDSHIFT_HOST:   0.04485  
SIM_VPEC:  -0.0 (km/sec) 
SIM_HOSTLIB_NPAR: 0 
SIM_DLMU:      36.4408  mag   [ -5*log10(10pc/dL) ]
SIM_LENSDMU:   0.0000  mag 
SIM_RA:        24.936026 deg  
SIM_DECL:      0.074971 deg  
SIM_MWRV:    3.100   (MilkyWay RV) 
SIM_MWEBV:   0.0240   (MilkyWay E(B-V)) 
SIMOPT_MWCOLORLAW:  94   (MW color-law option) 
SIMOPT_MWEBV:       1   (modify MWEBV_SFD)
SIM_MAGSMEAR_COH:    0.000  
SIM_GALFRAC:  -9.000 -9.000 -9.000 -9.000 -9.000  (ugriz F_gal/F_SNpeak for PSF=1'')
SIM_PEAKMAG:   20.84  18.91  17.99  17.94  18.17  (ugriz obs)
SIM_EXPOSURE:     1.0    1.0    1.0    1.0    1.0  (ugriz obs)
SIM_PEAKMJD:   53693.703125  days 
SIM_SALT2x0:   2.6527e-15   
SIM_SEARCHEFF_MASK:  3  (bits 1,2=> found by software,spec) 
SIM_SEARCHEFF_SPEC:  1.0000  (spectro-search efficiency (ignores pipelines)) 
SIM_TRESTMIN:   -13.74   days 
SIM_TRESTMAX:    11.08   days 
SIM_RISETIME_SHIFT:   0.0 days 
SIM_FALLTIME_SHIFT:   0.0 days 

SIMSED_NPAR: 2 
SIMSED_PARAM(stretch):  1.098576 
SIMSED_PARAM(color):  0.534469 



# ============================================ 
# TERSE LIGHT CURVE OUTPUT: 
#
NOBS: 30 
NVAR: 9 
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR PHOTFLAG   ZPT  PSF  SIM_MAGOBS
OBS:  53679.348  u  82S   2.3950e+02   8.275e+01    0  27.260    2.26  25.4820 
OBS:  53679.348  g  82S   5.4893e+00   1.915e+01    0  28.500    1.85  23.8886 
OBS:  53679.348  r  82S   1.9470e+01   3.226e+01    0  28.170    1.74  23.1578 
OBS:  53679.348  i  82S   1.4448e+02   4.826e+01    0  27.950    1.62  23.1067 
OBS:  53679.348  z  82S  -2.5743e+02   2.104e+02    0  26.080    1.62  23.3374 
OBS:  53681.340  u  82S   7.6410e+01   4.779e+01    0  27.270    1.05  23.6624 
OBS:  53681.340  g  82S   1.6527e+02   1.353e+01    0  28.510    0.95  21.9968 
OBS:  53681.340  r  82S   3.2507e+02   2.166e+01    0  28.170    0.94  21.2609 
OBS:  53681.340  i  82S   3.2092e+02   3.112e+01    0  27.950    0.86  21.2098 
OBS:  53681.340  z  82S   2.3011e+02   1.086e+02    0  26.080    0.82  21.4428 
OBS:  53685.301  u  82S   1.6359e+02   6.292e+01    0  27.350    0.98  21.6178 
OBS:  53685.301  g  82S   8.7173e+02   2.806e+01    0  28.530    0.89  20.1184 
OBS:  53685.301  r  82S   1.7815e+03   3.542e+01    0  28.180    0.80  19.3851 
OBS:  53685.301  i  82S   1.8100e+03   4.195e+01    0  27.960    0.75  19.3328 
OBS:  53685.301  z  82S   1.5147e+03   1.177e+02    0  26.090    0.78  19.5671 
OBS:  53697.297  u  82S   3.8207e+02   6.423e+01    0  27.270    1.30  21.2209 
OBS:  53697.297  g  82S   2.4544e+03   3.050e+01    0  28.510    1.04  19.0585 
OBS:  53697.297  r  82S   6.6827e+03   7.250e+01    0  28.170    1.11  17.9281 
OBS:  53697.297  i  82S   7.0410e+03   7.565e+01    0  27.950    0.96  17.8583 
OBS:  53697.297  z  82S   5.6930e+03   1.522e+02    0  26.080    0.92  18.1269 
DETECTION:  3 obs satisfy gr+ri+gi  at MJD_TRIGGER=53697.2970 
OBS:  53700.297  u  82S   2.1132e+02   7.539e+01    0  27.190    1.84  21.6789 
OBS:  53700.297  g  82S   1.6383e+03   2.622e+01    0  28.470    1.81  19.4267 
OBS:  53700.297  r  82S   6.3734e+03   7.034e+01    0  28.150    1.56  18.0082 
OBS:  53700.297  i  82S   6.5487e+03   7.849e+01    0  27.950    1.57  17.9709 
OBS:  53700.297  z  82S   5.6544e+03   2.059e+02    0  26.060    1.47  18.1422 
OBS:  53705.281  u  82S   5.7443e+01   5.177e+01    0  27.290    1.31  22.3400 
OBS:  53705.281  g  82S   8.8708e+02   1.860e+01    0  28.520    1.28  20.1393 
OBS:  53705.281  r  82S   4.4112e+03   5.115e+01    0  28.190    1.22  18.4060 
OBS:  53705.281  i  82S   5.2977e+03   6.076e+01    0  27.990    0.97  18.1888 
OBS:  53705.281  z  82S   5.2608e+03   1.566e+02    0  26.100    1.08  18.2320 
END_PHOTOMETRY: 
